,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 7-2,Arnaud Clement,F,6-3 6-4,Sjeng Schalken,2003-06-16,https://matchstat.com/tennis/tournaments/m/%27s-Hertogenbosch/2003,'s-Hertogenbosch
1,H2H 2-0,Jan Vacek,SF,6-3 6-4,Arnaud Clement,2003-06-16,https://matchstat.com/tennis/tournaments/m/%27s-Hertogenbosch/2003,'s-Hertogenbosch
2,H2H 1-1,Raemon Sluiter,SF,6-3 6-4,Sjeng Schalken,2003-06-16,https://matchstat.com/tennis/tournaments/m/%27s-Hertogenbosch/2003,'s-Hertogenbosch
3,H2H 2-1,Jiri Novak,QF,6-4 6-4,Jan Vacek,2003-06-16,https://matchstat.com/tennis/tournaments/m/%27s-Hertogenbosch/2003,'s-Hertogenbosch
4,H2H 3-0,Fernando Vicente,QF,4-6 6-3 6-0,Arnaud Clement,2003-06-16,https://matchstat.com/tennis/tournaments/m/%27s-Hertogenbosch/2003,'s-Hertogenbosch
5,H2H 2-2,Tommy Robredo,QF,7-5 6-4,Sjeng Schalken,2003-06-16,https://matchstat.com/tennis/tournaments/m/%27s-Hertogenbosch/2003,'s-Hertogenbosch
6,H2H 1-1,John van Lottum,QF,6-4 7-5,Raemon Sluiter,2003-06-16,https://matchstat.com/tennis/tournaments/m/%27s-Hertogenbosch/2003,'s-Hertogenbosch
7,H2H 1-0,Olivier Mutis,R16,6-2 6-4,Jiri Novak,2003-06-16,https://matchstat.com/tennis/tournaments/m/%27s-Hertogenbosch/2003,'s-Hertogenbosch
8,H2H 1-0,Sebastien Grosjean,R16,6-4 3-6 6-2,Jan Vacek,2003-06-16,https://matchstat.com/tennis/tournaments/m/%27s-Hertogenbosch/2003,'s-Hertogenbosch
9,H2H 3-2,Lars Burgsmuller,R16,4-6 6-4 6-4,Fernando Vicente,2003-06-16,https://matchstat.com/tennis/tournaments/m/%27s-Hertogenbosch/2003,'s-Hertogenbosch
10,H2H 2-0,Dennis van Scheppingen,R16,7-6(4) 6-7(5) 6-3,Arnaud Clement,2003-06-16,https://matchstat.com/tennis/tournaments/m/%27s-Hertogenbosch/2003,'s-Hertogenbosch
11,H2H 4-0,Kenneth Carlsen,R16,6-4 2-6 6-3,Tommy Robredo,2003-06-16,https://matchstat.com/tennis/tournaments/m/%27s-Hertogenbosch/2003,'s-Hertogenbosch
12,H2H 6-0,Christophe Rochus,R16,6-0 6-0,Sjeng Schalken,2003-06-16,https://matchstat.com/tennis/tournaments/m/%27s-Hertogenbosch/2003,'s-Hertogenbosch
13,H2H 1-1,Frantisek Cermak,R16,6-4 6-3,John van Lottum,2003-06-16,https://matchstat.com/tennis/tournaments/m/%27s-Hertogenbosch/2003,'s-Hertogenbosch
14,H2H 1-2,Paradorn Srichaphan,R16,7-5 6-4,Raemon Sluiter,2003-06-16,https://matchstat.com/tennis/tournaments/m/%27s-Hertogenbosch/2003,'s-Hertogenbosch
15,H2H 3-0,Jurgen Melzer,R32,6-1 6-3,Jiri Novak,2003-06-16,https://matchstat.com/tennis/tournaments/m/%27s-Hertogenbosch/2003,'s-Hertogenbosch
16,H2H 1-0,Richard Krajicek,R32,6-4 7-6(4),Olivier Mutis,2003-06-16,https://matchstat.com/tennis/tournaments/m/%27s-Hertogenbosch/2003,'s-Hertogenbosch
17,H2H 1-1,Antony Dupuis,R32,7-6(2) 6-3,Jan Vacek,2003-06-16,https://matchstat.com/tennis/tournaments/m/%27s-Hertogenbosch/2003,'s-Hertogenbosch
18,H2H 1-0,Philipp Petzschner,R32,6-2 5-7 6-3,Sebastien Grosjean,2003-06-16,https://matchstat.com/tennis/tournaments/m/%27s-Hertogenbosch/2003,'s-Hertogenbosch
19,H2H 1-0,Martin Verkerk,R32,3-6 6-4 7-6(11),Lars Burgsmuller,2003-06-16,https://matchstat.com/tennis/tournaments/m/%27s-Hertogenbosch/2003,'s-Hertogenbosch
20,H2H 5-1,Davide Sanguinetti,R32,0-6 7-6(10) 6-2,Fernando Vicente,2003-06-16,https://matchstat.com/tennis/tournaments/m/%27s-Hertogenbosch/2003,'s-Hertogenbosch
