,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
0,H2H 3-2,Marc Gicquel,7.0,0.0,5809221.0,780851.0,,3.7,Marc Gicquel,57.0,2.0,0.0,65.0,21.0,63.0,43.0,28.0,20.0,8.0,,,,,,2.0,128.0,,,3.70,1.33,F,6-4 6-2,David Ferrer,12.0,0.0,5809221.0,780850.0,,1.333,David Ferrer,71.0,7.0,3.0,63.0,27.0,65.0,43.0,30.0,22.0,14.0,,,,,,1.0,128.0,,,2008-06-16,https://matchstat.com/tennis/tournaments/m/%27s-Hertogenbosch/2008,'s-Hertogenbosch
1,H2H 6-3,Juan Martin Del Potro,2.0,1.0,5809219.0,780849.0,,3.45,Juan Martin Del Potro,60.0,6.0,0.0,78.0,25.0,52.0,30.0,23.0,22.0,12.0,,,,,,2.0,130.0,,,3.45,1.38,SF,7-6 6-1,David Ferrer,6.0,1.0,5809219.0,780848.0,,1.377,David Ferrer,70.0,3.0,2.0,52.0,17.0,78.0,60.0,42.0,18.0,11.0,,,,,,1.0,130.0,,,2008-06-16,https://matchstat.com/tennis/tournaments/m/%27s-Hertogenbosch/2008,'s-Hertogenbosch
2,H2H 1-0,Guillermo Canas,9.0,4.0,5809220.0,126249.0,,1.444,Guillermo Canas,74.0,10.0,2.0,87.0,33.0,68.0,25.0,19.0,43.0,22.0,,,,,,1.0,155.0,,,1.44,3.05,SF,3-6 6-0 6-4,Marc Gicquel,4.0,0.0,5809220.0,126250.0,,3.05,Marc Gicquel,81.0,5.0,4.0,68.0,27.0,87.0,51.0,36.0,36.0,18.0,,,,,,2.0,155.0,,,2008-06-16,https://matchstat.com/tennis/tournaments/m/%27s-Hertogenbosch/2008,'s-Hertogenbosch
3,H2H 2-2,Mario Ancic,4.0,4.0,5809215.0,780847.0,,1.45,Mario Ancic,69.0,1.0,0.0,75.0,22.0,74.0,43.0,34.0,31.0,13.0,,,,,,2.0,149.0,,,1.45,2.60,QF,6-4 7-6(4),David Ferrer,1.0,1.0,5809215.0,780846.0,,2.6,David Ferrer,80.0,6.0,1.0,74.0,27.0,75.0,53.0,40.0,22.0,13.0,,,,,,1.0,149.0,,,2008-06-16,https://matchstat.com/tennis/tournaments/m/%27s-Hertogenbosch/2008,'s-Hertogenbosch
4,H2H 3-0,Arnaud Clement,8.0,4.0,5809216.0,126235.0,,2.7,Arnaud Clement,74.0,10.0,4.0,81.0,34.0,79.0,38.0,22.0,41.0,18.0,,,,,,1.0,160.0,,,2.70,1.45,QF,2-6 6-3 6-1,Juan Martin Del Potro,13.0,6.0,5809216.0,126236.0,,1.45,Juan Martin Del Potro,86.0,11.0,6.0,79.0,39.0,81.0,52.0,32.0,29.0,15.0,,,,,,2.0,160.0,,,2008-06-16,https://matchstat.com/tennis/tournaments/m/%27s-Hertogenbosch/2008,'s-Hertogenbosch
5,H2H 2-0,Viktor Troicki,3.0,3.0,5809217.0,126238.0,,2.0,Viktor Troicki,36.0,2.0,1.0,42.0,10.0,57.0,32.0,16.0,25.0,10.0,,,,,,2.0,99.0,,,2.00,1.75,QF,6-2 6-2,Guillermo Canas,5.0,3.0,5809217.0,126237.0,,1.75,Guillermo Canas,63.0,7.0,5.0,57.0,31.0,42.0,25.0,21.0,17.0,11.0,,,,,,1.0,99.0,,,2008-06-16,https://matchstat.com/tennis/tournaments/m/%27s-Hertogenbosch/2008,'s-Hertogenbosch
6,H2H 2-2,Jurgen Melzer,5.0,4.0,5809218.0,126239.0,,1.855,Jurgen Melzer,51.0,6.0,1.0,58.0,16.0,60.0,36.0,25.0,24.0,10.0,,,,,,1.0,118.0,,,1.86,2.07,QF,6-3 6-4,Marc Gicquel,5.0,0.0,5809218.0,126240.0,,2.07,Marc Gicquel,67.0,9.0,3.0,60.0,25.0,58.0,37.0,30.0,21.0,12.0,,,,,,2.0,118.0,,,2008-06-16,https://matchstat.com/tennis/tournaments/m/%27s-Hertogenbosch/2008,'s-Hertogenbosch
7,H2H 2-0,Massimo Dell'Acqua,7.0,6.0,5809207.0,780845.0,,8.5,Massimo Dell'Acqua,56.0,6.0,1.0,67.0,20.0,64.0,38.0,28.0,26.0,8.0,,,,,,2.0,131.0,,,8.50,1.12,R16,6-2 7-6(3),David Ferrer,7.0,2.0,5809207.0,780844.0,,1.12,David Ferrer,75.0,5.0,3.0,64.0,28.0,67.0,46.0,35.0,21.0,12.0,,,,,,1.0,131.0,,,2008-06-16,https://matchstat.com/tennis/tournaments/m/%27s-Hertogenbosch/2008,'s-Hertogenbosch
8,H2H 2-0,Steve Darcis,8.0,0.0,5809208.0,126191.0,,5.0,Steve Darcis,55.0,7.0,0.0,61.0,18.0,63.0,41.0,28.0,22.0,9.0,,,,,,1.0,124.0,,,5.00,1.15,R16,6-2 6-4,Mario Ancic,4.0,3.0,5809208.0,126192.0,,1.15,Mario Ancic,69.0,8.0,3.0,63.0,26.0,61.0,34.0,27.0,27.0,16.0,,,,,,2.0,124.0,,,2008-06-16,https://matchstat.com/tennis/tournaments/m/%27s-Hertogenbosch/2008,'s-Hertogenbosch
9,H2H 1-0,Marcel Granollers,2.0,3.0,5809209.0,126216.0,,3.0,Marcel Granollers,90.0,18.0,2.0,109.0,39.0,84.0,49.0,30.0,35.0,21.0,,,,,,2.0,193.0,,,3.00,1.46,R16,6-7(6) 6-3 6-3,Arnaud Clement,7.0,1.0,5809209.0,126215.0,,1.455,Arnaud Clement,103.0,8.0,5.0,84.0,33.0,109.0,68.0,46.0,41.0,24.0,,,,,,1.0,193.0,,,2008-06-16,https://matchstat.com/tennis/tournaments/m/%27s-Hertogenbosch/2008,'s-Hertogenbosch
10,H2H 1-0,Rainer Schuettler,3.0,0.0,5809210.0,126217.0,,2.95,Rainer Schuettler,76.0,4.0,0.0,75.0,14.0,87.0,57.0,43.0,30.0,19.0,,,,,,1.0,162.0,,,2.95,1.47,R16,7-6(3) 7-6(5),Juan Martin Del Potro,15.0,3.0,5809210.0,126218.0,,1.465,Juan Martin Del Potro,86.0,5.0,0.0,87.0,25.0,75.0,49.0,43.0,26.0,18.0,,,,,,2.0,162.0,,,2008-06-16,https://matchstat.com/tennis/tournaments/m/%27s-Hertogenbosch/2008,'s-Hertogenbosch
11,H2H 1-0,Rohan Bopanna,6.0,1.0,5809211.0,126220.0,,2.5,Rohan Bopanna,43.0,0.0,0.0,48.0,12.0,50.0,27.0,18.0,23.0,13.0,,,,,,2.0,98.0,,,2.50,1.63,R16,6-2 6-4,Guillermo Canas,5.0,2.0,5809211.0,126219.0,,1.625,Guillermo Canas,55.0,7.0,3.0,50.0,19.0,48.0,31.0,28.0,17.0,8.0,,,,,,1.0,98.0,,,2008-06-16,https://matchstat.com/tennis/tournaments/m/%27s-Hertogenbosch/2008,'s-Hertogenbosch
