,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 11-10,Boris Becker,F,6-4 6-4 6-4,Ivan Lendl,1986-12-01,https://matchstat.com/tennis/tournaments/m/ATP%20World%20Tour%20Finals/1986,ATP World Tour Finals
1,H2H 13-6,Mats Wilander,SF,6-4 6-2,Ivan Lendl,1986-12-01,https://matchstat.com/tennis/tournaments/m/ATP%20World%20Tour%20Finals/1986,ATP World Tour Finals
2,H2H 25-10,Stefan Edberg,SF,6-4 6-4,Boris Becker,1986-12-01,https://matchstat.com/tennis/tournaments/m/ATP%20World%20Tour%20Finals/1986,ATP World Tour Finals
3,H2H 10-3,Henri Leconte,RR A,0-6 6-1 6-1,Boris Becker,1986-12-01,https://matchstat.com/tennis/tournaments/m/ATP%20World%20Tour%20Finals/1986,ATP World Tour Finals
4,H2H 2-1,Henri Leconte,RR A,6-4 6-4,Joakim Nystrom,1986-12-01,https://matchstat.com/tennis/tournaments/m/ATP%20World%20Tour%20Finals/1986,ATP World Tour Finals
5,H2H 11-1,Henri Leconte,RR A,6-1 7-5,Mats Wilander,1986-12-01,https://matchstat.com/tennis/tournaments/m/ATP%20World%20Tour%20Finals/1986,ATP World Tour Finals
6,H2H 7-3,Mats Wilander,RR A,6-3 3-6 6-3,Boris Becker,1986-12-01,https://matchstat.com/tennis/tournaments/m/ATP%20World%20Tour%20Finals/1986,ATP World Tour Finals
7,H2H 3-2,Joakim Nystrom,RR A,6-1 6-3,Boris Becker,1986-12-01,https://matchstat.com/tennis/tournaments/m/ATP%20World%20Tour%20Finals/1986,ATP World Tour Finals
8,H2H 13-1,Joakim Nystrom,RR A,6-7 6-3 6-3,Mats Wilander,1986-12-01,https://matchstat.com/tennis/tournaments/m/ATP%20World%20Tour%20Finals/1986,ATP World Tour Finals
9,H2H 14-13,Stefan Edberg,RR B,6-3 6-4,Ivan Lendl,1986-12-01,https://matchstat.com/tennis/tournaments/m/ATP%20World%20Tour%20Finals/1986,ATP World Tour Finals
10,H2H 4-0,Andres Gomez,RR B,6-2 6-3,Stefan Edberg,1986-12-01,https://matchstat.com/tennis/tournaments/m/ATP%20World%20Tour%20Finals/1986,ATP World Tour Finals
11,H2H 17-2,Andres Gomez,RR B,6-3 7-5,Ivan Lendl,1986-12-01,https://matchstat.com/tennis/tournaments/m/ATP%20World%20Tour%20Finals/1986,ATP World Tour Finals
12,H2H 6-0,Yannick Noah,RR B,4-6 6-3 7-6,Stefan Edberg,1986-12-01,https://matchstat.com/tennis/tournaments/m/ATP%20World%20Tour%20Finals/1986,ATP World Tour Finals
13,H2H 10-6,Yannick Noah,RR B,6-4 6-4,Ivan Lendl,1986-12-01,https://matchstat.com/tennis/tournaments/m/ATP%20World%20Tour%20Finals/1986,ATP World Tour Finals
14,H2H 7-1,Yannick Noah,RR B,7-6 7-6,Andres Gomez,1986-12-01,https://matchstat.com/tennis/tournaments/m/ATP%20World%20Tour%20Finals/1986,ATP World Tour Finals
