,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
0,H2H 23-22,Roger Federer,6.0,2.0,8339482.0,3500603.0,,2.75,Roger Federer,53.0,2.0,0.0,56.0,17.0,57.0,38.0,27.0,19.0,9.0,10.0,,,,,1.0,115.0,,,2.75,1.44,F,6-3 6-4,Novak Djokovic,5.0,0.0,8339482.0,3500604.0,,1.44,Novak Djokovic,62.0,9.0,3.0,59.0,23.0,56.0,37.0,23.0,19.0,16.0,9.0,,,,,2.0,115.0,,,2015-11-16,https://matchstat.com/tennis/tournaments/m/ATP%20World%20Tour%20Finals/2015,ATP World Tour Finals
1,H2H 18-3,Stan Wawrinka,6.0,2.0,8338632.0,3500186.0,,5.95,Stan Wawrinka,55.0,2.0,1.0,64.0,18.0,61.0,39.0,27.0,22.0,10.0,10.0,,,,,2.0,127.0,,,5.95,1.13,SF,7-5 6-3,Roger Federer,6.0,3.0,8338632.0,3500185.0,,1.13,Roger Federer,72.0,6.0,3.0,63.0,26.0,61.0,41.0,31.0,20.0,15.0,11.0,,,,,1.0,127.0,,,2015-11-16,https://matchstat.com/tennis/tournaments/m/ATP%20World%20Tour%20Finals/2015,ATP World Tour Finals
2,H2H 26-23,Rafael Nadal,3.0,0.0,8339095.0,3500351.0,,4.5,Rafael Nadal,41.0,0.0,0.0,46.0,10.0,53.0,37.0,20.0,16.0,11.0,9.0,,,,,1.0,99.0,,,4.50,1.17,SF,6-3 6-3,Novak Djokovic,4.0,1.0,8339095.0,3500352.0,,1.166,Novak Djokovic,58.0,5.0,3.0,53.0,22.0,45.0,28.0,25.0,17.0,11.0,9.0,,,,,2.0,99.0,,,2015-11-16,https://matchstat.com/tennis/tournaments/m/ATP%20World%20Tour%20Finals/2015,ATP World Tour Finals
3,H2H 22-23,Novak Djokovic,2.0,1.0,8338308.0,3499319.0,,1.29,Novak Djokovic,51.0,3.0,1.0,54.0,15.0,64.0,47.0,24.0,17.0,12.0,10.0,,,,,1.0,119.0,,,1.29,3.75,RR A,7-5 6-2,Roger Federer,6.0,2.0,8338308.0,3499320.0,,3.75,Roger Federer,68.0,8.0,4.0,65.0,29.0,52.0,36.0,27.0,16.0,12.0,10.0,,,,,2.0,119.0,,,2015-11-16,https://matchstat.com/tennis/tournaments/m/ATP%20World%20Tour%20Finals/2015,ATP World Tour Finals
4,H2H 24-2,Tomas Berdych,10.0,2.0,8338309.0,3499292.0,,,Tomas Berdych,57.0,2.0,2.0,68.0,25.0,57.0,35.0,25.0,22.0,7.0,10.0,,,,,2.0,127.0,,,,,RR A,6-3 7-5,Novak Djokovic,0.0,0.0,8338309.0,3499291.0,,,Novak Djokovic,70.0,12.0,4.0,59.0,27.0,68.0,47.0,31.0,21.0,12.0,11.0,,,,,1.0,127.0,,,2015-11-16,https://matchstat.com/tennis/tournaments/m/ATP%20World%20Tour%20Finals/2015,ATP World Tour Finals
5,H2H 9-2,Kei Nishikori,3.0,3.0,8338310.0,3499294.0,,,Kei Nishikori,32.0,0.0,0.0,39.0,9.0,50.0,28.0,12.0,22.0,11.0,7.0,,,,,2.0,92.0,,,,,RR A,6-1 6-1,Novak Djokovic,5.0,1.0,8338310.0,3499293.0,,,Novak Djokovic,60.0,9.0,5.0,53.0,30.0,38.0,28.0,23.0,10.0,7.0,7.0,,,,,1.0,92.0,,,2015-11-16,https://matchstat.com/tennis/tournaments/m/ATP%20World%20Tour%20Finals/2015,ATP World Tour Finals
6,H2H 16-6,Tomas Berdych,4.0,0.0,8338311.0,3499296.0,,,Tomas Berdych,40.0,1.0,1.0,46.0,13.0,52.0,23.0,16.0,29.0,11.0,9.0,,,,,2.0,98.0,,,,,RR A,6-4 6-2,Roger Federer,4.0,4.0,8338311.0,3499295.0,,,Roger Federer,58.0,6.0,4.0,52.0,25.0,42.0,28.0,24.0,14.0,9.0,9.0,,,,,1.0,98.0,,,2015-11-16,https://matchstat.com/tennis/tournaments/m/ATP%20World%20Tour%20Finals/2015,ATP World Tour Finals
7,H2H 4-2,Kei Nishikori,2.0,4.0,8338312.0,3499314.0,,2.43,Kei Nishikori,93.0,12.0,5.0,94.0,38.0,91.0,54.0,38.0,37.0,17.0,16.0,,,,,2.0,189.0,,,2.43,1.58,RR A,7-5 4-6 6-4,Roger Federer,10.0,4.0,8338312.0,3499313.0,,1.58,Roger Federer,96.0,6.0,6.0,95.0,40.0,90.0,51.0,43.0,39.0,13.0,16.0,,,,,1.0,189.0,,,2015-11-16,https://matchstat.com/tennis/tournaments/m/ATP%20World%20Tour%20Finals/2015,ATP World Tour Finals
8,H2H 4-1,Tomas Berdych,5.0,2.0,8338313.0,3499297.0,,,Tomas Berdych,94.0,3.0,2.0,88.0,31.0,103.0,53.0,37.0,50.0,26.0,15.0,,,,,1.0,193.0,,,,,RR A,7-5 3-6 6-3,Kei Nishikori,4.0,4.0,8338313.0,3499298.0,,,Kei Nishikori,99.0,9.0,3.0,105.0,42.0,84.0,52.0,39.0,32.0,18.0,15.0,,,,,2.0,193.0,,,2015-11-16,https://matchstat.com/tennis/tournaments/m/ATP%20World%20Tour%20Finals/2015,ATP World Tour Finals
9,H2H 7-9,Andy Murray,2.0,1.0,8338314.0,3499299.0,,,Andy Murray,68.0,10.0,2.0,80.0,27.0,63.0,37.0,28.0,26.0,13.0,11.0,,,,,1.0,144.0,,,,,RR A,7-6(4) 6-4,Stan Wawrinka,4.0,4.0,8338314.0,3499300.0,,,Stan Wawrinka,76.0,5.0,3.0,64.0,23.0,76.0,36.0,27.0,40.0,26.0,11.0,,,,,2.0,144.0,,,2015-11-16,https://matchstat.com/tennis/tournaments/m/ATP%20World%20Tour%20Finals/2015,ATP World Tour Finals
10,H2H 17-7,Andy Murray,2.0,4.0,8338315.0,3499315.0,,1.67,Andy Murray,43.0,1.0,1.0,53.0,19.0,47.0,22.0,14.0,25.0,10.0,8.0,,,,,1.0,104.0,,,1.67,2.25,RR A,6-4 6-1,Rafael Nadal,1.0,0.0,8338315.0,3499316.0,,2.25,Rafael Nadal,61.0,9.0,4.0,51.0,27.0,53.0,27.0,18.0,26.0,16.0,9.0,,,,,2.0,104.0,,,2015-11-16,https://matchstat.com/tennis/tournaments/m/ATP%20World%20Tour%20Finals/2015,ATP World Tour Finals
11,H2H 13-6,David Ferrer,0.0,8.0,8338359.0,3499374.0,,,David Ferrer,49.0,2.0,1.0,50.0,13.0,55.0,31.0,23.0,24.0,13.0,10.0,,,,,2.0,113.0,,,,,RR A,6-4 6-4,Andy Murray,4.0,0.0,8338359.0,3499373.0,,,Andy Murray,64.0,8.0,3.0,63.0,27.0,50.0,30.0,24.0,20.0,13.0,10.0,,,,,1.0,113.0,,,2015-11-16,https://matchstat.com/tennis/tournaments/m/ATP%20World%20Tour%20Finals/2015,ATP World Tour Finals
12,H2H 15-3,Stan Wawrinka,10.0,3.0,8338360.0,3499383.0,,1.67,Stan Wawrinka,53.0,3.0,1.0,51.0,17.0,69.0,43.0,26.0,26.0,10.0,8.0,,,,,1.0,123.0,,,1.67,2.25,RR A,6-3 6-2,Rafael Nadal,1.0,1.0,8338360.0,3499384.0,,2.25,Rafael Nadal,70.0,15.0,4.0,72.0,36.0,50.0,31.0,23.0,19.0,11.0,9.0,,,,,2.0,123.0,,,2015-11-16,https://matchstat.com/tennis/tournaments/m/ATP%20World%20Tour%20Finals/2015,ATP World Tour Finals
13,H2H 7-7,David Ferrer,0.0,3.0,8338433.0,3499742.0,,2.2,David Ferrer,59.0,1.0,1.0,55.0,16.0,75.0,51.0,31.0,24.0,12.0,10.0,,,,,2.0,133.0,,,2.20,1.69,RR A,7-5 6-2,Stan Wawrinka,3.0,0.0,8338433.0,3499741.0,,1.69,Stan Wawrinka,74.0,8.0,4.0,78.0,35.0,55.0,30.0,20.0,25.0,19.0,10.0,,,,,1.0,133.0,,,2015-11-16,https://matchstat.com/tennis/tournaments/m/ATP%20World%20Tour%20Finals/2015,ATP World Tour Finals
14,H2H 24-6,David Ferrer,6.0,3.0,8338499.0,3499904.0,,4.25,David Ferrer,92.0,7.0,3.0,93.0,32.0,103.0,67.0,43.0,36.0,17.0,15.0,,,,,2.0,199.0,,,4.25,1.22,RR A,6-7(2) 6-3 6-4,Rafael Nadal,1.0,2.0,8338499.0,3499903.0,,1.22,Rafael Nadal,107.0,12.0,5.0,106.0,46.0,91.0,59.0,38.0,32.0,23.0,16.0,,,,,1.0,199.0,,,2015-11-16,https://matchstat.com/tennis/tournaments/m/ATP%20World%20Tour%20Finals/2015,ATP World Tour Finals
15,,R Bopanna / F Mergea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,6-4 6-3,J Rojer / H Tecau,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-11-16,https://matchstat.com/tennis/tournaments/m/ATP%20World%20Tour%20Finals/2015,ATP World Tour Finals
