,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 4-2,Mariano Zabaleta,F,7-5 3-6 6-3,Agustin Calleri,2003-02-24,https://matchstat.com/tennis/tournaments/m/Acapulco/2003,Acapulco
1,H2H 2-1,Felix Mantilla,SF,6-2 6-2,Agustin Calleri,2003-02-24,https://matchstat.com/tennis/tournaments/m/Acapulco/2003,Acapulco
2,H2H 2-1,Gustavo Kuerten,SF,7-6(4) 6-7(3) 7-5,Mariano Zabaleta,2003-02-24,https://matchstat.com/tennis/tournaments/m/Acapulco/2003,Acapulco
3,H2H 5-10,Carlos Moya,QF,6-4 7-6(4),Felix Mantilla,2003-02-24,https://matchstat.com/tennis/tournaments/m/Acapulco/2003,Acapulco
4,H2H 1-2,Marcelo Rios,QF,6-3 7-5,Agustin Calleri,2003-02-24,https://matchstat.com/tennis/tournaments/m/Acapulco/2003,Acapulco
5,H2H 2-1,Fernando Gonzalez,QF,6-4 Retired,Gustavo Kuerten,2003-02-24,https://matchstat.com/tennis/tournaments/m/Acapulco/2003,Acapulco
6,H2H 1-0,Ivan Miranda,QF,7-5 6-3,Mariano Zabaleta,2003-02-24,https://matchstat.com/tennis/tournaments/m/Acapulco/2003,Acapulco
7,H2H 1-0,Ricardo Mello,R16,4-6 6-3 6-2,Carlos Moya,2003-02-24,https://matchstat.com/tennis/tournaments/m/Acapulco/2003,Acapulco
8,H2H 6-0,Fernando Vicente,R16,6-3 6-4,Felix Mantilla,2003-02-24,https://matchstat.com/tennis/tournaments/m/Acapulco/2003,Acapulco
9,H2H 2-4,Gaston Gaudio,R16,7-6(5) 7-6(5),Agustin Calleri,2003-02-24,https://matchstat.com/tennis/tournaments/m/Acapulco/2003,Acapulco
10,H2H 1-1,Juan-Antonio Marin,R16,6-3 6-1,Marcelo Rios,2003-02-24,https://matchstat.com/tennis/tournaments/m/Acapulco/2003,Acapulco
11,H2H 1-1,David Ferrer,R16,5-7 6-1 6-2,Gustavo Kuerten,2003-02-24,https://matchstat.com/tennis/tournaments/m/Acapulco/2003,Acapulco
12,H2H 2-0,Sargis Sargsian,R16,6-3 4-6 7-6(5),Fernando Gonzalez,2003-02-24,https://matchstat.com/tennis/tournaments/m/Acapulco/2003,Acapulco
