,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
0,H2H 15-1,Nicolas Almagro,4.0,4.0,5986400.0,782055.0,,2.78,Nicolas Almagro,101.0,13.0,4.0,113.0,43.0,105.0,53.0,36.0,52.0,22.0,,,,,,2.0,218.0,,,2.78,1.49,F,7-6(4) 6-7(2) 6-2,David Ferrer,6.0,2.0,5986400.0,782054.0,,1.49,David Ferrer,117.0,7.0,6.0,105.0,47.0,113.0,64.0,45.0,49.0,25.0,,,,,,1.0,218.0,,,2011-02-21,https://matchstat.com/tennis/tournaments/m/Acapulco/2011,Acapulco
1,H2H 8-3,Alexandr Dolgopolov,7.0,7.0,5986398.0,782053.0,,3.0,Alexandr Dolgopolov,74.0,9.0,2.0,71.0,21.0,104.0,48.0,34.0,56.0,19.0,,,,,,2.0,175.0,,,3.00,1.44,SF,5-7 6-1 6-1,David Ferrer,3.0,5.0,5986398.0,782052.0,,1.44,David Ferrer,101.0,17.0,6.0,104.0,51.0,71.0,40.0,33.0,31.0,17.0,,,,,,1.0,175.0,,,2011-02-21,https://matchstat.com/tennis/tournaments/m/Acapulco/2011,Acapulco
2,H2H 2-0,Thomaz Bellucci,5.0,3.0,5986399.0,154260.0,,2.98,Thomaz Bellucci,69.0,3.0,0.0,75.0,23.0,65.0,38.0,31.0,27.0,15.0,,,,,,2.0,140.0,,,2.98,1.44,SF,7-6(4) 6-4,Nicolas Almagro,9.0,1.0,5986399.0,154259.0,,1.44,Nicolas Almagro,71.0,2.0,1.0,65.0,19.0,75.0,43.0,32.0,32.0,20.0,,,,,,1.0,140.0,,,2011-02-21,https://matchstat.com/tennis/tournaments/m/Acapulco/2011,Acapulco
3,H2H 5-4,Juan Monaco,1.0,1.0,5986394.0,782051.0,,3.2,Juan Monaco,95.0,14.0,4.0,100.0,43.0,92.0,50.0,31.0,42.0,21.0,,,,,,2.0,192.0,,,3.20,1.40,QF,2-6 7-5 6-2,David Ferrer,1.0,6.0,5986394.0,782050.0,,1.4,David Ferrer,97.0,7.0,5.0,92.0,40.0,100.0,63.0,39.0,37.0,18.0,,,,,,1.0,192.0,,,2011-02-21,https://matchstat.com/tennis/tournaments/m/Acapulco/2011,Acapulco
4,H2H 2-1,Stan Wawrinka,4.0,0.0,5986395.0,401225.0,,1.71,Stan Wawrinka,83.0,11.0,2.0,95.0,37.0,77.0,50.0,27.0,27.0,19.0,,,,,,1.0,172.0,,,1.71,2.26,QF,6-4 7-6(6),Alexandr Dolgopolov,11.0,3.0,5986395.0,401226.0,,2.26,Alexandr Dolgopolov,89.0,9.0,3.0,77.0,31.0,95.0,52.0,37.0,43.0,21.0,,,,,,2.0,172.0,,,2011-02-21,https://matchstat.com/tennis/tournaments/m/Acapulco/2011,Acapulco
5,H2H 5-1,Santiago Giraldo,4.0,1.0,5986396.0,154233.0,,3.15,Santiago Giraldo,102.0,7.0,5.0,100.0,38.0,113.0,71.0,44.0,42.0,20.0,,,,,,1.0,213.0,,,3.15,1.41,QF,7-6(0) 5-7 6-4,Nicolas Almagro,7.0,3.0,5986396.0,154234.0,,1.41,Nicolas Almagro,111.0,10.0,5.0,113.0,49.0,100.0,57.0,42.0,43.0,20.0,,,,,,2.0,213.0,,,2011-02-21,https://matchstat.com/tennis/tournaments/m/Acapulco/2011,Acapulco
6,H2H 2-0,Lukasz Kubot,2.0,9.0,5986397.0,154235.0,,3.85,Lukasz Kubot,108.0,7.0,4.0,100.0,41.0,126.0,75.0,47.0,51.0,20.0,,,,,,1.0,226.0,,,3.85,1.30,QF,6-7(5) 6-3 6-4,Thomaz Bellucci,5.0,3.0,5986397.0,154236.0,,1.3,Thomaz Bellucci,118.0,19.0,7.0,126.0,59.0,100.0,61.0,44.0,39.0,15.0,,,,,,2.0,226.0,,,2011-02-21,https://matchstat.com/tennis/tournaments/m/Acapulco/2011,Acapulco
7,H2H 2-0,Santiago Gonzalez,3.0,2.0,5986386.0,782045.0,,17.0,Santiago Gonzalez,34.0,0.0,0.0,41.0,9.0,45.0,30.0,21.0,15.0,4.0,,,,,,2.0,86.0,,,17.00,1.03,R16,6-2 6-2,David Ferrer,2.0,0.0,5986386.0,782044.0,,1.03,David Ferrer,52.0,10.0,4.0,45.0,20.0,41.0,25.0,19.0,16.0,13.0,,,,,,1.0,86.0,,,2011-02-21,https://matchstat.com/tennis/tournaments/m/Acapulco/2011,Acapulco
8,H2H 6-0,Pablo Cuevas,0.0,1.0,5986387.0,154165.0,,3.25,Pablo Cuevas,60.0,6.0,1.0,76.0,29.0,54.0,33.0,17.0,21.0,14.0,,,,,,1.0,130.0,,,3.25,1.39,R16,6-3 6-4,Juan Monaco,3.0,2.0,5986387.0,154166.0,,1.39,Juan Monaco,70.0,4.0,3.0,54.0,23.0,76.0,45.0,34.0,31.0,13.0,,,,,,2.0,130.0,,,2011-02-21,https://matchstat.com/tennis/tournaments/m/Acapulco/2011,Acapulco
9,H2H 5-1,Fabio Fognini,4.0,3.0,5986388.0,401224.0,,4.05,Fabio Fognini,107.0,10.0,5.0,107.0,44.0,122.0,74.0,42.0,48.0,21.0,,,,,,2.0,229.0,,,4.05,1.28,R16,5-7 6-3 7-5,Stan Wawrinka,2.0,3.0,5986388.0,401223.0,,1.28,Stan Wawrinka,122.0,14.0,7.0,122.0,59.0,107.0,71.0,41.0,36.0,22.0,,,,,,1.0,229.0,,,2011-02-21,https://matchstat.com/tennis/tournaments/m/Acapulco/2011,Acapulco
10,H2H 4-2,Carlos Berlocq,4.0,5.0,5986389.0,154167.0,,3.35,Carlos Berlocq,37.0,0.0,0.0,41.0,8.0,60.0,36.0,21.0,24.0,8.0,,,,,,1.0,101.0,,,3.35,1.37,R16,6-4 6-1,Alexandr Dolgopolov,4.0,0.0,5986389.0,154168.0,,1.37,Alexandr Dolgopolov,64.0,6.0,4.0,60.0,31.0,41.0,21.0,18.0,20.0,15.0,,,,,,2.0,101.0,,,2011-02-21,https://matchstat.com/tennis/tournaments/m/Acapulco/2011,Acapulco
11,H2H 4-2,Albert Montanes,1.0,1.0,5986390.0,154169.0,,1.78,Albert Montanes,48.0,6.0,0.0,60.0,15.0,53.0,32.0,22.0,21.0,11.0,,,,,,1.0,113.0,,,1.78,2.16,R16,6-3 6-4,Santiago Giraldo,5.0,0.0,5986390.0,154170.0,,2.16,Santiago Giraldo,65.0,3.0,2.0,53.0,20.0,60.0,33.0,28.0,27.0,17.0,,,,,,2.0,113.0,,,2011-02-21,https://matchstat.com/tennis/tournaments/m/Acapulco/2011,Acapulco
12,H2H 8-3,Filippo Volandri,0.0,6.0,5986391.0,154171.0,,5.95,Filippo Volandri,46.0,3.0,1.0,56.0,21.0,53.0,36.0,17.0,17.0,8.0,,,,,,1.0,109.0,,,5.95,1.16,R16,6-2 6-2,Nicolas Almagro,4.0,0.0,5986391.0,154172.0,,1.16,Nicolas Almagro,63.0,7.0,5.0,53.0,28.0,56.0,29.0,24.0,27.0,11.0,,,,,,2.0,109.0,,,2011-02-21,https://matchstat.com/tennis/tournaments/m/Acapulco/2011,Acapulco
13,H2H 2-0,Eduardo Schwank,2.0,2.0,5986392.0,154173.0,,1.83,Eduardo Schwank,102.0,6.0,3.0,101.0,34.0,113.0,72.0,42.0,41.0,26.0,,,,,,1.0,214.0,,,1.83,2.08,R16,6-7(8) 6-4 6-4,Lukasz Kubot,4.0,9.0,5986392.0,154174.0,,2.08,Lukasz Kubot,112.0,13.0,5.0,113.0,45.0,101.0,61.0,43.0,40.0,24.0,,,,,,2.0,214.0,,,2011-02-21,https://matchstat.com/tennis/tournaments/m/Acapulco/2011,Acapulco
14,H2H 1-0,Ivan Navarro,3.0,5.0,5986393.0,154177.0,,5.95,Ivan Navarro,84.0,3.0,2.0,81.0,27.0,91.0,44.0,31.0,47.0,26.0,,,,,,1.0,172.0,,,5.95,1.16,R16,1-6 6-4 6-3,Thomaz Bellucci,4.0,1.0,5986393.0,154178.0,,1.16,Thomaz Bellucci,88.0,6.0,2.0,91.0,34.0,81.0,50.0,35.0,31.0,19.0,,,,,,2.0,172.0,,,2011-02-21,https://matchstat.com/tennis/tournaments/m/Acapulco/2011,Acapulco
15,H2H 1-0,Adrian Ungur,0.0,1.0,5986370.0,782041.0,,14.3,Adrian Ungur,38.0,4.0,1.0,49.0,17.0,46.0,27.0,12.0,19.0,9.0,,,,,,2.0,95.0,,,14.30,1.04,R32,6-1 6-3,David Ferrer,0.0,1.0,5986370.0,782040.0,,1.04,David Ferrer,57.0,8.0,5.0,46.0,25.0,49.0,32.0,23.0,17.0,9.0,,,,,,1.0,95.0,,,2011-02-21,https://matchstat.com/tennis/tournaments/m/Acapulco/2011,Acapulco
16,H2H 4-0,Daniel Garza,1.0,2.0,5986371.0,154014.0,,2.84,Daniel Garza,67.0,1.0,1.0,69.0,24.0,75.0,50.0,32.0,25.0,11.0,,,,,,2.0,144.0,,,2.84,1.48,R32,6-2 7-6(5),Santiago Gonzalez,8.0,4.0,5986371.0,154013.0,,1.48,Santiago Gonzalez,77.0,10.0,3.0,75.0,32.0,69.0,40.0,32.0,29.0,13.0,,,,,,1.0,144.0,,,2011-02-21,https://matchstat.com/tennis/tournaments/m/Acapulco/2011,Acapulco
17,H2H 1-4,Potito Starace,1.0,5.0,5986372.0,154101.0,,1.63,Potito Starace,55.0,4.0,1.0,52.0,14.0,74.0,50.0,29.0,24.0,12.0,,,,,,1.0,126.0,,,1.63,2.40,R32,6-4 6-4,Pablo Cuevas,2.0,1.0,5986372.0,154102.0,,2.4,Pablo Cuevas,71.0,10.0,3.0,74.0,33.0,52.0,27.0,21.0,25.0,17.0,,,,,,2.0,126.0,,,2011-02-21,https://matchstat.com/tennis/tournaments/m/Acapulco/2011,Acapulco
18,H2H 4-0,Horacio Zeballos,6.0,3.0,5986373.0,154103.0,,3.8,Horacio Zeballos,80.0,6.0,3.0,75.0,25.0,101.0,53.0,36.0,48.0,19.0,,,,,,1.0,176.0,,,3.80,1.31,R32,7-5 7-6(3),Juan Monaco,7.0,1.0,5986373.0,154104.0,,1.31,Juan Monaco,96.0,15.0,4.0,101.0,46.0,75.0,40.0,30.0,35.0,20.0,,,,,,2.0,176.0,,,2011-02-21,https://matchstat.com/tennis/tournaments/m/Acapulco/2011,Acapulco
