,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 3-0,Chris Lewis,F,3-6 6-4 3-6 6-2 6-4,Tim Gullikson,1977-12-05,https://matchstat.com/tennis/tournaments/m/Adelaide%202/1977,Adelaide 2
1,H2H 2-1,Kim Warwick,SF,7-5 6-4,Chris Lewis,1977-12-05,https://matchstat.com/tennis/tournaments/m/Adelaide%202/1977,Adelaide 2
2,H2H 1-1,Tom Gorman,SF,3-6 6-1 6-2,Tim Gullikson,1977-12-05,https://matchstat.com/tennis/tournaments/m/Adelaide%202/1977,Adelaide 2
3,H2H 5-0,Bill Scanlon,QF,6-3 6-3,Kim Warwick,1977-12-05,https://matchstat.com/tennis/tournaments/m/Adelaide%202/1977,Adelaide 2
4,H2H 2-0,P. Dent,QF,6-3 7-6,Chris Lewis,1977-12-05,https://matchstat.com/tennis/tournaments/m/Adelaide%202/1977,Adelaide 2
5,H2H 1-1,J. Alexander,QF,7-6 6-7 6-4,Tim Gullikson,1977-12-05,https://matchstat.com/tennis/tournaments/m/Adelaide%202/1977,Adelaide 2
6,H2H 1-0,Stone,QF,3-6 6-4 8-6,Tom Gorman,1977-12-05,https://matchstat.com/tennis/tournaments/m/Adelaide%202/1977,Adelaide 2
7,H2H 3-0,Steve Docherty,R16,6-4 6-2,Bill Scanlon,1977-12-05,https://matchstat.com/tennis/tournaments/m/Adelaide%202/1977,Adelaide 2
8,H2H 1-0,William Lloyd,R16,6-3 7-5,Kim Warwick,1977-12-05,https://matchstat.com/tennis/tournaments/m/Adelaide%202/1977,Adelaide 2
9,H2H 2-0,Karl Meiler,R16,6-4 6-4,P. Dent,1977-12-05,https://matchstat.com/tennis/tournaments/m/Adelaide%202/1977,Adelaide 2
10,H2H 2-1,Hank Pfister,R16,6-2 6-3,Chris Lewis,1977-12-05,https://matchstat.com/tennis/tournaments/m/Adelaide%202/1977,Adelaide 2
11,H2H 3-0,Ross Case,R16,6-1 7-5,Tim Gullikson,1977-12-05,https://matchstat.com/tennis/tournaments/m/Adelaide%202/1977,Adelaide 2
12,H2H 2-1,Butch Walts,R16,6-4 6-7 9-7,J. Alexander,1977-12-05,https://matchstat.com/tennis/tournaments/m/Adelaide%202/1977,Adelaide 2
13,H2H 1-0,Peter Feigl,R16,6-7 6-2 6-4,Stone,1977-12-05,https://matchstat.com/tennis/tournaments/m/Adelaide%202/1977,Adelaide 2
14,H2H 3-3,Roscoe Tanner,R16,6-7 7-5 6-3,Tom Gorman,1977-12-05,https://matchstat.com/tennis/tournaments/m/Adelaide%202/1977,Adelaide 2
15,H2H 1-0,T. Roche,R32,6-6 Retired,Steve Docherty,1977-12-05,https://matchstat.com/tennis/tournaments/m/Adelaide%202/1977,Adelaide 2
16,H2H 4-0,R. Ruffels,R32,7-6 6-3,Bill Scanlon,1977-12-05,https://matchstat.com/tennis/tournaments/m/Adelaide%202/1977,Adelaide 2
17,H2H 1-0,B. Fairlie,R32,6-4 6-2,William Lloyd,1977-12-05,https://matchstat.com/tennis/tournaments/m/Adelaide%202/1977,Adelaide 2
18,H2H 1-0,Tim Clements,R32,6-2 6-4,Kim Warwick,1977-12-05,https://matchstat.com/tennis/tournaments/m/Adelaide%202/1977,Adelaide 2
19,H2H 2-0,John Feaver,R32,7-6 6-4,P. Dent,1977-12-05,https://matchstat.com/tennis/tournaments/m/Adelaide%202/1977,Adelaide 2
20,H2H 1-0,Syd Ball,R32,3-6 6-3 6-4,Karl Meiler,1977-12-05,https://matchstat.com/tennis/tournaments/m/Adelaide%202/1977,Adelaide 2
21,H2H 3-2,Tim Wilkison,R32,5-7 6-4 6-3,Hank Pfister,1977-12-05,https://matchstat.com/tennis/tournaments/m/Adelaide%202/1977,Adelaide 2
22,H2H 1-0,Colin Dibley,R32,7-6 7-6,Chris Lewis,1977-12-05,https://matchstat.com/tennis/tournaments/m/Adelaide%202/1977,Adelaide 2
23,H2H 1-0,David Carter,R32,2-6 6-4 7-5,Tim Gullikson,1977-12-05,https://matchstat.com/tennis/tournaments/m/Adelaide%202/1977,Adelaide 2
24,H2H 1-0,John Holladay,R32,6-3 7-6,Ross Case,1977-12-05,https://matchstat.com/tennis/tournaments/m/Adelaide%202/1977,Adelaide 2
25,H2H 1-0,Terry Rocavert,R32,6-4 6-3,Butch Walts,1977-12-05,https://matchstat.com/tennis/tournaments/m/Adelaide%202/1977,Adelaide 2
26,H2H 2-0,Charles Fancutt,R32,6-1 7-5,J. Alexander,1977-12-05,https://matchstat.com/tennis/tournaments/m/Adelaide%202/1977,Adelaide 2
27,H2H 1-0,John Trickey,R32,7-5 6-3,Stone,1977-12-05,https://matchstat.com/tennis/tournaments/m/Adelaide%202/1977,Adelaide 2
28,H2H 1-0,M. Anderson,R32,4-6 6-3 6-3,Peter Feigl,1977-12-05,https://matchstat.com/tennis/tournaments/m/Adelaide%202/1977,Adelaide 2
29,H2H 1-0,John Marks,R32,6-3 6-4,Tom Gorman,1977-12-05,https://matchstat.com/tennis/tournaments/m/Adelaide%202/1977,Adelaide 2
30,H2H 1-0,Eric Friedler,R32,6-3 6-3,Roscoe Tanner,1977-12-05,https://matchstat.com/tennis/tournaments/m/Adelaide%202/1977,Adelaide 2
31,H2H 2-0,Dale Collings,R64,7-6 6-4,T. Roche,1977-12-05,https://matchstat.com/tennis/tournaments/m/Adelaide%202/1977,Adelaide 2
32,H2H 1-0,John James,R64,7-5 7-6,Steve Docherty,1977-12-05,https://matchstat.com/tennis/tournaments/m/Adelaide%202/1977,Adelaide 2
33,H2H 1-1,George Hardie,R64,7-6 7-6,R. Ruffels,1977-12-05,https://matchstat.com/tennis/tournaments/m/Adelaide%202/1977,Adelaide 2
34,H2H 2-0,Robin Drysdale,R64,6-1 6-3,Bill Scanlon,1977-12-05,https://matchstat.com/tennis/tournaments/m/Adelaide%202/1977,Adelaide 2
35,H2H 1-0,Chris Kachel,R64,6-3 6-4,B. Fairlie,1977-12-05,https://matchstat.com/tennis/tournaments/m/Adelaide%202/1977,Adelaide 2
36,H2H 1-0,Geoff Masters,R64,3-6 7-6 6-3,William Lloyd,1977-12-05,https://matchstat.com/tennis/tournaments/m/Adelaide%202/1977,Adelaide 2
37,H2H 1-0,Scott Carnahan,R64,7-6 1-6 6-4,Tim Clements,1977-12-05,https://matchstat.com/tennis/tournaments/m/Adelaide%202/1977,Adelaide 2
38,H2H 2-0,B. Phillips-Moore,R64,6-1 6-3,Kim Warwick,1977-12-05,https://matchstat.com/tennis/tournaments/m/Adelaide%202/1977,Adelaide 2
39,H2H 1-4,Tom Gullikson,R64,6-4 7-6,P. Dent,1977-12-05,https://matchstat.com/tennis/tournaments/m/Adelaide%202/1977,Adelaide 2
40,H2H 1-0,D Hall,R64,6-4 6-4,John Feaver,1977-12-05,https://matchstat.com/tennis/tournaments/m/Adelaide%202/1977,Adelaide 2
41,H2H 1-1,Crealy,R64,6-3 7-6,Syd Ball,1977-12-05,https://matchstat.com/tennis/tournaments/m/Adelaide%202/1977,Adelaide 2
42,H2H 1-0,Ray Pascale,R64,6-3 6-1,Karl Meiler,1977-12-05,https://matchstat.com/tennis/tournaments/m/Adelaide%202/1977,Adelaide 2
43,H2H 2-2,Brad Drewett,R64,7-6 6-2,Hank Pfister,1977-12-05,https://matchstat.com/tennis/tournaments/m/Adelaide%202/1977,Adelaide 2
44,H2H 1-0,Gilles Moretton,R64,6-3 6-2,Tim Wilkison,1977-12-05,https://matchstat.com/tennis/tournaments/m/Adelaide%202/1977,Adelaide 2
45,H2H 1-1,Richard Lewis,R64,6-2 6-2,Chris Lewis,1977-12-05,https://matchstat.com/tennis/tournaments/m/Adelaide%202/1977,Adelaide 2
46,H2H 3-2,John Lloyd,R64,6-3 6-3,Colin Dibley,1977-12-05,https://matchstat.com/tennis/tournaments/m/Adelaide%202/1977,Adelaide 2
47,H2H 1-0,Simon Clarke,R64,6-7 6-3 6-4,Tim Gullikson,1977-12-05,https://matchstat.com/tennis/tournaments/m/Adelaide%202/1977,Adelaide 2
48,H2H 1-0,Victor Eke,R64,6-2 6-3,David Carter,1977-12-05,https://matchstat.com/tennis/tournaments/m/Adelaide%202/1977,Adelaide 2
49,H2H 1-0,Jorge Andrew,R64,6-1 6-3,John Holladay,1977-12-05,https://matchstat.com/tennis/tournaments/m/Adelaide%202/1977,Adelaide 2
50,H2H 1-1,Peter McNamara,R64,6-2 4-6 6-0,Ross Case,1977-12-05,https://matchstat.com/tennis/tournaments/m/Adelaide%202/1977,Adelaide 2
51,H2H 1-0,Robert Buckley,R64,6-2 6-4,Butch Walts,1977-12-05,https://matchstat.com/tennis/tournaments/m/Adelaide%202/1977,Adelaide 2
52,H2H 1-0,D. Palm,R64,6-4 6-4,Terry Rocavert,1977-12-05,https://matchstat.com/tennis/tournaments/m/Adelaide%202/1977,Adelaide 2
53,H2H 1-0,Warren Maher,R64,6-3 6-2,Charles Fancutt,1977-12-05,https://matchstat.com/tennis/tournaments/m/Adelaide%202/1977,Adelaide 2
54,H2H 1-0,Regis Brunet,R64,6-2 5-7 6-3,J. Alexander,1977-12-05,https://matchstat.com/tennis/tournaments/m/Adelaide%202/1977,Adelaide 2
55,H2H 1-0,William Lofgren,R64,7-6 6-1,John Trickey,1977-12-05,https://matchstat.com/tennis/tournaments/m/Adelaide%202/1977,Adelaide 2
56,H2H 1-0,Ray Kelly,R64,6-3 7-6,Stone,1977-12-05,https://matchstat.com/tennis/tournaments/m/Adelaide%202/1977,Adelaide 2
57,H2H 1-0,Christophe Casa,R64,6-3 7-5,M. Anderson,1977-12-05,https://matchstat.com/tennis/tournaments/m/Adelaide%202/1977,Adelaide 2
58,H2H 2-1,Antonio Zugarelli,R64,7-5 7-5,Peter Feigl,1977-12-05,https://matchstat.com/tennis/tournaments/m/Adelaide%202/1977,Adelaide 2
59,H2H 1-0,Jan Norback,R64,6-4 6-1,Tom Gorman,1977-12-05,https://matchstat.com/tennis/tournaments/m/Adelaide%202/1977,Adelaide 2
60,H2H 1-0,Bob Carmichael,R64,7-6 6-7 6-4,John Marks,1977-12-05,https://matchstat.com/tennis/tournaments/m/Adelaide%202/1977,Adelaide 2
61,H2H 1-0,John Bartlett,R64,7-6 6-2,Eric Friedler,1977-12-05,https://matchstat.com/tennis/tournaments/m/Adelaide%202/1977,Adelaide 2
62,H2H 9-3,Brian Teacher,R64,6-2 6-7 7-5,Roscoe Tanner,1977-12-05,https://matchstat.com/tennis/tournaments/m/Adelaide%202/1977,Adelaide 2
63,,J Alexander / P Dent,F,3-6 7-6 6-4,S Ball / K Warwick,1977-12-05,https://matchstat.com/tennis/tournaments/m/Adelaide%202/1977,Adelaide 2
64,,R Ruffels / S Stone,SF,6-4 7-6,J Alexander / P Dent,1977-12-05,https://matchstat.com/tennis/tournaments/m/Adelaide%202/1977,Adelaide 2
65,,C Letcher / J Lloyd,SF,6-1 6-4,S Ball / K Warwick,1977-12-05,https://matchstat.com/tennis/tournaments/m/Adelaide%202/1977,Adelaide 2
66,,H Pfister / B Walts,QF,6-2 3-6 6-2,J Alexander / P Dent,1977-12-05,https://matchstat.com/tennis/tournaments/m/Adelaide%202/1977,Adelaide 2
67,,C Dibley / C Kachel,QF,6-4 6-7 6-3,R Ruffels / S Stone,1977-12-05,https://matchstat.com/tennis/tournaments/m/Adelaide%202/1977,Adelaide 2
68,,T Gorman / R Tanner,QF,6-3 6-4,S Ball / K Warwick,1977-12-05,https://matchstat.com/tennis/tournaments/m/Adelaide%202/1977,Adelaide 2
69,,R Case / G Masters,QF,6-2 6-4,C Letcher / J Lloyd,1977-12-05,https://matchstat.com/tennis/tournaments/m/Adelaide%202/1977,Adelaide 2
70,,J Holladay / C Lewis,R16,6-7 6-2 6-4,J Alexander / P Dent,1977-12-05,https://matchstat.com/tennis/tournaments/m/Adelaide%202/1977,Adelaide 2
71,,W Lloyd / W Lofgren,R16,7-6 7-6,H Pfister / B Walts,1977-12-05,https://matchstat.com/tennis/tournaments/m/Adelaide%202/1977,Adelaide 2
72,,P McNamara / J Trickey,R16,6-2 6-4,C Dibley / C Kachel,1977-12-05,https://matchstat.com/tennis/tournaments/m/Adelaide%202/1977,Adelaide 2
73,,P Campbell / J Thamin,R16,6-3 6-2,R Ruffels / S Stone,1977-12-05,https://matchstat.com/tennis/tournaments/m/Adelaide%202/1977,Adelaide 2
74,,T Mott / T Wilkison,R16,6-2 7-5,T Gorman / R Tanner,1977-12-05,https://matchstat.com/tennis/tournaments/m/Adelaide%202/1977,Adelaide 2
75,,B Carmichael / B Teacher,R16,6-2 6-4,S Ball / K Warwick,1977-12-05,https://matchstat.com/tennis/tournaments/m/Adelaide%202/1977,Adelaide 2
76,,B Fairlie / K Meiler,R16,6-1 6-1,C Letcher / J Lloyd,1977-12-05,https://matchstat.com/tennis/tournaments/m/Adelaide%202/1977,Adelaide 2
77,,M Anderson / B Drewett,R16,4-6 6-3 6-4,R Case / G Masters,1977-12-05,https://matchstat.com/tennis/tournaments/m/Adelaide%202/1977,Adelaide 2
78,,J Norback / D Palm,R32,6-3 6-2,J Alexander / P Dent,1977-12-05,https://matchstat.com/tennis/tournaments/m/Adelaide%202/1977,Adelaide 2
79,,R King / R Pascale,R32,6-2 6-1,J Holladay / C Lewis,1977-12-05,https://matchstat.com/tennis/tournaments/m/Adelaide%202/1977,Adelaide 2
80,,R Drysdale / R Lewis,R32,7-5 5-7 6-3,W Lloyd / W Lofgren,1977-12-05,https://matchstat.com/tennis/tournaments/m/Adelaide%202/1977,Adelaide 2
81,,R Brunet / G Moretton,R32,6-3 6-4,H Pfister / B Walts,1977-12-05,https://matchstat.com/tennis/tournaments/m/Adelaide%202/1977,Adelaide 2
82,,C Casa / C Freyss,R32,6-0 6-2,C Dibley / C Kachel,1977-12-05,https://matchstat.com/tennis/tournaments/m/Adelaide%202/1977,Adelaide 2
83,,S Docherty / G Hardie,R32,3-6 7-6 12-10,P McNamara / J Trickey,1977-12-05,https://matchstat.com/tennis/tournaments/m/Adelaide%202/1977,Adelaide 2
84,,J Andrew / S Carnahan,R32,2-6 6-1 6-4,P Campbell / J Thamin,1977-12-05,https://matchstat.com/tennis/tournaments/m/Adelaide%202/1977,Adelaide 2
85,,J Bartlett / T Rocavert,R32,7-5 7-6,R Ruffels / S Stone,1977-12-05,https://matchstat.com/tennis/tournaments/m/Adelaide%202/1977,Adelaide 2
