,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 3-4,Mark Philippoussis,F,6-4 6-7(6) 6-3,Tim Henman,2002-12-30,https://matchstat.com/tennis/tournaments/m/Adelaide/2002,Adelaide
1,H2H 3-0,Alberto Martin,SF,7-5 4-6 6-2,Tim Henman,2002-12-30,https://matchstat.com/tennis/tournaments/m/Adelaide/2002,Adelaide
2,H2H 3-3,Hicham Arazi,SF,6-4 6-1,Mark Philippoussis,2002-12-30,https://matchstat.com/tennis/tournaments/m/Adelaide/2002,Adelaide
3,H2H 8-2,Greg Rusedski,QF,6-4 6-4,Tim Henman,2002-12-30,https://matchstat.com/tennis/tournaments/m/Adelaide/2002,Adelaide
4,H2H 1-2,Thomas Enqvist,QF,3-6 6-4 6-3,Alberto Martin,2002-12-30,https://matchstat.com/tennis/tournaments/m/Adelaide/2002,Adelaide
5,H2H 1-3,Ivan Ljubicic,QF,4-1 Retired,Hicham Arazi,2002-12-30,https://matchstat.com/tennis/tournaments/m/Adelaide/2002,Adelaide
6,H2H 3-1,Todd Martin,QF,4-6 6-2 6-2,Mark Philippoussis,2002-12-30,https://matchstat.com/tennis/tournaments/m/Adelaide/2002,Adelaide
7,H2H 2-0,Kenneth Carlsen,R16,7-6(2) Retired,Tim Henman,2002-12-30,https://matchstat.com/tennis/tournaments/m/Adelaide/2002,Adelaide
8,H2H 8-1,Scott Draper,R16,6-1 3-6 6-4,Greg Rusedski,2002-12-30,https://matchstat.com/tennis/tournaments/m/Adelaide/2002,Adelaide
9,H2H 5-0,Jerome Golmard,R16,6-4 4-6 6-1,Thomas Enqvist,2002-12-30,https://matchstat.com/tennis/tournaments/m/Adelaide/2002,Adelaide
10,H2H 2-6,Juan Ignacio Chela,R16,6-2 7-5,Alberto Martin,2002-12-30,https://matchstat.com/tennis/tournaments/m/Adelaide/2002,Adelaide
11,H2H 2-1,Nicolas Massu,R16,7-6(5) 7-5,Ivan Ljubicic,2002-12-30,https://matchstat.com/tennis/tournaments/m/Adelaide/2002,Adelaide
12,H2H 3-0,Paul-Henri Mathieu,R16,6-4 0-6 6-2,Hicham Arazi,2002-12-30,https://matchstat.com/tennis/tournaments/m/Adelaide/2002,Adelaide
13,H2H 5-3,Sjeng Schalken,R16,6-0 6-3,Mark Philippoussis,2002-12-30,https://matchstat.com/tennis/tournaments/m/Adelaide/2002,Adelaide
14,H2H 1-1,Michael Llodra,R16,7-5 6-4,Todd Martin,2002-12-30,https://matchstat.com/tennis/tournaments/m/Adelaide/2002,Adelaide
15,H2H 2-0,Richard Fromberg,R32,6-3 6-7(5) 6-0,Tim Henman,2002-12-30,https://matchstat.com/tennis/tournaments/m/Adelaide/2002,Adelaide
16,H2H 3-0,Wayne Black,R32,7-6(4) 6-7(3) 6-0,Kenneth Carlsen,2002-12-30,https://matchstat.com/tennis/tournaments/m/Adelaide/2002,Adelaide
17,H2H 2-0,Andre Sa,R32,6-1 6-2,Scott Draper,2002-12-30,https://matchstat.com/tennis/tournaments/m/Adelaide/2002,Adelaide
18,H2H 1-0,Jacobo Diaz-Ruiz,R32,6-4 7-6(4),Greg Rusedski,2002-12-30,https://matchstat.com/tennis/tournaments/m/Adelaide/2002,Adelaide
19,H2H 7-3,Marcelo Rios,R32,6-0 6-3,Thomas Enqvist,2002-12-30,https://matchstat.com/tennis/tournaments/m/Adelaide/2002,Adelaide
