,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
0,H2H 2-0,Chris Guccione,14.0,5.0,5713017.0,114776.0,,4.45,Chris Guccione,107.0,6.0,1.0,118.0,42.0,106.0,63.0,48.0,43.0,17.0,,,,,,2.0,224.0,,,4.45,1.27,F,6-3 6-7(6) 6-4,Novak Djokovic,4.0,6.0,5713017.0,114775.0,,1.267,Novak Djokovic,117.0,10.0,4.0,106.0,41.0,118.0,71.0,50.0,47.0,26.0,,,,,,1.0,224.0,,,2007-01-01,https://matchstat.com/tennis/tournaments/m/Adelaide/2007,Adelaide
1,H2H 1-0,Joachim Johansson,6.0,3.0,5713015.0,114772.0,,,Joachim Johansson,42.0,0.0,0.0,44.0,7.0,66.0,48.0,27.0,18.0,8.0,,,,,,2.0,110.0,,,,,SF,6-3 6-2,Novak Djokovic,8.0,2.0,5713015.0,114771.0,,,Novak Djokovic,68.0,9.0,3.0,66.0,31.0,44.0,30.0,28.0,14.0,9.0,,,,,,1.0,110.0,,,2007-01-01,https://matchstat.com/tennis/tournaments/m/Adelaide/2007,Adelaide
2,H2H 1-0,Juan Martin Del Potro,8.0,2.0,5713016.0,114773.0,,,Juan Martin Del Potro,97.0,2.0,1.0,103.0,33.0,96.0,61.0,45.0,35.0,19.0,,,,,,1.0,199.0,,,,,SF,6-3 6-2,Chris Guccione,19.0,1.0,5713016.0,114774.0,,,Chris Guccione,102.0,6.0,2.0,96.0,32.0,103.0,63.0,46.0,40.0,24.0,,,,,,2.0,199.0,,,2007-01-01,https://matchstat.com/tennis/tournaments/m/Adelaide/2007,Adelaide
3,H2H 2-1,Paul Goldstein,2.0,3.0,5713011.0,114764.0,,4.6,Paul Goldstein,65.0,7.0,3.0,72.0,27.0,74.0,45.0,28.0,29.0,10.0,,,,,,2.0,146.0,,,4.60,1.25,QF,6-4 7-5,Novak Djokovic,8.0,3.0,5713011.0,114763.0,,1.25,Novak Djokovic,81.0,7.0,5.0,74.0,36.0,72.0,48.0,34.0,24.0,11.0,,,,,,1.0,146.0,,,2007-01-01,https://matchstat.com/tennis/tournaments/m/Adelaide/2007,Adelaide
4,H2H 1-0,Vince Spadea,5.0,7.0,5713012.0,114769.0,,2.86,Vince Spadea,67.0,0.0,0.0,73.0,21.0,68.0,48.0,33.0,20.0,13.0,,,,,,1.0,141.0,,,2.86,1.50,QF,7-6(7) 6-3,Joachim Johansson,14.0,2.0,5713012.0,114770.0,,1.498,Joachim Johansson,74.0,2.0,1.0,68.0,22.0,73.0,50.0,40.0,23.0,12.0,,,,,,2.0,141.0,,,2007-01-01,https://matchstat.com/tennis/tournaments/m/Adelaide/2007,Adelaide
5,H2H 3-0,Igor Kunitsyn,1.0,2.0,5713013.0,114768.0,,2.32,Igor Kunitsyn,18.0,3.0,0.0,33.0,4.0,36.0,21.0,11.0,15.0,3.0,,,,,,2.0,69.0,,,2.32,1.70,QF,6-2 6-0,Juan Martin Del Potro,2.0,1.0,5713013.0,114767.0,,1.704,Juan Martin Del Potro,51.0,5.0,5.0,36.0,22.0,33.0,21.0,20.0,12.0,9.0,,,,,,1.0,69.0,,,2007-01-01,https://matchstat.com/tennis/tournaments/m/Adelaide/2007,Adelaide
6,H2H 1-0,Richard Gasquet,4.0,3.0,5713014.0,114766.0,,1.2,Richard Gasquet,87.0,5.0,2.0,88.0,28.0,78.0,52.0,38.0,26.0,21.0,,,,,,2.0,166.0,,,1.20,5.50,QF,1-6 6-3 7-6(4),Chris Guccione,22.0,2.0,5713014.0,114765.0,,5.5,Chris Guccione,79.0,3.0,1.0,78.0,19.0,88.0,54.0,41.0,34.0,19.0,,,,,,1.0,166.0,,,2007-01-01,https://matchstat.com/tennis/tournaments/m/Adelaide/2007,Adelaide
7,,N Djokovic / R Stepanek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,6-4 3-6 [15-13],W Moodie / T Perry,,,,,,,,,,,,,,,,,,,,,,,,,,,2007-01-01,https://matchstat.com/tennis/tournaments/m/Adelaide/2007,Adelaide
8,,Y Allegro / R Lindstedt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SF,6-0 7-5,W Moodie / T Perry,,,,,,,,,,,,,,,,,,,,,,,,,,,2007-01-01,https://matchstat.com/tennis/tournaments/m/Adelaide/2007,Adelaide
9,,A Clement / R Gasquet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SF,7-5 3-6 [11-9],N Djokovic / R Stepanek,,,,,,,,,,,,,,,,,,,,,,,,,,,2007-01-01,https://matchstat.com/tennis/tournaments/m/Adelaide/2007,Adelaide
