,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 4-6,G. Vilas,F,6-1 7-5 Retired,I. Nastase,1977-09-26,https://matchstat.com/tennis/tournaments/m/Aix-en-Provence/1977,Aix-en-Provence
1,H2H 4-0,Eric Deblicker,SF,6-4 6-7 6-7 6-3 6-1,G. Vilas,1977-09-26,https://matchstat.com/tennis/tournaments/m/Aix-en-Provence/1977,Aix-en-Provence
2,H2H 3-2,Georges Goven,SF,WO,I. Nastase,1977-09-26,https://matchstat.com/tennis/tournaments/m/Aix-en-Provence/1977,Aix-en-Provence
3,H2H 12-4,Jose Higueras,QF,7-6 7-5,G. Vilas,1977-09-26,https://matchstat.com/tennis/tournaments/m/Aix-en-Provence/1977,Aix-en-Provence
4,H2H 2-1,Antonio Zugarelli,QF,6-2 1-0 Retired,Eric Deblicker,1977-09-26,https://matchstat.com/tennis/tournaments/m/Aix-en-Provence/1977,Aix-en-Provence
5,H2H 1-0,Hans Gildemeister,QF,6-2 4-3 Retired,Georges Goven,1977-09-26,https://matchstat.com/tennis/tournaments/m/Aix-en-Provence/1977,Aix-en-Provence
6,H2H 7-2,Z. Franulovic,QF,3-6 6-2 6-1,I. Nastase,1977-09-26,https://matchstat.com/tennis/tournaments/m/Aix-en-Provence/1977,Aix-en-Provence
7,H2H 2-0,Peter McNamara,R16,1-6 6-4 6-3,G. Vilas,1977-09-26,https://matchstat.com/tennis/tournaments/m/Aix-en-Provence/1977,Aix-en-Provence
8,H2H 4-0,Paul McNamee,R16,7-5 6-1,Jose Higueras,1977-09-26,https://matchstat.com/tennis/tournaments/m/Aix-en-Provence/1977,Aix-en-Provence
9,H2H 2-0,Jean-Francois Caujolle,R16,6-0 6-4,Antonio Zugarelli,1977-09-26,https://matchstat.com/tennis/tournaments/m/Aix-en-Provence/1977,Aix-en-Provence
10,H2H 1-0,Crealy,R16,6-3 4-6 8-6,Eric Deblicker,1977-09-26,https://matchstat.com/tennis/tournaments/m/Aix-en-Provence/1977,Aix-en-Provence
11,H2H 1-1,Patrick Proisy,R16,3-6 6-3 8-6,Hans Gildemeister,1977-09-26,https://matchstat.com/tennis/tournaments/m/Aix-en-Provence/1977,Aix-en-Provence
12,H2H 1-1,B. Phillips-Moore,R16,6-4 6-0,Georges Goven,1977-09-26,https://matchstat.com/tennis/tournaments/m/Aix-en-Provence/1977,Aix-en-Provence
13,H2H 3-0,Bernard Fritz,R16,7-5 5-7 6-2,Z. Franulovic,1977-09-26,https://matchstat.com/tennis/tournaments/m/Aix-en-Provence/1977,Aix-en-Provence
14,H2H 1-0,Javier Soler,R16,6-1 6-1,I. Nastase,1977-09-26,https://matchstat.com/tennis/tournaments/m/Aix-en-Provence/1977,Aix-en-Provence
15,H2H 1-0,Lars Elvstrom,R32,6-1 6-0,G. Vilas,1977-09-26,https://matchstat.com/tennis/tournaments/m/Aix-en-Provence/1977,Aix-en-Provence
16,H2H 1-0,Ricardo Ycaza,R32,3-6 6-2 6-4,Peter McNamara,1977-09-26,https://matchstat.com/tennis/tournaments/m/Aix-en-Provence/1977,Aix-en-Provence
17,H2H 2-0,Keith Richardson,R32,6-2 6-3,Jose Higueras,1977-09-26,https://matchstat.com/tennis/tournaments/m/Aix-en-Provence/1977,Aix-en-Provence
18,H2H 1-2,Gene Mayer,R32,3-6 7-6 6-5 Retired,Paul McNamee,1977-09-26,https://matchstat.com/tennis/tournaments/m/Aix-en-Provence/1977,Aix-en-Provence
19,H2H 1-1,Ion Tiriac,R32,6-2 6-2,Antonio Zugarelli,1977-09-26,https://matchstat.com/tennis/tournaments/m/Aix-en-Provence/1977,Aix-en-Provence
20,H2H 2-0,Ricardo Cano,R32,4-6 7-5 6-1,Jean-Francois Caujolle,1977-09-26,https://matchstat.com/tennis/tournaments/m/Aix-en-Provence/1977,Aix-en-Provence
21,H2H 1-0,Dominique Bedel,R32,6-3 5-7 7-5,Crealy,1977-09-26,https://matchstat.com/tennis/tournaments/m/Aix-en-Provence/1977,Aix-en-Provence
22,H2H 1-0,Deon Joubert,R32,6-1 6-4,Eric Deblicker,1977-09-26,https://matchstat.com/tennis/tournaments/m/Aix-en-Provence/1977,Aix-en-Provence
23,H2H 1-0,Pierre Barthes,R32,1-6 6-3 6-1,Hans Gildemeister,1977-09-26,https://matchstat.com/tennis/tournaments/m/Aix-en-Provence/1977,Aix-en-Provence
24,H2H 1-1,Christophe Freyss,R32,6-4 6-4,Patrick Proisy,1977-09-26,https://matchstat.com/tennis/tournaments/m/Aix-en-Provence/1977,Aix-en-Provence
25,H2H 1-1,Antonio Munoz,R32,6-1 6-1,Georges Goven,1977-09-26,https://matchstat.com/tennis/tournaments/m/Aix-en-Provence/1977,Aix-en-Provence
26,H2H 1-0,Paolo Bertolucci,R32,6-2 6-2,B. Phillips-Moore,1977-09-26,https://matchstat.com/tennis/tournaments/m/Aix-en-Provence/1977,Aix-en-Provence
27,H2H 1-1,Heinz Gunthardt,R32,6-3 0-6 8-6,Bernard Fritz,1977-09-26,https://matchstat.com/tennis/tournaments/m/Aix-en-Provence/1977,Aix-en-Provence
