,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 1-0,Raemon Sluiter,F,6-7(4) 6-3 7-6(5) 6-1,Magnus Gustafsson,2000-07-17,https://matchstat.com/tennis/tournaments/m/Amsterdam/2000,Amsterdam
1,H2H 2-0,Edwin Kempes,SF,6-4 6-4,Magnus Gustafsson,2000-07-17,https://matchstat.com/tennis/tournaments/m/Amsterdam/2000,Amsterdam
2,H2H 2-0,Nikolay Davydenko,SF,6-2 7-6(5),Raemon Sluiter,2000-07-17,https://matchstat.com/tennis/tournaments/m/Amsterdam/2000,Amsterdam
3,H2H 1-0,Christian Ruud,QF,4-6 7-6(5) 6-3,Edwin Kempes,2000-07-17,https://matchstat.com/tennis/tournaments/m/Amsterdam/2000,Amsterdam
4,H2H 1-0,Nicolas Massu,QF,6-3 3-6 6-1,Magnus Gustafsson,2000-07-17,https://matchstat.com/tennis/tournaments/m/Amsterdam/2000,Amsterdam
5,H2H 3-0,Alex Calatrava,QF,7-6(4) 6-4,Raemon Sluiter,2000-07-17,https://matchstat.com/tennis/tournaments/m/Amsterdam/2000,Amsterdam
6,H2H 2-1,Tomas Behrend,QF,6-2 1-6 6-4,Nikolay Davydenko,2000-07-17,https://matchstat.com/tennis/tournaments/m/Amsterdam/2000,Amsterdam
7,H2H 1-0,Federico Browne,R16,6-4 6-3,Christian Ruud,2000-07-17,https://matchstat.com/tennis/tournaments/m/Amsterdam/2000,Amsterdam
8,H2H 1-0,Adrian Voinea,R16,6-2 6-2,Edwin Kempes,2000-07-17,https://matchstat.com/tennis/tournaments/m/Amsterdam/2000,Amsterdam
9,H2H 3-0,Dennis van Scheppingen,R16,6-3 7-6(5),Magnus Gustafsson,2000-07-17,https://matchstat.com/tennis/tournaments/m/Amsterdam/2000,Amsterdam
10,H2H 1-0,Adrian Garcia,R16,6-1 4-1 Retired,Nicolas Massu,2000-07-17,https://matchstat.com/tennis/tournaments/m/Amsterdam/2000,Amsterdam
11,H2H 2-0,Richard Fromberg,R16,7-6(4) 7-6(4),Alex Calatrava,2000-07-17,https://matchstat.com/tennis/tournaments/m/Amsterdam/2000,Amsterdam
12,H2H 1-0,Arnaud Di Pasquale,R16,3-6 7-6(5) 7-6(5),Raemon Sluiter,2000-07-17,https://matchstat.com/tennis/tournaments/m/Amsterdam/2000,Amsterdam
13,H2H 2-0,Sergio Roitman,R16,7-6(6) 6-2,Tomas Behrend,2000-07-17,https://matchstat.com/tennis/tournaments/m/Amsterdam/2000,Amsterdam
14,H2H 1-0,Jan Siemerink,R16,6-3 5-7 6-1,Nikolay Davydenko,2000-07-17,https://matchstat.com/tennis/tournaments/m/Amsterdam/2000,Amsterdam
15,H2H 2-1,Nicolas Lapentti,R32,6-2 7-5,Christian Ruud,2000-07-17,https://matchstat.com/tennis/tournaments/m/Amsterdam/2000,Amsterdam
16,H2H 1-1,Stephane Huet,R32,6-4 6-4,Federico Browne,2000-07-17,https://matchstat.com/tennis/tournaments/m/Amsterdam/2000,Amsterdam
17,H2H 2-1,Ronald Agenor,R32,6-2 6-4,Edwin Kempes,2000-07-17,https://matchstat.com/tennis/tournaments/m/Amsterdam/2000,Amsterdam
18,H2H 1-1,Orlin Stanoytchev,R32,7-5 6-2,Adrian Voinea,2000-07-17,https://matchstat.com/tennis/tournaments/m/Amsterdam/2000,Amsterdam
19,H2H 1-0,Gaston Etlis,R32,6-2 6-2,Magnus Gustafsson,2000-07-17,https://matchstat.com/tennis/tournaments/m/Amsterdam/2000,Amsterdam
20,H2H 1-0,Wayne Arthurs,R32,6-2 7-6(4),Dennis van Scheppingen,2000-07-17,https://matchstat.com/tennis/tournaments/m/Amsterdam/2000,Amsterdam
21,H2H 1-1,Kim Tiilikainen,R32,6-0 6-2,Adrian Garcia,2000-07-17,https://matchstat.com/tennis/tournaments/m/Amsterdam/2000,Amsterdam
22,H2H 1-0,Marcelo Filippini,R32,6-4 7-5,Nicolas Massu,2000-07-17,https://matchstat.com/tennis/tournaments/m/Amsterdam/2000,Amsterdam
23,H2H 1-0,Andrei Stoliarov,R32,6-2 6-3,Richard Fromberg,2000-07-17,https://matchstat.com/tennis/tournaments/m/Amsterdam/2000,Amsterdam
24,H2H 1-0,Martin Verkerk,R32,6-4 4-6 6-3,Alex Calatrava,2000-07-17,https://matchstat.com/tennis/tournaments/m/Amsterdam/2000,Amsterdam
