,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 3-0,Mike De Palmer,F,6-3 6-2,Anders Jarryd,1982-11-15,https://matchstat.com/tennis/tournaments/m/Ancona/1982,Ancona
1,H2H 1-0,Bernie Mitton,SF,5-7 6-1 6-3,Mike De Palmer,1982-11-15,https://matchstat.com/tennis/tournaments/m/Ancona/1982,Ancona
2,H2H 2-0,Hans Simonsson,SF,6-2 5-7 7-6,Anders Jarryd,1982-11-15,https://matchstat.com/tennis/tournaments/m/Ancona/1982,Ancona
3,H2H 1-0,Vincent Van Patten,QF,6-3 6-3,Bernie Mitton,1982-11-15,https://matchstat.com/tennis/tournaments/m/Ancona/1982,Ancona
4,H2H 1-0,Mario Martinez,QF,6-4 6-3,Mike De Palmer,1982-11-15,https://matchstat.com/tennis/tournaments/m/Ancona/1982,Ancona
5,H2H 2-0,Tim Gullikson,QF,7-5 6-0,Anders Jarryd,1982-11-15,https://matchstat.com/tennis/tournaments/m/Ancona/1982,Ancona
6,H2H 2-0,Christoph Zipf,QF,6-4 6-4,Hans Simonsson,1982-11-15,https://matchstat.com/tennis/tournaments/m/Ancona/1982,Ancona
7,H2H 1-0,Mark Vines,R16,7-5 6-4,Vincent Van Patten,1982-11-15,https://matchstat.com/tennis/tournaments/m/Ancona/1982,Ancona
8,H2H 1-0,Jean-Marc Piacentile,R16,7-6 7-5,Bernie Mitton,1982-11-15,https://matchstat.com/tennis/tournaments/m/Ancona/1982,Ancona
9,H2H 1-0,Danie Visser,R16,4-6 6-4 7-6,Mario Martinez,1982-11-15,https://matchstat.com/tennis/tournaments/m/Ancona/1982,Ancona
10,H2H 1-0,Jiri Granat,R16,6-4 5-7 7-6,Mike De Palmer,1982-11-15,https://matchstat.com/tennis/tournaments/m/Ancona/1982,Ancona
11,H2H 1-0,Corrado Barazzutti,R16,6-4 3-6 7-6,Tim Gullikson,1982-11-15,https://matchstat.com/tennis/tournaments/m/Ancona/1982,Ancona
12,H2H 6-0,Jan Gunnarsson,R16,6-1 6-3,Anders Jarryd,1982-11-15,https://matchstat.com/tennis/tournaments/m/Ancona/1982,Ancona
13,H2H 1-0,Robert Reininger,R16,5-7 6-3 6-4,Christoph Zipf,1982-11-15,https://matchstat.com/tennis/tournaments/m/Ancona/1982,Ancona
14,H2H 1-0,Marko Ostoja,R16,6-1 3-6 6-3,Hans Simonsson,1982-11-15,https://matchstat.com/tennis/tournaments/m/Ancona/1982,Ancona
15,H2H 1-0,Eduardo Artaldi,R32,6-3 6-4,Vincent Van Patten,1982-11-15,https://matchstat.com/tennis/tournaments/m/Ancona/1982,Ancona
16,H2H 1-0,Antonio Zugarelli,R32,7-5 6-7 6-3,Mark Vines,1982-11-15,https://matchstat.com/tennis/tournaments/m/Ancona/1982,Ancona
17,H2H 1-0,Richard Lewis,R32,6-4 6-4,Jean-Marc Piacentile,1982-11-15,https://matchstat.com/tennis/tournaments/m/Ancona/1982,Ancona
18,H2H 1-0,Gianluca Rinaldini,R32,6-2 6-3,Bernie Mitton,1982-11-15,https://matchstat.com/tennis/tournaments/m/Ancona/1982,Ancona
19,H2H 1-0,Alejandro Pierola,R32,6-3 2-6 6-3,Mario Martinez,1982-11-15,https://matchstat.com/tennis/tournaments/m/Ancona/1982,Ancona
20,H2H 1-0,Hans-Dieter Beutel,R32,7-5 7-6,Danie Visser,1982-11-15,https://matchstat.com/tennis/tournaments/m/Ancona/1982,Ancona
21,H2H 1-0,Z. Franulovic,R32,7-6 7-6,Jiri Granat,1982-11-15,https://matchstat.com/tennis/tournaments/m/Ancona/1982,Ancona
22,H2H 1-0,Hans Kary,R32,6-3 6-1,Mike De Palmer,1982-11-15,https://matchstat.com/tennis/tournaments/m/Ancona/1982,Ancona
23,H2H 1-0,Jerome Potier,R32,7-6 6-0,Corrado Barazzutti,1982-11-15,https://matchstat.com/tennis/tournaments/m/Ancona/1982,Ancona
24,H2H 2-0,Karl Meiler,R32,5-7 6-3 7-6,Tim Gullikson,1982-11-15,https://matchstat.com/tennis/tournaments/m/Ancona/1982,Ancona
25,H2H 1-0,Christophe Freyss,R32,6-7 6-4 6-3,Jan Gunnarsson,1982-11-15,https://matchstat.com/tennis/tournaments/m/Ancona/1982,Ancona
26,H2H 1-0,Miguel Mir Rodon,R32,4-6 6-2 6-4,Anders Jarryd,1982-11-15,https://matchstat.com/tennis/tournaments/m/Ancona/1982,Ancona
27,H2H 1-0,Magnus Tideman,R32,6-3 6-4,Christoph Zipf,1982-11-15,https://matchstat.com/tennis/tournaments/m/Ancona/1982,Ancona
28,H2H 1-0,Guido Possamai,R32,6-3 6-4,Robert Reininger,1982-11-15,https://matchstat.com/tennis/tournaments/m/Ancona/1982,Ancona
29,H2H 2-0,Hans-Peter Kandler,R32,6-1 6-1,Marko Ostoja,1982-11-15,https://matchstat.com/tennis/tournaments/m/Ancona/1982,Ancona
30,H2H 1-2,Joakim Nystrom,R32,7-6 6-4,Hans Simonsson,1982-11-15,https://matchstat.com/tennis/tournaments/m/Ancona/1982,Ancona
