,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 5-3,Marc Rosset,F,7-6 3-6 6-1 6-4,Greg Rusedski,1998-02-16,https://matchstat.com/tennis/tournaments/m/Antwerp/1998,Antwerp
1,H2H 4-1,Karol Kucera,SF,6-4 6-3,Greg Rusedski,1998-02-16,https://matchstat.com/tennis/tournaments/m/Antwerp/1998,Antwerp
2,H2H 2-2,Patrick Rafter,SF,7-6 7-6,Marc Rosset,1998-02-16,https://matchstat.com/tennis/tournaments/m/Antwerp/1998,Antwerp
3,H2H 1-1,Petr Korda,QF,3-6 6-4 6-2,Karol Kucera,1998-02-16,https://matchstat.com/tennis/tournaments/m/Antwerp/1998,Antwerp
4,H2H 4-8,Thomas Johansson,QF,6-3 4-6 6-4,Greg Rusedski,1998-02-16,https://matchstat.com/tennis/tournaments/m/Antwerp/1998,Antwerp
5,H2H 3-3,Magnus Larsson,QF,WO,Marc Rosset,1998-02-16,https://matchstat.com/tennis/tournaments/m/Antwerp/1998,Antwerp
6,H2H 5-1,Jeff Tarango,QF,6-7 6-2 6-1,Patrick Rafter,1998-02-16,https://matchstat.com/tennis/tournaments/m/Antwerp/1998,Antwerp
7,H2H 2-0,Albert Portas,R16,7-5 6-2,Petr Korda,1998-02-16,https://matchstat.com/tennis/tournaments/m/Antwerp/1998,Antwerp
8,H2H 4-0,Bohdan Ulihrach,R16,6-1 6-1,Karol Kucera,1998-02-16,https://matchstat.com/tennis/tournaments/m/Antwerp/1998,Antwerp
9,H2H 4-3,Martin Damm,R16,6-2 6-4,Thomas Johansson,1998-02-16,https://matchstat.com/tennis/tournaments/m/Antwerp/1998,Antwerp
10,H2H 2-1,Guillaume Raoux,R16,7-6 3-6 7-6,Greg Rusedski,1998-02-16,https://matchstat.com/tennis/tournaments/m/Antwerp/1998,Antwerp
11,H2H 5-2,Jan Siemerink,R16,6-3 6-3,Magnus Larsson,1998-02-16,https://matchstat.com/tennis/tournaments/m/Antwerp/1998,Antwerp
