,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 1-2,Kent Carlsson,F,6-3 6-4,Ronald Agenor,1989-04-10,https://matchstat.com/tennis/tournaments/m/Athens/1989,Athens
1,H2H 1-0,Josef Cihak,SF,6-2 5-7 6-4,Kent Carlsson,1989-04-10,https://matchstat.com/tennis/tournaments/m/Athens/1989,Athens
2,H2H 3-1,Franco Davin,SF,4-6 6-3 7-5,Ronald Agenor,1989-04-10,https://matchstat.com/tennis/tournaments/m/Athens/1989,Athens
3,H2H 3-0,Thierry Champion,QF,6-1 2-6 6-4,Kent Carlsson,1989-04-10,https://matchstat.com/tennis/tournaments/m/Athens/1989,Athens
4,H2H 1-0,Martin Strelba,QF,6-4 7-6,Josef Cihak,1989-04-10,https://matchstat.com/tennis/tournaments/m/Athens/1989,Athens
5,H2H 2-1,Lawson Duncan,QF,6-0 6-1,Franco Davin,1989-04-10,https://matchstat.com/tennis/tournaments/m/Athens/1989,Athens
6,H2H 1-0,Francesco Cancellotti,QF,6-3 6-0,Ronald Agenor,1989-04-10,https://matchstat.com/tennis/tournaments/m/Athens/1989,Athens
7,H2H 1-0,Gustavo Giussani,R16,6-4 7-6,Kent Carlsson,1989-04-10,https://matchstat.com/tennis/tournaments/m/Athens/1989,Athens
8,H2H 1-0,Ricki Osterthun,R16,6-3 6-3,Thierry Champion,1989-04-10,https://matchstat.com/tennis/tournaments/m/Athens/1989,Athens
9,H2H 1-0,Stefan Lochbihler,R16,6-3 6-3,Josef Cihak,1989-04-10,https://matchstat.com/tennis/tournaments/m/Athens/1989,Athens
10,H2H 1-0,Tore Meinecke,R16,4-6 7-6 6-4,Martin Strelba,1989-04-10,https://matchstat.com/tennis/tournaments/m/Athens/1989,Athens
11,H2H 1-1,Gheorghe Cosac,R16,6-2 6-0,Franco Davin,1989-04-10,https://matchstat.com/tennis/tournaments/m/Athens/1989,Athens
12,H2H 1-0,Massimo Cierro,R16,7-5 6-1,Lawson Duncan,1989-04-10,https://matchstat.com/tennis/tournaments/m/Athens/1989,Athens
13,H2H 1-1,Roberto Azar,R16,7-5 6-4,Francesco Cancellotti,1989-04-10,https://matchstat.com/tennis/tournaments/m/Athens/1989,Athens
14,H2H 2-5,Omar Camporese,R16,7-5 6-3,Ronald Agenor,1989-04-10,https://matchstat.com/tennis/tournaments/m/Athens/1989,Athens
