,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 4-1,Jason Stoltenberg,F,6-7 6-3 7-6,Pete Sampras,1998-04-27,https://matchstat.com/tennis/tournaments/m/Atlanta/1998,Atlanta
1,H2H 1-1,Alex Calatrava,SF,7-6 6-3,Pete Sampras,1998-04-27,https://matchstat.com/tennis/tournaments/m/Atlanta/1998,Atlanta
2,H2H 1-0,Andrei Pavel,SF,6-2 6-4,Jason Stoltenberg,1998-04-27,https://matchstat.com/tennis/tournaments/m/Atlanta/1998,Atlanta
3,H2H 2-1,Ramon Delgado,QF,7-6 7-6,Pete Sampras,1998-04-27,https://matchstat.com/tennis/tournaments/m/Atlanta/1998,Atlanta
4,H2H 1-0,Steve Campbell,QF,4-0 Retired,Alex Calatrava,1998-04-27,https://matchstat.com/tennis/tournaments/m/Atlanta/1998,Atlanta
5,H2H 5-2,Franco Squillari,QF,6-1 6-2,Andrei Pavel,1998-04-27,https://matchstat.com/tennis/tournaments/m/Atlanta/1998,Atlanta
6,H2H 4-4,Richey Reneberg,QF,6-4 6-1,Jason Stoltenberg,1998-04-27,https://matchstat.com/tennis/tournaments/m/Atlanta/1998,Atlanta
7,H2H 3-0,Davide Sanguinetti,R16,6-3 5-7 7-5,Pete Sampras,1998-04-27,https://matchstat.com/tennis/tournaments/m/Atlanta/1998,Atlanta
8,H2H 1-1,Johan Van Herck,R16,6-3 6-1,Ramon Delgado,1998-04-27,https://matchstat.com/tennis/tournaments/m/Atlanta/1998,Atlanta
9,H2H 2-1,Dennis van Scheppingen,R16,4-6 6-1 6-4,Alex Calatrava,1998-04-27,https://matchstat.com/tennis/tournaments/m/Atlanta/1998,Atlanta
10,H2H 3-1,Jan-Michael Gambill,R16,6-2 7-6,Steve Campbell,1998-04-27,https://matchstat.com/tennis/tournaments/m/Atlanta/1998,Atlanta
11,H2H 2-0,John van Lottum,R16,6-1 6-2,Andrei Pavel,1998-04-27,https://matchstat.com/tennis/tournaments/m/Atlanta/1998,Atlanta
12,H2H 2-1,Marcio Carlsson,R16,6-3 7-5,Franco Squillari,1998-04-27,https://matchstat.com/tennis/tournaments/m/Atlanta/1998,Atlanta
13,H2H 1-1,Wayne Black,R16,5-7 6-2 6-1,Richey Reneberg,1998-04-27,https://matchstat.com/tennis/tournaments/m/Atlanta/1998,Atlanta
14,H2H 1-1,MaliVai Washington,R16,6-2 6-4,Jason Stoltenberg,1998-04-27,https://matchstat.com/tennis/tournaments/m/Atlanta/1998,Atlanta
15,H2H 1-0,Alex O'Brien,R32,6-2 7-6,Pete Sampras,1998-04-27,https://matchstat.com/tennis/tournaments/m/Atlanta/1998,Atlanta
16,H2H 2-0,Mark Knowles,R32,6-3 6-2,Davide Sanguinetti,1998-04-27,https://matchstat.com/tennis/tournaments/m/Atlanta/1998,Atlanta
17,H2H 1-0,Juan-Antonio Marin,R32,6-4 6-2,Ramon Delgado,1998-04-27,https://matchstat.com/tennis/tournaments/m/Atlanta/1998,Atlanta
18,H2H 1-0,Gianluca Pozzi,R32,6-2 6-4,Johan Van Herck,1998-04-27,https://matchstat.com/tennis/tournaments/m/Atlanta/1998,Atlanta
19,H2H 1-0,Vince Spadea,R32,6-3 4-6 7-5,Dennis van Scheppingen,1998-04-27,https://matchstat.com/tennis/tournaments/m/Atlanta/1998,Atlanta
20,H2H 1-0,Grant Stafford,R32,4-6 6-2 6-4,Alex Calatrava,1998-04-27,https://matchstat.com/tennis/tournaments/m/Atlanta/1998,Atlanta
21,H2H 3-0,Sebastien Lareau,R32,6-3 6-4,Steve Campbell,1998-04-27,https://matchstat.com/tennis/tournaments/m/Atlanta/1998,Atlanta
22,H2H 1-0,Mariano Zabaleta,R32,0-6 7-6 7-5,Jan-Michael Gambill,1998-04-27,https://matchstat.com/tennis/tournaments/m/Atlanta/1998,Atlanta
23,H2H 2-0,Sargis Sargsian,R32,6-4 6-4,Andrei Pavel,1998-04-27,https://matchstat.com/tennis/tournaments/m/Atlanta/1998,Atlanta
24,H2H 1-0,Marcello Craca,R32,4-6 6-3 6-2,John van Lottum,1998-04-27,https://matchstat.com/tennis/tournaments/m/Atlanta/1998,Atlanta
25,H2H 1-1,Mikael Tillstrom,R32,6-3 6-3,Franco Squillari,1998-04-27,https://matchstat.com/tennis/tournaments/m/Atlanta/1998,Atlanta
26,H2H 1-0,Jim Courier,R32,6-3 2-6 6-4,Marcio Carlsson,1998-04-27,https://matchstat.com/tennis/tournaments/m/Atlanta/1998,Atlanta
27,H2H 1-1,Jared Palmer,R32,4-6 6-2 6-1,Wayne Black,1998-04-27,https://matchstat.com/tennis/tournaments/m/Atlanta/1998,Atlanta
28,H2H 1-0,Alejandro Hernandez,R32,6-3 6-1,Richey Reneberg,1998-04-27,https://matchstat.com/tennis/tournaments/m/Atlanta/1998,Atlanta
29,H2H 1-0,Michael Tebbutt,R32,6-0 6-0,MaliVai Washington,1998-04-27,https://matchstat.com/tennis/tournaments/m/Atlanta/1998,Atlanta
30,H2H 1-0,Luis Horna,R32,6-3 6-4,Jason Stoltenberg,1998-04-27,https://matchstat.com/tennis/tournaments/m/Atlanta/1998,Atlanta
31,,A O'Brien / R Reneberg,F,6-3 0-6 6-2,E Ferreira / B Haygarth,1998-04-27,https://matchstat.com/tennis/tournaments/m/Atlanta/1998,Atlanta
32,,G Stafford / K Ullyett,SF,6-3 6-2,A O'Brien / R Reneberg,1998-04-27,https://matchstat.com/tennis/tournaments/m/Atlanta/1998,Atlanta
