,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 2-0,Bud Schultz,F,6-4 6-3 3-6 6-4,Mark Woodforde,1986-01-06,https://matchstat.com/tennis/tournaments/m/Auckland/1986,Auckland
1,H2H 1-0,Wally Masur,SF,7-6 6-7 9-7,Bud Schultz,1986-01-06,https://matchstat.com/tennis/tournaments/m/Auckland/1986,Auckland
2,H2H 2-0,Bill Scanlon,SF,6-1 2-6 6-4,Mark Woodforde,1986-01-06,https://matchstat.com/tennis/tournaments/m/Auckland/1986,Auckland
3,H2H 2-0,Craig A. Miller,QF,7-5 6-4,Bud Schultz,1986-01-06,https://matchstat.com/tennis/tournaments/m/Auckland/1986,Auckland
4,H2H 1-0,Brett Dickinson,QF,6-4 6-4,Wally Masur,1986-01-06,https://matchstat.com/tennis/tournaments/m/Auckland/1986,Auckland
5,H2H 1-0,David Lewis,QF,6-2 6-2,Mark Woodforde,1986-01-06,https://matchstat.com/tennis/tournaments/m/Auckland/1986,Auckland
6,H2H 6-0,Brad Drewett,QF,6-4 6-2,Bill Scanlon,1986-01-06,https://matchstat.com/tennis/tournaments/m/Auckland/1986,Auckland
7,H2H 2-0,Steve Guy,R16,6-3 5-7 6-3,Bud Schultz,1986-01-06,https://matchstat.com/tennis/tournaments/m/Auckland/1986,Auckland
8,H2H 1-0,Russell Simpson,R16,6-2 1-6 6-2,Craig A. Miller,1986-01-06,https://matchstat.com/tennis/tournaments/m/Auckland/1986,Auckland
9,H2H 1-0,Kelly Evernden,R16,7-6 7-5,Brett Dickinson,1986-01-06,https://matchstat.com/tennis/tournaments/m/Auckland/1986,Auckland
10,H2H 2-0,David Mustard,R16,6-1 6-2,Wally Masur,1986-01-06,https://matchstat.com/tennis/tournaments/m/Auckland/1986,Auckland
11,H2H 1-0,Tomm Warneke,R16,7-6 7-5,David Lewis,1986-01-06,https://matchstat.com/tennis/tournaments/m/Auckland/1986,Auckland
12,H2H 3-1,Michiel Schapers,R16,6-4 4-2 Retired,Mark Woodforde,1986-01-06,https://matchstat.com/tennis/tournaments/m/Auckland/1986,Auckland
