,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 5-1,Michael Chang,F,6-2 6-4 2-6 6-2,Boris Becker,1996-01-15,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1996,Australian Open
1,H2H 5-0,Mark Woodforde,SF,6-4 6-2 6-0,Boris Becker,1996-01-15,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1996,Australian Open
2,H2H 7-15,Andre Agassi,SF,6-1 6-4 7-6(1),Michael Chang,1996-01-15,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1996,Australian Open
3,H2H 4-4,Thomas Enqvist,QF,6-4 6-4 6-4,Mark Woodforde,1996-01-15,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1996,Australian Open
4,H2H 4-2,Yevgeny Kafelnikov,QF,6-4 7-6(9) 6-1,Boris Becker,1996-01-15,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1996,Australian Open
5,H2H 3-1,Mikael Tillstrom,QF,6-0 6-2 6-4,Michael Chang,1996-01-15,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1996,Australian Open
6,H2H 5-7,Jim Courier,QF,6-7(7) 2-6 6-3 6-4 6-2,Andre Agassi,1996-01-15,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1996,Australian Open
7,H2H 1-3,Mark Philippoussis,R16,6-2 6-2 6-2,Mark Woodforde,1996-01-15,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1996,Australian Open
8,H2H 2-1,Renzo Furlan,R16,7-5 6-0 6-3,Thomas Enqvist,1996-01-15,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1996,Australian Open
9,H2H 1-1,Brett Steven,R16,1-6 6-4 6-3 6-2,Boris Becker,1996-01-15,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1996,Australian Open
10,H2H 3-0,MaliVai Washington,R16,6-3 6-2 6-4,Yevgeny Kafelnikov,1996-01-15,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1996,Australian Open
11,H2H 3-0,Jean-Philippe Fleurian,R16,6-2 6-3 6-4,Michael Chang,1996-01-15,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1996,Australian Open
12,H2H 1-1,Thomas Muster,R16,7-5 4-6 6-3 6-2,Mikael Tillstrom,1996-01-15,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1996,Australian Open
13,H2H 4-0,Marcos Ondruska,R16,7-5 2-6 4-6 6-4 6-2,Jim Courier,1996-01-15,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1996,Australian Open
14,H2H 5-0,Jonas Bjorkman,R16,4-6 6-2 4-6 6-1 6-2,Andre Agassi,1996-01-15,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1996,Australian Open
15,H2H 2-7,Pete Sampras,R32,6-4 7-6(9) 7-6(3),Mark Philippoussis,1996-01-15,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1996,Australian Open
16,H2H 5-1,Francisco Clavet,R32,4-6 7-6(6) 6-2 6-4,Mark Woodforde,1996-01-15,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1996,Australian Open
17,H2H 1-2,Goran Ivanisevic,R32,6-2 3-6 6-4 6-2,Renzo Furlan,1996-01-15,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1996,Australian Open
18,H2H 2-0,Hernan Gumy,R32,6-2 7-6(3) 3-6 6-1,Thomas Enqvist,1996-01-15,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1996,Australian Open
19,H2H 4-2,Magnus Larsson,R32,7-6(5) 6-3 6-3,Boris Becker,1996-01-15,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1996,Australian Open
20,H2H 1-3,Jan Siemerink,R32,6-1 6-4 6-7(3) 6-2,Brett Steven,1996-01-15,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1996,Australian Open
21,H2H 1-0,Mauricio Hadad,R32,6-4 6-2 6-3,MaliVai Washington,1996-01-15,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1996,Australian Open
22,H2H 1-0,Michael Tebbutt,R32,7-5 5-7 6-4 6-2,Yevgeny Kafelnikov,1996-01-15,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1996,Australian Open
23,H2H 4-2,Guillaume Raoux,R32,6-2 6-2 7-6(6),Michael Chang,1996-01-15,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1996,Australian Open
