,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
0,H2H 24-10,Andy Murray,6.0,4.0,5982352.0,152297.0,,2.27,Andy Murray,78.0,4.0,3.0,75.0,25.0,109.0,58.0,37.0,51.0,16.0,,,194.0,144.0,216.0,1.0,184.0,47.0,21.0,2.27,1.74,F,6-4 6-2 6-3,Novak Djokovic,6.0,0.0,5982352.0,152298.0,,1.741,Novak Djokovic,106.0,18.0,7.0,109.0,56.0,75.0,50.0,35.0,25.0,15.0,,,192.0,157.0,208.0,2.0,184.0,33.0,26.0,2011-01-17,https://matchstat.com/tennis/tournaments/m/Australian%20Open/2011,Australian Open
1,H2H 13-6,David Ferrer,5.0,2.0,5982350.0,781950.0,,3.9,David Ferrer,141.0,18.0,5.0,151.0,61.0,142.0,95.0,57.0,47.0,23.0,,,178.0,146.0,198.0,1.0,293.0,34.0,34.0,3.90,1.32,SF,4-6 7-6(2) 6-1 7-6(2),Andy Murray,9.0,3.0,5982350.0,781951.0,,1.32,Andy Murray,152.0,11.0,6.0,142.0,62.0,151.0,91.0,68.0,60.0,22.0,,,185.0,142.0,211.0,2.0,293.0,63.0,60.0,2011-01-17,https://matchstat.com/tennis/tournaments/m/Australian%20Open/2011,Australian Open
2,H2H 23-22,Roger Federer,5.0,0.0,5982351.0,151738.0,,1.45,Roger Federer,111.0,10.0,3.0,125.0,46.0,105.0,63.0,45.0,42.0,20.0,,,189.0,157.0,203.0,2.0,230.0,44.0,35.0,1.45,3.05,SF,7-6(3) 7-5 6-4,Novak Djokovic,6.0,5.0,5982351.0,151737.0,,3.05,Novak Djokovic,119.0,14.0,5.0,105.0,40.0,125.0,86.0,63.0,39.0,16.0,,,191.0,149.0,207.0,1.0,230.0,35.0,29.0,2011-01-17,https://matchstat.com/tennis/tournaments/m/Australian%20Open/2011,Australian Open
3,H2H 6-24,Rafael Nadal,2.0,1.0,5982346.0,781944.0,,1.18,Rafael Nadal,75.0,9.0,3.0,73.0,24.0,104.0,69.0,38.0,35.0,13.0,,,179.0,142.0,207.0,1.0,177.0,34.0,19.0,1.18,5.90,QF,6-4 6-2 6-3,David Ferrer,8.0,2.0,5982346.0,781945.0,,5.9,David Ferrer,102.0,15.0,7.0,104.0,53.0,73.0,50.0,36.0,23.0,13.0,,,178.0,149.0,198.0,2.0,177.0,32.0,44.0,2011-01-17,https://matchstat.com/tennis/tournaments/m/Australian%20Open/2011,Australian Open
4,H2H 3-0,Alexandr Dolgopolov,16.0,5.0,5982347.0,151717.0,,7.6,Alexandr Dolgopolov,124.0,5.0,4.0,118.0,36.0,158.0,92.0,65.0,66.0,23.0,,,184.0,140.0,211.0,1.0,276.0,77.0,57.0,7.60,1.13,QF,7-5 6-3 6-7(3) 6-3,Andy Murray,9.0,5.0,5982347.0,151718.0,,1.13,Andy Murray,152.0,18.0,7.0,158.0,70.0,118.0,69.0,52.0,49.0,30.0,,,187.0,149.0,216.0,2.0,276.0,34.0,33.0,2011-01-17,https://matchstat.com/tennis/tournaments/m/Australian%20Open/2011,Australian Open
5,H2H 24-2,Tomas Berdych,5.0,5.0,5982348.0,152339.0,,3.75,Tomas Berdych,80.0,2.0,1.0,91.0,28.0,96.0,51.0,36.0,45.0,16.0,,,200.0,156.0,218.0,1.0,187.0,32.0,29.0,3.75,1.33,QF,6-1 7-6(5) 6-1,Novak Djokovic,10.0,1.0,5982348.0,152340.0,,1.33,Novak Djokovic,107.0,10.0,5.0,96.0,44.0,91.0,62.0,51.0,29.0,12.0,,,192.0,150.0,206.0,2.0,187.0,21.0,34.0,2011-01-17,https://matchstat.com/tennis/tournaments/m/Australian%20Open/2011,Australian Open
6,H2H 18-3,Stan Wawrinka,1.0,,5982349.0,401209.0,,5.57,Stan Wawrinka,66.0,1.0,0.0,75.0,20.0,81.0,47.0,27.0,34.0,19.0,,,184.0,144.0,214.0,1.0,156.0,30.0,21.0,5.57,1.19,QF,6-1 6-3 6-3,Roger Federer,5.0,,5982349.0,401210.0,,1.19,Roger Federer,90.0,7.0,5.0,81.0,35.0,75.0,58.0,42.0,17.0,13.0,,,188.0,156.0,207.0,2.0,156.0,24.0,29.0,2011-01-17,https://matchstat.com/tennis/tournaments/m/Australian%20Open/2011,Australian Open
7,H2H 3-1,Marin Cilic,8.0,4.0,5982338.0,152310.0,,9.05,Marin Cilic,82.0,2.0,0.0,85.0,25.0,100.0,55.0,42.0,45.0,15.0,,,187.0,152.0,201.0,2.0,185.0,48.0,32.0,9.05,1.10,R16,6-2 6-4 6-3,Rafael Nadal,3.0,3.0,5982338.0,152309.0,,1.1,Rafael Nadal,103.0,14.0,5.0,100.0,43.0,85.0,62.0,49.0,23.0,11.0,,,183.0,140.0,200.0,1.0,185.0,21.0,26.0,2011-01-17,https://matchstat.com/tennis/tournaments/m/Australian%20Open/2011,Australian Open
8,H2H 4-0,Milos Raonic,15.0,2.0,5982339.0,781976.0,,5.9,Milos Raonic,109.0,9.0,2.0,113.0,33.0,127.0,78.0,51.0,49.0,25.0,,,204.0,160.0,226.0,1.0,240.0,68.0,57.0,5.90,1.18,R16,4-6 6-2 6-3 6-4,David Ferrer,3.0,1.0,5982339.0,781977.0,,1.18,David Ferrer,131.0,14.0,5.0,127.0,51.0,113.0,80.0,62.0,33.0,18.0,,,176.0,145.0,195.0,2.0,240.0,10.0,23.0,2011-01-17,https://matchstat.com/tennis/tournaments/m/Australian%20Open/2011,Australian Open
9,H2H 1-0,Robin Soderling,6.0,6.0,5982340.0,152303.0,,1.14,Robin Soderling,111.0,9.0,6.0,105.0,40.0,138.0,86.0,51.0,52.0,20.0,,,190.0,155.0,221.0,1.0,243.0,51.0,34.0,1.14,6.95,R16,1-6 6-3 6-1 4-6 6-2,Alexandr Dolgopolov,11.0,2.0,5982340.0,152304.0,,6.95,Alexandr Dolgopolov,132.0,17.0,9.0,138.0,67.0,105.0,53.0,42.0,52.0,23.0,,,189.0,144.0,215.0,2.0,243.0,23.0,50.0,2011-01-17,https://matchstat.com/tennis/tournaments/m/Australian%20Open/2011,Australian Open
