,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 1-1,Juan Carlos Ferrero,F,6-3 7-6(5),Taylor Dent,2003-09-22,https://matchstat.com/tennis/tournaments/m/Bangkok/2003,Bangkok
1,H2H 4-3,Ivan Ljubicic,SF,6-3 6-3,Juan Carlos Ferrero,2003-09-22,https://matchstat.com/tennis/tournaments/m/Bangkok/2003,Bangkok
2,H2H 3-3,Jarkko Nieminen,SF,7-6(3) 6-2,Taylor Dent,2003-09-22,https://matchstat.com/tennis/tournaments/m/Bangkok/2003,Bangkok
3,H2H 1-1,Gregory Carraz,QF,6-4 3-6 7-6(2),Juan Carlos Ferrero,2003-09-22,https://matchstat.com/tennis/tournaments/m/Bangkok/2003,Bangkok
4,H2H 5-2,Paradorn Srichaphan,QF,4-6 7-6(4) 7-5,Ivan Ljubicic,2003-09-22,https://matchstat.com/tennis/tournaments/m/Bangkok/2003,Bangkok
5,H2H 1-1,Carlos Moya,QF,6-7(5) 6-4 6-4,Jarkko Nieminen,2003-09-22,https://matchstat.com/tennis/tournaments/m/Bangkok/2003,Bangkok
6,H2H 1-0,Nicolas Thomann,QF,6-3 Retired,Taylor Dent,2003-09-22,https://matchstat.com/tennis/tournaments/m/Bangkok/2003,Bangkok
7,H2H 2-0,Alex Bogomolov Jr.,R16,6-3 6-7(4) 6-1,Juan Carlos Ferrero,2003-09-22,https://matchstat.com/tennis/tournaments/m/Bangkok/2003,Bangkok
8,H2H 3-1,Alexander Popp,R16,7-5 6-2,Gregory Carraz,2003-09-22,https://matchstat.com/tennis/tournaments/m/Bangkok/2003,Bangkok
9,H2H 2-3,Kenneth Carlsen,R16,6-3 7-6(5),Paradorn Srichaphan,2003-09-22,https://matchstat.com/tennis/tournaments/m/Bangkok/2003,Bangkok
10,H2H 5-1,Mario Ancic,R16,6-1 6-4,Ivan Ljubicic,2003-09-22,https://matchstat.com/tennis/tournaments/m/Bangkok/2003,Bangkok
