,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
0,H2H 4-1,Benjamin Becker,7.0,0.0,5767232.0,121637.0,,3.2,Benjamin Becker,31.0,3.0,0.0,46.0,11.0,40.0,22.0,13.0,18.0,7.0,,,,,,1.0,86.0,35.0,6.0,3.20,1.42,F,6-2 6-1,Dmitry Tursunov,5.0,2.0,5767232.0,121638.0,,1.417,Dmitry Tursunov,55.0,12.0,4.0,40.0,20.0,46.0,26.0,21.0,20.0,14.0,,,,,,2.0,86.0,14.0,13.0,2007-09-24,https://matchstat.com/tennis/tournaments/m/Bangkok/2007,Bangkok
1,H2H 1-5,Tomas Berdych,15.0,0.0,5767230.0,121634.0,,1.15,Tomas Berdych,87.0,7.0,2.0,87.0,27.0,87.0,53.0,42.0,34.0,18.0,,,,,,2.0,174.0,,,1.15,5.00,SF,3-6 6-4 6-4,Benjamin Becker,13.0,1.0,5767230.0,121633.0,,5.0,Benjamin Becker,87.0,6.0,2.0,87.0,27.0,87.0,53.0,43.0,34.0,17.0,,,,,,1.0,174.0,,,2007-09-24,https://matchstat.com/tennis/tournaments/m/Bangkok/2007,Bangkok
2,H2H 1-1,Fernando Verdasco,3.0,7.0,5767231.0,121635.0,,2.05,Fernando Verdasco,112.0,10.0,2.0,122.0,45.0,102.0,74.0,54.0,28.0,13.0,,,,,,1.0,224.0,69.0,35.0,2.05,1.87,SF,7-6(4) 4-6 6-4,Dmitry Tursunov,11.0,3.0,5767231.0,121636.0,,1.87,Dmitry Tursunov,112.0,5.0,2.0,102.0,35.0,122.0,83.0,64.0,39.0,13.0,,,,,,2.0,224.0,60.0,19.0,2007-09-24,https://matchstat.com/tennis/tournaments/m/Bangkok/2007,Bangkok
3,H2H 1-0,Dominik Meffert,11.0,4.0,5767226.0,121765.0,,2.75,Dominik Meffert,82.0,8.0,2.0,81.0,29.0,92.0,55.0,36.0,37.0,17.0,,,,,,1.0,173.0,,,2.75,1.40,QF,7-6(2) 7-5,Benjamin Becker,13.0,3.0,5767226.0,121766.0,,1.4,Benjamin Becker,91.0,8.0,3.0,92.0,39.0,81.0,46.0,33.0,35.0,19.0,,,,,,2.0,173.0,,,2007-09-24,https://matchstat.com/tennis/tournaments/m/Bangkok/2007,Bangkok
4,H2H 3-5,Ivo Karlovic,16.0,2.0,5767227.0,121772.0,,2.6,Ivo Karlovic,55.0,0.0,0.0,60.0,14.0,55.0,40.0,34.0,15.0,7.0,,,,,,2.0,115.0,,,2.60,1.45,QF,7-5 6-4,Tomas Berdych,9.0,2.0,5767227.0,121771.0,,1.45,Tomas Berdych,60.0,5.0,2.0,55.0,14.0,60.0,40.0,32.0,20.0,14.0,,,,,,1.0,115.0,,,2007-09-24,https://matchstat.com/tennis/tournaments/m/Bangkok/2007,Bangkok
5,H2H 4-0,Nicolas Mahut,12.0,5.0,5767228.0,121770.0,,2.25,Nicolas Mahut,105.0,5.0,3.0,97.0,34.0,119.0,69.0,46.0,50.0,25.0,,,,,,2.0,216.0,,,2.25,1.74,QF,4-6 7-6(2) 6-4,Fernando Verdasco,8.0,2.0,5767228.0,121769.0,,1.741,Fernando Verdasco,111.0,11.0,3.0,119.0,48.0,97.0,74.0,50.0,23.0,13.0,,,,,,1.0,216.0,,,2007-09-24,https://matchstat.com/tennis/tournaments/m/Bangkok/2007,Bangkok
6,H2H 4-0,Jimmy Wang,5.0,1.0,5767229.0,121768.0,,4.6,Jimmy Wang,84.0,7.0,2.0,93.0,32.0,91.0,55.0,36.0,36.0,16.0,,,,,,2.0,184.0,,,4.60,1.25,QF,4-6 6-2 6-4,Dmitry Tursunov,14.0,2.0,5767229.0,121767.0,,1.25,Dmitry Tursunov,100.0,12.0,4.0,91.0,39.0,93.0,66.0,47.0,27.0,14.0,,,,,,1.0,184.0,,,2007-09-24,https://matchstat.com/tennis/tournaments/m/Bangkok/2007,Bangkok
7,H2H 1-0,Igor Kunitsyn,6.0,4.0,5767218.0,121755.0,,1.617,Igor Kunitsyn,84.0,7.0,2.0,81.0,26.0,98.0,45.0,30.0,53.0,28.0,,,,,,1.0,179.0,,,1.62,2.52,R16,3-6 7-6(6) 6-0,Dominik Meffert,4.0,1.0,5767218.0,121756.0,,2.52,Dominik Meffert,95.0,9.0,4.0,98.0,40.0,81.0,51.0,42.0,30.0,13.0,,,,,,2.0,179.0,,,2007-09-24,https://matchstat.com/tennis/tournaments/m/Bangkok/2007,Bangkok
8,H2H 2-0,Danai Udomchoke,4.0,2.0,5767219.0,121753.0,,2.83,Danai Udomchoke,47.0,3.0,0.0,56.0,17.0,55.0,35.0,21.0,20.0,9.0,,,,,,1.0,111.0,,,2.83,1.49,R16,6-2 6-3,Benjamin Becker,13.0,1.0,5767219.0,121754.0,,1.493,Benjamin Becker,64.0,5.0,3.0,55.0,25.0,56.0,29.0,27.0,27.0,12.0,,,,,,2.0,111.0,,,2007-09-24,https://matchstat.com/tennis/tournaments/m/Bangkok/2007,Bangkok
9,H2H 2-2,Mischa Zverev,2.0,0.0,5767220.0,121752.0,,7.05,Mischa Zverev,48.0,3.0,0.0,49.0,11.0,66.0,44.0,26.0,22.0,11.0,,,,,,2.0,115.0,,,7.05,1.15,R16,6-1 6-4,Tomas Berdych,3.0,2.0,5767220.0,121751.0,,1.15,Tomas Berdych,67.0,13.0,3.0,66.0,29.0,49.0,31.0,29.0,18.0,9.0,,,,,,1.0,115.0,,,2007-09-24,https://matchstat.com/tennis/tournaments/m/Bangkok/2007,Bangkok
