,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 6-4,G. Vilas,F,6-4 5-7 6-4 4-6 6-1,Ivan Lendl,1980-10-06,https://matchstat.com/tennis/tournaments/m/Barcelona/1980,Barcelona
1,H2H 9-4,Jose Luis Clerc,SF,4-0 Retired,G. Vilas,1980-10-06,https://matchstat.com/tennis/tournaments/m/Barcelona/1980,Barcelona
2,H2H 2-1,Adriano Panatta,SF,6-1 6-1,Ivan Lendl,1980-10-06,https://matchstat.com/tennis/tournaments/m/Barcelona/1980,Barcelona
3,H2H 7-2,Balazs Taroczy,QF,7-6 6-0,G. Vilas,1980-10-06,https://matchstat.com/tennis/tournaments/m/Barcelona/1980,Barcelona
4,H2H 8-4,Andres Gomez,QF,6-1 6-4,Jose Luis Clerc,1980-10-06,https://matchstat.com/tennis/tournaments/m/Barcelona/1980,Barcelona
5,H2H 4-5,Corrado Barazzutti,QF,6-2 4-6 6-2,Adriano Panatta,1980-10-06,https://matchstat.com/tennis/tournaments/m/Barcelona/1980,Barcelona
6,H2H 3-0,Gabriel Urpi,QF,6-2 6-2,Ivan Lendl,1980-10-06,https://matchstat.com/tennis/tournaments/m/Barcelona/1980,Barcelona
7,H2H 3-0,Fernando Luna,R16,6-2 6-0,G. Vilas,1980-10-06,https://matchstat.com/tennis/tournaments/m/Barcelona/1980,Barcelona
8,H2H 1-1,Peter Elter,R16,6-3 6-3,Balazs Taroczy,1980-10-06,https://matchstat.com/tennis/tournaments/m/Barcelona/1980,Barcelona
9,H2H 3-0,Pavel Slozil,R16,6-3 6-3,Jose Luis Clerc,1980-10-06,https://matchstat.com/tennis/tournaments/m/Barcelona/1980,Barcelona
10,H2H 3-2,Hans Gildemeister,R16,6-4 4-6 6-3,Andres Gomez,1980-10-06,https://matchstat.com/tennis/tournaments/m/Barcelona/1980,Barcelona
11,H2H 5-0,Z. Franulovic,R16,6-0 6-4,Corrado Barazzutti,1980-10-06,https://matchstat.com/tennis/tournaments/m/Barcelona/1980,Barcelona
12,H2H 4-2,Eddie Dibbs,R16,6-4 3-6 10-8,Adriano Panatta,1980-10-06,https://matchstat.com/tennis/tournaments/m/Barcelona/1980,Barcelona
13,H2H 1-0,Tomas Smid,R16,2-6 6-1 6-4,Gabriel Urpi,1980-10-06,https://matchstat.com/tennis/tournaments/m/Barcelona/1980,Barcelona
14,H2H 1-0,Jose Lopez-Maeso,R16,6-2 6-2,Ivan Lendl,1980-10-06,https://matchstat.com/tennis/tournaments/m/Barcelona/1980,Barcelona
15,H2H 2-0,Pavel Hutka,R32,6-0 6-0,G. Vilas,1980-10-06,https://matchstat.com/tennis/tournaments/m/Barcelona/1980,Barcelona
16,H2H 1-0,Jiri Hrebec,R32,6-2 4-6 6-1,Fernando Luna,1980-10-06,https://matchstat.com/tennis/tournaments/m/Barcelona/1980,Barcelona
17,H2H 2-0,Louk Sanders,R32,6-4 4-6 6-3,Peter Elter,1980-10-06,https://matchstat.com/tennis/tournaments/m/Barcelona/1980,Barcelona
18,H2H 7-1,Uli Pinner,R32,6-3 6-4,Balazs Taroczy,1980-10-06,https://matchstat.com/tennis/tournaments/m/Barcelona/1980,Barcelona
19,H2H 1-0,Javier Soler,R32,6-2 6-1,Jose Luis Clerc,1980-10-06,https://matchstat.com/tennis/tournaments/m/Barcelona/1980,Barcelona
20,H2H 3-1,Thierry Tulasne,R32,2-6 6-2 7-5,Pavel Slozil,1980-10-06,https://matchstat.com/tennis/tournaments/m/Barcelona/1980,Barcelona
21,H2H 1-0,Ray Moore,R32,6-2 6-2,Andres Gomez,1980-10-06,https://matchstat.com/tennis/tournaments/m/Barcelona/1980,Barcelona
22,H2H 1-0,Anders Jarryd,R32,7-6 6-4,Hans Gildemeister,1980-10-06,https://matchstat.com/tennis/tournaments/m/Barcelona/1980,Barcelona
23,H2H 1-0,Stefan Svensson,R32,6-3 6-2,Corrado Barazzutti,1980-10-06,https://matchstat.com/tennis/tournaments/m/Barcelona/1980,Barcelona
24,H2H 2-0,Ross Case,R32,7-6 7-5,Z. Franulovic,1980-10-06,https://matchstat.com/tennis/tournaments/m/Barcelona/1980,Barcelona
25,H2H 1-0,Stanislav Birner,R32,3-6 6-2 6-3,Adriano Panatta,1980-10-06,https://matchstat.com/tennis/tournaments/m/Barcelona/1980,Barcelona
26,H2H 3-1,Rick Fagel,R32,6-4 6-3,Eddie Dibbs,1980-10-06,https://matchstat.com/tennis/tournaments/m/Barcelona/1980,Barcelona
27,H2H 4-0,J. Kodes,R32,6-1 6-7 10-8,Tomas Smid,1980-10-06,https://matchstat.com/tennis/tournaments/m/Barcelona/1980,Barcelona
28,H2H 1-0,Chris Lewis,R32,6-1 6-2,Gabriel Urpi,1980-10-06,https://matchstat.com/tennis/tournaments/m/Barcelona/1980,Barcelona
29,H2H 1-0,J. Velasco,R32,6-2 1-6 6-0,Jose Lopez-Maeso,1980-10-06,https://matchstat.com/tennis/tournaments/m/Barcelona/1980,Barcelona
30,H2H 1-0,Juan Torralbo-Olmo,R32,6-0 6-0,Ivan Lendl,1980-10-06,https://matchstat.com/tennis/tournaments/m/Barcelona/1980,Barcelona
31,H2H 1-0,Jose Garcia-Requena,R64,6-2 6-4,G. Vilas,1980-10-06,https://matchstat.com/tennis/tournaments/m/Barcelona/1980,Barcelona
32,H2H 2-0,Paul Kronk,R64,6-4 3-6 6-3,Pavel Hutka,1980-10-06,https://matchstat.com/tennis/tournaments/m/Barcelona/1980,Barcelona
33,H2H 3-1,Joakim Nystrom,R64,7-5 6-1,Fernando Luna,1980-10-06,https://matchstat.com/tennis/tournaments/m/Barcelona/1980,Barcelona
34,H2H 1-0,Gianni Ocleppo,R64,6-2 6-1,Jiri Hrebec,1980-10-06,https://matchstat.com/tennis/tournaments/m/Barcelona/1980,Barcelona
35,H2H 1-0,Tony Giammalva,R64,1-6 6-4 6-4,Louk Sanders,1980-10-06,https://matchstat.com/tennis/tournaments/m/Barcelona/1980,Barcelona
