,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
0,H2H 24-6,David Ferrer,0.0,2.0,6067223.0,783009.0,,13.0,David Ferrer,86.0,15.0,3.0,91.0,37.0,93.0,70.0,38.0,23.0,11.0,,,,,,2.0,184.0,,,13.00,1.07,F,7-6(1) 7-5,Rafael Nadal,4.0,3.0,6067223.0,783008.0,,1.07,Rafael Nadal,98.0,10.0,4.0,93.0,44.0,91.0,58.0,36.0,33.0,18.0,,,,,,1.0,184.0,,,2012-04-23,https://matchstat.com/tennis/tournaments/m/Barcelona/2012,Barcelona
1,H2H 16-3,Fernando Verdasco,0.0,2.0,6067221.0,171892.0,,17.0,Fernando Verdasco,39.0,4.0,0.0,50.0,14.0,50.0,38.0,20.0,12.0,5.0,,,,,,2.0,100.0,,,17.00,1.04,SF,6-0 6-4,Rafael Nadal,2.0,1.0,6067221.0,171891.0,,1.04,Rafael Nadal,61.0,8.0,4.0,50.0,25.0,50.0,35.0,29.0,15.0,7.0,,,,,,1.0,100.0,,,2012-04-23,https://matchstat.com/tennis/tournaments/m/Barcelona/2012,Barcelona
2,H2H 4-0,Milos Raonic,15.0,5.0,6067222.0,783007.0,,3.15,Milos Raonic,85.0,4.0,0.0,83.0,22.0,97.0,57.0,40.0,40.0,23.0,,,,,,2.0,180.0,,,3.15,1.42,SF,7-6(2) 7-6(5),David Ferrer,0.0,2.0,6067222.0,783006.0,,1.42,David Ferrer,95.0,7.0,0.0,97.0,34.0,83.0,62.0,47.0,21.0,14.0,,,,,,1.0,180.0,,,2012-04-23,https://matchstat.com/tennis/tournaments/m/Barcelona/2012,Barcelona
3,H2H 3-0,Janko Tipsarevic,3.0,4.0,6067217.0,171826.0,,20.0,Janko Tipsarevic,39.0,5.0,1.0,48.0,16.0,51.0,30.0,19.0,21.0,4.0,,,,,,2.0,99.0,,,20.00,1.03,QF,6-2 6-2,Rafael Nadal,3.0,1.0,6067217.0,171825.0,,1.03,Rafael Nadal,60.0,7.0,5.0,51.0,28.0,48.0,33.0,25.0,15.0,7.0,,,,,,1.0,99.0,,,2012-04-23,https://matchstat.com/tennis/tournaments/m/Barcelona/2012,Barcelona
4,H2H 2-2,Kei Nishikori,0.0,1.0,6067218.0,171834.0,,2.42,Kei Nishikori,14.0,0.0,0.0,16.0,4.0,17.0,8.0,8.0,9.0,2.0,,,,,,2.0,33.0,,,2.42,1.65,QF,4-2 Retired,Fernando Verdasco,2.0,0.0,6067218.0,171833.0,,1.649,Fernando Verdasco,19.0,1.0,1.0,17.0,7.0,16.0,13.0,10.0,3.0,2.0,,,,,,1.0,33.0,,,2012-04-23,https://matchstat.com/tennis/tournaments/m/Barcelona/2012,Barcelona
5,H2H 10-6,Feliciano Lopez,2.0,1.0,6067219.0,783004.0,,6.1,Feliciano Lopez,104.0,2.0,0.0,99.0,22.0,128.0,82.0,51.0,46.0,31.0,,,,,,1.0,227.0,,,6.10,1.17,QF,6-7(4) 7-6(7) 6-3,David Ferrer,7.0,1.0,6067219.0,783005.0,,1.167,David Ferrer,123.0,10.0,1.0,128.0,46.0,99.0,64.0,55.0,35.0,22.0,,,,,,2.0,227.0,,,2012-04-23,https://matchstat.com/tennis/tournaments/m/Barcelona/2012,Barcelona
6,H2H 3-6,Andy Murray,3.0,1.0,6067220.0,171816.0,,1.25,Andy Murray,64.0,4.0,1.0,69.0,18.0,71.0,45.0,33.0,26.0,13.0,,,,,,2.0,140.0,,,1.25,4.55,QF,6-4 7-6(3),Milos Raonic,14.0,1.0,6067220.0,171815.0,,4.55,Milos Raonic,76.0,5.0,2.0,71.0,25.0,69.0,45.0,38.0,24.0,13.0,,,,,,1.0,140.0,,,2012-04-23,https://matchstat.com/tennis/tournaments/m/Barcelona/2012,Barcelona
7,H2H 1-0,Robert Farah,3.0,2.0,6067209.0,171770.0,,31.0,Robert Farah,37.0,2.0,1.0,42.0,12.0,55.0,31.0,16.0,24.0,9.0,,,,,,2.0,97.0,,,31.00,1.00,R16,6-2 6-3,Rafael Nadal,2.0,0.0,6067209.0,171769.0,,1.002,Rafael Nadal,60.0,10.0,5.0,55.0,30.0,42.0,25.0,19.0,17.0,11.0,,,,,,1.0,97.0,,,2012-04-23,https://matchstat.com/tennis/tournaments/m/Barcelona/2012,Barcelona
8,H2H 1-0,Frederico Gil,0.0,1.0,6067210.0,171771.0,,4.7,Frederico Gil,35.0,1.0,0.0,48.0,12.0,44.0,26.0,17.0,18.0,6.0,,,,,,1.0,92.0,,,4.70,1.22,R16,6-2 6-2,Janko Tipsarevic,9.0,2.0,6067210.0,171772.0,,1.222,Janko Tipsarevic,57.0,6.0,4.0,44.0,21.0,48.0,22.0,18.0,26.0,18.0,,,,,,2.0,92.0,,,2012-04-23,https://matchstat.com/tennis/tournaments/m/Barcelona/2012,Barcelona
9,H2H 2-1,Kevin Anderson,4.0,1.0,6067211.0,171798.0,,3.15,Kevin Anderson,62.0,4.0,0.0,62.0,17.0,73.0,46.0,31.0,27.0,14.0,,,,,,2.0,135.0,,,3.15,1.40,R16,6-4 6-4,Fernando Verdasco,5.0,1.0,6067211.0,171797.0,,1.4,Fernando Verdasco,73.0,12.0,2.0,73.0,28.0,62.0,44.0,35.0,18.0,10.0,,,,,,1.0,135.0,,,2012-04-23,https://matchstat.com/tennis/tournaments/m/Barcelona/2012,Barcelona
