,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 2-2,Marian Vajda,F,4-6 6-3 6-4,Juan Aguilera,1989-06-19,https://matchstat.com/tennis/tournaments/m/Bari/1989,Bari
1,H2H 1-1,Claudio Mezzadri,SF,6-1 7-5,Juan Aguilera,1989-06-19,https://matchstat.com/tennis/tournaments/m/Bari/1989,Bari
2,H2H 1-0,Alejandro Aramburu Acuna,SF,6-2 7-6,Marian Vajda,1989-06-19,https://matchstat.com/tennis/tournaments/m/Bari/1989,Bari
3,H2H 2-2,Franco Davin,QF,3-6 6-3 6-3,Claudio Mezzadri,1989-06-19,https://matchstat.com/tennis/tournaments/m/Bari/1989,Bari
4,H2H 1-1,Pedro Rebolledo,QF,6-4 6-2,Juan Aguilera,1989-06-19,https://matchstat.com/tennis/tournaments/m/Bari/1989,Bari
5,H2H 1-2,Sergio Casal,QF,7-6 6-3,Marian Vajda,1989-06-19,https://matchstat.com/tennis/tournaments/m/Bari/1989,Bari
6,H2H 1-0,Marc Rosset,QF,6-2 6-2,Alejandro Aramburu Acuna,1989-06-19,https://matchstat.com/tennis/tournaments/m/Bari/1989,Bari
7,H2H 1-0,Javier Sanchez,R16,6-4 6-4,Claudio Mezzadri,1989-06-19,https://matchstat.com/tennis/tournaments/m/Bari/1989,Bari
8,H2H 1-3,Stefano Pescosolido,R16,6-4 6-3,Franco Davin,1989-06-19,https://matchstat.com/tennis/tournaments/m/Bari/1989,Bari
9,H2H 1-0,Paolo Pambianco,R16,4-6 6-4 6-0,Juan Aguilera,1989-06-19,https://matchstat.com/tennis/tournaments/m/Bari/1989,Bari
10,H2H 1-0,Massimiliano Narducci,R16,6-3 6-4,Pedro Rebolledo,1989-06-19,https://matchstat.com/tennis/tournaments/m/Bari/1989,Bari
11,H2H 1-0,Enrico Cocchi,R16,6-3 6-3,Sergio Casal,1989-06-19,https://matchstat.com/tennis/tournaments/m/Bari/1989,Bari
12,H2H 2-0,Massimo Cierro,R16,3-6 6-4 6-0,Marian Vajda,1989-06-19,https://matchstat.com/tennis/tournaments/m/Bari/1989,Bari
