,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
0,H2H 5-0,David Goffin,6.0,4.0,6315419.0,408092.0,,5.3,David Goffin,29.0,0.0,0.0,37.0,5.0,47.0,23.0,18.0,24.0,6.0,,,,,,2.0,84.0,,,5.30,1.21,F,6-2 6-2,Roger Federer,5.0,1.0,6315419.0,408091.0,,1.21,Roger Federer,55.0,6.0,4.0,47.0,23.0,37.0,22.0,18.0,15.0,14.0,,,,,,1.0,84.0,,,2014-10-20,https://matchstat.com/tennis/tournaments/m/Basel/2014,Basel
1,H2H 13-1,Ivo Karlovic,33.0,2.0,6315236.0,408058.0,,6.7,Ivo Karlovic,82.0,2.0,1.0,86.0,17.0,85.0,63.0,53.0,22.0,12.0,,,,,,2.0,171.0,,,6.70,1.15,SF,7-6(8) 3-6 6-3,Roger Federer,7.0,3.0,6315236.0,408057.0,,1.153,Roger Federer,89.0,4.0,1.0,85.0,20.0,86.0,55.0,47.0,31.0,22.0,,,,,,1.0,171.0,,,2014-10-20,https://matchstat.com/tennis/tournaments/m/Basel/2014,Basel
2,H2H 4-0,Borna Coric,10.0,7.0,6315235.0,408056.0,,3.35,Borna Coric,88.0,3.0,1.0,84.0,26.0,96.0,56.0,42.0,40.0,20.0,,,,,,2.0,180.0,,,3.35,1.40,SF,6-4 3-6 6-3,David Goffin,10.0,6.0,6315235.0,408055.0,,1.4,David Goffin,92.0,7.0,2.0,96.0,34.0,84.0,39.0,32.0,45.0,26.0,,,,,,1.0,180.0,,,2014-10-20,https://matchstat.com/tennis/tournaments/m/Basel/2014,Basel
3,H2H 5-0,Grigor Dimitrov,7.0,1.0,6315358.0,408052.0,,4.0,Grigor Dimitrov,61.0,4.0,0.0,65.0,16.0,74.0,45.0,32.0,29.0,13.0,,,,,,2.0,139.0,,,4.00,1.30,QF,7-6(4) 6-2,Roger Federer,10.0,1.0,6315358.0,408051.0,,1.3,Roger Federer,78.0,6.0,2.0,74.0,29.0,65.0,37.0,31.0,28.0,18.0,,,,,,1.0,139.0,,,2014-10-20,https://matchstat.com/tennis/tournaments/m/Basel/2014,Basel
4,H2H 7-1,Benjamin Becker,4.0,3.0,6315250.0,408039.0,,2.5,Benjamin Becker,57.0,5.0,1.0,62.0,18.0,64.0,43.0,28.0,21.0,11.0,,,,,,1.0,126.0,,,2.50,1.62,QF,6-4 6-4,Ivo Karlovic,19.0,5.0,6315250.0,408040.0,,1.615,Ivo Karlovic,69.0,6.0,3.0,64.0,25.0,62.0,46.0,40.0,16.0,4.0,,,,,,2.0,126.0,,,2014-10-20,https://matchstat.com/tennis/tournaments/m/Basel/2014,Basel
5,H2H 1-2,Milos Raonic,21.0,8.0,6315140.0,408038.0,,1.68,Milos Raonic,102.0,7.0,1.0,104.0,32.0,110.0,54.0,45.0,56.0,25.0,,,,,,2.0,214.0,,,1.68,2.35,QF,6-7(3) 6-3 6-4,David Goffin,12.0,6.0,6315140.0,408037.0,,2.35,David Goffin,112.0,9.0,3.0,110.0,40.0,104.0,48.0,44.0,56.0,28.0,,,,,,1.0,214.0,,,2014-10-20,https://matchstat.com/tennis/tournaments/m/Basel/2014,Basel
6,H2H 1-1,Rafael Nadal,1.0,0.0,6315365.0,408046.0,,1.125,Rafael Nadal,62.0,4.0,1.0,74.0,25.0,60.0,44.0,30.0,16.0,7.0,,,,,,2.0,134.0,,,1.13,7.60,QF,6-2 7-6(4),Borna Coric,6.0,2.0,6315365.0,408045.0,,7.6,Borna Coric,72.0,5.0,3.0,60.0,23.0,74.0,36.0,29.0,38.0,20.0,,,,,,1.0,134.0,,,2014-10-20,https://matchstat.com/tennis/tournaments/m/Basel/2014,Basel
7,H2H 6-0,Denis Istomin,11.0,4.0,6315248.0,408024.0,,12.0,Denis Istomin,77.0,4.0,1.0,71.0,14.0,98.0,56.0,42.0,42.0,21.0,,,,,,2.0,169.0,,,12.00,1.06,R16,3-6 6-3 6-4,Roger Federer,6.0,0.0,6315248.0,408023.0,,1.06,Roger Federer,92.0,12.0,2.0,98.0,35.0,71.0,44.0,40.0,27.0,17.0,,,,,,1.0,169.0,,,2014-10-20,https://matchstat.com/tennis/tournaments/m/Basel/2014,Basel
8,H2H 4-0,Vasek Pospisil,4.0,4.0,6315418.0,408029.0,,2.55,Vasek Pospisil,43.0,0.0,0.0,48.0,14.0,53.0,25.0,19.0,28.0,10.0,,,,,,1.0,101.0,,,2.55,1.55,R16,6-2 6-2,Grigor Dimitrov,3.0,3.0,6315418.0,408030.0,,1.55,Grigor Dimitrov,58.0,11.0,4.0,53.0,24.0,48.0,29.0,25.0,19.0,9.0,,,,,,2.0,101.0,,,2014-10-20,https://matchstat.com/tennis/tournaments/m/Basel/2014,Basel
9,H2H 2-0,Mikhail Kukushkin,,,6315370.0,410259.0,,1.78,Mikhail Kukushkin,,,,,,,,,,,,,,,,1.0,,,,1.78,2.14,R16,6-7(3) 7-6(4) 4-0 Ret'd,Benjamin Becker,,,6315370.0,410260.0,,2.14,Benjamin Becker,,,,,,,,,,,,,,,,2.0,,,,2014-10-20,https://matchstat.com/tennis/tournaments/m/Basel/2014,Basel
