,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 5-1,John Lloyd,F,6-4 6-2 6-3,Bjorn Borg,1977-10-24,https://matchstat.com/tennis/tournaments/m/Basle/1977,Basle
1,H2H 3-0,Erik Van Dillen,SF,6-3 6-4,Bjorn Borg,1977-10-24,https://matchstat.com/tennis/tournaments/m/Basle/1977,Basle
2,H2H 1-1,J. Fillol,SF,7-6 7-6,John Lloyd,1977-10-24,https://matchstat.com/tennis/tournaments/m/Basle/1977,Basle
3,H2H 4-0,Heinz Gunthardt,QF,6-4 6-3,Bjorn Borg,1977-10-24,https://matchstat.com/tennis/tournaments/m/Basle/1977,Basle
4,H2H 1-2,Jeff Borowiak,QF,6-3 6-4,Erik Van Dillen,1977-10-24,https://matchstat.com/tennis/tournaments/m/Basle/1977,Basle
5,H2H 1-0,Alvaro Fillol,QF,6-3 6-3,J. Fillol,1977-10-24,https://matchstat.com/tennis/tournaments/m/Basle/1977,Basle
6,H2H 2-0,M. Cox,QF,7-6 7-6,John Lloyd,1977-10-24,https://matchstat.com/tennis/tournaments/m/Basle/1977,Basle
7,H2H 1-0,C. Pasarell,R16,6-3 6-1,Bjorn Borg,1977-10-24,https://matchstat.com/tennis/tournaments/m/Basle/1977,Basle
8,H2H 4-1,Ray Moore,R16,7-6 6-4,Heinz Gunthardt,1977-10-24,https://matchstat.com/tennis/tournaments/m/Basle/1977,Basle
9,H2H 3-2,Billy Martin,R16,6-3 6-7 6-4,Jeff Borowiak,1977-10-24,https://matchstat.com/tennis/tournaments/m/Basle/1977,Basle
10,H2H 1-0,Jose Luis Clerc,R16,6-4 6-4,Erik Van Dillen,1977-10-24,https://matchstat.com/tennis/tournaments/m/Basle/1977,Basle
11,H2H 1-1,George Hardie,R16,7-6 7-5,Alvaro Fillol,1977-10-24,https://matchstat.com/tennis/tournaments/m/Basle/1977,Basle
12,H2H 1-0,John Feaver,R16,6-4 6-2,J. Fillol,1977-10-24,https://matchstat.com/tennis/tournaments/m/Basle/1977,Basle
13,H2H 1-0,Mark Farrell,R16,6-3 6-3,John Lloyd,1977-10-24,https://matchstat.com/tennis/tournaments/m/Basle/1977,Basle
14,H2H 3-0,Andrew Pattison,R16,7-6 4-6 7-6,M. Cox,1977-10-24,https://matchstat.com/tennis/tournaments/m/Basle/1977,Basle
