,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 3-2,Ronald Agenor,F,7-5 1-6 6-0,Horst Skoff,1993-07-05,https://matchstat.com/tennis/tournaments/m/Bastad/1993,Bastad
1,H2H 3-2,Christian Bergstrom,SF,6-4 6-4,Horst Skoff,1993-07-05,https://matchstat.com/tennis/tournaments/m/Bastad/1993,Bastad
2,H2H 1-1,Magnus Larsson,SF,6-4 6-3,Ronald Agenor,1993-07-05,https://matchstat.com/tennis/tournaments/m/Bastad/1993,Bastad
3,H2H 2-1,Nicklas Kulti,QF,6-3 6-4,Horst Skoff,1993-07-05,https://matchstat.com/tennis/tournaments/m/Bastad/1993,Bastad
4,H2H 1-0,Marcos-Aurelio Gorriz-Bonhora,QF,6-4 6-7 6-4,Christian Bergstrom,1993-07-05,https://matchstat.com/tennis/tournaments/m/Bastad/1993,Bastad
5,H2H 2-3,Richard Fromberg,QF,6-7 7-5 6-2,Ronald Agenor,1993-07-05,https://matchstat.com/tennis/tournaments/m/Bastad/1993,Bastad
6,H2H 2-0,Tomas Carbonell,QF,3-6 6-2 7-5,Magnus Larsson,1993-07-05,https://matchstat.com/tennis/tournaments/m/Bastad/1993,Bastad
7,H2H 2-0,Bart Wuyts,R16,7-6 3-6 6-4,Horst Skoff,1993-07-05,https://matchstat.com/tennis/tournaments/m/Bastad/1993,Bastad
8,H2H 1-1,Jan Gunnarsson,R16,7-6 6-1,Nicklas Kulti,1993-07-05,https://matchstat.com/tennis/tournaments/m/Bastad/1993,Bastad
9,H2H 1-0,Thomas Enqvist,R16,7-5 6-3,Marcos-Aurelio Gorriz-Bonhora,1993-07-05,https://matchstat.com/tennis/tournaments/m/Bastad/1993,Bastad
10,H2H 1-0,Christian Ruud,R16,6-3 1-6 6-4,Christian Bergstrom,1993-07-05,https://matchstat.com/tennis/tournaments/m/Bastad/1993,Bastad
11,H2H 4-0,Joao Cunha-Silva,R16,6-4 6-2,Richard Fromberg,1993-07-05,https://matchstat.com/tennis/tournaments/m/Bastad/1993,Bastad
12,H2H 2-0,Lars Jonsson,R16,3-6 6-1 7-6,Ronald Agenor,1993-07-05,https://matchstat.com/tennis/tournaments/m/Bastad/1993,Bastad
13,H2H 1-0,Jose-Francisco Altur,R16,6-1 6-7 6-4,Magnus Larsson,1993-07-05,https://matchstat.com/tennis/tournaments/m/Bastad/1993,Bastad
14,H2H 4-5,Magnus Gustafsson,R16,7-6 6-4,Tomas Carbonell,1993-07-05,https://matchstat.com/tennis/tournaments/m/Bastad/1993,Bastad
15,H2H 1-0,Henrik Holm,R32,6-4 7-6,Horst Skoff,1993-07-05,https://matchstat.com/tennis/tournaments/m/Bastad/1993,Bastad
16,H2H 1-0,Martin Jaite,R32,6-4 7-6,Bart Wuyts,1993-07-05,https://matchstat.com/tennis/tournaments/m/Bastad/1993,Bastad
17,H2H 1-1,Patrik Langvardt,R32,6-4 6-2,Jan Gunnarsson,1993-07-05,https://matchstat.com/tennis/tournaments/m/Bastad/1993,Bastad
18,H2H 3-2,Jonas Bjorkman,R32,6-4 6-1,Nicklas Kulti,1993-07-05,https://matchstat.com/tennis/tournaments/m/Bastad/1993,Bastad
19,H2H 1-2,Jonas B. Svensson,R32,7-6 6-1,Marcos-Aurelio Gorriz-Bonhora,1993-07-05,https://matchstat.com/tennis/tournaments/m/Bastad/1993,Bastad
20,H2H 1-1,Goran Prpic,R32,6-0 6-2,Thomas Enqvist,1993-07-05,https://matchstat.com/tennis/tournaments/m/Bastad/1993,Bastad
21,H2H 1-0,Tomas Nydahl,R32,6-2 4-6 6-4,Christian Ruud,1993-07-05,https://matchstat.com/tennis/tournaments/m/Bastad/1993,Bastad
22,H2H 1-1,Daniel Vacek,R32,3-6 7-5 6-2,Christian Bergstrom,1993-07-05,https://matchstat.com/tennis/tournaments/m/Bastad/1993,Bastad
23,H2H 3-3,Jordi Burillo,R32,6-1 6-4,Richard Fromberg,1993-07-05,https://matchstat.com/tennis/tournaments/m/Bastad/1993,Bastad
