,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
0,H2H 1-2,Joao Sousa,0.0,2.0,6234063.0,215195.0,,1.97,Joao Sousa,22.0,1.0,1.0,39.0,10.0,35.0,17.0,8.0,18.0,4.0,,,,,,1.0,74.0,,,1.97,1.97,F,6-2 6-1,Pablo Cuevas,4.0,0.0,6234063.0,215196.0,,1.97,Pablo Cuevas,52.0,7.0,5.0,35.0,23.0,39.0,24.0,19.0,15.0,10.0,,,,,,2.0,74.0,,,2014-07-14,https://matchstat.com/tennis/tournaments/m/Bastad/2014,Bastad
1,H2H 1-1,Carlos Berlocq,2.0,9.0,6233405.0,215149.0,,1.4,Carlos Berlocq,110.0,11.0,4.0,108.0,46.0,114.0,88.0,55.0,26.0,9.0,,,,,,1.0,222.0,,,1.40,3.35,SF,3-6 6-4 6-4,Joao Sousa,2.0,4.0,6233405.0,215150.0,,3.35,Joao Sousa,112.0,18.0,5.0,114.0,50.0,108.0,66.0,44.0,42.0,18.0,,,,,,2.0,222.0,,,2014-07-14,https://matchstat.com/tennis/tournaments/m/Bastad/2014,Bastad
2,H2H 2-1,Fernando Verdasco,5.0,4.0,6226980.0,215137.0,,1.441,Fernando Verdasco,68.0,5.0,0.0,81.0,25.0,68.0,41.0,29.0,27.0,14.0,,,,,,1.0,149.0,,,1.44,3.07,SF,7-6(6) 6-3,Pablo Cuevas,10.0,4.0,6226980.0,215138.0,,3.07,Pablo Cuevas,81.0,7.0,1.0,68.0,25.0,81.0,44.0,37.0,37.0,19.0,,,,,,2.0,149.0,,,2014-07-14,https://matchstat.com/tennis/tournaments/m/Bastad/2014,Bastad
3,H2H 1-1,David Ferrer,0.0,1.0,6233409.0,785484.0,,1.166,David Ferrer,51.0,6.0,2.0,59.0,20.0,62.0,32.0,14.0,30.0,17.0,,,,,,1.0,121.0,,,1.17,6.20,QF,6-3 6-3,Carlos Berlocq,5.0,4.0,6233409.0,785485.0,,6.2,Carlos Berlocq,70.0,7.0,5.0,62.0,31.0,59.0,35.0,28.0,24.0,11.0,,,,,,2.0,121.0,,,2014-07-14,https://matchstat.com/tennis/tournaments/m/Bastad/2014,Bastad
4,H2H 2-1,Dusan Lajovic,3.0,4.0,6233408.0,215121.0,,1.9,Dusan Lajovic,67.0,10.0,2.0,73.0,28.0,77.0,46.0,23.0,31.0,16.0,,,,,,1.0,150.0,,,1.90,2.02,QF,6-4 6-4,Joao Sousa,3.0,2.0,6233408.0,215122.0,,2.02,Joao Sousa,83.0,12.0,4.0,77.0,38.0,73.0,42.0,29.0,31.0,16.0,,,,,,2.0,150.0,,,2014-07-14,https://matchstat.com/tennis/tournaments/m/Bastad/2014,Bastad
5,H2H 1-1,Pablo Carreno Busta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QF,7-5 6-3,Fernando Verdasco,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-07-14,https://matchstat.com/tennis/tournaments/m/Bastad/2014,Bastad
6,H2H 3-2,Renzo Olivo,2.0,5.0,6233406.0,215118.0,,3.5,Renzo Olivo,54.0,5.0,0.0,69.0,23.0,53.0,27.0,20.0,26.0,11.0,,,,,,2.0,122.0,,,3.50,1.36,QF,6-2 6-4,Pablo Cuevas,0.0,1.0,6233406.0,215117.0,,1.363,Pablo Cuevas,68.0,5.0,3.0,53.0,22.0,69.0,46.0,34.0,23.0,12.0,,,,,,1.0,122.0,,,2014-07-14,https://matchstat.com/tennis/tournaments/m/Bastad/2014,Bastad
7,H2H 4-0,Victor Hanescu,1.0,0.0,6232817.0,785477.0,,8.2,Victor Hanescu,32.0,1.0,0.0,43.0,10.0,43.0,28.0,16.0,15.0,6.0,,,,,,2.0,86.0,,,8.20,1.10,R16,6-4 6-0,David Ferrer,2.0,2.0,6232817.0,785476.0,,1.1,David Ferrer,54.0,8.0,4.0,43.0,21.0,43.0,18.0,16.0,25.0,17.0,,,,,,1.0,86.0,,,2014-07-14,https://matchstat.com/tennis/tournaments/m/Bastad/2014,Bastad
8,H2H 1-0,Radu Albot,0.0,2.0,6233726.0,215109.0,,4.7,Radu Albot,93.0,8.0,2.0,98.0,35.0,102.0,68.0,42.0,34.0,16.0,,,,,,1.0,200.0,,,4.70,1.22,R16,5-7 6-4 6-2,Carlos Berlocq,5.0,4.0,6233726.0,215110.0,,1.222,Carlos Berlocq,107.0,11.0,4.0,102.0,44.0,98.0,66.0,46.0,32.0,17.0,,,,,,2.0,200.0,,,2014-07-14,https://matchstat.com/tennis/tournaments/m/Bastad/2014,Bastad
9,H2H 2-1,Jerzy Janowicz,3.0,7.0,6233633.0,215051.0,,1.8,Jerzy Janowicz,31.0,0.0,0.0,34.0,8.0,37.0,21.0,16.0,16.0,7.0,,,,,,1.0,71.0,,,1.80,2.10,R16,6-3 1-1 Ret'd,Dusan Lajovic,6.0,2.0,6233633.0,215052.0,,2.1,Dusan Lajovic,40.0,5.0,1.0,37.0,14.0,34.0,18.0,16.0,16.0,10.0,,,,,,2.0,71.0,,,2014-07-14,https://matchstat.com/tennis/tournaments/m/Bastad/2014,Bastad
