,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
0,H2H 4-1,Guillermo Coria,,,5632733.0,246102.0,,4.18,Guillermo Coria,,,,,,,,,,,,,,,,2.0,,,,4.18,1.29,F,5-7 6-1 6-2,Rafael Nadal,,,5632733.0,246101.0,,1.287,Rafael Nadal,,,,,,,,,,,,,,,,1.0,,,,2005-09-12,https://matchstat.com/tennis/tournaments/m/Beijing/2005,Beijing
1,H2H 7-2,Juan Carlos Ferrero,,,5632731.0,246100.0,,4.65,Juan Carlos Ferrero,,,,,,,,,,,,,,,,2.0,,,,4.65,1.25,SF,6-4 6-4,Rafael Nadal,,,5632731.0,246099.0,,1.247,Rafael Nadal,,,,,,,,,,,,,,,,1.0,,,,2005-09-12,https://matchstat.com/tennis/tournaments/m/Beijing/2005,Beijing
2,H2H 1-1,Thomas Johansson,,,5632732.0,246097.0,,2.25,Thomas Johansson,,,,,,,,,,,,,,,,1.0,,,,2.25,1.74,SF,4-6 7-5 6-2,Guillermo Coria,,,5632732.0,246098.0,,1.741,Guillermo Coria,,,,,,,,,,,,,,,,2.0,,,,2005-09-12,https://matchstat.com/tennis/tournaments/m/Beijing/2005,Beijing
3,H2H 1-0,Peter Wessels,,,5632727.0,246096.0,,11.25,Peter Wessels,,,,,,,,,,,,,,,,2.0,,,,11.25,1.08,QF,7-6(3) 6-2,Rafael Nadal,,,5632727.0,246095.0,,1.078,Rafael Nadal,,,,,,,,,,,,,,,,1.0,,,,2005-09-12,https://matchstat.com/tennis/tournaments/m/Beijing/2005,Beijing
4,H2H 3-4,David Nalbandian,,,5632728.0,246091.0,,1.5,David Nalbandian,,,,,,,,,,,,,,,,1.0,,,,1.50,2.80,QF,6-2 3-6 6-3,Juan Carlos Ferrero,,,5632728.0,246092.0,,2.8,Juan Carlos Ferrero,,,,,,,,,,,,,,,,2.0,,,,2005-09-12,https://matchstat.com/tennis/tournaments/m/Beijing/2005,Beijing
5,H2H 4-2,Carlos Moya,,,5632729.0,246089.0,,2.4,Carlos Moya,,,,,,,,,,,,,,,,1.0,,,,2.40,1.67,QF,7-6(3) 6-3,Thomas Johansson,,,5632729.0,246090.0,,1.667,Thomas Johansson,,,,,,,,,,,,,,,,2.0,,,,2005-09-12,https://matchstat.com/tennis/tournaments/m/Beijing/2005,Beijing
6,H2H 6-2,Mikhail Youzhny,,,5632730.0,246093.0,,2.92,Mikhail Youzhny,,,,,,,,,,,,,,,,1.0,,,,2.92,1.47,QF,6-4 1-6 6-1,Guillermo Coria,,,5632730.0,246094.0,,1.472,Guillermo Coria,,,,,,,,,,,,,,,,2.0,,,,2005-09-12,https://matchstat.com/tennis/tournaments/m/Beijing/2005,Beijing
7,H2H 1-0,Justin Gimelstob,,,5632719.0,246086.0,,25.0,Justin Gimelstob,,,,,,,,,,,,,,,,2.0,,,,25.00,1.03,R16,5-7 6-4 6-4,Rafael Nadal,,,5632719.0,246085.0,,1.033,Rafael Nadal,,,,,,,,,,,,,,,,1.0,,,,2005-09-12,https://matchstat.com/tennis/tournaments/m/Beijing/2005,Beijing
8,H2H 1-0,Yu Jr. Wang,,,5632720.0,246088.0,,5.9,Yu Jr. Wang,,,,,,,,,,,,,,,,2.0,,,,5.90,1.19,R16,6-1 7-6(9),Peter Wessels,,,5632720.0,246087.0,,1.185,Peter Wessels,,,,,,,,,,,,,,,,1.0,,,,2005-09-12,https://matchstat.com/tennis/tournaments/m/Beijing/2005,Beijing
9,H2H 1-0,Amir Hadad,,,5632721.0,246076.0,,13.0,Amir Hadad,,,,,,,,,,,,,,,,2.0,,,,13.00,1.07,R16,6-4 6-0,David Nalbandian,,,5632721.0,246075.0,,1.071,David Nalbandian,,,,,,,,,,,,,,,,1.0,,,,2005-09-12,https://matchstat.com/tennis/tournaments/m/Beijing/2005,Beijing
