,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
0,H2H 5-0,Lukasz Kubot,2.0,1.0,5868889.0,133518.0,,21.0,Lukasz Kubot,56.0,9.0,3.0,69.0,23.0,61.0,40.0,26.0,21.0,7.0,,,,,,2.0,130.0,,,21.00,1.04,F,6-3 7-6(0),Novak Djokovic,6.0,2.0,5868889.0,133517.0,,1.038,Novak Djokovic,74.0,7.0,4.0,61.0,28.0,69.0,46.0,32.0,23.0,14.0,,,,,,1.0,130.0,,,2009-05-04,https://matchstat.com/tennis/tournaments/m/Belgrade/2009,Belgrade
1,H2H 12-0,Andreas Seppi,3.0,7.0,5868887.0,133500.0,,11.5,Andreas Seppi,84.0,8.0,2.0,97.0,37.0,89.0,62.0,40.0,27.0,7.0,,,,,,2.0,186.0,,,11.50,1.07,SF,4-6 6-1 6-2,Novak Djokovic,1.0,3.0,5868887.0,133499.0,,1.074,Novak Djokovic,102.0,11.0,5.0,89.0,42.0,97.0,59.0,41.0,38.0,19.0,,,,,,1.0,186.0,,,2009-05-04,https://matchstat.com/tennis/tournaments/m/Belgrade/2009,Belgrade
2,H2H 3-1,Ivo Karlovic,14.0,1.0,5868888.0,133494.0,,1.328,Ivo Karlovic,57.0,4.0,0.0,66.0,19.0,56.0,35.0,28.0,21.0,10.0,,,,,,2.0,122.0,,,1.33,3.75,SF,7-6(0) 6-2,Lukasz Kubot,2.0,3.0,5868888.0,133493.0,,3.75,Lukasz Kubot,65.0,5.0,2.0,56.0,18.0,66.0,37.0,29.0,29.0,18.0,,,,,,1.0,122.0,,,2009-05-04,https://matchstat.com/tennis/tournaments/m/Belgrade/2009,Belgrade
3,H2H 13-1,Viktor Troicki,1.0,1.0,5868883.0,133456.0,,9.0,Viktor Troicki,38.0,3.0,1.0,49.0,16.0,44.0,25.0,15.0,19.0,7.0,,,,,,2.0,93.0,,,9.00,1.10,QF,6-3 6-2,Novak Djokovic,2.0,0.0,5868883.0,133455.0,,1.1,Novak Djokovic,55.0,4.0,4.0,44.0,22.0,49.0,34.0,26.0,15.0,7.0,,,,,,1.0,93.0,,,2009-05-04,https://matchstat.com/tennis/tournaments/m/Belgrade/2009,Belgrade
4,H2H 1-1,Marcos Daniel,1.0,2.0,5868884.0,133458.0,,3.1,Marcos Daniel,72.0,6.0,3.0,74.0,27.0,86.0,49.0,31.0,37.0,14.0,,,,,,2.0,160.0,,,3.10,1.44,QF,6-4 7-5,Andreas Seppi,2.0,2.0,5868884.0,133457.0,,1.435,Andreas Seppi,88.0,11.0,5.0,86.0,41.0,74.0,51.0,32.0,23.0,15.0,,,,,,1.0,160.0,,,2009-05-04,https://matchstat.com/tennis/tournaments/m/Belgrade/2009,Belgrade
5,H2H 2-0,Kristof Vliegen,5.0,3.0,5868885.0,133459.0,,1.465,Kristof Vliegen,70.0,10.0,4.0,77.0,36.0,68.0,40.0,22.0,28.0,12.0,,,,,,1.0,145.0,,,1.47,2.95,QF,7-6(6) 6-3,Lukasz Kubot,1.0,2.0,5868885.0,133460.0,,2.95,Lukasz Kubot,75.0,9.0,6.0,68.0,34.0,77.0,48.0,28.0,29.0,13.0,,,,,,2.0,145.0,,,2009-05-04,https://matchstat.com/tennis/tournaments/m/Belgrade/2009,Belgrade
6,H2H 1-0,Flavio Cipolla,0.0,3.0,5868886.0,133461.0,,2.96,Flavio Cipolla,43.0,1.0,0.0,51.0,13.0,56.0,42.0,24.0,14.0,6.0,,,,,,1.0,107.0,,,2.96,1.46,QF,6-3 6-3,Ivo Karlovic,13.0,3.0,5868886.0,133462.0,,1.463,Ivo Karlovic,64.0,6.0,3.0,56.0,26.0,51.0,33.0,29.0,18.0,9.0,,,,,,2.0,107.0,,,2009-05-04,https://matchstat.com/tennis/tournaments/m/Belgrade/2009,Belgrade
7,H2H 5-2,Janko Tipsarevic,5.0,2.0,5868875.0,133406.0,,9.0,Janko Tipsarevic,68.0,4.0,2.0,63.0,20.0,96.0,50.0,31.0,46.0,17.0,,,,,,2.0,159.0,,,9.00,1.10,R16,6-2 4-6 6-0,Novak Djokovic,6.0,3.0,5868875.0,133405.0,,1.1,Novak Djokovic,91.0,19.0,6.0,96.0,48.0,63.0,40.0,31.0,23.0,12.0,,,,,,1.0,159.0,,,2009-05-04,https://matchstat.com/tennis/tournaments/m/Belgrade/2009,Belgrade
8,H2H 5-1,Marcel Granollers,0.0,2.0,5868876.0,133399.0,,3.35,Marcel Granollers,51.0,2.0,1.0,55.0,16.0,62.0,32.0,18.0,30.0,17.0,,,,,,1.0,117.0,,,3.35,1.39,R16,6-3 6-4,Viktor Troicki,2.0,0.0,5868876.0,133400.0,,1.392,Viktor Troicki,66.0,10.0,3.0,62.0,27.0,55.0,35.0,26.0,20.0,13.0,,,,,,2.0,117.0,,,2009-05-04,https://matchstat.com/tennis/tournaments/m/Belgrade/2009,Belgrade
9,H2H 4-1,Leonardo Mayer,0.0,3.0,5868877.0,133418.0,,3.7,Leonardo Mayer,46.0,1.0,1.0,50.0,18.0,56.0,34.0,19.0,22.0,9.0,,,,,,2.0,106.0,,,3.70,1.33,R16,6-4 6-1,Andreas Seppi,0.0,2.0,5868877.0,133417.0,,1.333,Andreas Seppi,60.0,9.0,5.0,56.0,28.0,50.0,28.0,20.0,22.0,12.0,,,,,,1.0,106.0,,,2009-05-04,https://matchstat.com/tennis/tournaments/m/Belgrade/2009,Belgrade
