,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 1-0,H. Elschenbroich,F,6-4 7-5 6-2,Vladimir Zednik,1978-06-19,https://matchstat.com/tennis/tournaments/m/Berlin/1978,Berlin
1,H2H 1-0,Andreas Maurer,SF,4-6 6-3 6-3 6-2,Vladimir Zednik,1978-06-19,https://matchstat.com/tennis/tournaments/m/Berlin/1978,Berlin
2,H2H 1-0,Peter Elter,SF,6-2 6-2 7-6,H. Elschenbroich,1978-06-19,https://matchstat.com/tennis/tournaments/m/Berlin/1978,Berlin
3,H2H 1-0,F. Jauffret,QF,6-2 6-3,Andreas Maurer,1978-06-19,https://matchstat.com/tennis/tournaments/m/Berlin/1978,Berlin
4,H2H 2-0,Z. Franulovic,QF,6-2 6-7 7-5,Vladimir Zednik,1978-06-19,https://matchstat.com/tennis/tournaments/m/Berlin/1978,Berlin
5,H2H 1-0,Hans-Jurgen Pohmann,QF,6-3 6-1,Peter Elter,1978-06-19,https://matchstat.com/tennis/tournaments/m/Berlin/1978,Berlin
6,H2H 1-0,Hans Gildemeister,QF,7-6 6-1,H. Elschenbroich,1978-06-19,https://matchstat.com/tennis/tournaments/m/Berlin/1978,Berlin
7,H2H 3-0,Pavel Hutka,R16,7-6 7-6,F. Jauffret,1978-06-19,https://matchstat.com/tennis/tournaments/m/Berlin/1978,Berlin
8,H2H 2-0,Rolf Gehring,R16,6-1 6-2,Andreas Maurer,1978-06-19,https://matchstat.com/tennis/tournaments/m/Berlin/1978,Berlin
9,H2H 2-0,Rick Fagel,R16,6-2 6-3,Z. Franulovic,1978-06-19,https://matchstat.com/tennis/tournaments/m/Berlin/1978,Berlin
10,H2H 1-0,Paul Kronk,R16,6-2 6-2,Vladimir Zednik,1978-06-19,https://matchstat.com/tennis/tournaments/m/Berlin/1978,Berlin
11,H2H 3-0,John Yuill,R16,7-5 6-3,Hans-Jurgen Pohmann,1978-06-19,https://matchstat.com/tennis/tournaments/m/Berlin/1978,Berlin
12,H2H 1-0,Hans Kary,R16,6-2 6-2,Peter Elter,1978-06-19,https://matchstat.com/tennis/tournaments/m/Berlin/1978,Berlin
13,H2H 1-0,Patricio Cornejo Seckel,R16,7-6 6-2,H. Elschenbroich,1978-06-19,https://matchstat.com/tennis/tournaments/m/Berlin/1978,Berlin
14,H2H 1-0,Jurgen Fassbender,R16,5-2 Retired,Hans Gildemeister,1978-06-19,https://matchstat.com/tennis/tournaments/m/Berlin/1978,Berlin
15,H2H 1-5,Balazs Taroczy,R32,6-3 7-6,Pavel Hutka,1978-06-19,https://matchstat.com/tennis/tournaments/m/Berlin/1978,Berlin
16,H2H 1-0,Jiri Granat,R32,7-5 6-2,F. Jauffret,1978-06-19,https://matchstat.com/tennis/tournaments/m/Berlin/1978,Berlin
17,H2H 5-0,Marten,R32,6-7 6-4 6-3,Rolf Gehring,1978-06-19,https://matchstat.com/tennis/tournaments/m/Berlin/1978,Berlin
18,H2H 1-0,Colin Dowdeswell,R32,7-5 6-2,Andreas Maurer,1978-06-19,https://matchstat.com/tennis/tournaments/m/Berlin/1978,Berlin
19,H2H 2-0,Onny Parun,R32,6-7 6-0 6-3,Z. Franulovic,1978-06-19,https://matchstat.com/tennis/tournaments/m/Berlin/1978,Berlin
20,H2H 1-0,Ricardo Cano,R32,6-0 6-1,Rick Fagel,1978-06-19,https://matchstat.com/tennis/tournaments/m/Berlin/1978,Berlin
21,H2H 1-0,Ricardo Ycaza,R32,4-6 6-4 6-1,Paul Kronk,1978-06-19,https://matchstat.com/tennis/tournaments/m/Berlin/1978,Berlin
22,H2H 2-1,Georges Goven,R32,6-0 7-5,Vladimir Zednik,1978-06-19,https://matchstat.com/tennis/tournaments/m/Berlin/1978,Berlin
23,H2H 1-0,Uli Pinner,R32,6-2 2-6 6-3,Hans-Jurgen Pohmann,1978-06-19,https://matchstat.com/tennis/tournaments/m/Berlin/1978,Berlin
24,H2H 2-0,Antonio Munoz,R32,6-7 6-4 6-4,John Yuill,1978-06-19,https://matchstat.com/tennis/tournaments/m/Berlin/1978,Berlin
25,H2H 1-0,Steve Krulevitz,R32,7-5 6-2,Peter Elter,1978-06-19,https://matchstat.com/tennis/tournaments/m/Berlin/1978,Berlin
26,H2H 2-2,Paolo Bertolucci,R32,6-4 7-6,Hans Kary,1978-06-19,https://matchstat.com/tennis/tournaments/m/Berlin/1978,Berlin
27,H2H 2-1,Werner Zirngibl,R32,3-6 6-3 6-4,Patricio Cornejo Seckel,1978-06-19,https://matchstat.com/tennis/tournaments/m/Berlin/1978,Berlin
28,H2H 1-1,Jiri Hrebec,R32,6-2 6-3,H. Elschenbroich,1978-06-19,https://matchstat.com/tennis/tournaments/m/Berlin/1978,Berlin
29,H2H 2-0,Ivan Molina,R32,6-4 3-6 7-6,Jurgen Fassbender,1978-06-19,https://matchstat.com/tennis/tournaments/m/Berlin/1978,Berlin
30,H2H 1-0,Paul McNamee,R32,2-6 7-6 6-3,Hans Gildemeister,1978-06-19,https://matchstat.com/tennis/tournaments/m/Berlin/1978,Berlin
31,,Z Franulovic / H Gildemeister,F,6-3 6-4,C Dowdeswell / J Fassbender,1978-06-19,https://matchstat.com/tennis/tournaments/m/Berlin/1978,Berlin
32,,M Marten / H Pohmann,SF,6-3 6-4,C Dowdeswell / J Fassbender,1978-06-19,https://matchstat.com/tennis/tournaments/m/Berlin/1978,Berlin
33,,P Elter / A Maurer,SF,3-6 6-1 6-3,Z Franulovic / H Gildemeister,1978-06-19,https://matchstat.com/tennis/tournaments/m/Berlin/1978,Berlin
34,,Z Ilin / S Tomovic,QF,6-1 6-0,C Dowdeswell / J Fassbender,1978-06-19,https://matchstat.com/tennis/tournaments/m/Berlin/1978,Berlin
35,,F Rodriguez / R Ycaza,QF,6-2 4-6 6-3,M Marten / H Pohmann,1978-06-19,https://matchstat.com/tennis/tournaments/m/Berlin/1978,Berlin
36,,U Pinner / R Probst,QF,1-6 6-3 6-2,P Elter / A Maurer,1978-06-19,https://matchstat.com/tennis/tournaments/m/Berlin/1978,Berlin
37,,S Krulevitz / W Zirngibl,QF,6-1 0-6 7-5,Z Franulovic / H Gildemeister,1978-06-19,https://matchstat.com/tennis/tournaments/m/Berlin/1978,Berlin
38,,R Gehring / J Granat,R16,6-3 6-0,C Dowdeswell / J Fassbender,1978-06-19,https://matchstat.com/tennis/tournaments/m/Berlin/1978,Berlin
39,,B Mcnamee / P McNamee,R16,6-0 6-1,Z Ilin / S Tomovic,1978-06-19,https://matchstat.com/tennis/tournaments/m/Berlin/1978,Berlin
40,,P Hutka / H Kary,R16,3-0 Retired,F Rodriguez / R Ycaza,1978-06-19,https://matchstat.com/tennis/tournaments/m/Berlin/1978,Berlin
41,,R Fagel / F Krajzic,R16,6-0 6-0,M Marten / H Pohmann,1978-06-19,https://matchstat.com/tennis/tournaments/m/Berlin/1978,Berlin
42,,J Hrebec / V Zednik,R16,2-6 7-5 6-3,P Elter / A Maurer,1978-06-19,https://matchstat.com/tennis/tournaments/m/Berlin/1978,Berlin
43,,H Elschenbroich / H Ploetz,R16,6-1 6-4,S Krulevitz / W Zirngibl,1978-06-19,https://matchstat.com/tennis/tournaments/m/Berlin/1978,Berlin
44,,A Gimenez / R Vizcaino-mallol,R16,7-6 6-3,Z Franulovic / H Gildemeister,1978-06-19,https://matchstat.com/tennis/tournaments/m/Berlin/1978,Berlin
