,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 15-2,Raul Ramirez,F,6-3 6-1 6-2,Jimmy Connors,1978-06-12,"https://matchstat.com/tennis/tournaments/m/Birmingham,%20Eng./1978","Birmingham, Eng."
1,H2H 14-4,Roscoe Tanner,SF,7-5 9-8,Jimmy Connors,1978-06-12,"https://matchstat.com/tennis/tournaments/m/Birmingham,%20Eng./1978","Birmingham, Eng."
2,H2H 8-10,Brian Gottfried,SF,6-2 5-7 6-3,Raul Ramirez,1978-06-12,"https://matchstat.com/tennis/tournaments/m/Birmingham,%20Eng./1978","Birmingham, Eng."
3,H2H 3-0,Ismail El Shafei,QF,6-4 6-4,Jimmy Connors,1978-06-12,"https://matchstat.com/tennis/tournaments/m/Birmingham,%20Eng./1978","Birmingham, Eng."
4,H2H 4-0,J. Newcombe,QF,6-3 6-3,Roscoe Tanner,1978-06-12,"https://matchstat.com/tennis/tournaments/m/Birmingham,%20Eng./1978","Birmingham, Eng."
5,H2H 2-0,Belus Prajoux,QF,6-1 6-3,Raul Ramirez,1978-06-12,"https://matchstat.com/tennis/tournaments/m/Birmingham,%20Eng./1978","Birmingham, Eng."
6,H2H 3-0,Bernie Mitton,QF,3-6 6-3 6-1,Brian Gottfried,1978-06-12,"https://matchstat.com/tennis/tournaments/m/Birmingham,%20Eng./1978","Birmingham, Eng."
7,H2H 1-0,David Carter,R16,6-2 6-2,Jimmy Connors,1978-06-12,"https://matchstat.com/tennis/tournaments/m/Birmingham,%20Eng./1978","Birmingham, Eng."
8,H2H 1-0,Erik Van Dillen,R16,6-4 6-4,Ismail El Shafei,1978-06-12,"https://matchstat.com/tennis/tournaments/m/Birmingham,%20Eng./1978","Birmingham, Eng."
9,H2H 2-0,B. Fairlie,R16,6-3 6-2,Roscoe Tanner,1978-06-12,"https://matchstat.com/tennis/tournaments/m/Birmingham,%20Eng./1978","Birmingham, Eng."
10,H2H 1-0,Victor Pecci,R16,3-6 9-8 8-6,J. Newcombe,1978-06-12,"https://matchstat.com/tennis/tournaments/m/Birmingham,%20Eng./1978","Birmingham, Eng."
11,H2H 1-0,Sashi Menon,R16,6-4 4-6 6-3,Belus Prajoux,1978-06-12,"https://matchstat.com/tennis/tournaments/m/Birmingham,%20Eng./1978","Birmingham, Eng."
12,H2H 3-0,Tom Gullikson,R16,6-4 6-0,Raul Ramirez,1978-06-12,"https://matchstat.com/tennis/tournaments/m/Birmingham,%20Eng./1978","Birmingham, Eng."
13,H2H 1-3,P. Dent,R16,9-7 6-2,Bernie Mitton,1978-06-12,"https://matchstat.com/tennis/tournaments/m/Birmingham,%20Eng./1978","Birmingham, Eng."
14,H2H 5-2,Hank Pfister,R16,9-7 6-2,Brian Gottfried,1978-06-12,"https://matchstat.com/tennis/tournaments/m/Birmingham,%20Eng./1978","Birmingham, Eng."
15,H2H 3-0,Steve Krulevitz,R32,6-3 6-0,Jimmy Connors,1978-06-12,"https://matchstat.com/tennis/tournaments/m/Birmingham,%20Eng./1978","Birmingham, Eng."
16,H2H 1-2,B. Lutz,R32,6-0 6-4,David Carter,1978-06-12,"https://matchstat.com/tennis/tournaments/m/Birmingham,%20Eng./1978","Birmingham, Eng."
17,H2H 1-2,S. Smith,R32,2-6 9-8 6-4,Ismail El Shafei,1978-06-12,"https://matchstat.com/tennis/tournaments/m/Birmingham,%20Eng./1978","Birmingham, Eng."
18,H2H 1-1,Crealy,R32,3-6 6-3 6-4,Erik Van Dillen,1978-06-12,"https://matchstat.com/tennis/tournaments/m/Birmingham,%20Eng./1978","Birmingham, Eng."
19,H2H 1-0,Rohun Beven,R32,6-1 6-4,Roscoe Tanner,1978-06-12,"https://matchstat.com/tennis/tournaments/m/Birmingham,%20Eng./1978","Birmingham, Eng."
20,H2H 1-0,A. Ashe,R32,6-1 6-3,B. Fairlie,1978-06-12,"https://matchstat.com/tennis/tournaments/m/Birmingham,%20Eng./1978","Birmingham, Eng."
21,H2H 1-0,John Marks,R32,6-4 6-3,Victor Pecci,1978-06-12,"https://matchstat.com/tennis/tournaments/m/Birmingham,%20Eng./1978","Birmingham, Eng."
22,H2H 1-1,Victor Amaya,R32,4-6 9-8 6-4,J. Newcombe,1978-06-12,"https://matchstat.com/tennis/tournaments/m/Birmingham,%20Eng./1978","Birmingham, Eng."
23,H2H 1-2,J. Alexander,R32,6-2 6-3,Sashi Menon,1978-06-12,"https://matchstat.com/tennis/tournaments/m/Birmingham,%20Eng./1978","Birmingham, Eng."
24,H2H 1-0,Rick Fisher,R32,6-2 6-3,Belus Prajoux,1978-06-12,"https://matchstat.com/tennis/tournaments/m/Birmingham,%20Eng./1978","Birmingham, Eng."
25,H2H 5-1,J. Fillol,R32,8-9 6-2 7-5,Tom Gullikson,1978-06-12,"https://matchstat.com/tennis/tournaments/m/Birmingham,%20Eng./1978","Birmingham, Eng."
26,H2H 2-0,Schneider,R32,6-3 9-8,Raul Ramirez,1978-06-12,"https://matchstat.com/tennis/tournaments/m/Birmingham,%20Eng./1978","Birmingham, Eng."
27,H2H 3-3,Terry Moor,R32,4-6 6-2 6-2,Bernie Mitton,1978-06-12,"https://matchstat.com/tennis/tournaments/m/Birmingham,%20Eng./1978","Birmingham, Eng."
28,H2H 1-2,Nick Saviano,R32,WO,P. Dent,1978-06-12,"https://matchstat.com/tennis/tournaments/m/Birmingham,%20Eng./1978","Birmingham, Eng."
29,H2H 1-0,Carlos Kirmayr,R32,6-4 6-2,Hank Pfister,1978-06-12,"https://matchstat.com/tennis/tournaments/m/Birmingham,%20Eng./1978","Birmingham, Eng."
30,H2H 3-0,Colin Dibley,R32,6-2 6-4,Brian Gottfried,1978-06-12,"https://matchstat.com/tennis/tournaments/m/Birmingham,%20Eng./1978","Birmingham, Eng."
31,H2H 3-0,Rod Frawley,R64,6-2 6-4,Jimmy Connors,1978-06-12,"https://matchstat.com/tennis/tournaments/m/Birmingham,%20Eng./1978","Birmingham, Eng."
32,H2H 1-1,Terry Rocavert,R64,8-6 6-3,Steve Krulevitz,1978-06-12,"https://matchstat.com/tennis/tournaments/m/Birmingham,%20Eng./1978","Birmingham, Eng."
33,H2H 1-2,John James,R64,6-3 6-4,David Carter,1978-06-12,"https://matchstat.com/tennis/tournaments/m/Birmingham,%20Eng./1978","Birmingham, Eng."
34,H2H 2-0,Cliff Letcher,R64,6-4 4-6 6-2,B. Lutz,1978-06-12,"https://matchstat.com/tennis/tournaments/m/Birmingham,%20Eng./1978","Birmingham, Eng."
35,H2H 2-1,Bruce Manson,R64,6-3 6-8 6-1,S. Smith,1978-06-12,"https://matchstat.com/tennis/tournaments/m/Birmingham,%20Eng./1978","Birmingham, Eng."
36,H2H 2-2,Chris Lewis,R64,7-5 6-1,Ismail El Shafei,1978-06-12,"https://matchstat.com/tennis/tournaments/m/Birmingham,%20Eng./1978","Birmingham, Eng."
37,H2H 1-0,Byron Bertram,R64,6-2 6-2,Erik Van Dillen,1978-06-12,"https://matchstat.com/tennis/tournaments/m/Birmingham,%20Eng./1978","Birmingham, Eng."
38,H2H 3-2,Tim Gullikson,R64,6-4 6-3,Crealy,1978-06-12,"https://matchstat.com/tennis/tournaments/m/Birmingham,%20Eng./1978","Birmingham, Eng."
39,H2H 2-0,Bob Giltinan,R64,6-2 7-5,Roscoe Tanner,1978-06-12,"https://matchstat.com/tennis/tournaments/m/Birmingham,%20Eng./1978","Birmingham, Eng."
