,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 5-0,J. Velasco,F,6-3 6-4,Victor Pecci,1979-11-12,https://matchstat.com/tennis/tournaments/m/Bogota/1979,Bogota
1,H2H 1-0,Reinhart Probst,SF,6-3 5-7 6-3,J. Velasco,1979-11-12,https://matchstat.com/tennis/tournaments/m/Bogota/1979,Bogota
2,H2H 1-0,Raul Viver,SF,7-5 6-2,Victor Pecci,1979-11-12,https://matchstat.com/tennis/tournaments/m/Bogota/1979,Bogota
3,H2H 1-6,Jose Higueras,QF,6-4 6-3,J. Velasco,1979-11-12,https://matchstat.com/tennis/tournaments/m/Bogota/1979,Bogota
4,H2H 1-0,Roger Guedes,QF,6-2 7-5,Reinhart Probst,1979-11-12,https://matchstat.com/tennis/tournaments/m/Bogota/1979,Bogota
5,H2H 1-0,Alejandro Cortes,QF,7-5 6-3,Raul Viver,1979-11-12,https://matchstat.com/tennis/tournaments/m/Bogota/1979,Bogota
6,H2H 1-2,T. Koch,QF,7-5 6-1,Victor Pecci,1979-11-12,https://matchstat.com/tennis/tournaments/m/Bogota/1979,Bogota
7,H2H 1-0,Emilio Montano,R16,6-2 6-2,Jose Higueras,1979-11-12,https://matchstat.com/tennis/tournaments/m/Bogota/1979,Bogota
8,H2H 1-0,Herve Gauvain,R16,3-6 7-5 7-6,J. Velasco,1979-11-12,https://matchstat.com/tennis/tournaments/m/Bogota/1979,Bogota
9,H2H 1-0,Alvaro Betancur,R16,7-5 6-4,Roger Guedes,1979-11-12,https://matchstat.com/tennis/tournaments/m/Bogota/1979,Bogota
10,H2H 1-0,Ivan Molina,R16,6-4 5-7 6-3,Reinhart Probst,1979-11-12,https://matchstat.com/tennis/tournaments/m/Bogota/1979,Bogota
11,H2H 1-0,Charlie Owens,R16,6-4 6-4,Alejandro Cortes,1979-11-12,https://matchstat.com/tennis/tournaments/m/Bogota/1979,Bogota
12,H2H 1-0,Ramiro Gonzalo Benavides Saravia,R16,7-6 4-6 6-3,Raul Viver,1979-11-12,https://matchstat.com/tennis/tournaments/m/Bogota/1979,Bogota
13,H2H 2-1,J. Fillol,R16,6-0 6-4,T. Koch,1979-11-12,https://matchstat.com/tennis/tournaments/m/Bogota/1979,Bogota
14,H2H 2-0,Alvaro Fillol,R16,6-2 6-2,Victor Pecci,1979-11-12,https://matchstat.com/tennis/tournaments/m/Bogota/1979,Bogota
15,H2H 1-0,Bernard Boileau,R32,6-0 1-6 7-6,Jose Higueras,1979-11-12,https://matchstat.com/tennis/tournaments/m/Bogota/1979,Bogota
16,H2H 1-0,Alejandro Pierola,R32,6-4 6-2,Emilio Montano,1979-11-12,https://matchstat.com/tennis/tournaments/m/Bogota/1979,Bogota
17,H2H 1-0,Carlos Behar,R32,6-4 6-4,Herve Gauvain,1979-11-12,https://matchstat.com/tennis/tournaments/m/Bogota/1979,Bogota
18,H2H 1-1,Angel Gimenez,R32,6-4 6-4,J. Velasco,1979-11-12,https://matchstat.com/tennis/tournaments/m/Bogota/1979,Bogota
19,H2H 1-3,Hans Gildemeister,R32,6-2 6-0,Alvaro Betancur,1979-11-12,https://matchstat.com/tennis/tournaments/m/Bogota/1979,Bogota
20,H2H 1-0,Joao Soares,R32,7-5 3-6 7-5,Roger Guedes,1979-11-12,https://matchstat.com/tennis/tournaments/m/Bogota/1979,Bogota
21,H2H 2-0,Andres Gomez,R32,6-7 6-3 6-4,Reinhart Probst,1979-11-12,https://matchstat.com/tennis/tournaments/m/Bogota/1979,Bogota
22,H2H 1-0,Tito Vazquez,R32,6-4 7-6,Ivan Molina,1979-11-12,https://matchstat.com/tennis/tournaments/m/Bogota/1979,Bogota
23,H2H 1-0,Fernando Maynetto,R32,6-4 3-6 6-4,Charlie Owens,1979-11-12,https://matchstat.com/tennis/tournaments/m/Bogota/1979,Bogota
24,H2H 1-0,Carlos Gattiker,R32,6-4 6-1,Alejandro Cortes,1979-11-12,https://matchstat.com/tennis/tournaments/m/Bogota/1979,Bogota
25,H2H 1-0,Jose-Luis Damiani,R32,6-4 6-1,Ramiro Gonzalo Benavides Saravia,1979-11-12,https://matchstat.com/tennis/tournaments/m/Bogota/1979,Bogota
26,H2H 1-0,Carlos Kirmayr,R32,6-4 6-4,Raul Viver,1979-11-12,https://matchstat.com/tennis/tournaments/m/Bogota/1979,Bogota
27,H2H 1-0,Rick Fagel,R32,4-6 6-2 6-3,J. Fillol,1979-11-12,https://matchstat.com/tennis/tournaments/m/Bogota/1979,Bogota
28,H2H 1-0,Gabriel Urpi,R32,6-2 6-2,T. Koch,1979-11-12,https://matchstat.com/tennis/tournaments/m/Bogota/1979,Bogota
29,H2H 1-0,Fernando Luna,R32,4-6 7-6 6-4,Alvaro Fillol,1979-11-12,https://matchstat.com/tennis/tournaments/m/Bogota/1979,Bogota
30,H2H 3-1,Werner Zirngibl,R32,6-4 6-3,Victor Pecci,1979-11-12,https://matchstat.com/tennis/tournaments/m/Bogota/1979,Bogota
31,,B Nichols / C Owens,F,6-2 6-4,E Montano / J Velasco,1979-11-12,https://matchstat.com/tennis/tournaments/m/Bogota/1979,Bogota
32,,R Benavides Saravia / F Maynetto,SF,6-2 3-6 6-4,B Nichols / C Owens,1979-11-12,https://matchstat.com/tennis/tournaments/m/Bogota/1979,Bogota
33,,A Gomez / T Koch,SF,6-4 6-4,E Montano / J Velasco,1979-11-12,https://matchstat.com/tennis/tournaments/m/Bogota/1979,Bogota
34,,O Agudelo / C Gomez,QF,6-1 6-1,R Benavides Saravia / F Maynetto,1979-11-12,https://matchstat.com/tennis/tournaments/m/Bogota/1979,Bogota
35,,A Betancur / R Guedes,QF,6-2 6-4,B Nichols / C Owens,1979-11-12,https://matchstat.com/tennis/tournaments/m/Bogota/1979,Bogota
36,,C Behar / A Cortes,QF,7-5 6-3,A Gomez / T Koch,1979-11-12,https://matchstat.com/tennis/tournaments/m/Bogota/1979,Bogota
37,,R Hernandez / T Quintin,QF,6-0 6-2,E Montano / J Velasco,1979-11-12,https://matchstat.com/tennis/tournaments/m/Bogota/1979,Bogota
38,,C Kirmayr / C Lewis,R16,WO,O Agudelo / C Gomez,1979-11-12,https://matchstat.com/tennis/tournaments/m/Bogota/1979,Bogota
39,,J Restrepo / R Viver,R16,6-4 6-7 6-2,R Benavides Saravia / F Maynetto,1979-11-12,https://matchstat.com/tennis/tournaments/m/Bogota/1979,Bogota
40,,H Aguirre / H Gauvain,R16,6-1 7-5,B Nichols / C Owens,1979-11-12,https://matchstat.com/tennis/tournaments/m/Bogota/1979,Bogota
