,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 1-2,Claudio Panatta,F,6-2 6-0,Thierry Tulasne,1985-06-10,https://matchstat.com/tennis/tournaments/m/Bologna%20Outdoor/1985,Bologna Outdoor
1,H2H 2-1,Alberto Tous,SF,7-5 6-3,Claudio Panatta,1985-06-10,https://matchstat.com/tennis/tournaments/m/Bologna%20Outdoor/1985,Bologna Outdoor
2,H2H 3-1,Damir Keretic,SF,6-0 6-4,Thierry Tulasne,1985-06-10,https://matchstat.com/tennis/tournaments/m/Bologna%20Outdoor/1985,Bologna Outdoor
3,H2H 2-0,Zoltan Kuharszky,QF,6-4 6-1,Alberto Tous,1985-06-10,https://matchstat.com/tennis/tournaments/m/Bologna%20Outdoor/1985,Bologna Outdoor
4,H2H 2-1,Massimiliano Narducci,QF,6-7 6-2 6-3,Claudio Panatta,1985-06-10,https://matchstat.com/tennis/tournaments/m/Bologna%20Outdoor/1985,Bologna Outdoor
5,H2H 3-2,Ronald Agenor,QF,6-2 3-6 6-4,Thierry Tulasne,1985-06-10,https://matchstat.com/tennis/tournaments/m/Bologna%20Outdoor/1985,Bologna Outdoor
6,H2H 1-0,Goran Prpic,QF,6-4 3-6 6-4,Damir Keretic,1985-06-10,https://matchstat.com/tennis/tournaments/m/Bologna%20Outdoor/1985,Bologna Outdoor
7,H2H 1-0,Marcos Hocevar,R16,6-4 7-5,Alberto Tous,1985-06-10,https://matchstat.com/tennis/tournaments/m/Bologna%20Outdoor/1985,Bologna Outdoor
8,H2H 1-0,Pascal Portes,R16,6-3 7-6,Zoltan Kuharszky,1985-06-10,https://matchstat.com/tennis/tournaments/m/Bologna%20Outdoor/1985,Bologna Outdoor
9,H2H 2-1,Raul Viver,R16,4-6 7-6 6-3,Claudio Panatta,1985-06-10,https://matchstat.com/tennis/tournaments/m/Bologna%20Outdoor/1985,Bologna Outdoor
10,H2H 2-1,Simone Colombo,R16,6-2 6-3,Massimiliano Narducci,1985-06-10,https://matchstat.com/tennis/tournaments/m/Bologna%20Outdoor/1985,Bologna Outdoor
11,H2H 1-0,Fernando Luna,R16,7-6 6-3,Ronald Agenor,1985-06-10,https://matchstat.com/tennis/tournaments/m/Bologna%20Outdoor/1985,Bologna Outdoor
12,H2H 2-0,Peter Elter,R16,6-2 6-3,Thierry Tulasne,1985-06-10,https://matchstat.com/tennis/tournaments/m/Bologna%20Outdoor/1985,Bologna Outdoor
13,H2H 2-0,Ivan Kley,R16,6-0 6-3,Damir Keretic,1985-06-10,https://matchstat.com/tennis/tournaments/m/Bologna%20Outdoor/1985,Bologna Outdoor
14,H2H 2-0,Claudio Mezzadri,R16,6-2 6-2,Goran Prpic,1985-06-10,https://matchstat.com/tennis/tournaments/m/Bologna%20Outdoor/1985,Bologna Outdoor
15,H2H 1-0,Francesco Cancellotti,R32,2-6 7-5 6-3,Marcos Hocevar,1985-06-10,https://matchstat.com/tennis/tournaments/m/Bologna%20Outdoor/1985,Bologna Outdoor
16,H2H 2-0,Dacio Campos,R32,6-4 2-6 6-3,Alberto Tous,1985-06-10,https://matchstat.com/tennis/tournaments/m/Bologna%20Outdoor/1985,Bologna Outdoor
17,H2H 1-1,J. Alexander,R32,6-1 6-4,Pascal Portes,1985-06-10,https://matchstat.com/tennis/tournaments/m/Bologna%20Outdoor/1985,Bologna Outdoor
18,H2H 1-0,Givaldo Barbosa,R32,3-6 6-1 7-6,Zoltan Kuharszky,1985-06-10,https://matchstat.com/tennis/tournaments/m/Bologna%20Outdoor/1985,Bologna Outdoor
19,H2H 1-0,Luca Gasparini,R32,6-1 6-2,Claudio Panatta,1985-06-10,https://matchstat.com/tennis/tournaments/m/Bologna%20Outdoor/1985,Bologna Outdoor
20,H2H 1-1,Carl Limberger,R32,6-4 6-2,Raul Viver,1985-06-10,https://matchstat.com/tennis/tournaments/m/Bologna%20Outdoor/1985,Bologna Outdoor
21,H2H 1-0,Corrado Aprili,R32,4-6 6-2 6-1,Simone Colombo,1985-06-10,https://matchstat.com/tennis/tournaments/m/Bologna%20Outdoor/1985,Bologna Outdoor
22,H2H 2-0,Diego Perez,R32,6-4 6-2,Massimiliano Narducci,1985-06-10,https://matchstat.com/tennis/tournaments/m/Bologna%20Outdoor/1985,Bologna Outdoor
23,H2H 1-0,Massimo Cierro,R32,5-7 6-3 6-1,Fernando Luna,1985-06-10,https://matchstat.com/tennis/tournaments/m/Bologna%20Outdoor/1985,Bologna Outdoor
24,H2H 2-1,Paolo Cane,R32,6-4 7-6,Ronald Agenor,1985-06-10,https://matchstat.com/tennis/tournaments/m/Bologna%20Outdoor/1985,Bologna Outdoor
25,H2H 1-0,Cristian Miniussi,R32,6-2 6-4,Peter Elter,1985-06-10,https://matchstat.com/tennis/tournaments/m/Bologna%20Outdoor/1985,Bologna Outdoor
26,H2H 3-2,Jordi Arrese,R32,6-4 6-3,Thierry Tulasne,1985-06-10,https://matchstat.com/tennis/tournaments/m/Bologna%20Outdoor/1985,Bologna Outdoor
27,H2H 1-0,Luca Bottazzi,R32,4-6 6-4 6-0,Damir Keretic,1985-06-10,https://matchstat.com/tennis/tournaments/m/Bologna%20Outdoor/1985,Bologna Outdoor
28,H2H 1-0,Alessandro De Minicis,R32,6-3 6-7 6-4,Ivan Kley,1985-06-10,https://matchstat.com/tennis/tournaments/m/Bologna%20Outdoor/1985,Bologna Outdoor
29,H2H 1-1,Francisco Yunis,R32,6-2 6-1,Claudio Mezzadri,1985-06-10,https://matchstat.com/tennis/tournaments/m/Bologna%20Outdoor/1985,Bologna Outdoor
30,H2H 1-0,G. Vilas,R32,6-3 6-4,Goran Prpic,1985-06-10,https://matchstat.com/tennis/tournaments/m/Bologna%20Outdoor/1985,Bologna Outdoor
31,,J Arrese / A Tous,F,7-5 6-4,P Cane / S Colombo,1985-06-10,https://matchstat.com/tennis/tournaments/m/Bologna%20Outdoor/1985,Bologna Outdoor
32,,G Barbosa / I Kley,SF,6-4 6-2,P Cane / S Colombo,1985-06-10,https://matchstat.com/tennis/tournaments/m/Bologna%20Outdoor/1985,Bologna Outdoor
33,,P Portes / T Tulasne,SF,2-6 6-4 6-2,J Arrese / A Tous,1985-06-10,https://matchstat.com/tennis/tournaments/m/Bologna%20Outdoor/1985,Bologna Outdoor
34,,P Elter / C Limberger,QF,6-3 6-4,G Barbosa / I Kley,1985-06-10,https://matchstat.com/tennis/tournaments/m/Bologna%20Outdoor/1985,Bologna Outdoor
