,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 3-2,Arnaud Boetsch,F,6-2 1-6 7-6,Thomas Enqvist,1992-10-12,https://matchstat.com/tennis/tournaments/m/Bolzano/1992,Bolzano
1,H2H 3-2,Olivier Delaitre,SF,7-6 7-5,Arnaud Boetsch,1992-10-12,https://matchstat.com/tennis/tournaments/m/Bolzano/1992,Bolzano
2,H2H 1-0,Andrey Cherkasov,SF,4-6 6-3 7-6,Thomas Enqvist,1992-10-12,https://matchstat.com/tennis/tournaments/m/Bolzano/1992,Bolzano
3,H2H 1-0,Paolo Cane,QF,6-4 6-4,Olivier Delaitre,1992-10-12,https://matchstat.com/tennis/tournaments/m/Bolzano/1992,Bolzano
4,H2H 2-1,Omar Camporese,QF,6-4 6-3,Arnaud Boetsch,1992-10-12,https://matchstat.com/tennis/tournaments/m/Bolzano/1992,Bolzano
5,H2H 3-0,Andrei Medvedev,QF,6-7 6-3 2-0 Retired,Thomas Enqvist,1992-10-12,https://matchstat.com/tennis/tournaments/m/Bolzano/1992,Bolzano
6,H2H 2-1,Jonas B. Svensson,QF,6-4 6-1,Andrey Cherkasov,1992-10-12,https://matchstat.com/tennis/tournaments/m/Bolzano/1992,Bolzano
7,H2H 1-0,MaliVai Washington,R16,6-3 6-4,Paolo Cane,1992-10-12,https://matchstat.com/tennis/tournaments/m/Bolzano/1992,Bolzano
8,H2H 1-1,Horst Skoff,R16,6-4 7-6,Olivier Delaitre,1992-10-12,https://matchstat.com/tennis/tournaments/m/Bolzano/1992,Bolzano
9,H2H 1-1,Martin Damm,R16,7-6 7-6,Omar Camporese,1992-10-12,https://matchstat.com/tennis/tournaments/m/Bolzano/1992,Bolzano
10,H2H 2-0,Anders Jarryd,R16,7-6 7-5,Arnaud Boetsch,1992-10-12,https://matchstat.com/tennis/tournaments/m/Bolzano/1992,Bolzano
11,H2H 1-0,Stefano Pescosolido,R16,6-4 6-7 7-5,Thomas Enqvist,1992-10-12,https://matchstat.com/tennis/tournaments/m/Bolzano/1992,Bolzano
12,H2H 1-0,Michiel Schapers,R16,7-6 6-7 6-4,Andrei Medvedev,1992-10-12,https://matchstat.com/tennis/tournaments/m/Bolzano/1992,Bolzano
13,H2H 1-0,Girts Dzelde,R16,2-6 6-3 7-6,Jonas B. Svensson,1992-10-12,https://matchstat.com/tennis/tournaments/m/Bolzano/1992,Bolzano
14,H2H 1-0,Jose-Francisco Altur,R16,6-1 7-5,Andrey Cherkasov,1992-10-12,https://matchstat.com/tennis/tournaments/m/Bolzano/1992,Bolzano
15,H2H 1-0,Jordi Burillo,R32,3-6 7-6 6-2,MaliVai Washington,1992-10-12,https://matchstat.com/tennis/tournaments/m/Bolzano/1992,Bolzano
16,H2H 1-0,David Prinosil,R32,7-6 3-6 6-1,Paolo Cane,1992-10-12,https://matchstat.com/tennis/tournaments/m/Bolzano/1992,Bolzano
17,H2H 1-0,Alexandru Radulescu,R32,6-4 3-6 6-4,Horst Skoff,1992-10-12,https://matchstat.com/tennis/tournaments/m/Bolzano/1992,Bolzano
18,H2H 3-1,Martin Strelba,R32,3-6 6-4 6-1,Olivier Delaitre,1992-10-12,https://matchstat.com/tennis/tournaments/m/Bolzano/1992,Bolzano
19,H2H 5-2,Ronald Agenor,R32,5-7 6-3 6-3,Omar Camporese,1992-10-12,https://matchstat.com/tennis/tournaments/m/Bolzano/1992,Bolzano
20,H2H 5-0,Arne Thoms,R32,4-6 6-3 7-6,Martin Damm,1992-10-12,https://matchstat.com/tennis/tournaments/m/Bolzano/1992,Bolzano
21,H2H 2-0,Markus Naewie,R32,6-4 6-3,Anders Jarryd,1992-10-12,https://matchstat.com/tennis/tournaments/m/Bolzano/1992,Bolzano
22,H2H 1-1,Thierry Champion,R32,4-6 6-1 7-6,Arnaud Boetsch,1992-10-12,https://matchstat.com/tennis/tournaments/m/Bolzano/1992,Bolzano
23,H2H 2-0,Massimo Valeri,R32,6-4 6-3,Stefano Pescosolido,1992-10-12,https://matchstat.com/tennis/tournaments/m/Bolzano/1992,Bolzano
24,H2H 1-0,Bart Wuyts,R32,6-4 6-2,Thomas Enqvist,1992-10-12,https://matchstat.com/tennis/tournaments/m/Bolzano/1992,Bolzano
25,H2H 1-0,Alexander Mronz,R32,6-4 6-4,Michiel Schapers,1992-10-12,https://matchstat.com/tennis/tournaments/m/Bolzano/1992,Bolzano
26,H2H 1-0,Juan-Carlos Baguena,R32,6-3 6-1,Andrei Medvedev,1992-10-12,https://matchstat.com/tennis/tournaments/m/Bolzano/1992,Bolzano
27,H2H 1-0,Pavel Vizner,R32,6-1 7-5,Jonas B. Svensson,1992-10-12,https://matchstat.com/tennis/tournaments/m/Bolzano/1992,Bolzano
28,H2H 1-0,Marc-Kevin Goellner,R32,6-2 6-3,Girts Dzelde,1992-10-12,https://matchstat.com/tennis/tournaments/m/Bolzano/1992,Bolzano
29,H2H 1-0,Hendrik-Jan Davids,R32,7-6 4-6 6-4,Jose-Francisco Altur,1992-10-12,https://matchstat.com/tennis/tournaments/m/Bolzano/1992,Bolzano
30,H2H 2-0,Markus Zoecke,R32,6-4 7-6,Andrey Cherkasov,1992-10-12,https://matchstat.com/tennis/tournaments/m/Bolzano/1992,Bolzano
31,,T Nijssen / C Suk,F,6-1 6-7 6-3,A Jarryd / B Pedersen,1992-10-12,https://matchstat.com/tennis/tournaments/m/Bolzano/1992,Bolzano
32,,M Oosting / U Riglewski,SF,4-6 7-6 6-2,T Nijssen / C Suk,1992-10-12,https://matchstat.com/tennis/tournaments/m/Bolzano/1992,Bolzano
33,,H Davids / L Pimek,SF,7-6 7-6,A Jarryd / B Pedersen,1992-10-12,https://matchstat.com/tennis/tournaments/m/Bolzano/1992,Bolzano
34,,A Cherkasov / A Medvedev,QF,WO,T Nijssen / C Suk,1992-10-12,https://matchstat.com/tennis/tournaments/m/Bolzano/1992,Bolzano
35,,M Briggs / T Kronemann,QF,7-6 6-4,M Oosting / U Riglewski,1992-10-12,https://matchstat.com/tennis/tournaments/m/Bolzano/1992,Bolzano
36,,N Broad / S Kruger,QF,6-4 6-4,H Davids / L Pimek,1992-10-12,https://matchstat.com/tennis/tournaments/m/Bolzano/1992,Bolzano
37,,B Pearce / B Talbot,QF,6-3 6-2,A Jarryd / B Pedersen,1992-10-12,https://matchstat.com/tennis/tournaments/m/Bolzano/1992,Bolzano
38,,M Damm / M Schapers,R16,6-3 7-6,T Nijssen / C Suk,1992-10-12,https://matchstat.com/tennis/tournaments/m/Bolzano/1992,Bolzano
39,,C Brandi / O Camporese,R16,6-1 4-6 6-2,A Cherkasov / A Medvedev,1992-10-12,https://matchstat.com/tennis/tournaments/m/Bolzano/1992,Bolzano
40,,M Keil / D Randall,R16,6-4 6-3,M Briggs / T Kronemann,1992-10-12,https://matchstat.com/tennis/tournaments/m/Bolzano/1992,Bolzano
41,,V Flegl / T Nelson,R16,6-4 4-6 7-6,M Oosting / U Riglewski,1992-10-12,https://matchstat.com/tennis/tournaments/m/Bolzano/1992,Bolzano
42,,M Goellner / D Prinosil,R16,7-6 7-5,N Broad / S Kruger,1992-10-12,https://matchstat.com/tennis/tournaments/m/Bolzano/1992,Bolzano
43,,R Bathman / G Luza,R16,7-6 6-4,H Davids / L Pimek,1992-10-12,https://matchstat.com/tennis/tournaments/m/Bolzano/1992,Bolzano
44,,G Dzelde / R Haas,R16,6-2 6-4,A Jarryd / B Pedersen,1992-10-12,https://matchstat.com/tennis/tournaments/m/Bolzano/1992,Bolzano
45,,S Cannon / G Van Emburgh,R16,7-6 5-7 6-3,B Pearce / B Talbot,1992-10-12,https://matchstat.com/tennis/tournaments/m/Bolzano/1992,Bolzano
46,H2H 1-0,Rudiger Haas,FQ,6-2 6-3,Girts Dzelde,1992-10-12,https://matchstat.com/tennis/tournaments/m/Bolzano/1992,Bolzano
47,H2H 1-0,Tom Nijssen,FQ,3-6 6-3 6-2,Juan-Carlos Baguena,1992-10-12,https://matchstat.com/tennis/tournaments/m/Bolzano/1992,Bolzano
48,H2H 1-0,Oliver Gross,FQ,6-2 6-2,Pavel Vizner,1992-10-12,https://matchstat.com/tennis/tournaments/m/Bolzano/1992,Bolzano
49,H2H 1-0,Todd Nelson,FQ,7-6 6-3,Hendrik-Jan Davids,1992-10-12,https://matchstat.com/tennis/tournaments/m/Bolzano/1992,Bolzano
50,H2H 1-0,Thomas Hogstedt,SFQ,6-2 6-4,Rudiger Haas,1992-10-12,https://matchstat.com/tennis/tournaments/m/Bolzano/1992,Bolzano
51,H2H 2-0,Trevor Kronemann,SFQ,6-4 7-6,Girts Dzelde,1992-10-12,https://matchstat.com/tennis/tournaments/m/Bolzano/1992,Bolzano
52,H2H 1-0,Shelby Cannon,SFQ,6-2 7-5,Tom Nijssen,1992-10-12,https://matchstat.com/tennis/tournaments/m/Bolzano/1992,Bolzano
53,H2H 1-0,Silvio Scaiola,SFQ,6-3 6-4,Juan-Carlos Baguena,1992-10-12,https://matchstat.com/tennis/tournaments/m/Bolzano/1992,Bolzano
54,H2H 1-0,Thomas Buchmayer,SFQ,6-2 2-6 6-3,Oliver Gross,1992-10-12,https://matchstat.com/tennis/tournaments/m/Bolzano/1992,Bolzano
55,H2H 1-0,Pietro Pennisi,SFQ,6-1 6-1,Pavel Vizner,1992-10-12,https://matchstat.com/tennis/tournaments/m/Bolzano/1992,Bolzano
56,H2H 1-1,Dave Randall,SFQ,7-6 6-4,Todd Nelson,1992-10-12,https://matchstat.com/tennis/tournaments/m/Bolzano/1992,Bolzano
57,H2H 3-0,Thomas Gollwitzer,SFQ,6-4 6-0,Hendrik-Jan Davids,1992-10-12,https://matchstat.com/tennis/tournaments/m/Bolzano/1992,Bolzano
58,H2H 1-0,Jan Kodes,QFQ,6-2 6-2,Rudiger Haas,1992-10-12,https://matchstat.com/tennis/tournaments/m/Bolzano/1992,Bolzano
59,H2H 1-0,Gilles Bastie,QFQ,6-2 6-3,Trevor Kronemann,1992-10-12,https://matchstat.com/tennis/tournaments/m/Bolzano/1992,Bolzano
60,H2H 1-0,Aleksandar Kitinov,QFQ,6-3 6-3,Girts Dzelde,1992-10-12,https://matchstat.com/tennis/tournaments/m/Bolzano/1992,Bolzano
61,H2H 1-0,Radomir Vasek,QFQ,4-6 6-4 6-2,Shelby Cannon,1992-10-12,https://matchstat.com/tennis/tournaments/m/Bolzano/1992,Bolzano
62,H2H 1-0,Mike Briggs,QFQ,6-4 7-5,Silvio Scaiola,1992-10-12,https://matchstat.com/tennis/tournaments/m/Bolzano/1992,Bolzano
63,H2H 1-0,Mark Keil,QFQ,7-5 6-7 7-5,Oliver Gross,1992-10-12,https://matchstat.com/tennis/tournaments/m/Bolzano/1992,Bolzano
64,H2H 1-0,Hans Priller,QFQ,6-1 6-4,Pavel Vizner,1992-10-12,https://matchstat.com/tennis/tournaments/m/Bolzano/1992,Bolzano
65,H2H 1-0,Luca Dalla-Piazza,QFQ,6-1 7-5,Dave Randall,1992-10-12,https://matchstat.com/tennis/tournaments/m/Bolzano/1992,Bolzano
66,H2H 1-0,Thierry Grin,QFQ,6-4 7-6,Thomas Gollwitzer,1992-10-12,https://matchstat.com/tennis/tournaments/m/Bolzano/1992,Bolzano
67,,J Altur / J Burillo,SFQ,6-3 6-3,G Dzelde / R Haas,1992-10-12,https://matchstat.com/tennis/tournaments/m/Bolzano/1992,Bolzano
68,,P Cane / M Valeri,SFQ,6-3 3-6 6-3,J Baguena / S Pescosolido,1992-10-12,https://matchstat.com/tennis/tournaments/m/Bolzano/1992,Bolzano
