,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 1-1,Pablo Arraya,F,7-5 6-1,Hans Gildemeister,1982-09-20,https://matchstat.com/tennis/tournaments/m/Bordeaux/1982,Bordeaux
1,H2H 2-1,Diego Perez,SF,3-6 6-2 6-3,Hans Gildemeister,1982-09-20,https://matchstat.com/tennis/tournaments/m/Bordeaux/1982,Bordeaux
2,H2H 3-0,Chris Lewis,SF,6-4 6-4,Pablo Arraya,1982-09-20,https://matchstat.com/tennis/tournaments/m/Bordeaux/1982,Bordeaux
3,H2H 4-9,Andres Gomez,QF,6-3 6-4,Diego Perez,1982-09-20,https://matchstat.com/tennis/tournaments/m/Bordeaux/1982,Bordeaux
4,H2H 2-0,Fernando Luna,QF,6-1 6-4,Hans Gildemeister,1982-09-20,https://matchstat.com/tennis/tournaments/m/Bordeaux/1982,Bordeaux
5,H2H 2-1,Loic Courteau,QF,6-4 6-3,Pablo Arraya,1982-09-20,https://matchstat.com/tennis/tournaments/m/Bordeaux/1982,Bordeaux
6,H2H 1-0,Hans Simonsson,QF,6-4 5-7 7-5,Chris Lewis,1982-09-20,https://matchstat.com/tennis/tournaments/m/Bordeaux/1982,Bordeaux
7,H2H 2-0,Gabriel Urpi,R16,6-3 6-4,Andres Gomez,1982-09-20,https://matchstat.com/tennis/tournaments/m/Bordeaux/1982,Bordeaux
8,H2H 2-1,Henri Leconte,R16,6-3 7-5,Diego Perez,1982-09-20,https://matchstat.com/tennis/tournaments/m/Bordeaux/1982,Bordeaux
9,H2H 1-0,Christophe Lesage,R16,6-0 6-3,Hans Gildemeister,1982-09-20,https://matchstat.com/tennis/tournaments/m/Bordeaux/1982,Bordeaux
10,H2H 3-1,Jose Lopez-Maeso,R16,6-2 7-6,Fernando Luna,1982-09-20,https://matchstat.com/tennis/tournaments/m/Bordeaux/1982,Bordeaux
11,H2H 1-0,Christophe Roger-Vasselin,R16,7-5 6-2,Loic Courteau,1982-09-20,https://matchstat.com/tennis/tournaments/m/Bordeaux/1982,Bordeaux
12,H2H 1-0,Carlos Castellan,R16,4-6 6-0 6-4,Pablo Arraya,1982-09-20,https://matchstat.com/tennis/tournaments/m/Bordeaux/1982,Bordeaux
13,H2H 1-0,Mario Martinez,R16,7-6 6-4,Hans Simonsson,1982-09-20,https://matchstat.com/tennis/tournaments/m/Bordeaux/1982,Bordeaux
14,H2H 2-1,Anders Jarryd,R16,6-2 6-1,Chris Lewis,1982-09-20,https://matchstat.com/tennis/tournaments/m/Bordeaux/1982,Bordeaux
15,H2H 1-1,Stefan Simonsson,R32,6-2 6-4,Andres Gomez,1982-09-20,https://matchstat.com/tennis/tournaments/m/Bordeaux/1982,Bordeaux
16,H2H 1-0,Juan Aguilera,R32,6-2 6-3,Gabriel Urpi,1982-09-20,https://matchstat.com/tennis/tournaments/m/Bordeaux/1982,Bordeaux
17,H2H 1-0,Russell Simpson,R32,6-1 6-2,Diego Perez,1982-09-20,https://matchstat.com/tennis/tournaments/m/Bordeaux/1982,Bordeaux
18,H2H 4-0,Jerome Potier,R32,6-2 6-4,Henri Leconte,1982-09-20,https://matchstat.com/tennis/tournaments/m/Bordeaux/1982,Bordeaux
19,H2H 1-0,Patrice Kuchna,R32,6-2 7-5,Hans Gildemeister,1982-09-20,https://matchstat.com/tennis/tournaments/m/Bordeaux/1982,Bordeaux
20,H2H 1-0,Jose Garcia-Requena,R32,6-3 6-3,Christophe Lesage,1982-09-20,https://matchstat.com/tennis/tournaments/m/Bordeaux/1982,Bordeaux
21,H2H 3-0,Pascal Portes,R32,6-4 6-2,Jose Lopez-Maeso,1982-09-20,https://matchstat.com/tennis/tournaments/m/Bordeaux/1982,Bordeaux
22,H2H 1-0,Bruce Derlin,R32,6-3 6-0,Fernando Luna,1982-09-20,https://matchstat.com/tennis/tournaments/m/Bordeaux/1982,Bordeaux
23,H2H 1-1,Corrado Barazzutti,R32,6-4 6-4,Christophe Roger-Vasselin,1982-09-20,https://matchstat.com/tennis/tournaments/m/Bordeaux/1982,Bordeaux
24,H2H 1-0,Jeff Simpson,R32,7-6 6-3,Loic Courteau,1982-09-20,https://matchstat.com/tennis/tournaments/m/Bordeaux/1982,Bordeaux
25,H2H 1-0,Pender Murphy,R32,4-6 6-1 6-4,Carlos Castellan,1982-09-20,https://matchstat.com/tennis/tournaments/m/Bordeaux/1982,Bordeaux
26,H2H 2-0,Juan Avendano,R32,6-4 6-4,Pablo Arraya,1982-09-20,https://matchstat.com/tennis/tournaments/m/Bordeaux/1982,Bordeaux
27,H2H 2-0,Dominique Bedel,R32,6-1 6-4,Mario Martinez,1982-09-20,https://matchstat.com/tennis/tournaments/m/Bordeaux/1982,Bordeaux
28,H2H 1-0,Juan Carlos Yunis,R32,6-2 6-3,Hans Simonsson,1982-09-20,https://matchstat.com/tennis/tournaments/m/Bordeaux/1982,Bordeaux
29,H2H 1-0,Guillermo Stevens,R32,6-3 6-2,Anders Jarryd,1982-09-20,https://matchstat.com/tennis/tournaments/m/Bordeaux/1982,Bordeaux
30,H2H 1-0,Mansour Bahrami,R32,6-7 6-4 6-2,Chris Lewis,1982-09-20,https://matchstat.com/tennis/tournaments/m/Bordeaux/1982,Bordeaux
31,,A Jarryd / H Simonsson,F,6-4 6-2,H Gildemeister / A Gomez,1982-09-20,https://matchstat.com/tennis/tournaments/m/Bordeaux/1982,Bordeaux
32,,D Naegelen / J Potier,SF,6-0 6-3,H Gildemeister / A Gomez,1982-09-20,https://matchstat.com/tennis/tournaments/m/Bordeaux/1982,Bordeaux
33,,A Jarrett / J Smith,SF,6-4 6-3,A Jarryd / H Simonsson,1982-09-20,https://matchstat.com/tennis/tournaments/m/Bordeaux/1982,Bordeaux
34,,P Arraya / S Simonsson,QF,6-4 4-6 6-1,H Gildemeister / A Gomez,1982-09-20,https://matchstat.com/tennis/tournaments/m/Bordeaux/1982,Bordeaux
35,,C Lewis / R Simpson,QF,6-7 6-4 6-4,D Naegelen / J Potier,1982-09-20,https://matchstat.com/tennis/tournaments/m/Bordeaux/1982,Bordeaux
36,,G Giussani / G Stevens,QF,6-4 6-0,A Jarrett / J Smith,1982-09-20,https://matchstat.com/tennis/tournaments/m/Bordeaux/1982,Bordeaux
37,,M Bahrami / C Lesage,QF,6-7 6-2 6-3,A Jarryd / H Simonsson,1982-09-20,https://matchstat.com/tennis/tournaments/m/Bordeaux/1982,Bordeaux
38,,F Lacueille / B La Font,R16,6-4 6-2,H Gildemeister / A Gomez,1982-09-20,https://matchstat.com/tennis/tournaments/m/Bordeaux/1982,Bordeaux
39,,J Aguilera / F Luna,R16,7-6 3-6 6-4,P Arraya / S Simonsson,1982-09-20,https://matchstat.com/tennis/tournaments/m/Bordeaux/1982,Bordeaux
40,,J Avendano / H Ismail,R16,6-1 6-1,C Lewis / R Simpson,1982-09-20,https://matchstat.com/tennis/tournaments/m/Bordeaux/1982,Bordeaux
41,,C Castellan / G Urpi,R16,6-4 6-2,D Naegelen / J Potier,1982-09-20,https://matchstat.com/tennis/tournaments/m/Bordeaux/1982,Bordeaux
42,,F Yunis / J Yunis,R16,6-1 6-2,G Giussani / G Stevens,1982-09-20,https://matchstat.com/tennis/tournaments/m/Bordeaux/1982,Bordeaux
43,,L Courteau / P Portes,R16,6-2 6-3,A Jarrett / J Smith,1982-09-20,https://matchstat.com/tennis/tournaments/m/Bordeaux/1982,Bordeaux
44,,B Derlin / J Simpson,R16,7-6 7-5,M Bahrami / C Lesage,1982-09-20,https://matchstat.com/tennis/tournaments/m/Bordeaux/1982,Bordeaux
45,,C Barazzutti / H Leconte,R16,6-3 6-4,A Jarryd / H Simonsson,1982-09-20,https://matchstat.com/tennis/tournaments/m/Bordeaux/1982,Bordeaux
