,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 5-3,Harold Solomon,F,6-4 6-3,Orantes,1978-08-21,https://matchstat.com/tennis/tournaments/m/Boston/1978,Boston
1,H2H 4-2,Corrado Barazzutti,SF,3-6 6-4 6-0,Harold Solomon,1978-08-21,https://matchstat.com/tennis/tournaments/m/Boston/1978,Boston
2,H2H 4-3,A. Ashe,SF,6-3 6-2,Orantes,1978-08-21,https://matchstat.com/tennis/tournaments/m/Boston/1978,Boston
3,H2H 3-4,John McEnroe,QF,6-2 6-2,Harold Solomon,1978-08-21,https://matchstat.com/tennis/tournaments/m/Boston/1978,Boston
4,H2H 1-11,Jose Higueras,QF,7-6 3-0 Retired,Corrado Barazzutti,1978-08-21,https://matchstat.com/tennis/tournaments/m/Boston/1978,Boston
5,H2H 5-2,Wojtek Fibak,QF,6-4 6-3,Orantes,1978-08-21,https://matchstat.com/tennis/tournaments/m/Boston/1978,Boston
6,H2H 2-0,Jose Luis Clerc,QF,6-4 6-1,A. Ashe,1978-08-21,https://matchstat.com/tennis/tournaments/m/Boston/1978,Boston
7,H2H 3-0,Victor Pecci,R16,6-2 6-2,John McEnroe,1978-08-21,https://matchstat.com/tennis/tournaments/m/Boston/1978,Boston
8,H2H 1-0,Peter Feigl,R16,6-1 5-7 7-6,Harold Solomon,1978-08-21,https://matchstat.com/tennis/tournaments/m/Boston/1978,Boston
9,H2H 2-1,Peter McNamara,R16,6-0 6-4,Corrado Barazzutti,1978-08-21,https://matchstat.com/tennis/tournaments/m/Boston/1978,Boston
10,H2H 4-3,J. Fillol,R16,3-6 6-3 6-1,Jose Higueras,1978-08-21,https://matchstat.com/tennis/tournaments/m/Boston/1978,Boston
11,H2H 3-0,Chris Lewis,R16,6-4 6-1,Wojtek Fibak,1978-08-21,https://matchstat.com/tennis/tournaments/m/Boston/1978,Boston
12,H2H 3-3,Paolo Bertolucci,R16,6-4 6-0,Orantes,1978-08-21,https://matchstat.com/tennis/tournaments/m/Boston/1978,Boston
13,H2H 3-0,Steve Krulevitz,R16,6-3 6-0,A. Ashe,1978-08-21,https://matchstat.com/tennis/tournaments/m/Boston/1978,Boston
14,H2H 3-1,Raul Ramirez,R16,6-3 6-2,Jose Luis Clerc,1978-08-21,https://matchstat.com/tennis/tournaments/m/Boston/1978,Boston
15,H2H 3-5,Eddie Dibbs,R32,4-6 6-3 7-5,Victor Pecci,1978-08-21,https://matchstat.com/tennis/tournaments/m/Boston/1978,Boston
16,H2H 1-0,Z. Franulovic,R32,6-3 6-3,John McEnroe,1978-08-21,https://matchstat.com/tennis/tournaments/m/Boston/1978,Boston
17,H2H 1-0,Balazs Taroczy,R32,6-7 6-0 7-6,Peter Feigl,1978-08-21,https://matchstat.com/tennis/tournaments/m/Boston/1978,Boston
18,H2H 3-2,Terry Moor,R32,6-1 6-2,Harold Solomon,1978-08-21,https://matchstat.com/tennis/tournaments/m/Boston/1978,Boston
19,H2H 1-1,Billy Martin,R32,6-3 6-0,Corrado Barazzutti,1978-08-21,https://matchstat.com/tennis/tournaments/m/Boston/1978,Boston
20,H2H 1-1,Cary Stansbury,R32,6-2 Retired,Peter McNamara,1978-08-21,https://matchstat.com/tennis/tournaments/m/Boston/1978,Boston
21,H2H 1-1,Gilles Moretton,R32,6-3 6-4,J. Fillol,1978-08-21,https://matchstat.com/tennis/tournaments/m/Boston/1978,Boston
22,H2H 5-2,Tomas Smid,R32,6-3 6-2,Jose Higueras,1978-08-21,https://matchstat.com/tennis/tournaments/m/Boston/1978,Boston
23,H2H 3-1,Tom Okker,R32,3-6 6-1 6-3,Wojtek Fibak,1978-08-21,https://matchstat.com/tennis/tournaments/m/Boston/1978,Boston
24,H2H 1-0,Antonio Munoz,R32,6-1 6-0,Chris Lewis,1978-08-21,https://matchstat.com/tennis/tournaments/m/Boston/1978,Boston
25,H2H 3-3,Christopher Mottram,R32,6-3 6-4,Paolo Bertolucci,1978-08-21,https://matchstat.com/tennis/tournaments/m/Boston/1978,Boston
26,H2H 7-0,Hans Kary,R32,6-2 6-0,Orantes,1978-08-21,https://matchstat.com/tennis/tournaments/m/Boston/1978,Boston
27,H2H 4-1,M. Riessen,R32,6-3 3-6 6-3,A. Ashe,1978-08-21,https://matchstat.com/tennis/tournaments/m/Boston/1978,Boston
28,H2H 3-2,Adriano Panatta,R32,6-2 6-4,Steve Krulevitz,1978-08-21,https://matchstat.com/tennis/tournaments/m/Boston/1978,Boston
29,H2H 1-1,John Marks,R32,6-1 6-3,Jose Luis Clerc,1978-08-21,https://matchstat.com/tennis/tournaments/m/Boston/1978,Boston
30,H2H 1-1,Patrice Dominguez,R32,6-3 6-2,Raul Ramirez,1978-08-21,https://matchstat.com/tennis/tournaments/m/Boston/1978,Boston
31,H2H 6-3,Victor Amaya,R64,6-4 6-2,Eddie Dibbs,1978-08-21,https://matchstat.com/tennis/tournaments/m/Boston/1978,Boston
32,H2H 1-0,Bernie Mitton,R64,6-3 6-0,Victor Pecci,1978-08-21,https://matchstat.com/tennis/tournaments/m/Boston/1978,Boston
33,H2H 1-0,Howard Schoenfield,R64,6-4 5-1 Retired,Z. Franulovic,1978-08-21,https://matchstat.com/tennis/tournaments/m/Boston/1978,Boston
34,H2H 1-0,Vladimir Zednik,R64,6-1 6-2,John McEnroe,1978-08-21,https://matchstat.com/tennis/tournaments/m/Boston/1978,Boston
35,H2H 1-0,Brad Drewett,R64,6-3 6-0,Balazs Taroczy,1978-08-21,https://matchstat.com/tennis/tournaments/m/Boston/1978,Boston
36,H2H 1-2,Gianni Ocleppo,R64,6-4 7-5,Peter Feigl,1978-08-21,https://matchstat.com/tennis/tournaments/m/Boston/1978,Boston
37,H2H 1-0,Jorge Andrew,R64,6-0 6-4,Terry Moor,1978-08-21,https://matchstat.com/tennis/tournaments/m/Boston/1978,Boston
38,H2H 2-0,Geoff Masters,R64,6-4 6-2,Harold Solomon,1978-08-21,https://matchstat.com/tennis/tournaments/m/Boston/1978,Boston
39,H2H 2-0,Tenny Svensson,R64,6-1 7-6,Corrado Barazzutti,1978-08-21,https://matchstat.com/tennis/tournaments/m/Boston/1978,Boston
40,H2H 1-1,Crealy,R64,2-6 7-6 7-6,Billy Martin,1978-08-21,https://matchstat.com/tennis/tournaments/m/Boston/1978,Boston
41,H2H 1-0,Steve Docherty,R64,7-6 6-2,Peter McNamara,1978-08-21,https://matchstat.com/tennis/tournaments/m/Boston/1978,Boston
42,H2H 1-0,Cliff Letcher,R64,6-3 1-6 6-3,Cary Stansbury,1978-08-21,https://matchstat.com/tennis/tournaments/m/Boston/1978,Boston
43,H2H 2-0,Robin Drysdale,R64,6-1 6-2,J. Fillol,1978-08-21,https://matchstat.com/tennis/tournaments/m/Boston/1978,Boston
44,H2H 1-0,Alvaro Betancur,R64,6-3 3-6 6-3,Gilles Moretton,1978-08-21,https://matchstat.com/tennis/tournaments/m/Boston/1978,Boston
45,H2H 2-0,Ramiro Gonzalo Benavides Saravia,R64,6-1 6-2,Tomas Smid,1978-08-21,https://matchstat.com/tennis/tournaments/m/Boston/1978,Boston
46,H2H 1-0,Heinz Gunthardt,R64,6-1 6-3,Jose Higueras,1978-08-21,https://matchstat.com/tennis/tournaments/m/Boston/1978,Boston
47,H2H 1-1,Pascal Portes,R64,5-7 6-4 6-2,Wojtek Fibak,1978-08-21,https://matchstat.com/tennis/tournaments/m/Boston/1978,Boston
48,H2H 2-0,Elio Alvarez,R64,6-7 6-4 6-1,Tom Okker,1978-08-21,https://matchstat.com/tennis/tournaments/m/Boston/1978,Boston
49,H2H 1-0,Van Winitsky,R64,6-0 6-2,Antonio Munoz,1978-08-21,https://matchstat.com/tennis/tournaments/m/Boston/1978,Boston
50,H2H 2-0,John Lloyd,R64,6-1 5-7 6-4,Chris Lewis,1978-08-21,https://matchstat.com/tennis/tournaments/m/Boston/1978,Boston
51,H2H 2-0,Bernard Fritz,R64,6-3 6-3,Christopher Mottram,1978-08-21,https://matchstat.com/tennis/tournaments/m/Boston/1978,Boston
52,H2H 1-0,Mike Fishbach,R64,6-2 6-0,Paolo Bertolucci,1978-08-21,https://matchstat.com/tennis/tournaments/m/Boston/1978,Boston
53,H2H 1-0,Noel Phillips,R64,6-0 6-3,Hans Kary,1978-08-21,https://matchstat.com/tennis/tournaments/m/Boston/1978,Boston
54,H2H 2-0,Belus Prajoux,R64,6-2 5-7 6-4,Orantes,1978-08-21,https://matchstat.com/tennis/tournaments/m/Boston/1978,Boston
55,H2H 2-0,Erick Iskersky,R64,7-6 6-1,A. Ashe,1978-08-21,https://matchstat.com/tennis/tournaments/m/Boston/1978,Boston
56,H2H 1-0,Jonathan Smith,R64,6-3 6-2,M. Riessen,1978-08-21,https://matchstat.com/tennis/tournaments/m/Boston/1978,Boston
57,H2H 1-0,Alvaro Fillol,R64,6-4 7-5,Steve Krulevitz,1978-08-21,https://matchstat.com/tennis/tournaments/m/Boston/1978,Boston
58,H2H 2-2,Bob Hewitt,R64,6-4 6-3,Adriano Panatta,1978-08-21,https://matchstat.com/tennis/tournaments/m/Boston/1978,Boston
59,H2H 2-0,Patricio Cornejo Seckel,R64,7-6 7-5,Jose Luis Clerc,1978-08-21,https://matchstat.com/tennis/tournaments/m/Boston/1978,Boston
60,H2H 1-0,Kjell Johansson,R64,6-3 6-4,John Marks,1978-08-21,https://matchstat.com/tennis/tournaments/m/Boston/1978,Boston
61,H2H 1-0,Doug Crawford,R64,2-6 7-6 6-2,Patrice Dominguez,1978-08-21,https://matchstat.com/tennis/tournaments/m/Boston/1978,Boston
62,H2H 2-0,Ivan Molina,R64,3-1 Retired,Raul Ramirez,1978-08-21,https://matchstat.com/tennis/tournaments/m/Boston/1978,Boston
63,,H Gunthardt / V Winitsky,F,6-3 3-6 6-1,V Pecci / B Taroczy,1978-08-21,https://matchstat.com/tennis/tournaments/m/Boston/1978,Boston
