,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 1-0,Z. Franulovic,F,6-3 6-2 5-7 6-0,G. Battrick,1971-05-17,https://matchstat.com/tennis/tournaments/m/Bournemouth/1971,Bournemouth
1,H2H 1-2,J. Fillol,SF,7-5 1-6 6-3 1-6 6-3,G. Battrick,1971-05-17,https://matchstat.com/tennis/tournaments/m/Bournemouth/1971,Bournemouth
2,H2H 1-2,M. Cox,SF,6-0 9-8 6-2,Z. Franulovic,1971-05-17,https://matchstat.com/tennis/tournaments/m/Bournemouth/1971,Bournemouth
3,H2H 1-0,F. Sedgman,QF,6-2 6-4 6-4,G. Battrick,1971-05-17,https://matchstat.com/tennis/tournaments/m/Bournemouth/1971,Bournemouth
4,H2H 3-1,Pierre Barthes,QF,3-6 8-6 6-4 2-6 6-2,J. Fillol,1971-05-17,https://matchstat.com/tennis/tournaments/m/Bournemouth/1971,Bournemouth
5,H2H 3-1,R. Taylor,QF,8-6 6-1 3-6 6-3,M. Cox,1971-05-17,https://matchstat.com/tennis/tournaments/m/Bournemouth/1971,Bournemouth
6,H2H 1-0,Bob Maud,QF,6-4 6-3 6-1,Z. Franulovic,1971-05-17,https://matchstat.com/tennis/tournaments/m/Bournemouth/1971,Bournemouth
7,H2H 0-1,T. Roche,R16,WO,F. Sedgman,1971-05-17,https://matchstat.com/tennis/tournaments/m/Bournemouth/1971,Bournemouth
8,H2H 1-0,Davidson,R16,6-4 7-5 6-8 6-2,G. Battrick,1971-05-17,https://matchstat.com/tennis/tournaments/m/Bournemouth/1971,Bournemouth
9,H2H 2-0,Geoff Masters,R16,7-9 6-4 7-5 3-6 6-3,Pierre Barthes,1971-05-17,https://matchstat.com/tennis/tournaments/m/Bournemouth/1971,Bournemouth
10,H2H 1-0,William Freer,R16,6-3 6-3 6-2,J. Fillol,1971-05-17,https://matchstat.com/tennis/tournaments/m/Bournemouth/1971,Bournemouth
11,H2H 1-0,Allan McDonald,R16,6-4 6-2 6-2,M. Cox,1971-05-17,https://matchstat.com/tennis/tournaments/m/Bournemouth/1971,Bournemouth
12,H2H 1-0,Patricio Cornejo Seckel,R16,6-1 5-7 6-3 6-3,R. Taylor,1971-05-17,https://matchstat.com/tennis/tournaments/m/Bournemouth/1971,Bournemouth
13,H2H 1-0,Frank Froehling,R16,3-6 9-8 4-6 6-3 6-3,Bob Maud,1971-05-17,https://matchstat.com/tennis/tournaments/m/Bournemouth/1971,Bournemouth
14,H2H 2-0,Andrew Pattison,R16,6-1 8-6 3-6 6-3,Z. Franulovic,1971-05-17,https://matchstat.com/tennis/tournaments/m/Bournemouth/1971,Bournemouth
15,H2H 1-0,Milan Holecek,R32,3-6 4-6 8-6 6-1 6-3,T. Roche,1971-05-17,https://matchstat.com/tennis/tournaments/m/Bournemouth/1971,Bournemouth
16,H2H 1-0,Jean-Paul Meyer,R32,6-4 6-4 6-3,F. Sedgman,1971-05-17,https://matchstat.com/tennis/tournaments/m/Bournemouth/1971,Bournemouth
17,H2H 1-0,Patrick Proisy,R32,3-6 6-4 6-4 7-9 6-2,Davidson,1971-05-17,https://matchstat.com/tennis/tournaments/m/Bournemouth/1971,Bournemouth
18,H2H 1-0,John Clifton,R32,6-3 6-1 6-0,G. Battrick,1971-05-17,https://matchstat.com/tennis/tournaments/m/Bournemouth/1971,Bournemouth
19,H2H 1-1,Kim Warwick,R32,6-3 3-6 6-1 6-4,Pierre Barthes,1971-05-17,https://matchstat.com/tennis/tournaments/m/Bournemouth/1971,Bournemouth
20,H2H 2-1,Onny Parun,R32,6-8 8-6 6-4 5-7 6-4,Geoff Masters,1971-05-17,https://matchstat.com/tennis/tournaments/m/Bournemouth/1971,Bournemouth
21,H2H 2-1,Byron Bertram,R32,6-1 6-4 3-6 6-4,J. Fillol,1971-05-17,https://matchstat.com/tennis/tournaments/m/Bournemouth/1971,Bournemouth
22,H2H 1-0,Jean-Baptiste Chanfreau,R32,6-2 6-4 6-2,William Freer,1971-05-17,https://matchstat.com/tennis/tournaments/m/Bournemouth/1971,Bournemouth
23,H2H 2-0,Jaime Rene Pinto Bravo,R32,6-2 6-3 6-4,Allan McDonald,1971-05-17,https://matchstat.com/tennis/tournaments/m/Bournemouth/1971,Bournemouth
24,H2H 1-0,F. Jauffret,R32,6-2 2-6 8-6 4-6 6-2,M. Cox,1971-05-17,https://matchstat.com/tennis/tournaments/m/Bournemouth/1971,Bournemouth
25,H2H 1-0,Paul Hutchins,R32,6-2 6-3 6-4,Patricio Cornejo Seckel,1971-05-17,https://matchstat.com/tennis/tournaments/m/Bournemouth/1971,Bournemouth
26,H2H 2-0,B. Bowrey,R32,6-4 5-7 6-2 6-4,R. Taylor,1971-05-17,https://matchstat.com/tennis/tournaments/m/Bournemouth/1971,Bournemouth
27,H2H 1-0,John Paish,R32,1-6 6-3 4-6 6-4 6-2,Frank Froehling,1971-05-17,https://matchstat.com/tennis/tournaments/m/Bournemouth/1971,Bournemouth
28,H2H 1-0,Georges Goven,R32,2-6 6-4 7-5 6-3,Bob Maud,1971-05-17,https://matchstat.com/tennis/tournaments/m/Bournemouth/1971,Bournemouth
