,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 4-2,P. Dent,F,6-3 6-4,John McEnroe,1980-10-06,https://matchstat.com/tennis/tournaments/m/Brisbane/1980,Brisbane
1,H2H 5-0,Rod Frawley,SF,4-6 6-1 6-4,John McEnroe,1980-10-06,https://matchstat.com/tennis/tournaments/m/Brisbane/1980,Brisbane
2,H2H 1-0,Dale Collings,SF,6-1 6-0,P. Dent,1980-10-06,https://matchstat.com/tennis/tournaments/m/Brisbane/1980,Brisbane
3,H2H 1-0,Christofer Delaney,QF,6-1 6-1,John McEnroe,1980-10-06,https://matchstat.com/tennis/tournaments/m/Brisbane/1980,Brisbane
4,H2H 2-1,Mark Edmondson,QF,5-7 7-6 6-3,Rod Frawley,1980-10-06,https://matchstat.com/tennis/tournaments/m/Brisbane/1980,Brisbane
5,H2H 1-0,Rick Meyer,QF,7-5 7-6,Dale Collings,1980-10-06,https://matchstat.com/tennis/tournaments/m/Brisbane/1980,Brisbane
6,H2H 2-1,T. Roche,QF,5-7 6-3 6-2,P. Dent,1980-10-06,https://matchstat.com/tennis/tournaments/m/Brisbane/1980,Brisbane
7,H2H 1-0,Andy Kohlberg,R16,6-4 6-2,John McEnroe,1980-10-06,https://matchstat.com/tennis/tournaments/m/Brisbane/1980,Brisbane
8,H2H 1-0,Syd Ball,R16,6-1 3-6 6-3,Christofer Delaney,1980-10-06,https://matchstat.com/tennis/tournaments/m/Brisbane/1980,Brisbane
9,H2H 2-1,Chris Johnstone,R16,3-6 6-1 6-3,Rod Frawley,1980-10-06,https://matchstat.com/tennis/tournaments/m/Brisbane/1980,Brisbane
10,H2H 2-2,K. Rosewall,R16,3-6 6-2 6-2,Mark Edmondson,1980-10-06,https://matchstat.com/tennis/tournaments/m/Brisbane/1980,Brisbane
11,H2H 1-2,Terry Rocavert,R16,6-3 6-4,Dale Collings,1980-10-06,https://matchstat.com/tennis/tournaments/m/Brisbane/1980,Brisbane
12,H2H 1-1,Cliff Letcher,R16,6-4 6-4,Rick Meyer,1980-10-06,https://matchstat.com/tennis/tournaments/m/Brisbane/1980,Brisbane
13,H2H 1-0,Peter Feigl,R16,6-3 6-1,T. Roche,1980-10-06,https://matchstat.com/tennis/tournaments/m/Brisbane/1980,Brisbane
14,H2H 1-0,Brad Drewett,R16,6-1 6-3,P. Dent,1980-10-06,https://matchstat.com/tennis/tournaments/m/Brisbane/1980,Brisbane
15,H2H 1-0,Matt Mitchell,R32,6-3 6-1,John McEnroe,1980-10-06,https://matchstat.com/tennis/tournaments/m/Brisbane/1980,Brisbane
16,H2H 1-0,Charles Fancutt,R32,6-3 6-3,Andy Kohlberg,1980-10-06,https://matchstat.com/tennis/tournaments/m/Brisbane/1980,Brisbane
17,H2H 1-0,Sashi Menon,R32,6-3 6-3,Syd Ball,1980-10-06,https://matchstat.com/tennis/tournaments/m/Brisbane/1980,Brisbane
18,H2H 1-0,Greg Whitecross,R32,6-3 7-5,Christofer Delaney,1980-10-06,https://matchstat.com/tennis/tournaments/m/Brisbane/1980,Brisbane
19,H2H 1-2,Tom Gullikson,R32,6-4 6-2,Rod Frawley,1980-10-06,https://matchstat.com/tennis/tournaments/m/Brisbane/1980,Brisbane
20,H2H 1-0,Brian Millar,R32,1-6 7-6 6-1,Chris Johnstone,1980-10-06,https://matchstat.com/tennis/tournaments/m/Brisbane/1980,Brisbane
21,H2H 1-0,John Fitzgerald,R32,1-6 7-5 6-3,K. Rosewall,1980-10-06,https://matchstat.com/tennis/tournaments/m/Brisbane/1980,Brisbane
22,H2H 1-0,Alvin Gardiner,R32,4-6 6-1 6-2,Mark Edmondson,1980-10-06,https://matchstat.com/tennis/tournaments/m/Brisbane/1980,Brisbane
23,H2H 1-1,Geoff Masters,R32,6-3 6-0,Terry Rocavert,1980-10-06,https://matchstat.com/tennis/tournaments/m/Brisbane/1980,Brisbane
24,H2H 1-0,Marten,R32,7-6 6-2,Dale Collings,1980-10-06,https://matchstat.com/tennis/tournaments/m/Brisbane/1980,Brisbane
25,H2H 1-0,Chris Kachel,R32,6-3 6-1,Cliff Letcher,1980-10-06,https://matchstat.com/tennis/tournaments/m/Brisbane/1980,Brisbane
26,H2H 1-0,Kim Warwick,R32,6-7 7-6 7-6,Rick Meyer,1980-10-06,https://matchstat.com/tennis/tournaments/m/Brisbane/1980,Brisbane
27,H2H 1-0,John Marks,R32,6-1 6-4,Peter Feigl,1980-10-06,https://matchstat.com/tennis/tournaments/m/Brisbane/1980,Brisbane
28,H2H 1-0,Junie Chatman,R32,7-5 6-4,T. Roche,1980-10-06,https://matchstat.com/tennis/tournaments/m/Brisbane/1980,Brisbane
29,H2H 1-0,Wayne Hampson,R32,6-0 6-3,Brad Drewett,1980-10-06,https://matchstat.com/tennis/tournaments/m/Brisbane/1980,Brisbane
30,H2H 1-0,Wayne Pascoe,R32,6-2 6-4,P. Dent,1980-10-06,https://matchstat.com/tennis/tournaments/m/Brisbane/1980,Brisbane
31,,P Dent / R Frawley,F,8-6,J McEnroe / M Mitchell,1980-10-06,https://matchstat.com/tennis/tournaments/m/Brisbane/1980,Brisbane
32,,M Edmondson / K Warwick,SF,5-7 6-2 6-4,J McEnroe / M Mitchell,1980-10-06,https://matchstat.com/tennis/tournaments/m/Brisbane/1980,Brisbane
33,,P Feigl / S Menon,SF,7-6 7-6,P Dent / R Frawley,1980-10-06,https://matchstat.com/tennis/tournaments/m/Brisbane/1980,Brisbane
34,,E Ewert / B Guan,QF,6-4 7-6,M Edmondson / K Warwick,1980-10-06,https://matchstat.com/tennis/tournaments/m/Brisbane/1980,Brisbane
35,,A Kohlberg / R Meyer,QF,6-4 6-1,J McEnroe / M Mitchell,1980-10-06,https://matchstat.com/tennis/tournaments/m/Brisbane/1980,Brisbane
36,,S Ball / C Letcher,QF,4-6 6-1 6-2,P Feigl / S Menon,1980-10-06,https://matchstat.com/tennis/tournaments/m/Brisbane/1980,Brisbane
37,,C Fancutt / M Marten,QF,6-4 7-6,P Dent / R Frawley,1980-10-06,https://matchstat.com/tennis/tournaments/m/Brisbane/1980,Brisbane
38,,T Gullikson / J Whitlinger,R16,7-6 7-6,M Edmondson / K Warwick,1980-10-06,https://matchstat.com/tennis/tournaments/m/Brisbane/1980,Brisbane
39,,D Collings / W Hampson,R16,7-6 2-6 6-3,E Ewert / B Guan,1980-10-06,https://matchstat.com/tennis/tournaments/m/Brisbane/1980,Brisbane
40,,C Kachel / J Marks,R16,4-6 6-3 6-4,J McEnroe / M Mitchell,1980-10-06,https://matchstat.com/tennis/tournaments/m/Brisbane/1980,Brisbane
41,,P Davies / J Trickey,R16,4-6 6-2 7-5,A Kohlberg / R Meyer,1980-10-06,https://matchstat.com/tennis/tournaments/m/Brisbane/1980,Brisbane
42,,J Cohen / C Delaney,R16,7-6 2-6 6-0,P Feigl / S Menon,1980-10-06,https://matchstat.com/tennis/tournaments/m/Brisbane/1980,Brisbane
43,,J Fitzgerald / W Pascoe,R16,7-6 2-6 6-3,S Ball / C Letcher,1980-10-06,https://matchstat.com/tennis/tournaments/m/Brisbane/1980,Brisbane
44,,P Johnston / G Whitecross,R16,6-3 6-4,C Fancutt / M Marten,1980-10-06,https://matchstat.com/tennis/tournaments/m/Brisbane/1980,Brisbane
45,,B Drewett / T Rocavert,R16,6-2 6-1,P Dent / R Frawley,1980-10-06,https://matchstat.com/tennis/tournaments/m/Brisbane/1980,Brisbane
