,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 1-2,Tom Gullikson,F,7-6 7-5,Johan Kriek,1983-06-13,https://matchstat.com/tennis/tournaments/m/Bristol/1983,Bristol
1,H2H 2-0,Lloyd Bourne,SF,6-2 1-6 7-5,Johan Kriek,1983-06-13,https://matchstat.com/tennis/tournaments/m/Bristol/1983,Bristol
2,H2H 2-1,Ramesh Krishnan,SF,6-4 7-6,Tom Gullikson,1983-06-13,https://matchstat.com/tennis/tournaments/m/Bristol/1983,Bristol
3,H2H 1-0,Ricardo Acuna,QF,6-4 6-7 6-4,Johan Kriek,1983-06-13,https://matchstat.com/tennis/tournaments/m/Bristol/1983,Bristol
4,H2H 1-3,Brian Teacher,QF,6-3 6-7 11-9,Lloyd Bourne,1983-06-13,https://matchstat.com/tennis/tournaments/m/Bristol/1983,Bristol
5,H2H 2-2,John Fitzgerald,QF,6-3 6-3,Ramesh Krishnan,1983-06-13,https://matchstat.com/tennis/tournaments/m/Bristol/1983,Bristol
6,H2H 1-0,Marcos Hocevar,QF,6-4 6-4,Tom Gullikson,1983-06-13,https://matchstat.com/tennis/tournaments/m/Bristol/1983,Bristol
7,H2H 1-3,I. Nastase,R16,6-3 6-1,Johan Kriek,1983-06-13,https://matchstat.com/tennis/tournaments/m/Bristol/1983,Bristol
8,H2H 2-0,Nduka Odizor,R16,6-3 6-1,Ricardo Acuna,1983-06-13,https://matchstat.com/tennis/tournaments/m/Bristol/1983,Bristol
9,H2H 1-1,Wally Masur,R16,6-7 6-4 6-3,Brian Teacher,1983-06-13,https://matchstat.com/tennis/tournaments/m/Bristol/1983,Bristol
10,H2H 1-0,Drew Gitlin,R16,6-4 4-6 6-1,Lloyd Bourne,1983-06-13,https://matchstat.com/tennis/tournaments/m/Bristol/1983,Bristol
11,H2H 3-1,Tim Wilkison,R16,6-4 7-5,John Fitzgerald,1983-06-13,https://matchstat.com/tennis/tournaments/m/Bristol/1983,Bristol
12,H2H 1-0,Rodney Harmon,R16,7-5 6-0,Ramesh Krishnan,1983-06-13,https://matchstat.com/tennis/tournaments/m/Bristol/1983,Bristol
