,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 3-5,Ivan Lendl,F,6-4 4-6 7-6,Peter McNamara,1983-03-07,https://matchstat.com/tennis/tournaments/m/Brussels%20Indoor/1983,Brussels Indoor
1,H2H 13-6,Mats Wilander,SF,7-6 7-6,Ivan Lendl,1983-03-07,https://matchstat.com/tennis/tournaments/m/Brussels%20Indoor/1983,Brussels Indoor
2,H2H 3-2,Vitas Gerulaitis,SF,6-2 7-6,Peter McNamara,1983-03-07,https://matchstat.com/tennis/tournaments/m/Brussels%20Indoor/1983,Brussels Indoor
3,H2H 10-0,Johan Kriek,QF,6-3 6-2,Ivan Lendl,1983-03-07,https://matchstat.com/tennis/tournaments/m/Brussels%20Indoor/1983,Brussels Indoor
4,H2H 7-5,Yannick Noah,QF,6-3 6-2,Mats Wilander,1983-03-07,https://matchstat.com/tennis/tournaments/m/Brussels%20Indoor/1983,Brussels Indoor
5,H2H 5-2,Steve Denton,QF,7-6 6-4,Vitas Gerulaitis,1983-03-07,https://matchstat.com/tennis/tournaments/m/Brussels%20Indoor/1983,Brussels Indoor
6,H2H 1-0,Kevin Curren,QF,6-4 7-5,Peter McNamara,1983-03-07,https://matchstat.com/tennis/tournaments/m/Brussels%20Indoor/1983,Brussels Indoor
7,H2H 8-4,Balazs Taroczy,R16,6-3 7-5,Ivan Lendl,1983-03-07,https://matchstat.com/tennis/tournaments/m/Brussels%20Indoor/1983,Brussels Indoor
8,H2H 4-3,Tim Mayotte,R16,5-7 6-2 6-4,Johan Kriek,1983-03-07,https://matchstat.com/tennis/tournaments/m/Brussels%20Indoor/1983,Brussels Indoor
9,H2H 1-0,Larry Stefanki,R16,6-1 6-1,Mats Wilander,1983-03-07,https://matchstat.com/tennis/tournaments/m/Brussels%20Indoor/1983,Brussels Indoor
10,H2H 1-0,Vincent Van Patten,R16,2-6 6-4 7-6,Yannick Noah,1983-03-07,https://matchstat.com/tennis/tournaments/m/Brussels%20Indoor/1983,Brussels Indoor
11,H2H 4-0,Hank Pfister,R16,6-4 6-3,Steve Denton,1983-03-07,https://matchstat.com/tennis/tournaments/m/Brussels%20Indoor/1983,Brussels Indoor
12,H2H 1-0,Dominique Bedel,R16,3-6 6-1 6-4,Vitas Gerulaitis,1983-03-07,https://matchstat.com/tennis/tournaments/m/Brussels%20Indoor/1983,Brussels Indoor
13,H2H 2-1,Fritz Buehning,R16,7-5 6-1,Peter McNamara,1983-03-07,https://matchstat.com/tennis/tournaments/m/Brussels%20Indoor/1983,Brussels Indoor
14,H2H 5-6,Jimmy Connors,R16,6-2 7-5,Kevin Curren,1983-03-07,https://matchstat.com/tennis/tournaments/m/Brussels%20Indoor/1983,Brussels Indoor
15,H2H 9-1,Brian Teacher,R32,7-6 6-1,Ivan Lendl,1983-03-07,https://matchstat.com/tennis/tournaments/m/Brussels%20Indoor/1983,Brussels Indoor
16,H2H 1-0,Guy Forget,R32,6-1 6-3,Balazs Taroczy,1983-03-07,https://matchstat.com/tennis/tournaments/m/Brussels%20Indoor/1983,Brussels Indoor
17,H2H 5-2,Tim Wilkison,R32,6-2 6-1,Tim Mayotte,1983-03-07,https://matchstat.com/tennis/tournaments/m/Brussels%20Indoor/1983,Brussels Indoor
18,H2H 1-0,Jacques Grandjean,R32,3-6 6-2 6-1,Johan Kriek,1983-03-07,https://matchstat.com/tennis/tournaments/m/Brussels%20Indoor/1983,Brussels Indoor
19,H2H 2-0,Hans Simonsson,R32,6-0 6-3,Mats Wilander,1983-03-07,https://matchstat.com/tennis/tournaments/m/Brussels%20Indoor/1983,Brussels Indoor
20,H2H 1-0,Colin Dowdeswell,R32,6-7 6-4 6-4,Larry Stefanki,1983-03-07,https://matchstat.com/tennis/tournaments/m/Brussels%20Indoor/1983,Brussels Indoor
21,H2H 1-0,Wolfgang Popp,R32,5-7 6-2 6-3,Vincent Van Patten,1983-03-07,https://matchstat.com/tennis/tournaments/m/Brussels%20Indoor/1983,Brussels Indoor
22,H2H 5-0,Hans Gildemeister,R32,6-4 6-4,Yannick Noah,1983-03-07,https://matchstat.com/tennis/tournaments/m/Brussels%20Indoor/1983,Brussels Indoor
23,H2H 2-1,Shlomo Glickstein,R32,6-1 6-3,Steve Denton,1983-03-07,https://matchstat.com/tennis/tournaments/m/Brussels%20Indoor/1983,Brussels Indoor
24,H2H 3-1,Vijay Amritraj,R32,4-6 7-5 7-6,Hank Pfister,1983-03-07,https://matchstat.com/tennis/tournaments/m/Brussels%20Indoor/1983,Brussels Indoor
25,H2H 1-1,J. Velasco,R32,6-3 6-7 6-1,Dominique Bedel,1983-03-07,https://matchstat.com/tennis/tournaments/m/Brussels%20Indoor/1983,Brussels Indoor
26,H2H 1-1,Mike De Palmer,R32,6-4 5-7 7-6,Vitas Gerulaitis,1983-03-07,https://matchstat.com/tennis/tournaments/m/Brussels%20Indoor/1983,Brussels Indoor
27,H2H 1-0,Pat Du Pre,R32,6-1 7-6,Peter McNamara,1983-03-07,https://matchstat.com/tennis/tournaments/m/Brussels%20Indoor/1983,Brussels Indoor
28,H2H 1-0,Bernard Boileau,R32,6-2 6-4,Fritz Buehning,1983-03-07,https://matchstat.com/tennis/tournaments/m/Brussels%20Indoor/1983,Brussels Indoor
29,H2H 7-2,John Sadri,R32,6-3 7-6,Kevin Curren,1983-03-07,https://matchstat.com/tennis/tournaments/m/Brussels%20Indoor/1983,Brussels Indoor
30,H2H 2-0,Klaus Eberhard,R32,6-2 6-3,Jimmy Connors,1983-03-07,https://matchstat.com/tennis/tournaments/m/Brussels%20Indoor/1983,Brussels Indoor
31,,H Simonsson / M Wilander,F,6-2 6-4,H Gunthardt / B Taroczy,1983-03-07,https://matchstat.com/tennis/tournaments/m/Brussels%20Indoor/1983,Brussels Indoor
32,,K Curren / S Denton,SF,6-3 2-6 6-4,H Simonsson / M Wilander,1983-03-07,https://matchstat.com/tennis/tournaments/m/Brussels%20Indoor/1983,Brussels Indoor
33,,M Gunthardt / Z Kuharszky,SF,6-3 6-4,H Gunthardt / B Taroczy,1983-03-07,https://matchstat.com/tennis/tournaments/m/Brussels%20Indoor/1983,Brussels Indoor
34,,F Buehning / B Teacher,QF,7-5 6-2,K Curren / S Denton,1983-03-07,https://matchstat.com/tennis/tournaments/m/Brussels%20Indoor/1983,Brussels Indoor
35,,T Delatte / J Kriek,QF,7-6 6-2,H Simonsson / M Wilander,1983-03-07,https://matchstat.com/tennis/tournaments/m/Brussels%20Indoor/1983,Brussels Indoor
36,,L Stefanki / V Hof,QF,3-6 6-3 6-4,H Gunthardt / B Taroczy,1983-03-07,https://matchstat.com/tennis/tournaments/m/Brussels%20Indoor/1983,Brussels Indoor
