,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 1-1,Ricardo Cano,F,1-6 6-3 6-4 6-3,Werner Zirngibl,1978-06-12,https://matchstat.com/tennis/tournaments/m/Brussels%20Outdoor/1978,Brussels Outdoor
1,H2H 1-0,Adriano Panatta,SF,2-6 6-3 6-1,Werner Zirngibl,1978-06-12,https://matchstat.com/tennis/tournaments/m/Brussels%20Outdoor/1978,Brussels Outdoor
2,H2H 1-4,Paolo Bertolucci,SF,4-6 6-4 8-6,Ricardo Cano,1978-06-12,https://matchstat.com/tennis/tournaments/m/Brussels%20Outdoor/1978,Brussels Outdoor
3,H2H 2-1,Jiri Granat,QF,6-3 6-1,Adriano Panatta,1978-06-12,https://matchstat.com/tennis/tournaments/m/Brussels%20Outdoor/1978,Brussels Outdoor
4,H2H 1-0,Jurgen Fassbender,QF,4-6 6-3 6-1,Werner Zirngibl,1978-06-12,https://matchstat.com/tennis/tournaments/m/Brussels%20Outdoor/1978,Brussels Outdoor
5,H2H 2-1,Antonio Munoz,QF,6-1 6-3,Ricardo Cano,1978-06-12,https://matchstat.com/tennis/tournaments/m/Brussels%20Outdoor/1978,Brussels Outdoor
6,H2H 1-1,Eric Deblicker,QF,6-1 6-1,Paolo Bertolucci,1978-06-12,https://matchstat.com/tennis/tournaments/m/Brussels%20Outdoor/1978,Brussels Outdoor
7,H2H 4-0,Georges Goven,R16,6-1 7-5,Adriano Panatta,1978-06-12,https://matchstat.com/tennis/tournaments/m/Brussels%20Outdoor/1978,Brussels Outdoor
8,H2H 1-0,Vladimir Zednik,R16,7-6 1-6 6-2,Jiri Granat,1978-06-12,https://matchstat.com/tennis/tournaments/m/Brussels%20Outdoor/1978,Brussels Outdoor
9,H2H 2-0,John Yuill,R16,6-3 6-4,Werner Zirngibl,1978-06-12,https://matchstat.com/tennis/tournaments/m/Brussels%20Outdoor/1978,Brussels Outdoor
10,H2H 1-0,Rick Fagel,R16,6-3 3-6 6-1,Jurgen Fassbender,1978-06-12,https://matchstat.com/tennis/tournaments/m/Brussels%20Outdoor/1978,Brussels Outdoor
11,H2H 1-1,Javier Soler,R16,7-6 3-6 6-3,Antonio Munoz,1978-06-12,https://matchstat.com/tennis/tournaments/m/Brussels%20Outdoor/1978,Brussels Outdoor
12,H2H 2-0,Louk Sanders,R16,6-0 6-1,Ricardo Cano,1978-06-12,https://matchstat.com/tennis/tournaments/m/Brussels%20Outdoor/1978,Brussels Outdoor
13,H2H 1-0,Bernard Boileau,R16,6-1 7-6,Paolo Bertolucci,1978-06-12,https://matchstat.com/tennis/tournaments/m/Brussels%20Outdoor/1978,Brussels Outdoor
14,H2H 2-1,Antonio Zugarelli,R16,5-7 6-4 6-1,Eric Deblicker,1978-06-12,https://matchstat.com/tennis/tournaments/m/Brussels%20Outdoor/1978,Brussels Outdoor
15,H2H 1-2,F. Jauffret,R32,6-2 6-4,Adriano Panatta,1978-06-12,https://matchstat.com/tennis/tournaments/m/Brussels%20Outdoor/1978,Brussels Outdoor
16,H2H 1-0,Onny Parun,R32,6-4 6-7 6-0,Georges Goven,1978-06-12,https://matchstat.com/tennis/tournaments/m/Brussels%20Outdoor/1978,Brussels Outdoor
17,H2H 1-0,Ricardo Ycaza,R32,6-1 7-5,Jiri Granat,1978-06-12,https://matchstat.com/tennis/tournaments/m/Brussels%20Outdoor/1978,Brussels Outdoor
18,H2H 1-0,Niki Pilic,R32,6-3 6-3,Vladimir Zednik,1978-06-12,https://matchstat.com/tennis/tournaments/m/Brussels%20Outdoor/1978,Brussels Outdoor
19,H2H 3-0,Patrick Proisy,R32,6-4 2-6 6-2,John Yuill,1978-06-12,https://matchstat.com/tennis/tournaments/m/Brussels%20Outdoor/1978,Brussels Outdoor
20,H2H 2-0,Jean-Louis Haillet,R32,6-2 5-7 6-3,Werner Zirngibl,1978-06-12,https://matchstat.com/tennis/tournaments/m/Brussels%20Outdoor/1978,Brussels Outdoor
21,H2H 1-0,Thierry Stevaux,R32,7-5 7-6,Rick Fagel,1978-06-12,https://matchstat.com/tennis/tournaments/m/Brussels%20Outdoor/1978,Brussels Outdoor
22,H2H 2-0,N. Spear,R32,6-2 7-5,Jurgen Fassbender,1978-06-12,https://matchstat.com/tennis/tournaments/m/Brussels%20Outdoor/1978,Brussels Outdoor
23,H2H 1-0,Jean-Francois Caujolle,R32,1-6 6-1 6-4,Antonio Munoz,1978-06-12,https://matchstat.com/tennis/tournaments/m/Brussels%20Outdoor/1978,Brussels Outdoor
24,H2H 1-0,Ivan Molina,R32,6-7 7-5 6-4,Javier Soler,1978-06-12,https://matchstat.com/tennis/tournaments/m/Brussels%20Outdoor/1978,Brussels Outdoor
25,H2H 1-0,Andreas Maurer,R32,7-6 6-1,Ricardo Cano,1978-06-12,https://matchstat.com/tennis/tournaments/m/Brussels%20Outdoor/1978,Brussels Outdoor
26,H2H 1-2,Hans Gildemeister,R32,7-5 6-1,Louk Sanders,1978-06-12,https://matchstat.com/tennis/tournaments/m/Brussels%20Outdoor/1978,Brussels Outdoor
27,H2H 2-4,Paul McNamee,R32,6-7 6-4 6-2,Paolo Bertolucci,1978-06-12,https://matchstat.com/tennis/tournaments/m/Brussels%20Outdoor/1978,Brussels Outdoor
28,H2H 1-0,Patricio Cornejo Seckel,R32,7-6 6-1,Bernard Boileau,1978-06-12,https://matchstat.com/tennis/tournaments/m/Brussels%20Outdoor/1978,Brussels Outdoor
