,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 5-2,Carlos Moya,F,6-1 7-6,Alberto Berasategui,1996-09-09,https://matchstat.com/tennis/tournaments/m/Bucharest/1996,Bucharest
1,H2H 3-0,Christian Ruud,SF,6-0 7-5,Alberto Berasategui,1996-09-09,https://matchstat.com/tennis/tournaments/m/Bucharest/1996,Bucharest
2,H2H 4-1,Andrei Pavel,SF,4-6 6-3 6-0,Carlos Moya,1996-09-09,https://matchstat.com/tennis/tournaments/m/Bucharest/1996,Bucharest
3,H2H 1-1,Dinu-Mihai Pescariu,QF,6-2 7-5,Christian Ruud,1996-09-09,https://matchstat.com/tennis/tournaments/m/Bucharest/1996,Bucharest
4,H2H 1-0,Ionut Moldovan,QF,6-4 6-2,Alberto Berasategui,1996-09-09,https://matchstat.com/tennis/tournaments/m/Bucharest/1996,Bucharest
5,H2H 8-1,Francisco Clavet,QF,6-2 6-3,Carlos Moya,1996-09-09,https://matchstat.com/tennis/tournaments/m/Bucharest/1996,Bucharest
6,H2H 4-1,Jiri Novak,QF,6-3 6-2,Andrei Pavel,1996-09-09,https://matchstat.com/tennis/tournaments/m/Bucharest/1996,Bucharest
7,H2H 3-1,Thomas Johansson,R16,6-4 6-1,Christian Ruud,1996-09-09,https://matchstat.com/tennis/tournaments/m/Bucharest/1996,Bucharest
8,H2H 2-1,Gilbert Schaller,R16,4-6 6-4 6-2,Dinu-Mihai Pescariu,1996-09-09,https://matchstat.com/tennis/tournaments/m/Bucharest/1996,Bucharest
9,H2H 2-2,Richard Fromberg,R16,6-4 6-4,Alberto Berasategui,1996-09-09,https://matchstat.com/tennis/tournaments/m/Bucharest/1996,Bucharest
10,H2H 1-0,Sebastian Prieto,R16,4-6 6-3 6-2,Ionut Moldovan,1996-09-09,https://matchstat.com/tennis/tournaments/m/Bucharest/1996,Bucharest
11,H2H 3-0,Galo Blanco,R16,6-3 6-2,Francisco Clavet,1996-09-09,https://matchstat.com/tennis/tournaments/m/Bucharest/1996,Bucharest
12,H2H 1-0,Andres Zingman,R16,6-2 6-3,Carlos Moya,1996-09-09,https://matchstat.com/tennis/tournaments/m/Bucharest/1996,Bucharest
13,H2H 2-0,Lionel Roux,R16,6-4 7-6,Jiri Novak,1996-09-09,https://matchstat.com/tennis/tournaments/m/Bucharest/1996,Bucharest
14,H2H 1-1,Johan Van Herck,R16,6-2 6-2,Andrei Pavel,1996-09-09,https://matchstat.com/tennis/tournaments/m/Bucharest/1996,Bucharest
15,H2H 1-1,Boris Becker,R32,5-3 Retired,Christian Ruud,1996-09-09,https://matchstat.com/tennis/tournaments/m/Bucharest/1996,Bucharest
16,H2H 1-0,Gabriel Trifu,R32,6-4 6-2,Thomas Johansson,1996-09-09,https://matchstat.com/tennis/tournaments/m/Bucharest/1996,Bucharest
17,H2H 1-2,Jordi Burillo,R32,6-2 6-2,Dinu-Mihai Pescariu,1996-09-09,https://matchstat.com/tennis/tournaments/m/Bucharest/1996,Bucharest
18,H2H 2-0,Marcos-Aurelio Gorriz-Bonhora,R32,6-1 4-6 6-2,Gilbert Schaller,1996-09-09,https://matchstat.com/tennis/tournaments/m/Bucharest/1996,Bucharest
19,H2H 2-0,Kris Goossens,R32,4-0 Retired,Alberto Berasategui,1996-09-09,https://matchstat.com/tennis/tournaments/m/Bucharest/1996,Bucharest
20,H2H 2-1,Filip De Wulf,R32,7-5 5-7 7-6,Richard Fromberg,1996-09-09,https://matchstat.com/tennis/tournaments/m/Bucharest/1996,Bucharest
