,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 6-4,G. Vilas,F,6-1 6-2,Ivan Lendl,1981-11-16,https://matchstat.com/tennis/tournaments/m/Buenos%20Aires/1981,Buenos Aires
1,H2H 3-0,Pedro Rebolledo,SF,6-4 6-4,Ivan Lendl,1981-11-16,https://matchstat.com/tennis/tournaments/m/Buenos%20Aires/1981,Buenos Aires
2,H2H 5-0,Andreas Maurer,SF,6-2 6-2,G. Vilas,1981-11-16,https://matchstat.com/tennis/tournaments/m/Buenos%20Aires/1981,Buenos Aires
3,H2H 2-0,Diego Perez,QF,6-0 6-1,Ivan Lendl,1981-11-16,https://matchstat.com/tennis/tournaments/m/Buenos%20Aires/1981,Buenos Aires
4,H2H 1-3,Andres Gomez,QF,7-5 6-1,Pedro Rebolledo,1981-11-16,https://matchstat.com/tennis/tournaments/m/Buenos%20Aires/1981,Buenos Aires
5,H2H 1-0,Juan Aguilera,QF,5-7 7-5 7-5,Andreas Maurer,1981-11-16,https://matchstat.com/tennis/tournaments/m/Buenos%20Aires/1981,Buenos Aires
6,H2H 4-0,Rolf Gehring,QF,7-5 6-0,G. Vilas,1981-11-16,https://matchstat.com/tennis/tournaments/m/Buenos%20Aires/1981,Buenos Aires
7,H2H 3-0,Orantes,R16,6-4 6-0,Ivan Lendl,1981-11-16,https://matchstat.com/tennis/tournaments/m/Buenos%20Aires/1981,Buenos Aires
8,H2H 1-0,Jose-Luis Damiani,R16,2-6 6-2 6-4,Diego Perez,1981-11-16,https://matchstat.com/tennis/tournaments/m/Buenos%20Aires/1981,Buenos Aires
9,H2H 1-1,Ricardo Ycaza,R16,6-1 6-1,Pedro Rebolledo,1981-11-16,https://matchstat.com/tennis/tournaments/m/Buenos%20Aires/1981,Buenos Aires
10,H2H 2-0,Jose Lopez-Maeso,R16,7-5 6-2,Andres Gomez,1981-11-16,https://matchstat.com/tennis/tournaments/m/Buenos%20Aires/1981,Buenos Aires
11,H2H 2-1,Jose Higueras,R16,6-3 6-1,Andreas Maurer,1981-11-16,https://matchstat.com/tennis/tournaments/m/Buenos%20Aires/1981,Buenos Aires
12,H2H 2-1,Hans Gildemeister,R16,2-6 6-0 7-5,Juan Aguilera,1981-11-16,https://matchstat.com/tennis/tournaments/m/Buenos%20Aires/1981,Buenos Aires
13,H2H 4-0,J. Fillol,R16,7-6 7-6,Rolf Gehring,1981-11-16,https://matchstat.com/tennis/tournaments/m/Buenos%20Aires/1981,Buenos Aires
14,H2H 3-0,Roberto Arguello,R16,6-4 7-5,G. Vilas,1981-11-16,https://matchstat.com/tennis/tournaments/m/Buenos%20Aires/1981,Buenos Aires
15,H2H 2-0,Angel Gimenez,R32,6-3 6-4,Ivan Lendl,1981-11-16,https://matchstat.com/tennis/tournaments/m/Buenos%20Aires/1981,Buenos Aires
16,H2H 1-0,Marcos Hocevar,R32,6-2 6-3,Orantes,1981-11-16,https://matchstat.com/tennis/tournaments/m/Buenos%20Aires/1981,Buenos Aires
17,H2H 1-0,Hugo Roverano,R32,6-3 6-3,Diego Perez,1981-11-16,https://matchstat.com/tennis/tournaments/m/Buenos%20Aires/1981,Buenos Aires
18,H2H 1-0,Pablo Arraya,R32,6-2 7-5,Jose-Luis Damiani,1981-11-16,https://matchstat.com/tennis/tournaments/m/Buenos%20Aires/1981,Buenos Aires
19,H2H 2-0,Victor Pecci,R32,5-7 6-3 6-1,Pedro Rebolledo,1981-11-16,https://matchstat.com/tennis/tournaments/m/Buenos%20Aires/1981,Buenos Aires
20,H2H 1-0,Eduardo Bengoechea,R32,6-4 6-4,Ricardo Ycaza,1981-11-16,https://matchstat.com/tennis/tournaments/m/Buenos%20Aires/1981,Buenos Aires
21,H2H 1-0,Guillermo Aubone,R32,6-4 7-5,Jose Lopez-Maeso,1981-11-16,https://matchstat.com/tennis/tournaments/m/Buenos%20Aires/1981,Buenos Aires
22,H2H 3-0,Belus Prajoux,R32,6-1 6-2,Andres Gomez,1981-11-16,https://matchstat.com/tennis/tournaments/m/Buenos%20Aires/1981,Buenos Aires
23,H2H 2-0,Gabriel Urpi,R32,6-2 3-6 6-4,Jose Higueras,1981-11-16,https://matchstat.com/tennis/tournaments/m/Buenos%20Aires/1981,Buenos Aires
24,H2H 1-1,Klaus Eberhard,R32,1-6 6-1 7-5,Andreas Maurer,1981-11-16,https://matchstat.com/tennis/tournaments/m/Buenos%20Aires/1981,Buenos Aires
25,H2H 2-0,Joao Soares,R32,6-1 6-2,Juan Aguilera,1981-11-16,https://matchstat.com/tennis/tournaments/m/Buenos%20Aires/1981,Buenos Aires
26,H2H 2-0,Fernando Luna,R32,6-4 6-7 6-0,Hans Gildemeister,1981-11-16,https://matchstat.com/tennis/tournaments/m/Buenos%20Aires/1981,Buenos Aires
27,H2H 1-0,Bernard Boileau,R32,1-6 6-3 6-4,Rolf Gehring,1981-11-16,https://matchstat.com/tennis/tournaments/m/Buenos%20Aires/1981,Buenos Aires
28,H2H 3-2,Francisco Gonzalez,R32,6-2 6-3,J. Fillol,1981-11-16,https://matchstat.com/tennis/tournaments/m/Buenos%20Aires/1981,Buenos Aires
29,H2H 2-0,Gustavo Tiberti,R32,6-2 6-3,Roberto Arguello,1981-11-16,https://matchstat.com/tennis/tournaments/m/Buenos%20Aires/1981,Buenos Aires
30,H2H 9-0,Ricardo Cano,R32,6-4 7-6,G. Vilas,1981-11-16,https://matchstat.com/tennis/tournaments/m/Buenos%20Aires/1981,Buenos Aires
31,,A Fillol / J Fillol,F,7-6 6-7 6-4,M Hocevar / J Soares,1981-11-16,https://matchstat.com/tennis/tournaments/m/Buenos%20Aires/1981,Buenos Aires
32,,R Cano / B Prajoux,SF,3-6 6-4 6-4,A Fillol / J Fillol,1981-11-16,https://matchstat.com/tennis/tournaments/m/Buenos%20Aires/1981,Buenos Aires
33,,J Damiani / R Ycaza,SF,7-6 4-6 6-4,M Hocevar / J Soares,1981-11-16,https://matchstat.com/tennis/tournaments/m/Buenos%20Aires/1981,Buenos Aires
34,,H Gildemeister / A Gomez,QF,3-6 7-6 6-3,A Fillol / J Fillol,1981-11-16,https://matchstat.com/tennis/tournaments/m/Buenos%20Aires/1981,Buenos Aires
35,,A Ganzabal / G Guerrero,QF,7-5 6-0,R Cano / B Prajoux,1981-11-16,https://matchstat.com/tennis/tournaments/m/Buenos%20Aires/1981,Buenos Aires
36,,K Eberhard / C Zipf,QF,6-2 7-6,J Damiani / R Ycaza,1981-11-16,https://matchstat.com/tennis/tournaments/m/Buenos%20Aires/1981,Buenos Aires
37,,D Perez / G Tiberti,QF,6-0 6-4,M Hocevar / J Soares,1981-11-16,https://matchstat.com/tennis/tournaments/m/Buenos%20Aires/1981,Buenos Aires
38,,R Benavides Saravia / A Cortes,R16,6-4 2-6 6-4,H Gildemeister / A Gomez,1981-11-16,https://matchstat.com/tennis/tournaments/m/Buenos%20Aires/1981,Buenos Aires
39,,G Aubone / C Lando,R16,6-3 6-4,A Fillol / J Fillol,1981-11-16,https://matchstat.com/tennis/tournaments/m/Buenos%20Aires/1981,Buenos Aires
40,,A Gattiker / C Gattiker,R16,7-6 6-2,R Cano / B Prajoux,1981-11-16,https://matchstat.com/tennis/tournaments/m/Buenos%20Aires/1981,Buenos Aires
41,,I Lendl / C Panatta,R16,7-6 6-3,A Ganzabal / G Guerrero,1981-11-16,https://matchstat.com/tennis/tournaments/m/Buenos%20Aires/1981,Buenos Aires
42,,A Gimenez / J Higueras,R16,6-1 6-3,K Eberhard / C Zipf,1981-11-16,https://matchstat.com/tennis/tournaments/m/Buenos%20Aires/1981,Buenos Aires
43,,D Carruthers / F Dalla-Fontana,R16,6-1 6-4,J Damiani / R Ycaza,1981-11-16,https://matchstat.com/tennis/tournaments/m/Buenos%20Aires/1981,Buenos Aires
44,,E Bengoechea / J Lopez-Maeso,R16,7-6 6-7 6-1,D Perez / G Tiberti,1981-11-16,https://matchstat.com/tennis/tournaments/m/Buenos%20Aires/1981,Buenos Aires
45,,R Gehring / F Taygan,R16,6-4 3-6 6-4,M Hocevar / J Soares,1981-11-16,https://matchstat.com/tennis/tournaments/m/Buenos%20Aires/1981,Buenos Aires
