,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
0,H2H 15-1,Nicolas Almagro,7.0,1.0,6053900.0,782809.0,,3.49,Nicolas Almagro,75.0,2.0,1.0,85.0,25.0,84.0,50.0,36.0,34.0,14.0,,,,,,2.0,169.0,,,3.49,1.36,F,4-6 6-3 6-2,David Ferrer,5.0,3.0,6053900.0,782808.0,,1.364,David Ferrer,94.0,11.0,3.0,84.0,34.0,85.0,57.0,45.0,28.0,15.0,,,,,,1.0,169.0,,,2012-02-20,https://matchstat.com/tennis/tournaments/m/Buenos%20Aires/2012,Buenos Aires
1,H2H 9-5,David Nalbandian,0.0,2.0,6053898.0,782805.0,,2.92,David Nalbandian,32.0,0.0,0.0,43.0,7.0,45.0,29.0,19.0,16.0,6.0,,,,,,2.0,88.0,,,2.92,1.48,SF,6-1 6-4,David Ferrer,2.0,2.0,6053898.0,782804.0,,1.476,David Ferrer,56.0,6.0,3.0,45.0,20.0,43.0,31.0,29.0,12.0,7.0,,,,,,1.0,88.0,,,2012-02-20,https://matchstat.com/tennis/tournaments/m/Buenos%20Aires/2012,Buenos Aires
2,H2H 3-8,Stan Wawrinka,8.0,1.0,6053899.0,401493.0,,2.47,Stan Wawrinka,91.0,4.0,2.0,90.0,28.0,97.0,57.0,40.0,40.0,23.0,,,,,,1.0,187.0,,,2.47,1.63,SF,6-4 3-6 7-5,Nicolas Almagro,8.0,0.0,6053899.0,401494.0,,1.625,Nicolas Almagro,96.0,7.0,3.0,97.0,34.0,90.0,47.0,38.0,43.0,24.0,,,,,,2.0,187.0,,,2012-02-20,https://matchstat.com/tennis/tournaments/m/Buenos%20Aires/2012,Buenos Aires
3,H2H 5-4,Fernando Gonzalez,3.0,0.0,6053894.0,782803.0,,7.04,Fernando Gonzalez,47.0,1.0,0.0,51.0,13.0,61.0,34.0,25.0,27.0,9.0,,,,,,2.0,112.0,,,7.04,1.13,QF,6-2 6-4,David Ferrer,3.0,2.0,6053894.0,782802.0,,1.133,David Ferrer,65.0,5.0,3.0,61.0,27.0,51.0,37.0,29.0,14.0,9.0,,,,,,1.0,112.0,,,2012-02-20,https://matchstat.com/tennis/tournaments/m/Buenos%20Aires/2012,Buenos Aires
4,H2H 4-0,Carlos Berlocq,1.0,0.0,6053895.0,168215.0,,2.78,Carlos Berlocq,30.0,4.0,1.0,46.0,13.0,42.0,23.0,10.0,19.0,7.0,,,,,,1.0,88.0,,,2.78,1.49,QF,6-0 6-3,David Nalbandian,1.0,2.0,6053895.0,168216.0,,1.49,David Nalbandian,58.0,8.0,5.0,42.0,25.0,46.0,32.0,24.0,14.0,9.0,,,,,,2.0,88.0,,,2012-02-20,https://matchstat.com/tennis/tournaments/m/Buenos%20Aires/2012,Buenos Aires
5,H2H 3-1,Kei Nishikori,1.0,1.0,6053896.0,401492.0,,2.49,Kei Nishikori,54.0,3.0,0.0,61.0,18.0,62.0,43.0,26.0,19.0,10.0,,,,,,2.0,123.0,,,2.49,1.61,QF,6-4 6-2,Stan Wawrinka,4.0,1.0,6053896.0,401491.0,,1.606,Stan Wawrinka,69.0,7.0,3.0,62.0,26.0,61.0,40.0,28.0,21.0,15.0,,,,,,1.0,123.0,,,2012-02-20,https://matchstat.com/tennis/tournaments/m/Buenos%20Aires/2012,Buenos Aires
6,H2H 5-4,Igor Andreev,1.0,0.0,6053897.0,168217.0,,2.92,Igor Andreev,53.0,3.0,2.0,62.0,22.0,57.0,33.0,23.0,24.0,8.0,,,,,,1.0,119.0,,,2.92,1.45,QF,6-3 7-5,Nicolas Almagro,8.0,0.0,6053897.0,168218.0,,1.45,Nicolas Almagro,66.0,6.0,4.0,57.0,26.0,62.0,38.0,24.0,24.0,16.0,,,,,,2.0,119.0,,,2012-02-20,https://matchstat.com/tennis/tournaments/m/Buenos%20Aires/2012,Buenos Aires
7,H2H 1-0,Facundo Bagnis,6.0,3.0,6053886.0,782801.0,,17.0,Facundo Bagnis,50.0,5.0,2.0,54.0,17.0,56.0,37.0,23.0,19.0,10.0,,,,,,2.0,110.0,,,17.00,1.03,R16,6-3 6-4,David Ferrer,3.0,1.0,6053886.0,782800.0,,1.03,David Ferrer,60.0,11.0,4.0,56.0,23.0,54.0,32.0,26.0,22.0,11.0,,,,,,1.0,110.0,,,2012-02-20,https://matchstat.com/tennis/tournaments/m/Buenos%20Aires/2012,Buenos Aires
8,H2H 1-1,Albert Ramos-Vinolas,2.0,3.0,6053887.0,168134.0,,1.469,Albert Ramos-Vinolas,84.0,3.0,0.0,87.0,26.0,79.0,53.0,40.0,26.0,18.0,,,,,,2.0,166.0,,,1.47,2.87,R16,7-6(6) 7-6(5),Fernando Gonzalez,13.0,1.0,6053887.0,168133.0,,2.87,Fernando Gonzalez,82.0,3.0,0.0,79.0,21.0,87.0,57.0,44.0,30.0,17.0,,,,,,1.0,166.0,,,2012-02-20,https://matchstat.com/tennis/tournaments/m/Buenos%20Aires/2012,Buenos Aires
9,H2H 3-5,Gilles Simon,0.0,1.0,6053888.0,168159.0,,1.649,Gilles Simon,26.0,0.0,0.0,37.0,8.0,45.0,23.0,13.0,22.0,5.0,,,,,,1.0,82.0,,,1.65,2.37,R16,6-2 6-1,Carlos Berlocq,1.0,1.0,6053888.0,168160.0,,2.37,Carlos Berlocq,56.0,6.0,5.0,45.0,27.0,37.0,29.0,24.0,8.0,5.0,,,,,,2.0,82.0,,,2012-02-20,https://matchstat.com/tennis/tournaments/m/Buenos%20Aires/2012,Buenos Aires
10,H2H 3-1,Juan Monaco,3.0,1.0,6053889.0,168180.0,,1.741,Juan Monaco,52.0,3.0,0.0,64.0,23.0,55.0,42.0,22.0,13.0,7.0,,,,,,2.0,119.0,,,1.74,2.20,R16,6-3 6-1,David Nalbandian,1.0,1.0,6053889.0,168179.0,,2.2,David Nalbandian,67.0,12.0,4.0,55.0,26.0,64.0,36.0,24.0,28.0,17.0,,,,,,1.0,119.0,,,2012-02-20,https://matchstat.com/tennis/tournaments/m/Buenos%20Aires/2012,Buenos Aires
11,H2H 7-2,Benoit Paire,5.0,5.0,6053890.0,401490.0,,5.39,Benoit Paire,85.0,7.0,3.0,90.0,32.0,97.0,57.0,41.0,40.0,12.0,,,,,,2.0,187.0,,,5.39,1.19,R16,6-3 5-7 6-2,Stan Wawrinka,4.0,2.0,6053890.0,401489.0,,1.185,Stan Wawrinka,102.0,9.0,5.0,97.0,44.0,90.0,64.0,45.0,26.0,13.0,,,,,,1.0,187.0,,,2012-02-20,https://matchstat.com/tennis/tournaments/m/Buenos%20Aires/2012,Buenos Aires
12,H2H 3-0,Victor Hanescu,3.0,3.0,6053891.0,168135.0,,2.33,Victor Hanescu,93.0,9.0,2.0,106.0,40.0,91.0,60.0,40.0,31.0,13.0,,,,,,1.0,197.0,,,2.33,1.67,R16,3-6 7-5 6-1,Kei Nishikori,4.0,2.0,6053891.0,168136.0,,1.667,Kei Nishikori,104.0,10.0,4.0,91.0,38.0,106.0,79.0,52.0,27.0,14.0,,,,,,2.0,197.0,,,2012-02-20,https://matchstat.com/tennis/tournaments/m/Buenos%20Aires/2012,Buenos Aires
13,H2H 2-4,Fernando Verdasco,4.0,6.0,6053892.0,168181.0,,1.493,Fernando Verdasco,57.0,1.0,1.0,60.0,14.0,73.0,53.0,37.0,20.0,6.0,,,,,,1.0,133.0,,,1.49,2.78,R16,7-6(3) 6-3,Igor Andreev,1.0,1.0,6053892.0,168182.0,,2.78,Igor Andreev,76.0,7.0,2.0,73.0,30.0,60.0,32.0,29.0,28.0,17.0,,,,,,2.0,133.0,,,2012-02-20,https://matchstat.com/tennis/tournaments/m/Buenos%20Aires/2012,Buenos Aires
14,H2H 3-1,Federico Delbonis,0.0,0.0,6053893.0,168183.0,,4.15,Federico Delbonis,46.0,0.0,0.0,48.0,12.0,62.0,36.0,22.0,26.0,12.0,,,,,,1.0,110.0,,,4.15,1.27,R16,6-3 6-2,Nicolas Almagro,6.0,1.0,6053893.0,168184.0,,1.269,Nicolas Almagro,64.0,6.0,3.0,62.0,28.0,48.0,22.0,19.0,26.0,17.0,,,,,,2.0,110.0,,,2012-02-20,https://matchstat.com/tennis/tournaments/m/Buenos%20Aires/2012,Buenos Aires
15,H2H 1-0,Andres Molteni,0.0,2.0,6053870.0,782797.0,,15.57,Andres Molteni,14.0,0.0,0.0,36.0,7.0,28.0,15.0,4.0,13.0,3.0,,,,,,2.0,64.0,,,15.57,1.03,R32,6-1 6-0,David Ferrer,2.0,0.0,6053870.0,782796.0,,1.03,David Ferrer,50.0,6.0,5.0,28.0,21.0,36.0,23.0,21.0,13.0,8.0,,,,,,1.0,64.0,,,2012-02-20,https://matchstat.com/tennis/tournaments/m/Buenos%20Aires/2012,Buenos Aires
16,H2H 1-0,Leonardo Mayer,5.0,7.0,6053871.0,168004.0,,1.282,Leonardo Mayer,96.0,8.0,2.0,97.0,33.0,105.0,61.0,45.0,44.0,18.0,,,,,,2.0,202.0,,,1.28,4.02,R32,5-7 6-4 6-2,Facundo Bagnis,2.0,2.0,6053871.0,168003.0,,4.02,Facundo Bagnis,106.0,14.0,4.0,105.0,42.0,97.0,62.0,42.0,35.0,22.0,,,,,,1.0,202.0,,,2012-02-20,https://matchstat.com/tennis/tournaments/m/Buenos%20Aires/2012,Buenos Aires
