,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 3-0,Jaime Oncins,F,1-6 6-4 6-0,Jordi Arrese,1991-10-28,https://matchstat.com/tennis/tournaments/m/Buzios/1991,Buzios
1,H2H 4-0,Francisco Roig,SF,6-4 6-4,Jaime Oncins,1991-10-28,https://matchstat.com/tennis/tournaments/m/Buzios/1991,Buzios
2,H2H 5-7,Javier Sanchez,SF,6-2 7-6,Jordi Arrese,1991-10-28,https://matchstat.com/tennis/tournaments/m/Buzios/1991,Buzios
3,H2H 2-0,Markus Zoecke,QF,6-4 6-2,Jaime Oncins,1991-10-28,https://matchstat.com/tennis/tournaments/m/Buzios/1991,Buzios
4,H2H 1-3,Thomas Muster,QF,4-6 6-3 6-3,Francisco Roig,1991-10-28,https://matchstat.com/tennis/tournaments/m/Buzios/1991,Buzios
5,H2H 4-7,Francisco Clavet,QF,6-7 6-4 6-2,Javier Sanchez,1991-10-28,https://matchstat.com/tennis/tournaments/m/Buzios/1991,Buzios
6,H2H 3-4,Guillermo Perez-Roldan,QF,6-7 7-5 3-1 Retired,Jordi Arrese,1991-10-28,https://matchstat.com/tennis/tournaments/m/Buzios/1991,Buzios
7,H2H 2-0,Daniel Nestor,R16,6-3 6-2,Markus Zoecke,1991-10-28,https://matchstat.com/tennis/tournaments/m/Buzios/1991,Buzios
8,H2H 1-0,Olivier Delaitre,R16,7-6 6-4,Jaime Oncins,1991-10-28,https://matchstat.com/tennis/tournaments/m/Buzios/1991,Buzios
9,H2H 4-2,Andres Gomez,R16,6-4 6-4,Thomas Muster,1991-10-28,https://matchstat.com/tennis/tournaments/m/Buzios/1991,Buzios
10,H2H 1-0,Paul Haarhuis,R16,6-2 6-1,Francisco Roig,1991-10-28,https://matchstat.com/tennis/tournaments/m/Buzios/1991,Buzios
11,H2H 1-0,Fernando Roese,R16,6-2 6-2,Francisco Clavet,1991-10-28,https://matchstat.com/tennis/tournaments/m/Buzios/1991,Buzios
12,H2H 1-0,Luis-Enrique Herrera,R16,2-6 6-2 7-5,Javier Sanchez,1991-10-28,https://matchstat.com/tennis/tournaments/m/Buzios/1991,Buzios
13,H2H 4-2,Carlos Costa,R16,6-4 6-7 6-1,Guillermo Perez-Roldan,1991-10-28,https://matchstat.com/tennis/tournaments/m/Buzios/1991,Buzios
14,H2H 1-0,Jose Daher,R16,7-6 1-6 6-4,Jordi Arrese,1991-10-28,https://matchstat.com/tennis/tournaments/m/Buzios/1991,Buzios
15,H2H 1-0,Emilio Sanchez,R32,7-6 6-2,Markus Zoecke,1991-10-28,https://matchstat.com/tennis/tournaments/m/Buzios/1991,Buzios
16,H2H 3-0,Danilo Marcelino,R32,6-4 6-2,Daniel Nestor,1991-10-28,https://matchstat.com/tennis/tournaments/m/Buzios/1991,Buzios
17,H2H 1-1,Jean-Philippe Fleurian,R32,7-6 6-3,Jaime Oncins,1991-10-28,https://matchstat.com/tennis/tournaments/m/Buzios/1991,Buzios
18,H2H 2-0,Andres Vysand,R32,6-1 4-6 6-2,Olivier Delaitre,1991-10-28,https://matchstat.com/tennis/tournaments/m/Buzios/1991,Buzios
