,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 5-0,Kjell Johansson,F,4-6 6-4 6-4,Jose Higueras,1978-03-06,https://matchstat.com/tennis/tournaments/m/Cairo/1978,Cairo
1,H2H 2-0,Jurgen Fassbender,SF,6-3 6-4,Jose Higueras,1978-03-06,https://matchstat.com/tennis/tournaments/m/Cairo/1978,Cairo
2,H2H 1-1,Eric Deblicker,SF,3-6 6-2 6-3,Kjell Johansson,1978-03-06,https://matchstat.com/tennis/tournaments/m/Cairo/1978,Cairo
3,H2H 3-0,Patrice Dominguez,QF,6-3 6-4,Jose Higueras,1978-03-06,https://matchstat.com/tennis/tournaments/m/Cairo/1978,Cairo
4,H2H 1-0,F. Jauffret,QF,6-3 6-4,Jurgen Fassbender,1978-03-06,https://matchstat.com/tennis/tournaments/m/Cairo/1978,Cairo
5,H2H 2-0,George Hardie,QF,6-2 7-6,Eric Deblicker,1978-03-06,https://matchstat.com/tennis/tournaments/m/Cairo/1978,Cairo
6,H2H 3-0,N. Spear,QF,6-4 6-4,Kjell Johansson,1978-03-06,https://matchstat.com/tennis/tournaments/m/Cairo/1978,Cairo
7,H2H 4-0,Georges Goven,R16,6-2 6-7 6-4,Jose Higueras,1978-03-06,https://matchstat.com/tennis/tournaments/m/Cairo/1978,Cairo
8,H2H 2-0,B. Fairlie,R16,6-3 6-4,Patrice Dominguez,1978-03-06,https://matchstat.com/tennis/tournaments/m/Cairo/1978,Cairo
9,H2H 2-0,Robin Drysdale,R16,6-3 6-3,Jurgen Fassbender,1978-03-06,https://matchstat.com/tennis/tournaments/m/Cairo/1978,Cairo
10,H2H 1-1,Louk Sanders,R16,6-0 6-4,F. Jauffret,1978-03-06,https://matchstat.com/tennis/tournaments/m/Cairo/1978,Cairo
11,H2H 1-1,Ismail El Shafei,R16,6-7 7-5 10-8,Eric Deblicker,1978-03-06,https://matchstat.com/tennis/tournaments/m/Cairo/1978,Cairo
12,H2H 1-0,Frank Gebert,R16,6-3 6-4,George Hardie,1978-03-06,https://matchstat.com/tennis/tournaments/m/Cairo/1978,Cairo
13,H2H 1-0,Jean-Francois Caujolle,R16,6-1 6-4,N. Spear,1978-03-06,https://matchstat.com/tennis/tournaments/m/Cairo/1978,Cairo
14,H2H 0-1,Patrick Proisy,R16,WO,Kjell Johansson,1978-03-06,https://matchstat.com/tennis/tournaments/m/Cairo/1978,Cairo
15,,E Alvarez / G Hardie,F,6-3 7-5 6-2,I El Shafei / B Fairlie,1978-03-06,https://matchstat.com/tennis/tournaments/m/Cairo/1978,Cairo
16,,E Deblicker / G Goven,SF,WO,I El Shafei / B Fairlie,1978-03-06,https://matchstat.com/tennis/tournaments/m/Cairo/1978,Cairo
17,,R Drysdale / N Spear,SF,6-4 6-2,E Alvarez / G Hardie,1978-03-06,https://matchstat.com/tennis/tournaments/m/Cairo/1978,Cairo
18,,F Gebert / K Johansson,QF,6-2 6-4,I El Shafei / B Fairlie,1978-03-06,https://matchstat.com/tennis/tournaments/m/Cairo/1978,Cairo
19,,P Dominguez / F Jauffret,QF,7-5 6-3,E Deblicker / G Goven,1978-03-06,https://matchstat.com/tennis/tournaments/m/Cairo/1978,Cairo
20,,J Caujolle / J Higueras,QF,2-0 Retired,E Alvarez / G Hardie,1978-03-06,https://matchstat.com/tennis/tournaments/m/Cairo/1978,Cairo
21,,J Fassbender / S Menon,QF,6-3 3-6 8-6,R Drysdale / N Spear,1978-03-06,https://matchstat.com/tennis/tournaments/m/Cairo/1978,Cairo
