,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 2-0,Harel Levy,F,6-2 6-3,Marat Safin,2000-07-31,https://matchstat.com/tennis/tournaments/m/Canada/2000,Canada
1,H2H 2-0,Jiri Novak,SF,6-3 1-6 6-4,Harel Levy,2000-07-31,https://matchstat.com/tennis/tournaments/m/Canada/2000,Canada
2,H2H 3-0,Wayne Ferreira,SF,6-2 5-7 6-4,Marat Safin,2000-07-31,https://matchstat.com/tennis/tournaments/m/Canada/2000,Canada
3,H2H 2-0,Jerome Golmard,QF,6-4 6-4,Harel Levy,2000-07-31,https://matchstat.com/tennis/tournaments/m/Canada/2000,Canada
4,H2H 2-2,Patrick Rafter,QF,3-6 7-6(1) 6-2,Jiri Novak,2000-07-31,https://matchstat.com/tennis/tournaments/m/Canada/2000,Canada
5,H2H 5-3,Yevgeny Kafelnikov,QF,6-3 7-6(1),Wayne Ferreira,2000-07-31,https://matchstat.com/tennis/tournaments/m/Canada/2000,Canada
6,H2H 3-3,Pete Sampras,QF,6-4 3-6 7-6(8),Marat Safin,2000-07-31,https://matchstat.com/tennis/tournaments/m/Canada/2000,Canada
7,H2H 1-2,Marcelo Rios,R16,2-6 7-5 7-5,Jerome Golmard,2000-07-31,https://matchstat.com/tennis/tournaments/m/Canada/2000,Canada
8,H2H 1-0,Sebastien Grosjean,R16,6-3 1-6 6-1,Harel Levy,2000-07-31,https://matchstat.com/tennis/tournaments/m/Canada/2000,Canada
9,H2H 3-2,Sebastien Lareau,R16,6-4 6-2,Patrick Rafter,2000-07-31,https://matchstat.com/tennis/tournaments/m/Canada/2000,Canada
10,H2H 4-2,Thomas Enqvist,R16,6-2 1-6 3-1 Retired,Jiri Novak,2000-07-31,https://matchstat.com/tennis/tournaments/m/Canada/2000,Canada
11,H2H 2-1,Juan Carlos Ferrero,R16,6-1 4-6 6-4,Yevgeny Kafelnikov,2000-07-31,https://matchstat.com/tennis/tournaments/m/Canada/2000,Canada
12,H2H 4-3,Richard Krajicek,R16,7-5 7-6(4),Wayne Ferreira,2000-07-31,https://matchstat.com/tennis/tournaments/m/Canada/2000,Canada
13,H2H 2-3,Nicolas Escude,R16,3-2 Retired,Marat Safin,2000-07-31,https://matchstat.com/tennis/tournaments/m/Canada/2000,Canada
14,H2H 3-0,Sargis Sargsian,R16,6-1 6-2,Pete Sampras,2000-07-31,https://matchstat.com/tennis/tournaments/m/Canada/2000,Canada
15,H2H 1-1,Paradorn Srichaphan,R32,6-3 6-2,Jerome Golmard,2000-07-31,https://matchstat.com/tennis/tournaments/m/Canada/2000,Canada
16,H2H 1-0,Arnaud Clement,R32,6-4 7-6(5),Marcelo Rios,2000-07-31,https://matchstat.com/tennis/tournaments/m/Canada/2000,Canada
17,H2H 2-2,Stefan Koubek,R32,6-1 6-3,Harel Levy,2000-07-31,https://matchstat.com/tennis/tournaments/m/Canada/2000,Canada
18,H2H 3-6,Lleyton Hewitt,R32,6-3 7-6(5),Sebastien Grosjean,2000-07-31,https://matchstat.com/tennis/tournaments/m/Canada/2000,Canada
19,H2H 1-0,Gustavo Kuerten,R32,7-6(4) 6-4,Sebastien Lareau,2000-07-31,https://matchstat.com/tennis/tournaments/m/Canada/2000,Canada
20,H2H 2-0,Karol Kucera,R32,6-3 7-5,Patrick Rafter,2000-07-31,https://matchstat.com/tennis/tournaments/m/Canada/2000,Canada
21,H2H 4-4,Nicolas Kiefer,R32,6-2 7-5,Jiri Novak,2000-07-31,https://matchstat.com/tennis/tournaments/m/Canada/2000,Canada
22,H2H 2-0,Andrew Ilie,R32,6-3 6-2,Thomas Enqvist,2000-07-31,https://matchstat.com/tennis/tournaments/m/Canada/2000,Canada
23,H2H 4-3,Max Mirnyi,R32,6-4 6-4,Yevgeny Kafelnikov,2000-07-31,https://matchstat.com/tennis/tournaments/m/Canada/2000,Canada
24,H2H 8-6,Gaston Gaudio,R32,6-7(4) 6-3 6-3,Juan Carlos Ferrero,2000-07-31,https://matchstat.com/tennis/tournaments/m/Canada/2000,Canada
25,H2H 4-0,Thomas Johansson,R32,6-4 6-3,Wayne Ferreira,2000-07-31,https://matchstat.com/tennis/tournaments/m/Canada/2000,Canada
26,H2H 7-3,Michael Chang,R32,6-2 7-5,Richard Krajicek,2000-07-31,https://matchstat.com/tennis/tournaments/m/Canada/2000,Canada
27,H2H 4-0,Andrei Pavel,R32,6-7(5) 6-3 6-0,Marat Safin,2000-07-31,https://matchstat.com/tennis/tournaments/m/Canada/2000,Canada
