,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 3-7,Orantes,F,6-4 6-2 6-3,G. Vilas,1974-08-12,https://matchstat.com/tennis/tournaments/m/Canadian%20Masters/1974,Canadian Masters
1,H2H 1-5,Tom Okker,SF,7-5 6-2,G. Vilas,1974-08-12,https://matchstat.com/tennis/tournaments/m/Canadian%20Masters/1974,Canadian Masters
2,H2H 5-1,Juan Gisbert,SF,6-4 6-2,Orantes,1974-08-12,https://matchstat.com/tennis/tournaments/m/Canadian%20Masters/1974,Canadian Masters
3,H2H 3-0,Harold Solomon,QF,7-5 7-5,Tom Okker,1974-08-12,https://matchstat.com/tennis/tournaments/m/Canadian%20Masters/1974,Canadian Masters
4,H2H 1-14,Bjorn Borg,QF,7-6 6-0,G. Vilas,1974-08-12,https://matchstat.com/tennis/tournaments/m/Canadian%20Masters/1974,Canadian Masters
5,H2H 2-0,Hans-Jurgen Pohmann,QF,6-4 6-2,Orantes,1974-08-12,https://matchstat.com/tennis/tournaments/m/Canadian%20Masters/1974,Canadian Masters
6,H2H 1-0,Marcelo Lara,QF,6-4 6-4,Juan Gisbert,1974-08-12,https://matchstat.com/tennis/tournaments/m/Canadian%20Masters/1974,Canadian Masters
7,H2H 2-1,J. Alexander,R16,7-6 7-5,Tom Okker,1974-08-12,https://matchstat.com/tennis/tournaments/m/Canadian%20Masters/1974,Canadian Masters
8,H2H 3-13,Eddie Dibbs,R16,7-5 6-0,Harold Solomon,1974-08-12,https://matchstat.com/tennis/tournaments/m/Canadian%20Masters/1974,Canadian Masters
9,H2H 5-0,Onny Parun,R16,6-4 6-3,Bjorn Borg,1974-08-12,https://matchstat.com/tennis/tournaments/m/Canadian%20Masters/1974,Canadian Masters
10,H2H 7-0,Jeff Borowiak,R16,6-3 6-4,G. Vilas,1974-08-12,https://matchstat.com/tennis/tournaments/m/Canadian%20Masters/1974,Canadian Masters
11,H2H 9-1,Ivan Molina,R16,6-1 6-1,Orantes,1974-08-12,https://matchstat.com/tennis/tournaments/m/Canadian%20Masters/1974,Canadian Masters
12,H2H 1-0,J. Velasco,R16,7-5 6-2,Hans-Jurgen Pohmann,1974-08-12,https://matchstat.com/tennis/tournaments/m/Canadian%20Masters/1974,Canadian Masters
13,H2H 1-0,Ismail El Shafei,R16,6-3 7-5,Marcelo Lara,1974-08-12,https://matchstat.com/tennis/tournaments/m/Canadian%20Masters/1974,Canadian Masters
14,H2H 1-0,Jimmy Connors,R16,7-6 6-2,Juan Gisbert,1974-08-12,https://matchstat.com/tennis/tournaments/m/Canadian%20Masters/1974,Canadian Masters
15,H2H 2-1,Antonio Munoz,R32,6-2 6-2,Tom Okker,1974-08-12,https://matchstat.com/tennis/tournaments/m/Canadian%20Masters/1974,Canadian Masters
16,H2H 2-0,Joaquin Loyo-Mayo,R32,6-0 6-3,J. Alexander,1974-08-12,https://matchstat.com/tennis/tournaments/m/Canadian%20Masters/1974,Canadian Masters
17,H2H 2-0,Jun Kuki,R32,3-6 6-4 6-1,Eddie Dibbs,1974-08-12,https://matchstat.com/tennis/tournaments/m/Canadian%20Masters/1974,Canadian Masters
18,H2H 2-0,Hans Kary,R32,6-4 4-6 6-4,Harold Solomon,1974-08-12,https://matchstat.com/tennis/tournaments/m/Canadian%20Masters/1974,Canadian Masters
19,H2H 1-0,Georges Goven,R32,6-4 6-2,Bjorn Borg,1974-08-12,https://matchstat.com/tennis/tournaments/m/Canadian%20Masters/1974,Canadian Masters
