,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
0,H2H 6-11,Roger Federer,7.0,4.0,6232575.0,216394.0,,1.41,Roger Federer,78.0,0.0,0.0,70.0,15.0,100.0,64.0,45.0,36.0,18.0,,,,,,2.0,170.0,,,1.41,3.25,F,7-5 7-6(3),Jo-Wilfried Tsonga,11.0,2.0,6232575.0,216393.0,,3.25,Jo-Wilfried Tsonga,92.0,7.0,1.0,100.0,37.0,70.0,35.0,33.0,35.0,22.0,,,,,,1.0,170.0,,,2014-08-04,https://matchstat.com/tennis/tournaments/m/Canadian%20Masters/2014,Canadian Masters
1,H2H 4-0,Grigor Dimitrov,5.0,2.0,6227041.0,216334.0,,2.18,Grigor Dimitrov,51.0,4.0,0.0,53.0,13.0,70.0,39.0,25.0,31.0,13.0,,,,,,2.0,123.0,,,2.18,1.80,SF,6-4 6-3,Jo-Wilfried Tsonga,7.0,4.0,6227041.0,216333.0,,1.8,Jo-Wilfried Tsonga,72.0,10.0,3.0,70.0,32.0,53.0,26.0,23.0,27.0,17.0,,,,,,1.0,123.0,,,2014-08-04,https://matchstat.com/tennis/tournaments/m/Canadian%20Masters/2014,Canadian Masters
2,H2H 12-0,Feliciano Lopez,8.0,9.0,6227034.0,216357.0,,5.3,Feliciano Lopez,57.0,0.0,0.0,53.0,12.0,77.0,29.0,24.0,48.0,21.0,,,,,,1.0,130.0,,,5.30,1.21,SF,6-3 6-4,Roger Federer,13.0,1.0,6227034.0,216358.0,,1.21,Roger Federer,73.0,11.0,2.0,77.0,32.0,53.0,29.0,25.0,24.0,16.0,,,,,,2.0,130.0,,,2014-08-04,https://matchstat.com/tennis/tournaments/m/Canadian%20Masters/2014,Canadian Masters
3,H2H 3-12,Andy Murray,7.0,3.0,6231228.0,206926.0,,1.455,Andy Murray,93.0,4.0,3.0,91.0,29.0,93.0,60.0,44.0,33.0,20.0,,,,,,2.0,184.0,,,1.46,3.01,QF,7-6(5) 4-6 6-4,Jo-Wilfried Tsonga,18.0,4.0,6231228.0,206925.0,,3.01,Jo-Wilfried Tsonga,91.0,9.0,3.0,93.0,29.0,91.0,59.0,49.0,32.0,13.0,,,,,,1.0,184.0,,,2014-08-04,https://matchstat.com/tennis/tournaments/m/Canadian%20Masters/2014,Canadian Masters
4,H2H 5-2,Kevin Anderson,15.0,5.0,6236040.0,216257.0,,2.56,Kevin Anderson,119.0,5.0,3.0,113.0,41.0,128.0,79.0,57.0,49.0,21.0,,,,,,1.0,241.0,,,2.56,1.60,QF,5-7 7-5 7-6(6),Grigor Dimitrov,10.0,3.0,6236040.0,216258.0,,1.6,Grigor Dimitrov,122.0,9.0,3.0,128.0,50.0,113.0,64.0,50.0,49.0,22.0,,,,,,2.0,241.0,,,2014-08-04,https://matchstat.com/tennis/tournaments/m/Canadian%20Masters/2014,Canadian Masters
5,H2H 4-3,Milos Raonic,18.0,1.0,6227035.0,216265.0,,1.34,Milos Raonic,85.0,9.0,0.0,104.0,27.0,79.0,55.0,44.0,24.0,14.0,,,,,,1.0,183.0,,,1.34,3.75,QF,6-4 6-7(5) 6-3,Feliciano Lopez,9.0,4.0,6227035.0,216266.0,,3.75,Feliciano Lopez,98.0,4.0,2.0,79.0,21.0,104.0,65.0,56.0,39.0,21.0,,,,,,2.0,183.0,,,2014-08-04,https://matchstat.com/tennis/tournaments/m/Canadian%20Masters/2014,Canadian Masters
6,H2H 16-0,David Ferrer,0.0,3.0,6236306.0,785670.0,,4.8,David Ferrer,82.0,6.0,3.0,87.0,32.0,92.0,56.0,32.0,36.0,18.0,,,,,,1.0,179.0,,,4.80,1.24,QF,6-3 4-6 6-3,Roger Federer,7.0,3.0,6236306.0,785671.0,,1.24,Roger Federer,97.0,9.0,5.0,92.0,42.0,87.0,50.0,40.0,37.0,15.0,,,,,,2.0,179.0,,,2014-08-04,https://matchstat.com/tennis/tournaments/m/Canadian%20Masters/2014,Canadian Masters
7,H2H 6-15,Novak Djokovic,2.0,1.0,6236216.0,216225.0,,1.182,Novak Djokovic,41.0,1.0,0.0,49.0,15.0,49.0,30.0,17.0,19.0,9.0,,,,,,1.0,98.0,,,1.18,5.77,R16,6-2 6-2,Jo-Wilfried Tsonga,8.0,2.0,6236216.0,216226.0,,5.77,Jo-Wilfried Tsonga,57.0,4.0,4.0,49.0,23.0,49.0,26.0,21.0,23.0,13.0,,,,,,2.0,98.0,,,2014-08-04,https://matchstat.com/tennis/tournaments/m/Canadian%20Masters/2014,Canadian Masters
8,H2H 8-3,Richard Gasquet,,,6236193.0,287509.0,,3.49,Richard Gasquet,,,,,,,,,,,,,,,,1.0,,,,3.49,1.36,R16,WO,Andy Murray,,,6236193.0,287510.0,,1.364,Andy Murray,,,,,,,,,,,,,,,,2.0,,,,2014-08-04,https://matchstat.com/tennis/tournaments/m/Canadian%20Masters/2014,Canadian Masters
9,H2H 4-4,Stan Wawrinka,5.0,2.0,6227040.0,206821.0,,1.45,Stan Wawrinka,92.0,13.0,3.0,105.0,41.0,89.0,38.0,28.0,51.0,23.0,,,,,,1.0,194.0,,,1.45,3.05,R16,7-6(8) 7-5,Kevin Anderson,12.0,8.0,6227040.0,206822.0,,3.05,Kevin Anderson,102.0,10.0,5.0,89.0,38.0,105.0,67.0,48.0,38.0,16.0,,,,,,2.0,194.0,,,2014-08-04,https://matchstat.com/tennis/tournaments/m/Canadian%20Masters/2014,Canadian Masters
10,H2H 1-2,Tommy Robredo,4.0,1.0,6232329.0,216227.0,,2.6,Tommy Robredo,95.0,2.0,2.0,87.0,26.0,102.0,80.0,56.0,22.0,13.0,,,,,,1.0,189.0,,,2.60,1.57,R16,7-5 5-7 6-4,Grigor Dimitrov,6.0,4.0,6232329.0,216228.0,,1.571,Grigor Dimitrov,94.0,8.0,3.0,102.0,33.0,87.0,46.0,37.0,41.0,24.0,,,,,,2.0,189.0,,,2014-08-04,https://matchstat.com/tennis/tournaments/m/Canadian%20Masters/2014,Canadian Masters
11,H2H 3-1,Julien Benneteau,8.0,1.0,6236330.0,216236.0,,3.65,Julien Benneteau,74.0,2.0,2.0,77.0,21.0,81.0,50.0,38.0,31.0,15.0,,,,,,2.0,158.0,,,3.65,1.34,R16,6-3 4-6 6-4,Milos Raonic,15.0,3.0,6236330.0,216235.0,,1.34,Milos Raonic,84.0,9.0,3.0,81.0,28.0,77.0,52.0,44.0,25.0,12.0,,,,,,1.0,158.0,,,2014-08-04,https://matchstat.com/tennis/tournaments/m/Canadian%20Masters/2014,Canadian Masters
12,H2H 6-6,Tomas Berdych,11.0,4.0,6236325.0,216238.0,,1.5,Tomas Berdych,85.0,6.0,1.0,85.0,28.0,86.0,46.0,38.0,40.0,19.0,,,,,,2.0,171.0,,,1.50,2.82,R16,3-6 6-3 6-4,Feliciano Lopez,11.0,6.0,6236325.0,216237.0,,2.82,Feliciano Lopez,86.0,4.0,2.0,86.0,29.0,85.0,54.0,43.0,31.0,14.0,,,,,,1.0,171.0,,,2014-08-04,https://matchstat.com/tennis/tournaments/m/Canadian%20Masters/2014,Canadian Masters
13,H2H 4-0,Ivan Dodig,6.0,7.0,6236298.0,785665.0,,3.8,Ivan Dodig,88.0,14.0,2.0,89.0,34.0,85.0,45.0,34.0,40.0,20.0,,,,,,2.0,174.0,,,3.80,1.32,R16,1-6 6-3 6-3,David Ferrer,6.0,4.0,6236298.0,785664.0,,1.32,David Ferrer,86.0,7.0,3.0,85.0,31.0,89.0,51.0,37.0,38.0,18.0,,,,,,1.0,174.0,,,2014-08-04,https://matchstat.com/tennis/tournaments/m/Canadian%20Masters/2014,Canadian Masters
14,H2H 5-1,Marin Cilic,12.0,1.0,6230522.0,216243.0,,5.3,Marin Cilic,124.0,2.0,0.0,106.0,28.0,145.0,83.0,60.0,62.0,36.0,,,,,,1.0,251.0,,,5.30,1.20,R16,7-6(5) 6-7(3) 6-4,Roger Federer,11.0,4.0,6230522.0,216244.0,,1.2,Roger Federer,127.0,10.0,1.0,145.0,49.0,106.0,67.0,55.0,39.0,23.0,,,,,,2.0,251.0,,,2014-08-04,https://matchstat.com/tennis/tournaments/m/Canadian%20Masters/2014,Canadian Masters
15,H2H 11-1,Gael Monfils,8.0,8.0,6236231.0,216192.0,,9.1,Gael Monfils,111.0,7.0,1.0,105.0,31.0,131.0,74.0,54.0,57.0,26.0,,,,,,2.0,236.0,,,9.10,1.09,R32,6-2 6-7(4) 7-6(2),Novak Djokovic,5.0,4.0,6236231.0,216191.0,,1.085,Novak Djokovic,125.0,10.0,3.0,131.0,51.0,105.0,68.0,55.0,37.0,19.0,,,,,,1.0,236.0,,,2014-08-04,https://matchstat.com/tennis/tournaments/m/Canadian%20Masters/2014,Canadian Masters
16,H2H 3-1,Jeremy Chardy,4.0,7.0,6236230.0,216181.0,,3.95,Jeremy Chardy,73.0,4.0,0.0,83.0,24.0,69.0,32.0,30.0,37.0,19.0,,,,,,1.0,152.0,,,3.95,1.29,R32,7-6(6) 6-4,Jo-Wilfried Tsonga,23.0,2.0,6236230.0,216182.0,,1.285,Jo-Wilfried Tsonga,79.0,1.0,1.0,69.0,20.0,83.0,52.0,40.0,31.0,19.0,,,,,,2.0,152.0,,,2014-08-04,https://matchstat.com/tennis/tournaments/m/Canadian%20Masters/2014,Canadian Masters
