,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 11-3,Guillermo Perez-Roldan,F,6-1 6-7 6-2,Thomas Muster,1990-03-05,https://matchstat.com/tennis/tournaments/m/Casablanca/1990,Casablanca
1,H2H 4-1,Tomas Carbonell,SF,6-1 6-1,Guillermo Perez-Roldan,1990-03-05,https://matchstat.com/tennis/tournaments/m/Casablanca/1990,Casablanca
2,H2H 1-2,Goran Prpic,SF,6-1 6-3,Thomas Muster,1990-03-05,https://matchstat.com/tennis/tournaments/m/Casablanca/1990,Casablanca
3,H2H 4-2,Thierry Tulasne,QF,6-2 7-5,Guillermo Perez-Roldan,1990-03-05,https://matchstat.com/tennis/tournaments/m/Casablanca/1990,Casablanca
4,H2H 3-0,Roberto Azar,QF,7-5 2-6 6-3,Tomas Carbonell,1990-03-05,https://matchstat.com/tennis/tournaments/m/Casablanca/1990,Casablanca
5,H2H 1-0,Johan Anderson,QF,6-3 6-1,Goran Prpic,1990-03-05,https://matchstat.com/tennis/tournaments/m/Casablanca/1990,Casablanca
6,H2H 3-0,M. Koevermans,QF,6-4 7-6,Thomas Muster,1990-03-05,https://matchstat.com/tennis/tournaments/m/Casablanca/1990,Casablanca
7,H2H 1-1,Richard Fromberg,R16,3-6 6-3 6-3,Guillermo Perez-Roldan,1990-03-05,https://matchstat.com/tennis/tournaments/m/Casablanca/1990,Casablanca
8,H2H 1-2,Franco Davin,R16,6-3 6-2,Thierry Tulasne,1990-03-05,https://matchstat.com/tennis/tournaments/m/Casablanca/1990,Casablanca
9,H2H 2-0,Fernando Luna,R16,6-3 7-6,Roberto Azar,1990-03-05,https://matchstat.com/tennis/tournaments/m/Casablanca/1990,Casablanca
10,H2H 1-0,Martin Wostenholme,R16,6-1 6-4,Tomas Carbonell,1990-03-05,https://matchstat.com/tennis/tournaments/m/Casablanca/1990,Casablanca
11,H2H 2-0,Nicklas Utgren,R16,0-6 6-4 6-3,Johan Anderson,1990-03-05,https://matchstat.com/tennis/tournaments/m/Casablanca/1990,Casablanca
12,H2H 1-1,Thierry Champion,R16,7-5 7-6,Goran Prpic,1990-03-05,https://matchstat.com/tennis/tournaments/m/Casablanca/1990,Casablanca
13,H2H 2-0,Marian Vajda,R16,6-1 1-6 6-3,M. Koevermans,1990-03-05,https://matchstat.com/tennis/tournaments/m/Casablanca/1990,Casablanca
14,H2H 2-0,Tarik Benhabiles,R16,4-6 6-1 6-2,Thomas Muster,1990-03-05,https://matchstat.com/tennis/tournaments/m/Casablanca/1990,Casablanca
15,H2H 1-0,Todd Woodbridge,R32,7-6 6-1,Guillermo Perez-Roldan,1990-03-05,https://matchstat.com/tennis/tournaments/m/Casablanca/1990,Casablanca
16,H2H 2-3,Magnus Larsson,R32,6-2 4-6 6-2,Richard Fromberg,1990-03-05,https://matchstat.com/tennis/tournaments/m/Casablanca/1990,Casablanca
17,H2H 1-0,Nicklas Kulti,R32,7-5 6-0,Thierry Tulasne,1990-03-05,https://matchstat.com/tennis/tournaments/m/Casablanca/1990,Casablanca
18,H2H 1-1,Simon Youl,R32,6-2 6-1,Franco Davin,1990-03-05,https://matchstat.com/tennis/tournaments/m/Casablanca/1990,Casablanca
19,H2H 4-0,Martin Strelba,R32,6-1 6-0,Fernando Luna,1990-03-05,https://matchstat.com/tennis/tournaments/m/Casablanca/1990,Casablanca
20,H2H 1-0,Lars Jonsson,R32,6-3 7-5,Roberto Azar,1990-03-05,https://matchstat.com/tennis/tournaments/m/Casablanca/1990,Casablanca
21,H2H 1-0,Khalid Outaleb,R32,6-4 6-4,Martin Wostenholme,1990-03-05,https://matchstat.com/tennis/tournaments/m/Casablanca/1990,Casablanca
22,H2H 4-0,Francisco Roig,R32,6-4 6-2,Tomas Carbonell,1990-03-05,https://matchstat.com/tennis/tournaments/m/Casablanca/1990,Casablanca
23,H2H 1-0,Paul Haarhuis,R32,1-6 6-2 6-3,Nicklas Utgren,1990-03-05,https://matchstat.com/tennis/tournaments/m/Casablanca/1990,Casablanca
24,H2H 1-0,Karim Alami,R32,6-4 7-5,Johan Anderson,1990-03-05,https://matchstat.com/tennis/tournaments/m/Casablanca/1990,Casablanca
25,H2H 1-0,Jason Stoltenberg,R32,6-3 6-2,Thierry Champion,1990-03-05,https://matchstat.com/tennis/tournaments/m/Casablanca/1990,Casablanca
26,H2H 2-0,Younes El Aynaoui,R32,6-2 7-6,Goran Prpic,1990-03-05,https://matchstat.com/tennis/tournaments/m/Casablanca/1990,Casablanca
27,H2H 1-0,Simone Colombo,R32,6-1 6-4,M. Koevermans,1990-03-05,https://matchstat.com/tennis/tournaments/m/Casablanca/1990,Casablanca
28,H2H 3-1,Jose-Francisco Altur,R32,6-3 6-2,Marian Vajda,1990-03-05,https://matchstat.com/tennis/tournaments/m/Casablanca/1990,Casablanca
29,H2H 1-0,Leonardo Lavalle,R32,6-0 6-2,Tarik Benhabiles,1990-03-05,https://matchstat.com/tennis/tournaments/m/Casablanca/1990,Casablanca
30,H2H 2-0,Andres Vysand,R32,6-2 7-5,Thomas Muster,1990-03-05,https://matchstat.com/tennis/tournaments/m/Casablanca/1990,Casablanca
31,,P Haarhuis / M Koevermans,F,6-3 6-1,T Woodbridge / S Youl,1990-03-05,https://matchstat.com/tennis/tournaments/m/Casablanca/1990,Casablanca
32,,M Gorriz-bonhora / L Pimek,SF,6-7 7-5 6-1,P Haarhuis / M Koevermans,1990-03-05,https://matchstat.com/tennis/tournaments/m/Casablanca/1990,Casablanca
33,,M Cierro / S Colombo,SF,6-3 6-2,T Woodbridge / S Youl,1990-03-05,https://matchstat.com/tennis/tournaments/m/Casablanca/1990,Casablanca
34,,T Carbonell / C Costa,QF,6-4 6-4,M Gorriz-bonhora / L Pimek,1990-03-05,https://matchstat.com/tennis/tournaments/m/Casablanca/1990,Casablanca
35,,D Rikl / T Zdrazila,QF,6-3 6-4,P Haarhuis / M Koevermans,1990-03-05,https://matchstat.com/tennis/tournaments/m/Casablanca/1990,Casablanca
36,,P Henricsson / N Utgren,QF,6-7 6-1 7-5,M Cierro / S Colombo,1990-03-05,https://matchstat.com/tennis/tournaments/m/Casablanca/1990,Casablanca
37,,J Cihak / C Suk,QF,6-1 6-4,T Woodbridge / S Youl,1990-03-05,https://matchstat.com/tennis/tournaments/m/Casablanca/1990,Casablanca
38,,R Osterthun / G Perez-Roldan,R16,4-6 6-2 6-3,T Carbonell / C Costa,1990-03-05,https://matchstat.com/tennis/tournaments/m/Casablanca/1990,Casablanca
39,,J Cunha-Silva / E Masso,R16,6-4 3-6 6-4,M Gorriz-bonhora / L Pimek,1990-03-05,https://matchstat.com/tennis/tournaments/m/Casablanca/1990,Casablanca
40,,T Nydahl / P Svensson,R16,6-2 6-3,P Haarhuis / M Koevermans,1990-03-05,https://matchstat.com/tennis/tournaments/m/Casablanca/1990,Casablanca
41,,K Alami / K Outaleb,R16,6-2 3-6 6-1,D Rikl / T Zdrazila,1990-03-05,https://matchstat.com/tennis/tournaments/m/Casablanca/1990,Casablanca
42,,F Segarceanu / M Vajda,R16,6-4 6-4,M Cierro / S Colombo,1990-03-05,https://matchstat.com/tennis/tournaments/m/Casablanca/1990,Casablanca
43,,A Gonzalez-mora / J Schor,R16,6-3 6-4,P Henricsson / N Utgren,1990-03-05,https://matchstat.com/tennis/tournaments/m/Casablanca/1990,Casablanca
44,,J Baguena / B Uribe-quintana,R16,6-1 6-2,T Woodbridge / S Youl,1990-03-05,https://matchstat.com/tennis/tournaments/m/Casablanca/1990,Casablanca
45,,A De Minicis / C Miniussi,R16,7-6 6-2,J Cihak / C Suk,1990-03-05,https://matchstat.com/tennis/tournaments/m/Casablanca/1990,Casablanca
