,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
0,H2H 3-2,Victor Hanescu,0.0,2.0,5929242.0,401072.0,,2.47,Victor Hanescu,46.0,5.0,1.0,57.0,20.0,49.0,37.0,22.0,12.0,4.0,,,,,,2.0,106.0,,,2.47,1.63,F,6-2 6-3,Stan Wawrinka,3.0,2.0,5929242.0,401071.0,,1.625,Stan Wawrinka,60.0,9.0,4.0,49.0,23.0,57.0,30.0,24.0,27.0,13.0,,,,,,1.0,106.0,,,2010-04-05,https://matchstat.com/tennis/tournaments/m/Casablanca/2010,Casablanca
1,H2H 4-1,Potito Starace,1.0,0.0,5929240.0,401070.0,,3.28,Potito Starace,94.0,9.0,3.0,93.0,34.0,104.0,78.0,46.0,26.0,14.0,,,,,,2.0,197.0,,,3.28,1.40,SF,6-4 3-6 6-4,Stan Wawrinka,7.0,3.0,5929240.0,401069.0,,1.4,Stan Wawrinka,103.0,9.0,3.0,104.0,44.0,93.0,60.0,42.0,33.0,17.0,,,,,,1.0,197.0,,,2010-04-05,https://matchstat.com/tennis/tournaments/m/Casablanca/2010,Casablanca
2,H2H 2-3,Florent Serra,3.0,2.0,5929241.0,139376.0,,1.8,Florent Serra,43.0,1.0,0.0,55.0,16.0,49.0,28.0,17.0,21.0,10.0,,,,,,2.0,104.0,,,1.80,2.00,SF,6-4 6-1,Victor Hanescu,2.0,2.0,5929241.0,139375.0,,2.0,Victor Hanescu,61.0,6.0,3.0,49.0,22.0,55.0,42.0,36.0,13.0,3.0,,,,,,1.0,104.0,,,2010-04-05,https://matchstat.com/tennis/tournaments/m/Casablanca/2010,Casablanca
3,H2H 1-0,Reda El Amrani,3.0,8.0,5929236.0,401068.0,,6.92,Reda El Amrani,34.0,0.0,0.0,39.0,7.0,54.0,26.0,16.0,28.0,11.0,,,,,,2.0,93.0,,,6.92,1.14,QF,6-3 6-1,Stan Wawrinka,6.0,0.0,5929236.0,401067.0,,1.143,Stan Wawrinka,59.0,7.0,4.0,54.0,27.0,39.0,22.0,19.0,17.0,13.0,,,,,,1.0,93.0,,,2010-04-05,https://matchstat.com/tennis/tournaments/m/Casablanca/2010,Casablanca
4,H2H 3-1,Lukasz Kubot,1.0,2.0,5929237.0,139353.0,,1.85,Lukasz Kubot,26.0,3.0,0.0,48.0,16.0,30.0,17.0,8.0,13.0,2.0,,,,,,1.0,78.0,,,1.85,1.90,QF,6-1 6-0,Potito Starace,2.0,0.0,5929237.0,139354.0,,1.9,Potito Starace,52.0,6.0,5.0,30.0,20.0,48.0,42.0,29.0,6.0,3.0,,,,,,2.0,78.0,,,2010-04-05,https://matchstat.com/tennis/tournaments/m/Casablanca/2010,Casablanca
5,H2H 1-2,Richard Gasquet,4.0,7.0,5929238.0,139361.0,,1.299,Richard Gasquet,107.0,9.0,1.0,108.0,33.0,115.0,66.0,47.0,49.0,27.0,,,,,,1.0,223.0,,,1.30,4.01,QF,7-6(3) 4-6 6-3,Victor Hanescu,7.0,2.0,5929238.0,139362.0,,4.01,Victor Hanescu,116.0,6.0,1.0,115.0,41.0,108.0,78.0,60.0,30.0,15.0,,,,,,2.0,223.0,,,2010-04-05,https://matchstat.com/tennis/tournaments/m/Casablanca/2010,Casablanca
6,H2H 2-2,Guillermo Garcia-Lopez,0.0,3.0,5929239.0,139356.0,,1.75,Guillermo Garcia-Lopez,42.0,5.0,0.0,53.0,17.0,48.0,28.0,17.0,20.0,8.0,,,,,,2.0,101.0,,,1.75,2.05,QF,6-2 6-2,Florent Serra,4.0,0.0,5929239.0,139355.0,,2.05,Florent Serra,59.0,10.0,4.0,48.0,23.0,53.0,37.0,26.0,16.0,10.0,,,,,,1.0,101.0,,,2010-04-05,https://matchstat.com/tennis/tournaments/m/Casablanca/2010,Casablanca
7,H2H 1-0,Martin Klizan,6.0,5.0,5929228.0,401066.0,,5.17,Martin Klizan,87.0,8.0,4.0,80.0,31.0,92.0,45.0,32.0,47.0,24.0,,,,,,2.0,172.0,,,5.17,1.21,R16,6-4 0-6 6-4,Stan Wawrinka,4.0,1.0,5929228.0,401065.0,,1.211,Stan Wawrinka,85.0,11.0,3.0,92.0,36.0,80.0,60.0,38.0,20.0,11.0,,,,,,1.0,172.0,,,2010-04-05,https://matchstat.com/tennis/tournaments/m/Casablanca/2010,Casablanca
8,H2H 1-1,Jan Hajek,1.0,2.0,5929229.0,139322.0,,1.25,Jan Hajek,87.0,13.0,3.0,107.0,44.0,76.0,55.0,32.0,21.0,11.0,,,,,,2.0,183.0,,,1.25,3.70,R16,6-3 2-6 6-2,Reda El Amrani,13.0,6.0,5929229.0,139321.0,,3.7,Reda El Amrani,96.0,10.0,4.0,76.0,33.0,107.0,62.0,44.0,45.0,19.0,,,,,,1.0,183.0,,,2010-04-05,https://matchstat.com/tennis/tournaments/m/Casablanca/2010,Casablanca
9,H2H 2-0,Arnaud Clement,1.0,3.0,5929230.0,142502.0,,2.47,Arnaud Clement,53.0,6.0,3.0,66.0,31.0,54.0,25.0,13.0,29.0,9.0,,,,,,2.0,120.0,,,2.47,1.63,R16,6-4 6-1,Lukasz Kubot,1.0,8.0,5929230.0,142501.0,,1.625,Lukasz Kubot,67.0,10.0,7.0,54.0,32.0,66.0,42.0,24.0,24.0,11.0,,,,,,1.0,120.0,,,2010-04-05,https://matchstat.com/tennis/tournaments/m/Casablanca/2010,Casablanca
