,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 2-0,Karol Kucera,F,6-3 6-1,Paradorn Srichaphan,2003-12-29,https://matchstat.com/tennis/tournaments/m/Chennai/2003,Chennai
1,H2H 1-1,Juan Ignacio Chela,SF,6-3 7-5,Karol Kucera,2003-12-29,https://matchstat.com/tennis/tournaments/m/Chennai/2003,Chennai
2,H2H 2-2,Jean-Rene Lisnard,SF,6-2 6-1,Paradorn Srichaphan,2003-12-29,https://matchstat.com/tennis/tournaments/m/Chennai/2003,Chennai
3,H2H 2-2,Guillermo Canas,QF,6-1 7-5,Karol Kucera,2003-12-29,https://matchstat.com/tennis/tournaments/m/Chennai/2003,Chennai
4,H2H 3-0,Tomas Behrend,QF,6-4 6-3,Juan Ignacio Chela,2003-12-29,https://matchstat.com/tennis/tournaments/m/Chennai/2003,Chennai
5,H2H 2-3,Rainer Schuettler,QF,6-2 7-5,Jean-Rene Lisnard,2003-12-29,https://matchstat.com/tennis/tournaments/m/Chennai/2003,Chennai
6,H2H 2-0,Sargis Sargsian,QF,6-4 6-4,Paradorn Srichaphan,2003-12-29,https://matchstat.com/tennis/tournaments/m/Chennai/2003,Chennai
7,H2H 3-0,Jiri Vanek,R16,6-4 6-2,Guillermo Canas,2003-12-29,https://matchstat.com/tennis/tournaments/m/Chennai/2003,Chennai
8,H2H 2-0,Cecil Mamiit,R16,7-6(6) 3-6 6-3,Karol Kucera,2003-12-29,https://matchstat.com/tennis/tournaments/m/Chennai/2003,Chennai
9,H2H 2-0,Zeljko Krajan,R16,3-6 6-3 2-0 Retired,Juan Ignacio Chela,2003-12-29,https://matchstat.com/tennis/tournaments/m/Chennai/2003,Chennai
10,H2H 5-0,Albert Portas,R16,7-6(4) 6-1,Tomas Behrend,2003-12-29,https://matchstat.com/tennis/tournaments/m/Chennai/2003,Chennai
11,H2H 3-0,Mark Philippoussis,R16,6-2 6-1,Rainer Schuettler,2003-12-29,https://matchstat.com/tennis/tournaments/m/Chennai/2003,Chennai
12,H2H 1-1,Noam Okun,R16,6-0 2-6 6-2,Jean-Rene Lisnard,2003-12-29,https://matchstat.com/tennis/tournaments/m/Chennai/2003,Chennai
13,H2H 2-1,Albert Montanes,R16,6-4 6-3,Sargis Sargsian,2003-12-29,https://matchstat.com/tennis/tournaments/m/Chennai/2003,Chennai
14,H2H 3-2,John van Lottum,R16,6-2 6-4,Paradorn Srichaphan,2003-12-29,https://matchstat.com/tennis/tournaments/m/Chennai/2003,Chennai
15,H2H 2-0,Dick Norman,R32,4-6 6-2 6-3,Guillermo Canas,2003-12-29,https://matchstat.com/tennis/tournaments/m/Chennai/2003,Chennai
16,H2H 2-0,Prakash Amritraj,R32,6-2 6-2,Jiri Vanek,2003-12-29,https://matchstat.com/tennis/tournaments/m/Chennai/2003,Chennai
17,H2H 1-2,Justin Gimelstob,R32,3-6 7-6(3) 6-3,Karol Kucera,2003-12-29,https://matchstat.com/tennis/tournaments/m/Chennai/2003,Chennai
18,H2H 1-4,Lars Burgsmuller,R32,6-0 6-3,Cecil Mamiit,2003-12-29,https://matchstat.com/tennis/tournaments/m/Chennai/2003,Chennai
19,H2H 1-0,Leander Paes,R32,7-6(5) 7-5,Juan Ignacio Chela,2003-12-29,https://matchstat.com/tennis/tournaments/m/Chennai/2003,Chennai
