,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
0,H2H 5-0,Janko Tipsarevic,8.0,2.0,6047485.0,166261.0,,1.77,Janko Tipsarevic,118.0,4.0,0.0,113.0,25.0,138.0,83.0,59.0,55.0,34.0,,,,,,1.0,251.0,,,1.77,2.22,F,6-7(4) 7-6(4) 7-6(4),Milos Raonic,35.0,1.0,6047485.0,166262.0,,2.22,Milos Raonic,133.0,9.0,0.0,138.0,45.0,113.0,83.0,73.0,30.0,15.0,,,,,,2.0,251.0,,,2012-01-02,https://matchstat.com/tennis/tournaments/m/Chennai/2012,Chennai
1,H2H 2-0,Go Soeda,1.0,1.0,6047483.0,166228.0,,5.9,Go Soeda,41.0,1.0,1.0,44.0,10.0,61.0,33.0,21.0,28.0,10.0,,,,,,2.0,105.0,,,5.90,1.18,SF,6-1 6-4,Janko Tipsarevic,4.0,0.0,6047483.0,166227.0,,1.182,Janko Tipsarevic,64.0,6.0,4.0,61.0,30.0,44.0,31.0,25.0,13.0,9.0,,,,,,1.0,105.0,,,2012-01-02,https://matchstat.com/tennis/tournaments/m/Chennai/2012,Chennai
2,H2H 2-0,Nicolas Almagro,4.0,0.0,6047484.0,166230.0,,1.48,Nicolas Almagro,51.0,3.0,0.0,54.0,12.0,60.0,45.0,31.0,15.0,8.0,,,,,,2.0,114.0,,,1.48,2.95,SF,6-4 6-4,Milos Raonic,17.0,1.0,6047484.0,166229.0,,2.95,Milos Raonic,63.0,6.0,2.0,60.0,21.0,54.0,42.0,38.0,12.0,4.0,,,,,,1.0,114.0,,,2012-01-02,https://matchstat.com/tennis/tournaments/m/Chennai/2012,Chennai
3,H2H 2-0,David Goffin,10.0,5.0,6047479.0,165954.0,,6.9,David Goffin,71.0,2.0,1.0,67.0,18.0,91.0,51.0,34.0,40.0,19.0,,,,,,2.0,158.0,,,6.90,1.13,QF,6-2 3-6 6-2,Janko Tipsarevic,7.0,0.0,6047479.0,165953.0,,1.125,Janko Tipsarevic,87.0,13.0,4.0,91.0,38.0,67.0,44.0,36.0,23.0,13.0,,,,,,1.0,158.0,,,2012-01-02,https://matchstat.com/tennis/tournaments/m/Chennai/2012,Chennai
4,H2H 1-0,Stan Wawrinka,4.0,4.0,6047480.0,401417.0,,1.2,Stan Wawrinka,62.0,7.0,3.0,74.0,31.0,65.0,34.0,18.0,31.0,13.0,,,,,,1.0,139.0,,,1.20,5.10,QF,6-4 6-4,Go Soeda,1.0,4.0,6047480.0,401418.0,,5.1,Go Soeda,77.0,8.0,5.0,65.0,34.0,74.0,39.0,25.0,35.0,18.0,,,,,,2.0,139.0,,,2012-01-02,https://matchstat.com/tennis/tournaments/m/Chennai/2012,Chennai
5,H2H 1-0,Dudi Sela,2.0,2.0,6047481.0,165945.0,,4.1,Dudi Sela,58.0,3.0,0.0,69.0,16.0,59.0,31.0,23.0,28.0,19.0,,,,,,1.0,128.0,,,4.10,1.27,QF,7-6(4) 6-3,Milos Raonic,15.0,1.0,6047481.0,165946.0,,1.27,Milos Raonic,70.0,1.0,1.0,59.0,17.0,69.0,41.0,34.0,28.0,19.0,,,,,,2.0,128.0,,,2012-01-02,https://matchstat.com/tennis/tournaments/m/Chennai/2012,Chennai
6,H2H 1-0,Yuichi Sugita,3.0,1.0,6047482.0,165951.0,,3.55,Yuichi Sugita,111.0,12.0,3.0,123.0,45.0,105.0,65.0,36.0,40.0,30.0,,,,,,1.0,228.0,,,3.55,1.33,QF,4-6 7-6(8) 6-4,Nicolas Almagro,6.0,0.0,6047482.0,165952.0,,1.333,Nicolas Almagro,117.0,6.0,3.0,105.0,39.0,123.0,65.0,43.0,58.0,35.0,,,,,,2.0,228.0,,,2012-01-02,https://matchstat.com/tennis/tournaments/m/Chennai/2012,Chennai
7,H2H 1-0,Yuki Bhambri,3.0,2.0,6047471.0,165930.0,,9.65,Yuki Bhambri,29.0,1.0,0.0,41.0,8.0,39.0,22.0,12.0,17.0,9.0,,,,,,2.0,80.0,,,9.65,1.08,R16,6-1 6-3,Janko Tipsarevic,5.0,1.0,6047471.0,165929.0,,1.083,Janko Tipsarevic,51.0,4.0,4.0,39.0,18.0,41.0,20.0,17.0,21.0,16.0,,,,,,1.0,80.0,,,2012-01-02,https://matchstat.com/tennis/tournaments/m/Chennai/2012,Chennai
8,H2H 2-0,Andreas Beck,4.0,0.0,6047472.0,165913.0,,1.459,Andreas Beck,84.0,8.0,2.0,82.0,27.0,98.0,71.0,43.0,27.0,14.0,,,,,,1.0,180.0,,,1.46,2.95,R16,4-6 6-4 6-2,David Goffin,6.0,4.0,6047472.0,165914.0,,2.95,David Goffin,96.0,16.0,4.0,98.0,41.0,82.0,43.0,30.0,39.0,25.0,,,,,,2.0,180.0,,,2012-01-02,https://matchstat.com/tennis/tournaments/m/Chennai/2012,Chennai
9,H2H 4-1,Edouard Roger-Vasselin,4.0,0.0,6047473.0,401420.0,,4.45,Edouard Roger-Vasselin,87.0,6.0,4.0,82.0,28.0,104.0,70.0,43.0,34.0,16.0,,,,,,2.0,186.0,,,4.45,1.24,R16,3-6 6-3 7-5,Stan Wawrinka,10.0,1.0,6047473.0,401419.0,,1.24,Stan Wawrinka,99.0,11.0,5.0,104.0,45.0,82.0,52.0,35.0,30.0,19.0,,,,,,1.0,186.0,,,2012-01-02,https://matchstat.com/tennis/tournaments/m/Chennai/2012,Chennai
