,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 5-0,David Pate,F,6-4 6-2,Tim Mayotte,1987-03-30,https://matchstat.com/tennis/tournaments/m/Chicago/1987,Chicago
1,H2H 3-1,Bill Scanlon,SF,6-3 6-2,David Pate,1987-03-30,https://matchstat.com/tennis/tournaments/m/Chicago/1987,Chicago
2,H2H 3-5,Eliot Teltscher,SF,3-6 7-5 6-2,Tim Mayotte,1987-03-30,https://matchstat.com/tennis/tournaments/m/Chicago/1987,Chicago
3,H2H 2-0,Mel Purcell,QF,7-5 6-4,David Pate,1987-03-30,https://matchstat.com/tennis/tournaments/m/Chicago/1987,Chicago
4,H2H 1-1,Scott Davis,QF,6-3 6-3,Bill Scanlon,1987-03-30,https://matchstat.com/tennis/tournaments/m/Chicago/1987,Chicago
5,H2H 2-0,Peter Fleming,QF,6-2 6-3,Tim Mayotte,1987-03-30,https://matchstat.com/tennis/tournaments/m/Chicago/1987,Chicago
6,H2H 1-15,Jimmy Connors,QF,6-3 6-1,Eliot Teltscher,1987-03-30,https://matchstat.com/tennis/tournaments/m/Chicago/1987,Chicago
7,H2H 1-3,Yannick Noah,R16,6-4 6-2,Mel Purcell,1987-03-30,https://matchstat.com/tennis/tournaments/m/Chicago/1987,Chicago
8,H2H 4-1,Paul Annacone,R16,7-6 6-2,David Pate,1987-03-30,https://matchstat.com/tennis/tournaments/m/Chicago/1987,Chicago
9,H2H 2-2,Brad Gilbert,R16,7-5 6-4,Bill Scanlon,1987-03-30,https://matchstat.com/tennis/tournaments/m/Chicago/1987,Chicago
10,H2H 3-3,Sammy Giammalva,R16,2-6 6-3 6-2,Scott Davis,1987-03-30,https://matchstat.com/tennis/tournaments/m/Chicago/1987,Chicago
11,H2H 1-1,Johan Kriek,R16,7-6 6-4,Peter Fleming,1987-03-30,https://matchstat.com/tennis/tournaments/m/Chicago/1987,Chicago
12,H2H 3-0,Todd Nelson,R16,6-4 6-7 6-3,Tim Mayotte,1987-03-30,https://matchstat.com/tennis/tournaments/m/Chicago/1987,Chicago
13,H2H 1-0,Christo Van Rensburg,R16,6-3 6-2,Eliot Teltscher,1987-03-30,https://matchstat.com/tennis/tournaments/m/Chicago/1987,Chicago
14,H2H 2-1,Dan Goldie,R16,6-1 0-6 6-1,Jimmy Connors,1987-03-30,https://matchstat.com/tennis/tournaments/m/Chicago/1987,Chicago
15,H2H 1-0,Peter Lundgren,R32,0-6 7-5 6-4,Yannick Noah,1987-03-30,https://matchstat.com/tennis/tournaments/m/Chicago/1987,Chicago
16,H2H 1-0,Barry Moir,R32,6-2 3-6 6-3,Mel Purcell,1987-03-30,https://matchstat.com/tennis/tournaments/m/Chicago/1987,Chicago
17,H2H 2-1,Jim Grabb,R32,6-3 6-2,Paul Annacone,1987-03-30,https://matchstat.com/tennis/tournaments/m/Chicago/1987,Chicago
18,H2H 3-2,Brad Pearce,R32,6-2 6-4,David Pate,1987-03-30,https://matchstat.com/tennis/tournaments/m/Chicago/1987,Chicago
19,H2H 3-0,Kelly Evernden,R32,6-3 6-2,Brad Gilbert,1987-03-30,https://matchstat.com/tennis/tournaments/m/Chicago/1987,Chicago
20,H2H 1-0,Rick Leach,R32,6-3 6-4,Bill Scanlon,1987-03-30,https://matchstat.com/tennis/tournaments/m/Chicago/1987,Chicago
