,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 12-3,Patrick Rafter,F,7-6 6-3,Pete Sampras,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
1,H2H 20-14,Andre Agassi,SF,7-6 6-3,Pete Sampras,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
2,H2H 3-3,Yevgeny Kafelnikov,SF,6-4 6-2,Patrick Rafter,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
3,H2H 4-6,Richard Krajicek,QF,6-4 6-2,Pete Sampras,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
4,H2H 7-4,Gustavo Kuerten,QF,6-2 7-6,Andre Agassi,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
5,H2H 8-5,Tim Henman,QF,7-5 7-5,Yevgeny Kafelnikov,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
6,H2H 4-7,Michael Chang,QF,6-2 6-1,Patrick Rafter,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
7,H2H 2-0,Rainer Schuettler,R16,7-5 7-6,Pete Sampras,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
8,H2H 3-0,Justin Gimelstob,R16,6-4 6-2,Richard Krajicek,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
9,H2H 5-1,Jiri Novak,R16,7-6 7-6,Andre Agassi,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
10,H2H 5-1,Tommy Haas,R16,7-5 7-5,Gustavo Kuerten,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
11,H2H 6-3,Nicolas Kiefer,R16,6-4 6-1,Tim Henman,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
12,H2H 6-1,Chris Woodruff,R16,6-4 6-4,Yevgeny Kafelnikov,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
13,H2H 7-1,Cedric Pioline,R16,6-1 6-4,Michael Chang,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
14,H2H 4-0,Nicolas Lapentti,R16,6-2 6-3,Patrick Rafter,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
15,H2H 5-0,Jan Siemerink,R32,7-6 6-4,Pete Sampras,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
16,H2H 2-1,Magnus Larsson,R32,7-5 7-6,Rainer Schuettler,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
17,H2H 1-0,Todd Martin,R32,6-4 6-4,Justin Gimelstob,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
18,H2H 1-0,Ivan Ljubicic,R32,6-1 6-3,Richard Krajicek,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
19,H2H 1-0,Arnaud Di Pasquale,R32,6-4 6-1,Andre Agassi,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
20,H2H 1-6,Albert Costa,R32,7-6 7-6,Jiri Novak,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
21,H2H 5-3,Fabrice Santoro,R32,6-0 6-7 6-3,Tommy Haas,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
22,H2H 2-1,Alberto Martin,R32,6-2 6-3,Gustavo Kuerten,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
23,H2H 1-0,John van Lottum,R32,6-2 6-1,Tim Henman,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
24,H2H 1-0,Paul Goldstein,R32,2-6 6-4 7-6,Nicolas Kiefer,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
25,H2H 2-2,Thomas Enqvist,R32,6-1 7-5,Chris Woodruff,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
26,H2H 11-0,Jonas Bjorkman,R32,6-1 6-4,Yevgeny Kafelnikov,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
27,H2H 2-1,Alex Corretja,R32,6-3 6-7 6-2,Michael Chang,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
28,H2H 4-5,Jim Courier,R32,6-7 7-6 2-0 Retired,Cedric Pioline,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
29,H2H 1-0,Jan-Michael Gambill,R32,6-0 7-6,Nicolas Lapentti,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
30,H2H 5-1,Daniel Vacek,R32,7-6 6-3,Patrick Rafter,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
31,H2H 1-1,Jan Kroslak,R64,6-1 6-2,Jan Siemerink,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
32,H2H 2-1,Arnaud Clement,R64,7-6 6-0,Magnus Larsson,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
33,H2H 2-1,Thomas Johansson,R64,6-4 3-4 Retired,Rainer Schuettler,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
34,H2H 2-0,Ramon Delgado,R64,6-4 5-7 6-2,Todd Martin,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
35,H2H 2-1,Jason Stoltenberg,R64,6-2 6-3,Justin Gimelstob,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
36,H2H 1-0,Richey Reneberg,R64,7-6 6-4,Ivan Ljubicic,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
37,H2H 1-0,MaliVai Washington,R64,6-4 6-3,Arnaud Di Pasquale,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
38,H2H 2-0,Axel Pretzsch,R64,6-7 7-5 6-3,Jiri Novak,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
39,H2H 2-1,Andrew Ilie,R64,6-4 3-6 6-2,Albert Costa,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
40,H2H 9-4,Xavier Malisse,R64,7-5 6-2,Tommy Haas,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
41,H2H 2-1,Byron Black,R64,7-6 6-3,Fabrice Santoro,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
42,H2H 1-0,David Prinosil,R64,7-6 6-3,Alberto Martin,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
43,H2H 5-2,Wayne Black,R64,6-3 6-2,John van Lottum,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
44,H2H 1-0,Mark Woodforde,R64,6-3 6-2,Paul Goldstein,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
45,H2H 4-4,Sebastien Grosjean,R64,7-5 6-3,Nicolas Kiefer,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
46,H2H 2-0,Wayne Arthurs,R64,7-5 7-6,Thomas Enqvist,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
47,H2H 1-1,Wayne Ferreira,R64,6-3 6-4,Chris Woodruff,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
48,H2H 2-2,Andrei Pavel,R64,6-4 7-5,Jonas Bjorkman,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
49,H2H 1-2,Marat Safin,R64,6-3 6-4,Michael Chang,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
50,H2H 8-2,Goran Ivanisevic,R64,7-6 6-2,Jim Courier,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
51,H2H 1-2,Carlos Moya,R64,6-4 6-1,Cedric Pioline,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
52,H2H 3-2,Vince Spadea,R64,6-2 6-2,Nicolas Lapentti,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
53,H2H 6-2,Sjeng Schalken,R64,4-6 6-3 6-4,Jan-Michael Gambill,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
54,H2H 1-0,Cecil Mamiit,R64,6-4 6-4,Daniel Vacek,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
55,,T Woodbridge / M Woodforde,F,6-3 7-6,J Bjorkman / B Black,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
56,,A Florent / D Macpherson,SF,6-2 6-2,J Bjorkman / B Black,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
57,,M Knowles / D Nestor,SF,7-5 6-3,T Woodbridge / M Woodforde,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
58,,D Adams / J de Jager,QF,3-6 6-4 6-4,A Florent / D Macpherson,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
59,,W Black / S Stolle,QF,6-3 7-6,J Bjorkman / B Black,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
60,,B Coupe / R Koenig,QF,6-1 2-6 7-6,T Woodbridge / M Woodforde,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
61,,J Palmer / D Prinosil,QF,7-6 2-6 6-3,M Knowles / D Nestor,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
62,,M Bhupathi / L Paes,R16,3-6 6-3 6-1,A Florent / D Macpherson,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
63,,D Johnson / C Suk,R16,6-3 5-7 6-4,D Adams / J de Jager,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
64,,S Lareau / A O'Brien,R16,3-6 6-1 6-4,W Black / S Stolle,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
65,,E Ferreira / R Leach,R16,7-6 7-6,J Bjorkman / B Black,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
66,,G Kuerten / N Lapentti,R16,6-3 6-0,T Woodbridge / M Woodforde,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
67,,O Delaitre / F Santoro,R16,6-3 6-4,B Coupe / R Koenig,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
68,,Y Kafelnikov / D Vacek,R16,1-6 7-6 7-6,J Palmer / D Prinosil,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
69,,A Kitinov / J Waite,R16,6-4 7-6,M Knowles / D Nestor,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
70,,C Moya / M Safin,R32,6-1 6-2,A Florent / D Macpherson,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
71,,N Broad / A Olhovskiy,R32,4-6 6-3 6-4,D Johnson / C Suk,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
72,,W Arthurs / A Kratzmann,R32,7-6 7-5,D Adams / J de Jager,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
73,,P Norval / K Ullyett,R32,6-1 3-6 6-4,S Lareau / A O'Brien,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
74,,R Reneberg / J Stark,R32,6-3 6-2,J Bjorkman / B Black,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
75,,C Haggard / P Nyborg,R32,6-3 6-4,E Ferreira / R Leach,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
76,,J Gambill / C Woodruff,R32,6-4 6-4,T Woodbridge / M Woodforde,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
77,,M Damm / M Mirnyi,R32,6-2 4-6 6-4,G Kuerten / N Lapentti,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
78,,J Novak / D Rikl,R32,6-1 6-3,B Coupe / R Koenig,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
79,,J Gimelstob / J Grabb,R32,6-7 6-4 6-4,Y Kafelnikov / D Vacek,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
80,,P Albano / G Ivanisevic,R32,5-7 7-5 7-5,J Palmer / D Prinosil,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
81,,M Bryan / B Bryan,R32,6-7 6-4 7-5,A Kitinov / J Waite,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
82,H2H 1-0,Alex O'Brien,FQ,6-2 2-6 7-5,Arnaud Clement,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
83,H2H 1-0,Mose Navarra,FQ,6-0 6-3,Mark Woodforde,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
84,H2H 1-0,Michael Joyce,FQ,6-3 6-2,Ramon Delgado,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
85,H2H 2-0,Bernd Karbacher,FQ,6-4 7-5,Axel Pretzsch,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
86,H2H 1-2,Max Mirnyi,FQ,6-3 6-4,Wayne Arthurs,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
87,H2H 2-3,Martin Damm,FQ,6-3 6-2,Wayne Black,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
88,H2H 2-0,Sebastien Lareau,FQ,6-1 7-6,Ivan Ljubicic,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
89,H2H 1-1,Jeff Morrison,SFQ,6-1 6-2,Arnaud Clement,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
90,H2H 3-1,Cristiano Caratti,SFQ,6-0 6-3,Alex O'Brien,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
91,H2H 1-0,Bob Bryan,SFQ,6-4 6-2,Mark Woodforde,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
92,H2H 1-0,Michael Tebbutt,SFQ,6-3 6-1,Mose Navarra,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
93,H2H 1-0,Barry Cowan,SFQ,6-2 2-6 6-1,Ramon Delgado,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
94,H2H 1-1,Todd Woodbridge,SFQ,6-3 4-6 7-6,Michael Joyce,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
95,H2H 1-0,Mike Bryan,SFQ,6-2 6-2,Bernd Karbacher,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
96,H2H 1-0,Wynn Criswell,SFQ,3-6 6-3 6-2,Axel Pretzsch,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
97,H2H 2-0,Michael Hill,SFQ,4-6 6-3 7-6,Wayne Arthurs,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
98,H2H 1-0,Marq Foster,SFQ,6-3 6-2,Max Mirnyi,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
99,H2H 2-0,Mark Knowles,SFQ,4-6 6-1 6-4,Martin Damm,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
100,H2H 4-3,Kevin Ullyett,SFQ,6-0 6-4,Wayne Black,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
101,H2H 1-0,Jared Palmer,SFQ,7-6 6-4,Ivan Ljubicic,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
102,H2H 2-1,Jonathan Stark,SFQ,6-3 6-3,Sebastien Lareau,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
103,,P Goldstein / C Mamiit,FQ,6-4 6-2,B Coupe / R Koenig,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
104,,A Clement / S Grosjean,FQ,6-4 5-7 6-2,A Kitinov / J Waite,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
105,,K Jones / D Kronauge,SFQ,6-3 6-4,B Coupe / R Koenig,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
106,,M Barnard / B Haygarth,SFQ,5-7 6-4 6-0,P Goldstein / C Mamiit,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
107,,T J. Middleton / M Tebbutt,SFQ,6-1 6-4,A Kitinov / J Waite,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
108,,M Hill / S Humphries,SFQ,0-6 6-3 6-2,A Clement / S Grosjean,1999-08-09,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/1999,Cincinnati Masters
