,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
0,H2H 10-1,James Blake,3.0,4.0,5756540.0,120696.0,,5.0,James Blake,48.0,5.0,0.0,66.0,22.0,47.0,24.0,15.0,23.0,11.0,,,,,,2.0,113.0,,,5.00,1.15,F,6-1 6-4,Roger Federer,9.0,2.0,5756540.0,120695.0,,1.15,Roger Federer,65.0,6.0,3.0,47.0,21.0,66.0,40.0,33.0,26.0,11.0,,,,,,1.0,113.0,,,2007-08-13,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/2007,Cincinnati Masters
1,H2H 18-9,Lleyton Hewitt,5.0,6.0,5756538.0,120692.0,,7.0,Lleyton Hewitt,106.0,4.0,2.0,112.0,36.0,113.0,50.0,34.0,63.0,36.0,,,,,,2.0,225.0,,,7.00,1.15,SF,6-3 6-7(7) 7-6(1),Roger Federer,18.0,2.0,5756538.0,120691.0,,1.152,Roger Federer,119.0,11.0,3.0,113.0,43.0,112.0,70.0,50.0,42.0,26.0,,,,,,1.0,225.0,,,2007-08-13,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/2007,Cincinnati Masters
2,H2H 7-1,Nikolay Davydenko,1.0,1.0,5756539.0,120693.0,,2.03,Nikolay Davydenko,53.0,4.0,2.0,61.0,25.0,57.0,45.0,23.0,12.0,5.0,,,,,,1.0,118.0,,,2.03,1.89,SF,6-4 6-2,James Blake,2.0,1.0,5756539.0,120694.0,,1.885,James Blake,65.0,8.0,5.0,57.0,29.0,61.0,36.0,26.0,25.0,10.0,,,,,,2.0,118.0,,,2007-08-13,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/2007,Cincinnati Masters
3,H2H 5-0,Nicolas Almagro,5.0,3.0,5756534.0,120686.0,,15.4,Nicolas Almagro,64.0,2.0,2.0,61.0,15.0,78.0,51.0,35.0,27.0,14.0,,,,,,2.0,139.0,,,15.40,1.05,QF,6-3 3-6 6-2,Roger Federer,9.0,2.0,5756534.0,120685.0,,1.054,Roger Federer,75.0,6.0,4.0,78.0,29.0,61.0,46.0,40.0,15.0,6.0,,,,,,1.0,139.0,,,2007-08-13,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/2007,Cincinnati Masters
4,H2H 6-5,Carlos Moya,6.0,1.0,5756535.0,120687.0,,2.65,Carlos Moya,45.0,2.0,1.0,52.0,16.0,56.0,32.0,24.0,24.0,5.0,,,,,,1.0,108.0,,,2.65,1.57,QF,6-2 6-4,Lleyton Hewitt,5.0,2.0,5756535.0,120688.0,,1.571,Lleyton Hewitt,63.0,7.0,4.0,56.0,27.0,52.0,29.0,23.0,23.0,13.0,,,,,,2.0,108.0,,,2007-08-13,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/2007,Cincinnati Masters
5,H2H 4-2,David Ferrer,1.0,3.0,5756536.0,780639.0,,2.15,David Ferrer,47.0,5.0,1.0,61.0,22.0,51.0,32.0,18.0,19.0,7.0,,,,,,2.0,112.0,,,2.15,1.80,QF,6-2 6-4,Nikolay Davydenko,4.0,3.0,5756536.0,780638.0,,1.8,Nikolay Davydenko,65.0,7.0,4.0,51.0,26.0,61.0,47.0,35.0,14.0,4.0,,,,,,1.0,112.0,,,2007-08-13,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/2007,Cincinnati Masters
6,H2H 6-1,Sam Querrey,14.0,4.0,5756537.0,120690.0,,3.1,Sam Querrey,86.0,3.0,1.0,85.0,21.0,100.0,53.0,42.0,47.0,23.0,,,,,,2.0,185.0,,,3.10,1.44,QF,5-7 6-4 6-4,James Blake,8.0,3.0,5756537.0,120689.0,,1.435,James Blake,99.0,5.0,2.0,100.0,35.0,85.0,50.0,39.0,35.0,25.0,,,,,,1.0,185.0,,,2007-08-13,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/2007,Cincinnati Masters
7,H2H 7-1,Marcos Baghdatis,8.0,9.0,5756526.0,120622.0,,10.0,Marcos Baghdatis,85.0,11.0,2.0,86.0,31.0,86.0,39.0,31.0,47.0,23.0,,,,,,2.0,172.0,,,10.00,1.04,R16,7-6(5) 7-5,Roger Federer,8.0,1.0,5756526.0,120621.0,,1.04,Roger Federer,87.0,5.0,3.0,86.0,32.0,86.0,50.0,33.0,36.0,22.0,,,,,,1.0,172.0,,,2007-08-13,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/2007,Cincinnati Masters
8,H2H 5-1,Jarkko Nieminen,0.0,5.0,5756527.0,120624.0,,1.455,Jarkko Nieminen,42.0,1.0,0.0,50.0,15.0,54.0,34.0,21.0,20.0,6.0,,,,,,2.0,104.0,,,1.46,3.00,R16,6-2 6-2,Nicolas Almagro,8.0,2.0,5756527.0,120623.0,,3.0,Nicolas Almagro,62.0,7.0,4.0,54.0,27.0,50.0,29.0,24.0,21.0,11.0,,,,,,1.0,104.0,,,2007-08-13,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/2007,Cincinnati Masters
9,H2H 1-1,Juan Martin Del Potro,10.0,6.0,5756528.0,120626.0,,2.65,Juan Martin Del Potro,93.0,3.0,2.0,87.0,26.0,101.0,57.0,42.0,44.0,25.0,,,,,,2.0,188.0,,,2.65,1.57,R16,7-5 3-6 7-5,Carlos Moya,17.0,5.0,5756528.0,120625.0,,1.571,Carlos Moya,95.0,7.0,3.0,101.0,34.0,87.0,55.0,45.0,32.0,16.0,,,,,,1.0,188.0,,,2007-08-13,https://matchstat.com/tennis/tournaments/m/Cincinnati%20Masters/2007,Cincinnati Masters
