,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 5-1,Victor Amaya,F,6-2 6-1,Gene Mayer,1980-08-11,https://matchstat.com/tennis/tournaments/m/Cleveland/1980,Cleveland
1,H2H 1-3,G. Vilas,SF,6-4 7-6,Victor Amaya,1980-08-11,https://matchstat.com/tennis/tournaments/m/Cleveland/1980,Cleveland
2,H2H 2-1,Christopher Mottram,SF,6-4 6-2,Gene Mayer,1980-08-11,https://matchstat.com/tennis/tournaments/m/Cleveland/1980,Cleveland
3,H2H 3-0,Nick Saviano,QF,6-4 6-2,G. Vilas,1980-08-11,https://matchstat.com/tennis/tournaments/m/Cleveland/1980,Cleveland
4,H2H 3-1,Gianni Ocleppo,QF,6-3 6-3,Victor Amaya,1980-08-11,https://matchstat.com/tennis/tournaments/m/Cleveland/1980,Cleveland
5,H2H 3-0,Christophe Roger-Vasselin,QF,6-3 3-6 6-0,Christopher Mottram,1980-08-11,https://matchstat.com/tennis/tournaments/m/Cleveland/1980,Cleveland
6,H2H 1-0,Bruce Foxworth,QF,6-3 6-1,Gene Mayer,1980-08-11,https://matchstat.com/tennis/tournaments/m/Cleveland/1980,Cleveland
7,H2H 5-0,Steve Krulevitz,R16,6-2 6-0,G. Vilas,1980-08-11,https://matchstat.com/tennis/tournaments/m/Cleveland/1980,Cleveland
8,H2H 1-0,John Whitlinger,R16,6-3 6-1,Nick Saviano,1980-08-11,https://matchstat.com/tennis/tournaments/m/Cleveland/1980,Cleveland
9,H2H 2-0,David Carter,R16,7-5 2-6 6-3,Victor Amaya,1980-08-11,https://matchstat.com/tennis/tournaments/m/Cleveland/1980,Cleveland
10,H2H 1-1,Marko Ostoja,R16,6-3 6-3,Gianni Ocleppo,1980-08-11,https://matchstat.com/tennis/tournaments/m/Cleveland/1980,Cleveland
11,H2H 1-0,Fernando Maynetto,R16,6-1 7-6,Christophe Roger-Vasselin,1980-08-11,https://matchstat.com/tennis/tournaments/m/Cleveland/1980,Cleveland
12,H2H 3-0,Onny Parun,R16,6-3 3-6 6-3,Christopher Mottram,1980-08-11,https://matchstat.com/tennis/tournaments/m/Cleveland/1980,Cleveland
