,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 3-0,Shlomo Glickstein,F,2-6 6-2 6-3,Kevin Curren,1982-10-25,https://matchstat.com/tennis/tournaments/m/Cologne/1982,Cologne
1,H2H 2-0,Jan Gunnarsson,SF,6-7 7-6 6-4,Shlomo Glickstein,1982-10-25,https://matchstat.com/tennis/tournaments/m/Cologne/1982,Cologne
2,H2H 3-2,Mark Dickson,SF,6-2 6-4,Kevin Curren,1982-10-25,https://matchstat.com/tennis/tournaments/m/Cologne/1982,Cologne
3,H2H 1-0,Freddie Sauer,QF,6-3 6-4,Jan Gunnarsson,1982-10-25,https://matchstat.com/tennis/tournaments/m/Cologne/1982,Cologne
4,H2H 1-0,Nick Saviano,QF,6-4 6-4,Shlomo Glickstein,1982-10-25,https://matchstat.com/tennis/tournaments/m/Cologne/1982,Cologne
5,H2H 3-1,Russell Simpson,QF,6-4 6-1,Kevin Curren,1982-10-25,https://matchstat.com/tennis/tournaments/m/Cologne/1982,Cologne
6,H2H 2-1,Tomas Smid,QF,4-6 7-6 7-5,Mark Dickson,1982-10-25,https://matchstat.com/tennis/tournaments/m/Cologne/1982,Cologne
7,H2H 1-1,Sandy Mayer,R16,WO,Jan Gunnarsson,1982-10-25,https://matchstat.com/tennis/tournaments/m/Cologne/1982,Cologne
8,H2H 1-0,Pavel Slozil,R16,7-5 6-7 6-4,Freddie Sauer,1982-10-25,https://matchstat.com/tennis/tournaments/m/Cologne/1982,Cologne
9,H2H 4-0,Jonathan Smith,R16,6-2 6-0,Shlomo Glickstein,1982-10-25,https://matchstat.com/tennis/tournaments/m/Cologne/1982,Cologne
10,H2H 1-1,Fritz Buehning,R16,6-2 5-7 6-3,Nick Saviano,1982-10-25,https://matchstat.com/tennis/tournaments/m/Cologne/1982,Cologne
11,H2H 1-0,Karl Meiler,R16,6-4 1-6 6-2,Russell Simpson,1982-10-25,https://matchstat.com/tennis/tournaments/m/Cologne/1982,Cologne
12,H2H 1-0,Carlos Kirmayr,R16,6-4 6-3,Kevin Curren,1982-10-25,https://matchstat.com/tennis/tournaments/m/Cologne/1982,Cologne
13,H2H 2-0,John Lloyd,R16,6-3 6-4,Mark Dickson,1982-10-25,https://matchstat.com/tennis/tournaments/m/Cologne/1982,Cologne
14,H2H 4-0,Stanislav Birner,R16,3-6 6-3 7-5,Tomas Smid,1982-10-25,https://matchstat.com/tennis/tournaments/m/Cologne/1982,Cologne
