,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 1-0,Terry Rocavert,F,6-4 6-3,B. Lutz,1980-08-04,https://matchstat.com/tennis/tournaments/m/Columbus/1980,Columbus
1,H2H 1-0,Tom Cain,SF,6-2 6-2,Terry Rocavert,1980-08-04,https://matchstat.com/tennis/tournaments/m/Columbus/1980,Columbus
2,H2H 3-10,Brian Gottfried,SF,6-4 7-5,B. Lutz,1980-08-04,https://matchstat.com/tennis/tournaments/m/Columbus/1980,Columbus
3,H2H 1-0,Sandy Mayer,QF,6-4 7-5,Tom Cain,1980-08-04,https://matchstat.com/tennis/tournaments/m/Columbus/1980,Columbus
4,H2H 1-1,Francisco Gonzalez,QF,6-3 2-6 6-3,Terry Rocavert,1980-08-04,https://matchstat.com/tennis/tournaments/m/Columbus/1980,Columbus
5,H2H 3-2,Brian Teacher,QF,7-6 6-1,B. Lutz,1980-08-04,https://matchstat.com/tennis/tournaments/m/Columbus/1980,Columbus
6,H2H 8-0,Trey Waltke,QF,7-6 6-3,Brian Gottfried,1980-08-04,https://matchstat.com/tennis/tournaments/m/Columbus/1980,Columbus
7,H2H 2-2,Peter Fleming,R16,7-6 6-1,Sandy Mayer,1980-08-04,https://matchstat.com/tennis/tournaments/m/Columbus/1980,Columbus
8,H2H 1-0,Steve Docherty,R16,6-4 2-6 7-6,Tom Cain,1980-08-04,https://matchstat.com/tennis/tournaments/m/Columbus/1980,Columbus
9,H2H 1-3,Bill Scanlon,R16,6-3 4-6 6-2,Francisco Gonzalez,1980-08-04,https://matchstat.com/tennis/tournaments/m/Columbus/1980,Columbus
10,H2H 1-0,I. Nastase,R16,0-6 6-3 6-3,Terry Rocavert,1980-08-04,https://matchstat.com/tennis/tournaments/m/Columbus/1980,Columbus
11,H2H 2-0,Ray Moore,R16,6-1 6-1,B. Lutz,1980-08-04,https://matchstat.com/tennis/tournaments/m/Columbus/1980,Columbus
12,H2H 1-0,Jim Delaney,R16,6-3 6-1,Brian Teacher,1980-08-04,https://matchstat.com/tennis/tournaments/m/Columbus/1980,Columbus
13,H2H 1-0,Russell Simpson,R16,7-5 6-2,Trey Waltke,1980-08-04,https://matchstat.com/tennis/tournaments/m/Columbus/1980,Columbus
14,H2H 1-0,Gene Malin,R16,6-1 6-2,Brian Gottfried,1980-08-04,https://matchstat.com/tennis/tournaments/m/Columbus/1980,Columbus
15,H2H 1-0,Brad Drewett,R32,6-1 6-3,Peter Fleming,1980-08-04,https://matchstat.com/tennis/tournaments/m/Columbus/1980,Columbus
16,H2H 1-0,John Feaver,R32,6-1 6-3,Sandy Mayer,1980-08-04,https://matchstat.com/tennis/tournaments/m/Columbus/1980,Columbus
17,H2H 1-0,Deon Joubert,R32,6-1 6-2,Tom Cain,1980-08-04,https://matchstat.com/tennis/tournaments/m/Columbus/1980,Columbus
18,H2H 1-0,Tim Gullikson,R32,7-6 6-0,Steve Docherty,1980-08-04,https://matchstat.com/tennis/tournaments/m/Columbus/1980,Columbus
