,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 4-1,David Prinosil,F,3-6 6-1 6-1,Magnus Gustafsson,1998-03-09,https://matchstat.com/tennis/tournaments/m/Copenhagen/1998,Copenhagen
1,H2H 2-5,Jan Siemerink,SF,6-3 7-6,David Prinosil,1998-03-09,https://matchstat.com/tennis/tournaments/m/Copenhagen/1998,Copenhagen
2,H2H 5-1,Kenneth Carlsen,SF,6-4 5-7 6-2,Magnus Gustafsson,1998-03-09,https://matchstat.com/tennis/tournaments/m/Copenhagen/1998,Copenhagen
3,H2H 4-1,Olivier Delaitre,QF,6-3 6-3,David Prinosil,1998-03-09,https://matchstat.com/tennis/tournaments/m/Copenhagen/1998,Copenhagen
4,H2H 3-1,Brett Steven,QF,6-3 6-3,Jan Siemerink,1998-03-09,https://matchstat.com/tennis/tournaments/m/Copenhagen/1998,Copenhagen
5,H2H 6-1,Gianluca Pozzi,QF,6-3 3-6 6-1,Kenneth Carlsen,1998-03-09,https://matchstat.com/tennis/tournaments/m/Copenhagen/1998,Copenhagen
6,H2H 4-0,Andrei Pavel,QF,6-3 4-6 6-3,Magnus Gustafsson,1998-03-09,https://matchstat.com/tennis/tournaments/m/Copenhagen/1998,Copenhagen
7,H2H 4-1,Thomas Johansson,R16,3-6 6-4 6-4,David Prinosil,1998-03-09,https://matchstat.com/tennis/tournaments/m/Copenhagen/1998,Copenhagen
8,H2H 1-0,Martin Sinner,R16,0-6 6-0 6-2,Olivier Delaitre,1998-03-09,https://matchstat.com/tennis/tournaments/m/Copenhagen/1998,Copenhagen
9,H2H 2-1,Diego Nargiso,R16,6-4 4-6 6-3,Jan Siemerink,1998-03-09,https://matchstat.com/tennis/tournaments/m/Copenhagen/1998,Copenhagen
10,H2H 2-0,Davide Sanguinetti,R16,6-3 6-1,Brett Steven,1998-03-09,https://matchstat.com/tennis/tournaments/m/Copenhagen/1998,Copenhagen
11,H2H 2-0,Filip De Wulf,R16,6-4 7-6,Kenneth Carlsen,1998-03-09,https://matchstat.com/tennis/tournaments/m/Copenhagen/1998,Copenhagen
12,H2H 1-1,Hicham Arazi,R16,7-5 6-2,Gianluca Pozzi,1998-03-09,https://matchstat.com/tennis/tournaments/m/Copenhagen/1998,Copenhagen
13,H2H 3-0,Tuomas Ketola,R16,6-7 6-2 6-1,Andrei Pavel,1998-03-09,https://matchstat.com/tennis/tournaments/m/Copenhagen/1998,Copenhagen
14,H2H 2-0,Renzo Furlan,R16,6-2 6-2,Magnus Gustafsson,1998-03-09,https://matchstat.com/tennis/tournaments/m/Copenhagen/1998,Copenhagen
15,H2H 1-1,Dennis van Scheppingen,R32,6-2 6-2,Thomas Johansson,1998-03-09,https://matchstat.com/tennis/tournaments/m/Copenhagen/1998,Copenhagen
16,H2H 4-0,Christian Vinck,R32,7-5 6-3,David Prinosil,1998-03-09,https://matchstat.com/tennis/tournaments/m/Copenhagen/1998,Copenhagen
17,H2H 3-0,Frederik Fetterlein,R32,7-6 4-6 6-3,Olivier Delaitre,1998-03-09,https://matchstat.com/tennis/tournaments/m/Copenhagen/1998,Copenhagen
18,H2H 1-2,Martin Damm,R32,4-6 7-6 6-4,Martin Sinner,1998-03-09,https://matchstat.com/tennis/tournaments/m/Copenhagen/1998,Copenhagen
19,H2H 2-3,Arnaud Clement,R32,6-1 6-3,Jan Siemerink,1998-03-09,https://matchstat.com/tennis/tournaments/m/Copenhagen/1998,Copenhagen
20,H2H 1-2,Mikael Tillstrom,R32,7-5 6-4,Diego Nargiso,1998-03-09,https://matchstat.com/tennis/tournaments/m/Copenhagen/1998,Copenhagen
21,H2H 3-0,Johan Van Herck,R32,7-6 7-5,Davide Sanguinetti,1998-03-09,https://matchstat.com/tennis/tournaments/m/Copenhagen/1998,Copenhagen
22,H2H 2-1,Jens Knippschild,R32,6-4 6-0,Brett Steven,1998-03-09,https://matchstat.com/tennis/tournaments/m/Copenhagen/1998,Copenhagen
23,H2H 3-0,Nicklas Kulti,R32,6-4 6-4,Filip De Wulf,1998-03-09,https://matchstat.com/tennis/tournaments/m/Copenhagen/1998,Copenhagen
24,H2H 1-0,Jacobo Diaz-Ruiz,R32,6-1 6-1,Kenneth Carlsen,1998-03-09,https://matchstat.com/tennis/tournaments/m/Copenhagen/1998,Copenhagen
25,H2H 1-3,Arnaud Boetsch,R32,6-4 6-3,Gianluca Pozzi,1998-03-09,https://matchstat.com/tennis/tournaments/m/Copenhagen/1998,Copenhagen
26,H2H 2-0,Radomir Vasek,R32,6-3 6-3,Hicham Arazi,1998-03-09,https://matchstat.com/tennis/tournaments/m/Copenhagen/1998,Copenhagen
27,H2H 1-0,Marc-Kevin Goellner,R32,3-6 6-3 7-6,Andrei Pavel,1998-03-09,https://matchstat.com/tennis/tournaments/m/Copenhagen/1998,Copenhagen
28,H2H 2-1,Rainer Schuettler,R32,7-5 2-6 6-3,Tuomas Ketola,1998-03-09,https://matchstat.com/tennis/tournaments/m/Copenhagen/1998,Copenhagen
29,H2H 1-0,Jonathan Printzlau,R32,6-3 3-6 6-3,Renzo Furlan,1998-03-09,https://matchstat.com/tennis/tournaments/m/Copenhagen/1998,Copenhagen
30,H2H 1-0,Jan Kroslak,R32,6-1 7-6,Magnus Gustafsson,1998-03-09,https://matchstat.com/tennis/tournaments/m/Copenhagen/1998,Copenhagen
31,,J Siemerink / B Steven,F,6-4 7-6,T Kempers / M Oosting,1998-03-09,https://matchstat.com/tennis/tournaments/m/Copenhagen/1998,Copenhagen
32,,W Arthurs / P Kilderry,SF,6-4 6-1,T Kempers / M Oosting,1998-03-09,https://matchstat.com/tennis/tournaments/m/Copenhagen/1998,Copenhagen
33,,N Kulti / M Tillstrom,SF,6-3 7-6,J Siemerink / B Steven,1998-03-09,https://matchstat.com/tennis/tournaments/m/Copenhagen/1998,Copenhagen
34,,K Carlsen / F Fetterlein,QF,7-6 7-6,W Arthurs / P Kilderry,1998-03-09,https://matchstat.com/tennis/tournaments/m/Copenhagen/1998,Copenhagen
35,,J Knippschild / D Prinosil,QF,7-6 6-1,T Kempers / M Oosting,1998-03-09,https://matchstat.com/tennis/tournaments/m/Copenhagen/1998,Copenhagen
36,,T Ketola / T Larkham,QF,7-5 4-6 6-3,J Siemerink / B Steven,1998-03-09,https://matchstat.com/tennis/tournaments/m/Copenhagen/1998,Copenhagen
37,,M Gustafsson / T Johansson,QF,7-6 6-2,N Kulti / M Tillstrom,1998-03-09,https://matchstat.com/tennis/tournaments/m/Copenhagen/1998,Copenhagen
38,,A Kitinov / P Vizner,R16,6-3 3-6 6-3,W Arthurs / P Kilderry,1998-03-09,https://matchstat.com/tennis/tournaments/m/Copenhagen/1998,Copenhagen
39,,G Van Emburgh / T Zdrazila,R16,7-5 7-6,K Carlsen / F Fetterlein,1998-03-09,https://matchstat.com/tennis/tournaments/m/Copenhagen/1998,Copenhagen
40,,T Nijssen / L Pimek,R16,6-7 7-6 6-4,T Kempers / M Oosting,1998-03-09,https://matchstat.com/tennis/tournaments/m/Copenhagen/1998,Copenhagen
41,,B Coupe / P Rosner,R16,4-6 6-3 6-4,J Knippschild / D Prinosil,1998-03-09,https://matchstat.com/tennis/tournaments/m/Copenhagen/1998,Copenhagen
42,,M Barnard / B Haygarth,R16,7-6 7-6,T Ketola / T Larkham,1998-03-09,https://matchstat.com/tennis/tournaments/m/Copenhagen/1998,Copenhagen
43,,A Kratzmann / A Olhovskiy,R16,5-7 6-3 6-3,J Siemerink / B Steven,1998-03-09,https://matchstat.com/tennis/tournaments/m/Copenhagen/1998,Copenhagen
44,,C Brandi / F Messori,R16,6-2 6-3,M Gustafsson / T Johansson,1998-03-09,https://matchstat.com/tennis/tournaments/m/Copenhagen/1998,Copenhagen
45,,J Printzlau / J Tribler,R16,6-4 6-1,N Kulti / M Tillstrom,1998-03-09,https://matchstat.com/tennis/tournaments/m/Copenhagen/1998,Copenhagen
46,H2H 2-0,Kalle Flygt,FQ,4-6 7-6 7-6,Tuomas Ketola,1998-03-09,https://matchstat.com/tennis/tournaments/m/Copenhagen/1998,Copenhagen
47,H2H 1-0,Davide Scala,FQ,6-4 6-2,Dennis van Scheppingen,1998-03-09,https://matchstat.com/tennis/tournaments/m/Copenhagen/1998,Copenhagen
48,H2H 1-0,Todd Larkham,FQ,1-6 7-6 6-4,Olivier Delaitre,1998-03-09,https://matchstat.com/tennis/tournaments/m/Copenhagen/1998,Copenhagen
