,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 6-2,David Wheaton,F,6-3 6-4,Todd Martin,1993-05-10,https://matchstat.com/tennis/tournaments/m/Coral%20Springs/1993,Coral Springs
1,H2H 1-0,Wally Masur,SF,6-4 7-6,Todd Martin,1993-05-10,https://matchstat.com/tennis/tournaments/m/Coral%20Springs/1993,Coral Springs
2,H2H 3-1,Aaron Krickstein,SF,6-2 4-6 6-4,David Wheaton,1993-05-10,https://matchstat.com/tennis/tournaments/m/Coral%20Springs/1993,Coral Springs
3,H2H 4-1,Patrick McEnroe,QF,6-3 6-2,Wally Masur,1993-05-10,https://matchstat.com/tennis/tournaments/m/Coral%20Springs/1993,Coral Springs
4,H2H 8-2,Bryan Shelton,QF,6-3 6-4,Todd Martin,1993-05-10,https://matchstat.com/tennis/tournaments/m/Coral%20Springs/1993,Coral Springs
5,H2H 4-0,Mikael Pernfors,QF,2-6 6-1 6-2,Aaron Krickstein,1993-05-10,https://matchstat.com/tennis/tournaments/m/Coral%20Springs/1993,Coral Springs
6,H2H 8-0,Alex O'Brien,QF,4-6 6-4 6-0,David Wheaton,1993-05-10,https://matchstat.com/tennis/tournaments/m/Coral%20Springs/1993,Coral Springs
7,H2H 1-0,Gilbert Schaller,R16,6-4 4-6 6-3,Wally Masur,1993-05-10,https://matchstat.com/tennis/tournaments/m/Coral%20Springs/1993,Coral Springs
8,H2H 5-1,Jeff Tarango,R16,6-1 6-4,Patrick McEnroe,1993-05-10,https://matchstat.com/tennis/tournaments/m/Coral%20Springs/1993,Coral Springs
9,H2H 1-0,Tomas Carbonell,R16,6-2 6-1,Todd Martin,1993-05-10,https://matchstat.com/tennis/tournaments/m/Coral%20Springs/1993,Coral Springs
10,H2H 2-4,Luis-Enrique Herrera,R16,7-5 6-1,Bryan Shelton,1993-05-10,https://matchstat.com/tennis/tournaments/m/Coral%20Springs/1993,Coral Springs
11,H2H 2-0,Jonathan Stark,R16,6-2 6-4,Aaron Krickstein,1993-05-10,https://matchstat.com/tennis/tournaments/m/Coral%20Springs/1993,Coral Springs
12,H2H 3-0,Richey Reneberg,R16,6-4 6-2,Mikael Pernfors,1993-05-10,https://matchstat.com/tennis/tournaments/m/Coral%20Springs/1993,Coral Springs
13,H2H 1-0,Johan Carlsson,R16,7-6 7-5,Alex O'Brien,1993-05-10,https://matchstat.com/tennis/tournaments/m/Coral%20Springs/1993,Coral Springs
14,H2H 5-1,Todd Woodbridge,R16,2-6 6-4 6-0,David Wheaton,1993-05-10,https://matchstat.com/tennis/tournaments/m/Coral%20Springs/1993,Coral Springs
