,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
0,H2H 2-2,Carlos Moya,6.0,2.0,5785918.0,123285.0,,2.4,Carlos Moya,105.0,8.0,4.0,108.0,37.0,109.0,70.0,48.0,39.0,20.0,,,,,,1.0,217.0,,,2.40,1.55,F,7-6(4) 3-6 7-5,Nicolas Almagro,3.0,0.0,5785918.0,123286.0,,1.55,Nicolas Almagro,112.0,12.0,3.0,109.0,41.0,108.0,84.0,56.0,24.0,15.0,,,,,,2.0,217.0,,,2008-02-11,https://matchstat.com/tennis/tournaments/m/Costa%20do%20Sauipe/2008,Costa do Sauipe
1,H2H 2-4,Nicolas Lapentti,0.0,3.0,5785916.0,124092.0,,3.3,Nicolas Lapentti,84.0,2.0,2.0,82.0,23.0,98.0,64.0,43.0,34.0,18.0,,,,,,2.0,180.0,,,3.30,1.30,SF,6-2 3-6 7-6(5),Carlos Moya,5.0,1.0,5785916.0,124091.0,,1.3,Carlos Moya,96.0,12.0,3.0,98.0,37.0,82.0,54.0,41.0,28.0,18.0,,,,,,1.0,180.0,,,2008-02-11,https://matchstat.com/tennis/tournaments/m/Costa%20do%20Sauipe/2008,Costa do Sauipe
2,H2H 4-2,Fabio Fognini,1.0,6.0,5785917.0,124093.0,,4.35,Fabio Fognini,25.0,3.0,0.0,41.0,9.0,43.0,24.0,15.0,19.0,1.0,,,,,,1.0,84.0,,,4.35,1.27,SF,6-1 6-1,Nicolas Almagro,5.0,1.0,5785917.0,124094.0,,1.274,Nicolas Almagro,59.0,7.0,5.0,43.0,27.0,41.0,20.0,17.0,21.0,15.0,,,,,,2.0,84.0,,,2008-02-11,https://matchstat.com/tennis/tournaments/m/Costa%20do%20Sauipe/2008,Costa do Sauipe
3,H2H 1-0,Oscar Hernandez Perez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QF,6-3 3-6 7-5,Carlos Moya,,,,,,,,,,,,,,,,,,,,,,,,,,,2008-02-11,https://matchstat.com/tennis/tournaments/m/Costa%20do%20Sauipe/2008,Costa do Sauipe
4,H2H 3-0,Eduardo Schwank,4.0,4.0,5785913.0,124089.0,,2.1,Eduardo Schwank,102.0,8.0,4.0,98.0,38.0,103.0,71.0,47.0,32.0,17.0,,,,,,1.0,201.0,,,2.10,1.70,QF,1-6 6-4 7-6(4),Nicolas Lapentti,2.0,3.0,5785913.0,124090.0,,1.7,Nicolas Lapentti,99.0,9.0,2.0,103.0,39.0,98.0,66.0,47.0,32.0,13.0,,,,,,2.0,201.0,,,2008-02-11,https://matchstat.com/tennis/tournaments/m/Costa%20do%20Sauipe/2008,Costa do Sauipe
5,H2H 2-0,Ivo Minar,7.0,1.0,5785914.0,124086.0,,2.3,Ivo Minar,82.0,2.0,0.0,93.0,26.0,88.0,49.0,37.0,39.0,19.0,,,,,,2.0,181.0,,,2.30,1.71,QF,6-7(2) 6-2 6-3,Fabio Fognini,8.0,2.0,5785914.0,124085.0,,1.714,Fabio Fognini,99.0,8.0,3.0,88.0,32.0,93.0,50.0,45.0,43.0,22.0,,,,,,1.0,181.0,,,2008-02-11,https://matchstat.com/tennis/tournaments/m/Costa%20do%20Sauipe/2008,Costa do Sauipe
6,H2H 8-3,Filippo Volandri,1.0,1.0,5785915.0,124087.0,,2.4,Filippo Volandri,78.0,8.0,4.0,82.0,33.0,83.0,70.0,40.0,13.0,5.0,,,,,,1.0,165.0,,,2.40,1.67,QF,7-5 2-6 6-1,Nicolas Almagro,5.0,3.0,5785915.0,124088.0,,1.667,Nicolas Almagro,87.0,9.0,5.0,83.0,38.0,82.0,45.0,33.0,37.0,16.0,,,,,,2.0,165.0,,,2008-02-11,https://matchstat.com/tennis/tournaments/m/Costa%20do%20Sauipe/2008,Costa do Sauipe
7,H2H 2-0,Olivier Patience,3.0,2.0,5785904.0,123234.0,,5.0,Olivier Patience,65.0,2.0,1.0,72.0,22.0,81.0,54.0,33.0,27.0,10.0,,,,,,2.0,153.0,,,5.00,1.15,R16,5-7 6-1 6-0,Carlos Moya,10.0,2.0,5785904.0,123233.0,,1.15,Carlos Moya,88.0,11.0,6.0,81.0,38.0,72.0,43.0,37.0,29.0,13.0,,,,,,1.0,153.0,,,2008-02-11,https://matchstat.com/tennis/tournaments/m/Costa%20do%20Sauipe/2008,Costa do Sauipe
8,H2H 2-2,Sergio Roitman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R16,6-3 2-6 6-4,Oscar Hernandez Perez,,,,,,,,,,,,,,,,,,,,,,,,,,,2008-02-11,https://matchstat.com/tennis/tournaments/m/Costa%20do%20Sauipe/2008,Costa do Sauipe
9,H2H 1-0,Peter Luczak,3.0,5.0,5785906.0,123260.0,,2.0,Peter Luczak,46.0,5.0,2.0,54.0,20.0,58.0,28.0,16.0,30.0,10.0,,,,,,2.0,112.0,,,2.00,1.91,R16,6-2 6-2,Eduardo Schwank,5.0,2.0,5785906.0,123259.0,,1.909,Eduardo Schwank,66.0,8.0,6.0,58.0,32.0,54.0,41.0,26.0,13.0,8.0,,,,,,1.0,112.0,,,2008-02-11,https://matchstat.com/tennis/tournaments/m/Costa%20do%20Sauipe/2008,Costa do Sauipe
