,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 1-0,M. Riessen,F,6-3 6-4,Butch Walts,1979-03-26,https://matchstat.com/tennis/tournaments/m/Dayton/1979,Dayton
1,H2H 1-1,Tom Gorman,SF,6-3 6-0,Butch Walts,1979-03-26,https://matchstat.com/tennis/tournaments/m/Dayton/1979,Dayton
2,H2H 2-2,Tim Gullikson,SF,6-3 7-5,M. Riessen,1979-03-26,https://matchstat.com/tennis/tournaments/m/Dayton/1979,Dayton
3,H2H 1-1,Kim Warwick,QF,6-3 6-3,Tom Gorman,1979-03-26,https://matchstat.com/tennis/tournaments/m/Dayton/1979,Dayton
4,H2H 3-2,Eliot Teltscher,QF,7-6 3-6 6-1,Butch Walts,1979-03-26,https://matchstat.com/tennis/tournaments/m/Dayton/1979,Dayton
5,H2H 2-1,Victor Amaya,QF,7-6 7-6,M. Riessen,1979-03-26,https://matchstat.com/tennis/tournaments/m/Dayton/1979,Dayton
6,H2H 4-2,Sherwood Stewart,QF,6-4 6-4,Tim Gullikson,1979-03-26,https://matchstat.com/tennis/tournaments/m/Dayton/1979,Dayton
7,H2H 2-4,Harold Solomon,R16,6-3 6-4,Tom Gorman,1979-03-26,https://matchstat.com/tennis/tournaments/m/Dayton/1979,Dayton
8,H2H 1-0,Tom Gullikson,R16,7-6 4-6 7-5,Kim Warwick,1979-03-26,https://matchstat.com/tennis/tournaments/m/Dayton/1979,Dayton
9,H2H 4-1,Bruce Manson,R16,6-2 3-6 6-1,Butch Walts,1979-03-26,https://matchstat.com/tennis/tournaments/m/Dayton/1979,Dayton
10,H2H 3-0,Alvin Gardiner,R16,6-3 6-1,Eliot Teltscher,1979-03-26,https://matchstat.com/tennis/tournaments/m/Dayton/1979,Dayton
11,H2H 2-0,Tim Wilkison,R16,7-6 6-3,M. Riessen,1979-03-26,https://matchstat.com/tennis/tournaments/m/Dayton/1979,Dayton
12,H2H 1-3,J. Fillol,R16,6-4 4-6 7-6,Victor Amaya,1979-03-26,https://matchstat.com/tennis/tournaments/m/Dayton/1979,Dayton
13,H2H 2-1,Hank Pfister,R16,7-6 6-4,Sherwood Stewart,1979-03-26,https://matchstat.com/tennis/tournaments/m/Dayton/1979,Dayton
14,H2H 4-3,Bill Scanlon,R16,6-2 6-2,Tim Gullikson,1979-03-26,https://matchstat.com/tennis/tournaments/m/Dayton/1979,Dayton
15,H2H 2-0,Mike Cahill,R32,6-4 6-2,Harold Solomon,1979-03-26,https://matchstat.com/tennis/tournaments/m/Dayton/1979,Dayton
16,H2H 1-0,Tenny Svensson,R32,6-3 6-4,Tom Gorman,1979-03-26,https://matchstat.com/tennis/tournaments/m/Dayton/1979,Dayton
17,H2H 1-0,Howard Schoenfield,R32,6-2 6-1,Tom Gullikson,1979-03-26,https://matchstat.com/tennis/tournaments/m/Dayton/1979,Dayton
18,H2H 1-0,Francisco Gonzalez,R32,6-4 7-6,Kim Warwick,1979-03-26,https://matchstat.com/tennis/tournaments/m/Dayton/1979,Dayton
19,H2H 1-2,Dick Stockton,R32,7-6 6-4,Butch Walts,1979-03-26,https://matchstat.com/tennis/tournaments/m/Dayton/1979,Dayton
20,H2H 1-0,John Marks,R32,6-1 6-2,Bruce Manson,1979-03-26,https://matchstat.com/tennis/tournaments/m/Dayton/1979,Dayton
21,H2H 2-0,Nick Saviano,R32,3-6 6-4 3-1 Retired,Alvin Gardiner,1979-03-26,https://matchstat.com/tennis/tournaments/m/Dayton/1979,Dayton
22,H2H 4-1,Mark Edmondson,R32,7-6 6-1,Eliot Teltscher,1979-03-26,https://matchstat.com/tennis/tournaments/m/Dayton/1979,Dayton
23,H2H 1-0,Syd Ball,R32,6-3 6-3,Tim Wilkison,1979-03-26,https://matchstat.com/tennis/tournaments/m/Dayton/1979,Dayton
24,H2H 1-0,Bengtson,R32,7-6 4-6 6-2,M. Riessen,1979-03-26,https://matchstat.com/tennis/tournaments/m/Dayton/1979,Dayton
25,H2H 2-0,Cliff Drysdale,R32,6-3 6-4,J. Fillol,1979-03-26,https://matchstat.com/tennis/tournaments/m/Dayton/1979,Dayton
26,H2H 2-1,Terry Moor,R32,6-1 7-6,Victor Amaya,1979-03-26,https://matchstat.com/tennis/tournaments/m/Dayton/1979,Dayton
27,H2H 3-2,John Sadri,R32,6-3 6-4,Hank Pfister,1979-03-26,https://matchstat.com/tennis/tournaments/m/Dayton/1979,Dayton
28,H2H 2-3,P. Dent,R32,4-6 6-4 6-1,Sherwood Stewart,1979-03-26,https://matchstat.com/tennis/tournaments/m/Dayton/1979,Dayton
29,H2H 4-0,R. Ruffels,R32,6-3 6-3,Bill Scanlon,1979-03-26,https://matchstat.com/tennis/tournaments/m/Dayton/1979,Dayton
30,H2H 3-0,Ross Case,R32,6-2 4-6 6-4,Tim Gullikson,1979-03-26,https://matchstat.com/tennis/tournaments/m/Dayton/1979,Dayton
31,,R Case / P Dent,F,3-6 6-3 7-6,C Drysdale / B Manson,1979-03-26,https://matchstat.com/tennis/tournaments/m/Dayton/1979,Dayton
32,,M Riessen / S Stewart,SF,3-6 6-4 7-6,R Case / P Dent,1979-03-26,https://matchstat.com/tennis/tournaments/m/Dayton/1979,Dayton
33,,T Gullikson / T Gullikson,SF,7-6 7-6,C Drysdale / B Manson,1979-03-26,https://matchstat.com/tennis/tournaments/m/Dayton/1979,Dayton
34,,M Cahill / T Moor,QF,6-4 7-6,M Riessen / S Stewart,1979-03-26,https://matchstat.com/tennis/tournaments/m/Dayton/1979,Dayton
35,,V Amaya / E Van Dillen,QF,2-6 6-4 7-6,R Case / P Dent,1979-03-26,https://matchstat.com/tennis/tournaments/m/Dayton/1979,Dayton
36,,F Gonzalez / E Teltscher,QF,6-7 7-6 7-5,T Gullikson / T Gullikson,1979-03-26,https://matchstat.com/tennis/tournaments/m/Dayton/1979,Dayton
37,,B Bengtson / R Fisher,QF,7-6 7-6,C Drysdale / B Manson,1979-03-26,https://matchstat.com/tennis/tournaments/m/Dayton/1979,Dayton
