,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
0,H2H 3-0,Ivo Karlovic,14.0,5.0,5922015.0,141586.0,,1.769,Ivo Karlovic,50.0,2.0,0.0,48.0,14.0,69.0,43.0,29.0,26.0,7.0,,,,,,2.0,117.0,,,1.77,2.20,F,6-2 6-3,Ernests Gulbis,6.0,2.0,5922015.0,141585.0,,2.2,Ernests Gulbis,67.0,9.0,4.0,69.0,33.0,48.0,29.0,23.0,19.0,11.0,,,,,,1.0,117.0,,,2010-02-22,https://matchstat.com/tennis/tournaments/m/Delray%20Beach/2010,Delray Beach
1,H2H 5-0,Jarkko Nieminen,3.0,0.0,5922013.0,141576.0,,2.56,Jarkko Nieminen,57.0,2.0,1.0,55.0,16.0,66.0,51.0,36.0,15.0,5.0,,,,,,2.0,121.0,,,2.56,1.59,SF,6-4 6-4,Ernests Gulbis,9.0,2.0,5922013.0,141575.0,,1.588,Ernests Gulbis,64.0,6.0,3.0,66.0,25.0,55.0,34.0,29.0,21.0,10.0,,,,,,1.0,121.0,,,2010-02-22,https://matchstat.com/tennis/tournaments/m/Delray%20Beach/2010,Delray Beach
2,H2H 5-2,Mardy Fish,0.0,1.0,5922014.0,141577.0,,2.5,Mardy Fish,35.0,0.0,0.0,42.0,6.0,47.0,27.0,24.0,20.0,5.0,,,,,,1.0,89.0,,,2.50,1.61,SF,6-2 6-3,Ivo Karlovic,7.0,1.0,5922014.0,141578.0,,1.613,Ivo Karlovic,54.0,4.0,3.0,47.0,18.0,42.0,25.0,23.0,17.0,13.0,,,,,,2.0,89.0,,,2010-02-22,https://matchstat.com/tennis/tournaments/m/Delray%20Beach/2010,Delray Beach
3,H2H 1-1,Leonardo Mayer,3.0,0.0,5922009.0,141562.0,,2.25,Leonardo Mayer,66.0,2.0,1.0,66.0,18.0,77.0,50.0,38.0,27.0,10.0,,,,,,2.0,143.0,,,2.25,1.62,QF,7-6(2) 6-4,Ernests Gulbis,11.0,3.0,5922009.0,141561.0,,1.62,Ernests Gulbis,77.0,8.0,2.0,77.0,29.0,66.0,41.0,34.0,25.0,14.0,,,,,,1.0,143.0,,,2010-02-22,https://matchstat.com/tennis/tournaments/m/Delray%20Beach/2010,Delray Beach
4,H2H 6-3,Benjamin Becker,9.0,3.0,5922010.0,141563.0,,2.06,Benjamin Becker,106.0,11.0,4.0,108.0,40.0,107.0,61.0,41.0,46.0,25.0,,,,,,1.0,215.0,,,2.06,1.87,QF,7-5 3-6 7-6(5),Jarkko Nieminen,6.0,3.0,5922010.0,141564.0,,1.87,Jarkko Nieminen,109.0,9.0,4.0,107.0,41.0,108.0,79.0,56.0,29.0,12.0,,,,,,2.0,215.0,,,2010-02-22,https://matchstat.com/tennis/tournaments/m/Delray%20Beach/2010,Delray Beach
5,H2H 2-1,Jeremy Chardy,3.0,2.0,5922011.0,141568.0,,2.0,Jeremy Chardy,49.0,1.0,1.0,47.0,14.0,64.0,39.0,25.0,25.0,10.0,,,,,,2.0,111.0,,,2.00,1.75,QF,6-4 6-3,Mardy Fish,5.0,2.0,5922011.0,141567.0,,1.75,Mardy Fish,62.0,10.0,4.0,64.0,29.0,47.0,31.0,23.0,16.0,10.0,,,,,,1.0,111.0,,,2010-02-22,https://matchstat.com/tennis/tournaments/m/Delray%20Beach/2010,Delray Beach
6,H2H 8-3,James Blake,2.0,3.0,5922012.0,141569.0,,1.87,James Blake,80.0,1.0,1.0,87.0,23.0,90.0,61.0,41.0,29.0,16.0,,,,,,1.0,177.0,,,1.87,2.06,QF,6-3 6-7(5) 6-1,Ivo Karlovic,23.0,3.0,5922012.0,141570.0,,2.06,Ivo Karlovic,97.0,7.0,4.0,90.0,33.0,87.0,59.0,53.0,28.0,11.0,,,,,,2.0,177.0,,,2010-02-22,https://matchstat.com/tennis/tournaments/m/Delray%20Beach/2010,Delray Beach
7,H2H 2-4,Teymuraz Gabashvili,1.0,4.0,5922001.0,141527.0,,3.3,Teymuraz Gabashvili,44.0,1.0,0.0,47.0,13.0,59.0,29.0,18.0,30.0,13.0,,,,,,1.0,106.0,,,3.30,1.30,R16,6-1 6-4,Ernests Gulbis,5.0,1.0,5922001.0,141528.0,,1.3,Ernests Gulbis,62.0,5.0,4.0,59.0,28.0,47.0,28.0,23.0,19.0,11.0,,,,,,2.0,106.0,,,2010-02-22,https://matchstat.com/tennis/tournaments/m/Delray%20Beach/2010,Delray Beach
8,H2H 1-2,Florian Mayer,4.0,3.0,5922002.0,141494.0,,1.7,Florian Mayer,61.0,4.0,1.0,64.0,15.0,69.0,40.0,29.0,29.0,17.0,,,,,,2.0,133.0,,,1.70,2.15,R16,6-4 7-6(4),Leonardo Mayer,7.0,4.0,5922002.0,141493.0,,2.15,Leonardo Mayer,72.0,4.0,2.0,69.0,23.0,64.0,36.0,29.0,28.0,20.0,,,,,,1.0,133.0,,,2010-02-22,https://matchstat.com/tennis/tournaments/m/Delray%20Beach/2010,Delray Beach
9,H2H 0-1,Wayne Odesnik,,,5922003.0,275192.0,,2.2,Wayne Odesnik,,,,,,,,,,,,,,,,2.0,,,,2.20,1.65,R16,WO,Benjamin Becker,,,5922003.0,275191.0,,1.65,Benjamin Becker,,,,,,,,,,,,,,,,1.0,,,,2010-02-22,https://matchstat.com/tennis/tournaments/m/Delray%20Beach/2010,Delray Beach
